sample_id,label,period,day,day_num,day_label,record_date,batch,paper_batch,source_kind,target_file,duration_s,profile,baseline_start_s,baseline_end_s,exposure_start_s,exposure_end_s,recovery_start_s,recovery_end_s,actual_last_s,baseline_n,exposure_n,recovery_n,observation_n
air_1,air,Period_II,Day 1,1,Period II Day 1,14.05.2026,batch1,Batch2,new,air\air_1.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
baseline_1,air,Period_I,baseline,0,Period I baseline,,source,Batch1,baseline_as_air,air\baseline_1.csv,302.034,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,302.034,237,237,237,711
reference_1,air,Period_II,Day 1,1,Period II Day 1,14.05.2026,batch1,Batch2,reference_as_air,air\reference_1.csv,60.0,programme_60,0.0,30.0,30.0,40.0,40.0,62.066,62.066,119,39,88,246
air_2,air,Period_II,Day 1,1,Period II Day 1,14.05.2026,batch1,Batch2,new,air\air_2.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
reference_2,air,Period_II,Day 1,1,Period II Day 1,14.05.2026,batch1,Batch2,reference_as_air,air\reference_2.csv,60.0,programme_60,0.0,30.0,30.0,40.0,40.0,62.072,62.072,119,39,88,246
air_3,air,Period_II,Day 2,2,Period II Day 2,15.05.2026,batch1,Batch2,new,air\air_3.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.184,237,237,237,711
baseline_3,air,Period_I,baseline,0,Period I baseline,,source,Batch1,baseline_as_air,air\baseline_3.csv,302.016,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,302.016,237,237,237,711
reference_3,air,Period_II,Day 1,1,Period II Day 1,14.05.2026,batch1,Batch2,reference_as_air,air\reference_3.csv,60.0,programme_60,0.0,30.0,30.0,40.0,40.0,62.085,62.085,119,39,88,246
air_4,air,Period_II,Day 2,2,Period II Day 2,15.05.2026,batch1,Batch2,new,air\air_4.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.945,237,237,237,711
baseline_4,air,Period_I,baseline,0,Period I baseline,,source,Batch1,baseline_as_air,air\baseline_4.csv,302.034,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,302.034,237,237,237,711
reference_4,air,Period_II,Day 1,1,Period II Day 1,14.05.2026,batch1,Batch2,reference_as_air,air\reference_4.csv,60.0,programme_60,0.0,30.0,30.0,40.0,40.0,62.084,62.084,119,39,88,246
air_5,air,Period_II,Day 3,3,Period II Day 3,19.05.2026,batch2,Batch3,new,air\air_5.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
baseline_5,air,Period_I,baseline,0,Period I baseline,,source,Batch1,baseline_as_air,air\baseline_5.csv,301.995,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,301.995,237,237,237,711
reference_5,air,Period_II,Day 3,3,Period II Day 3,19.05.2026,batch2,Batch3,reference_as_air,air\reference_5.csv,60.0,programme_60,0.0,30.0,30.0,40.0,40.0,62.071,62.071,119,39,88,246
air_6,air,Period_II,Day 3,3,Period II Day 3,19.05.2026,batch2,Batch3,new,air\air_6.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
baseline_6,air,Period_I,baseline,0,Period I baseline,,source,Batch1,baseline_as_air,air\baseline_6.csv,302.034,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,302.034,237,237,237,711
reference_6,air,Period_II,Day 3,3,Period II Day 3,19.05.2026,batch2,Batch3,reference_as_air,air\reference_6.csv,60.0,programme_60,0.0,30.0,30.0,40.0,40.0,61.825,61.825,119,39,87,245
air_7,air,Period_II,Day 4,4,Period II Day 4,20.05.2026,batch2,Batch3,new,air\air_7.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.945,237,237,237,711
baseline_7,air,Period_I,baseline,0,Period I baseline,,source,Batch1,baseline_as_air,air\baseline_7.csv,302.035,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,302.035,237,237,237,711
reference_7,air,Period_II,Day 4,4,Period II Day 4,20.05.2026,batch2,Batch3,reference_as_air,air\reference_7.csv,60.0,programme_60,0.0,30.0,30.0,40.0,40.0,61.827,61.827,119,39,87,245
air_8,air,Period_II,Day 4,4,Period II Day 4,20.05.2026,batch2,Batch3,new,air\air_8.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.947,237,237,237,711
reference_8,air,Period_II,Day 4,4,Period II Day 4,20.05.2026,batch2,Batch3,reference_as_air,air\reference_8.csv,60.0,programme_60,0.0,30.0,30.0,40.0,40.0,61.831,61.831,119,39,87,245
