sample_id,nominal_duration_s,profile,baseline_start_s,baseline_end_s,exposure_start_s,exposure_end_s,recovery_start_s,recovery_end_s,actual_last_s,baseline_n,exposure_n,recovery_n,observation_n
air_1,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
baseline_1,302.034,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,302.034,237,237,237,711
reference_1,60.0,programme_60,0.0,30.0,30.0,40.0,40.0,62.066,62.066,119,39,88,246
air_2,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
reference_2,60.0,programme_60,0.0,30.0,30.0,40.0,40.0,62.072,62.072,119,39,88,246
air_3,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.184,237,237,237,711
baseline_3,302.016,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,302.016,237,237,237,711
reference_3,60.0,programme_60,0.0,30.0,30.0,40.0,40.0,62.085,62.085,119,39,88,246
air_4,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.945,237,237,237,711
baseline_4,302.034,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,302.034,237,237,237,711
reference_4,60.0,programme_60,0.0,30.0,30.0,40.0,40.0,62.084,62.084,119,39,88,246
air_5,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
baseline_5,301.995,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,301.995,237,237,237,711
reference_5,60.0,programme_60,0.0,30.0,30.0,40.0,40.0,62.071,62.071,119,39,88,246
air_6,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
baseline_6,302.034,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,302.034,237,237,237,711
reference_6,60.0,programme_60,0.0,30.0,30.0,40.0,40.0,61.825,61.825,119,39,87,245
air_7,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.945,237,237,237,711
baseline_7,302.035,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,302.035,237,237,237,711
reference_7,60.0,programme_60,0.0,30.0,30.0,40.0,40.0,61.827,61.827,119,39,87,245
air_8,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.947,237,237,237,711
reference_8,60.0,programme_60,0.0,30.0,30.0,40.0,40.0,61.831,61.831,119,39,87,245
air_9,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
reference_9,60.0,programme_60,0.0,30.0,30.0,40.0,40.0,61.826,61.826,119,39,87,245
air_10,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.947,237,237,237,711
air_11,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
air_12,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
air_13,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
air_14,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
air_15,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
air_16,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,132.013,132.013,237,40,245,522
air_17,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,132.025,132.025,237,40,245,522
air_18,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,132.014,132.014,237,40,245,522
air_19,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,132.025,132.025,237,40,245,522
air_20,125.0,programme_125,0.0,60.0,60.0,65.0,65.0,127.183,127.183,237,20,246,503
air_21,125.0,programme_125,0.0,60.0,60.0,65.0,65.0,126.945,126.945,237,20,245,502
air_22,180.0,manual_180_air_22,0.0,60.0,60.0,70.0,70.0,111.224,111.224,237,40,163,440
air_23,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,180.643,237,237,237,711
air_24,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
air_25,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.909,237,237,237,711
air_26,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.928,237,237,237,711
air_27,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
air_28,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
air_29,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
air_30,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
air_31,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
air_32,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
air_33,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.2,237,237,237,711
air_34,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
air_35,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.91,237,237,237,711
air_36,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.91,237,237,237,711
air_37,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.676,237,237,237,711
