time_s,label,arduino_time,s1,s2,s3,s4,s5,s6,r1,r2,r3,r4,r5,r6,voltage
0.0004067420959472656,alcohol,1058907,46.0,284.0,202.0,240.0,47.0,15.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.0007147789001464844,alcohol,1059161,47.0,284.0,202.0,242.0,48.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.0009322166442871094,alcohol,1059414,47.0,284.0,202.0,241.0,48.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.0011374950408935547,alcohol,1059666,47.0,284.0,202.0,242.0,48.0,15.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.0013489723205566406,alcohol,1059920,47.0,284.0,202.0,241.0,48.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.0015633106231689453,alcohol,1060173,47.0,284.0,202.0,242.0,48.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.0018510818481445312,alcohol,1060427,47.0,284.0,202.0,241.0,48.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.0020651817321777344,alcohol,1060680,47.0,284.0,202.0,242.0,48.0,15.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.10154032707214355,alcohol,1060934,47.0,284.0,202.0,240.0,48.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.35346531867980957,alcohol,1061187,47.0,284.0,202.0,241.0,48.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.6277933120727539,alcohol,1061441,47.0,284.0,202.0,240.0,48.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.8816397190093994,alcohol,1061694,47.0,284.0,202.0,241.0,48.0,15.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
1.1142945289611816,alcohol,1061947,47.0,284.0,202.0,240.0,48.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
1.3681058883666992,alcohol,1062201,47.0,284.0,202.0,241.0,48.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
1.6209943294525146,alcohol,1062454,47.0,284.0,202.0,240.0,48.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
1.875213623046875,alcohol,1062708,47.0,284.0,202.0,241.0,48.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
2.127351999282837,alcohol,1062961,47.0,284.0,202.0,240.0,48.0,15.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
2.38312029838562,alcohol,1063215,47.0,284.0,202.0,241.0,48.0,15.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
2.634878158569336,alcohol,1063468,47.0,284.0,202.0,240.0,48.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
2.8883469104766846,alcohol,1063721,47.0,284.0,202.0,241.0,48.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
3.141953229904175,alcohol,1063974,47.0,284.0,202.0,240.0,48.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
3.3947439193725586,alcohol,1064227,47.0,284.0,202.0,241.0,48.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
3.648235559463501,alcohol,1064481,47.0,284.0,202.0,240.0,48.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
3.9017984867095947,alcohol,1064734,47.0,284.0,202.0,241.0,48.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
4.155071496963501,alcohol,1064988,47.0,284.0,202.0,240.0,48.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
