split,sample_id,paper_batch,source_train,source_val,target_labeled_train,target_domain,target_val,target_test
A1,air_1,Batch2,0,0,0,1,0,1
A1,baseline_1,Batch1,1,0,0,0,0,0
A1,reference_1,Batch2,0,0,0,1,0,1
A1,air_2,Batch2,0,0,0,1,0,1
A1,reference_2,Batch2,0,0,0,1,0,1
A1,air_3,Batch2,0,0,0,1,0,1
A1,baseline_3,Batch1,1,0,0,0,0,0
A1,reference_3,Batch2,0,0,0,1,0,1
A1,air_4,Batch2,0,0,0,1,0,1
A1,baseline_4,Batch1,1,0,0,0,0,0
A1,reference_4,Batch2,0,0,0,1,0,1
A1,air_5,Batch3,0,0,0,0,0,0
A1,baseline_5,Batch1,1,0,0,0,0,0
A1,reference_5,Batch3,0,0,0,0,0,0
A1,air_6,Batch3,0,0,0,0,0,0
A1,baseline_6,Batch1,1,0,0,0,0,0
A1,reference_6,Batch3,0,0,0,0,0,0
A1,air_7,Batch3,0,0,0,0,0,0
A1,baseline_7,Batch1,1,0,0,0,0,0
A1,reference_7,Batch3,0,0,0,0,0,0
A1,air_8,Batch3,0,0,0,0,0,0
A1,reference_8,Batch3,0,0,0,0,0,0
A1,air_9,Batch3,0,0,0,0,0,0
A1,reference_9,Batch3,0,0,0,0,0,0
A1,air_10,Batch3,0,0,0,0,0,0
A1,air_11,Batch3,0,0,0,0,0,0
A1,air_12,Batch3,0,0,0,0,0,0
A1,air_13,Batch3,0,0,0,0,0,0
A1,air_14,Batch3,0,0,0,0,0,0
A1,air_15,Batch3,0,0,0,0,0,0
A1,air_16,Batch3,0,0,0,0,0,0
A1,air_17,Batch3,0,0,0,0,0,0
A1,air_18,Batch4,0,0,0,0,0,0
A1,air_19,Batch4,0,0,0,0,0,0
A1,air_20,Batch4,0,0,0,0,0,0
A1,air_21,Batch4,0,0,0,0,0,0
A1,air_22,Batch4,0,0,0,0,0,0
A1,air_23,Batch4,0,0,0,0,0,0
A1,air_24,Batch4,0,0,0,0,0,0
A1,air_25,Batch4,0,0,0,0,0,0
A1,air_26,Batch4,0,0,0,0,0,0
A1,air_27,Batch4,0,0,0,0,0,0
A1,air_28,Batch4,0,0,0,0,0,0
A1,air_29,Batch4,0,0,0,0,0,0
A1,air_30,Batch4,0,0,0,0,0,0
A1,air_31,Batch4,0,0,0,0,0,0
A1,air_32,Batch4,0,0,0,0,0,0
A1,air_33,Batch4,0,0,0,0,0,0
A1,air_34,Batch4,0,0,0,0,0,0
A1,air_35,Batch4,0,0,0,0,0,0
A1,air_36,Batch4,0,0,0,0,0,0
A1,air_37,Batch4,0,0,0,0,0,0
A1,air_38,Batch4,0,0,0,0,0,0
A1,air_39,Batch4,0,0,0,0,0,0
A1,air_40,Batch4,0,0,0,0,0,0
A1,air_41,Batch4,0,0,0,0,0,0
A1,air_42,Batch4,0,0,0,0,0,0
A1,air_43,Batch4,0,0,0,0,0,0
A1,air_44,Batch4,0,0,0,0,0,0
A1,air_45,Batch4,0,0,0,0,0,0
A1,air_46,Batch4,0,0,0,0,0,0
A1,air_47,Batch4,0,0,0,0,0,0
A1,air_48,Batch4,0,0,0,0,0,0
A1,air_49,Batch5,0,0,0,0,0,0
A1,air_50,Batch5,0,0,0,0,0,0
A1,air_51,Batch5,0,0,0,0,0,0
A1,air_52,Batch5,0,0,0,0,0,0
A1,air_53,Batch5,0,0,0,0,0,0
A1,air_54,Batch5,0,0,0,0,0,0
A1,air_55,Batch5,0,0,0,0,0,0
A1,air_56,Batch5,0,0,0,0,0,0
A1,air_57,Batch5,0,0,0,0,0,0
A1,air_58,Batch5,0,0,0,0,0,0
A1,air_59,Batch5,0,0,0,0,0,0
A1,air_60,Batch5,0,0,0,0,0,0
A1,air_61,Batch5,0,0,0,0,0,0
A1,air_62,Batch5,0,0,0,0,0,0
A1,air_63,Batch6,0,0,0,0,0,0
A1,air_64,Batch6,0,0,0,0,0,0
A1,air_65,Batch6,0,0,0,0,0,0
A1,air_66,Batch6,0,0,0,0,0,0
A1,air_67,Batch6,0,0,0,0,0,0
A1,air_68,Batch6,0,0,0,0,0,0
A1,air_69,Batch6,0,0,0,0,0,0
A1,air_70,Batch6,0,0,0,0,0,0
A1,air_71,Batch6,0,0,0,0,0,0
A1,air_72,Batch6,0,0,0,0,0,0
A1,alcohol_1,Batch2,0,0,0,1,0,1
A1,alcohol_o1,Batch1,1,0,0,0,0,0
A1,alcohol_2,Batch2,0,0,0,1,0,1
A1,alcohol_o2,Batch1,1,0,0,0,0,0
A1,alcohol_3,Batch2,0,0,0,1,0,1
A1,alcohol_o3,Batch1,1,0,0,0,0,0
A1,alcohol_4,Batch2,0,0,0,1,0,1
A1,alcohol_o4,Batch1,1,0,0,0,0,0
A1,alcohol_5,Batch2,0,0,0,1,0,1
A1,alcohol_o5,Batch1,1,0,0,0,0,0
A1,alcohol_6,Batch2,0,0,0,1,0,1
A1,alcohol_o6,Batch1,1,0,0,0,0,0
A1,alcohol_7,Batch2,0,0,0,1,0,1
A1,alcohol_o7,Batch1,1,0,0,0,0,0
A1,alcohol_8,Batch2,0,0,0,1,0,1
A1,alcohol_o8,Batch1,1,0,0,0,0,0
A1,alcohol_9,Batch2,0,0,0,1,0,1
A1,alcohol_o9,Batch1,1,0,0,0,0,0
A1,alcohol_10,Batch2,0,0,0,1,0,1
A1,alcohol_o10,Batch1,1,0,0,0,0,0
A1,alcohol_11,Batch3,0,0,0,0,0,0
A1,alcohol_o11,Batch1,1,0,0,0,0,0
A1,alcohol_12,Batch3,0,0,0,0,0,0
A1,alcohol_o12,Batch1,1,0,0,0,0,0
A1,alcohol_13,Batch3,0,0,0,0,0,0
A1,alcohol_14,Batch3,0,0,0,0,0,0
A1,alcohol_15,Batch3,0,0,0,0,0,0
A1,alcohol_16,Batch3,0,0,0,0,0,0
A1,alcohol_17,Batch3,0,0,0,0,0,0
A1,alcohol_18,Batch3,0,0,0,0,0,0
A1,alcohol_19,Batch3,0,0,0,0,0,0
A1,alcohol_20,Batch3,0,0,0,0,0,0
A1,alcohol_21,Batch3,0,0,0,0,0,0
A1,alcohol_22,Batch3,0,0,0,0,0,0
A1,alcohol_23,Batch3,0,0,0,0,0,0
A1,alcohol_24,Batch3,0,0,0,0,0,0
A1,alcohol_25,Batch3,0,0,0,0,0,0
A1,alcohol_26,Batch3,0,0,0,0,0,0
A1,alcohol_27,Batch3,0,0,0,0,0,0
A1,alcohol_28,Batch3,0,0,0,0,0,0
A1,alcohol_29,Batch3,0,0,0,0,0,0
A1,alcohol_30,Batch3,0,0,0,0,0,0
A1,alcohol_31,Batch3,0,0,0,0,0,0
A1,alcohol_32,Batch3,0,0,0,0,0,0
A1,alcohol_33,Batch3,0,0,0,0,0,0
A1,alcohol_34,Batch3,0,0,0,0,0,0
A1,alcohol_35,Batch3,0,0,0,0,0,0
A1,alcohol_36,Batch3,0,0,0,0,0,0
A1,alcohol_37,Batch3,0,0,0,0,0,0
A1,alcohol_38,Batch3,0,0,0,0,0,0
A1,alcohol_39,Batch3,0,0,0,0,0,0
A1,alcohol_40,Batch3,0,0,0,0,0,0
