time_s,label,arduino_time,s1,s2,s3,s4,s5,s6,r1,r2,r3,r4,r5,r6,voltage,gas_type,duration_s,distance_cm,wind_level
0.0017414093017578125,acetone,10179094,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
0.0021271705627441406,acetone,10179348,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
0.003036975860595703,acetone,10179601,28.0,201.0,178.0,216.0,29.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
0.0034966468811035156,acetone,10179854,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
0.004148006439208984,acetone,10180108,28.0,201.0,178.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
0.004900217056274414,acetone,10180361,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
0.005488872528076172,acetone,10180615,28.0,201.0,178.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
0.005963802337646484,acetone,10180868,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
0.12537455558776855,acetone,10181122,28.0,201.0,178.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
0.3790292739868164,acetone,10181374,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
0.6315581798553467,acetone,10181628,28.0,201.0,178.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
0.8860902786254883,acetone,10181881,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
1.1386404037475586,acetone,10182135,28.0,201.0,178.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
1.3926365375518799,acetone,10182388,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
1.6458182334899902,acetone,10182642,28.0,201.0,178.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
1.8995325565338135,acetone,10182895,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
2.1528186798095703,acetone,10183149,28.0,201.0,178.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
2.4059879779815674,acetone,10183402,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
2.660061836242676,acetone,10183655,28.0,201.0,178.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
2.9129743576049805,acetone,10183909,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
3.1674461364746094,acetone,10184162,28.0,201.0,178.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
3.420184373855591,acetone,10184416,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
3.6732442378997803,acetone,10184669,28.0,201.0,178.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
3.9268639087677,acetone,10184923,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
4.180105447769165,acetone,10185176,28.0,201.0,178.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
4.433553457260132,acetone,10185430,27.0,201.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
4.6868486404418945,acetone,10185682,28.0,201.0,178.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
4.940705299377441,acetone,10185936,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
5.213849782943726,acetone,10186189,28.0,201.0,177.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
5.468044996261597,acetone,10186443,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
5.701287746429443,acetone,10186696,28.0,201.0,177.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
5.953936576843262,acetone,10186950,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
6.206639766693115,acetone,10187203,28.0,201.0,178.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
6.460935115814209,acetone,10187457,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
6.714303016662598,acetone,10187710,28.0,201.0,177.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
6.968297958374023,acetone,10187963,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
7.2206714153289795,acetone,10188217,28.0,201.0,177.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
7.475353240966797,acetone,10188470,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
7.728477716445923,acetone,10188724,28.0,201.0,177.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
7.981216669082642,acetone,10188977,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
8.235113859176636,acetone,10189231,27.0,201.0,177.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
8.487803220748901,acetone,10189484,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
8.742154836654663,acetone,10189737,28.0,201.0,177.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
8.994905471801758,acetone,10189990,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
9.247944355010986,acetone,10190244,28.0,201.0,177.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
9.501954078674316,acetone,10190497,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
9.755531072616577,acetone,10190751,28.0,200.0,177.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
10.0093834400177,acetone,10191004,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
10.262551307678223,acetone,10191258,27.0,201.0,177.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
10.515768051147461,acetone,10191511,27.0,200.0,177.0,214.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
10.768766164779663,acetone,10191764,27.0,200.0,177.0,216.0,28.0,14.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0,acetone,180,5,1
