time_s,label,arduino_time,s1,s2,s3,s4,s5,s6,r1,r2,r3,r4,r5,r6,voltage
0.0006518363952636719,alcohol,1114943,23.0,220.0,167.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.0009911060333251953,alcohol,1115196,23.0,220.0,167.0,158.0,27.0,11.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.0012578964233398438,alcohol,1115450,23.0,220.0,167.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.0016160011291503906,alcohol,1115703,23.0,220.0,167.0,158.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.0018923282623291016,alcohol,1115957,23.0,220.0,167.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.002157926559448242,alcohol,1116210,23.0,220.0,167.0,158.0,27.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.0024611949920654297,alcohol,1116463,24.0,220.0,167.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.0027303695678710938,alcohol,1116717,23.0,220.0,167.0,158.0,27.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.1880803108215332,alcohol,1116969,23.0,220.0,167.0,159.0,27.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.4410130977630615,alcohol,1117223,23.0,220.0,167.0,158.0,27.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.6939442157745361,alcohol,1117476,23.0,220.0,167.0,159.0,27.0,11.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.9478707313537598,alcohol,1117730,24.0,220.0,167.0,158.0,27.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
1.2014861106872559,alcohol,1117983,24.0,220.0,168.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
1.454118251800537,alcohol,1118237,24.0,220.0,167.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
1.7083866596221924,alcohol,1118490,23.0,220.0,167.0,159.0,27.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
1.9614551067352295,alcohol,1118743,24.0,220.0,167.0,158.0,27.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
2.2139976024627686,alcohol,1118997,23.0,220.0,167.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
2.468069076538086,alcohol,1119250,23.0,220.0,167.0,158.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
2.724104642868042,alcohol,1119504,23.0,220.0,167.0,159.0,27.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
2.9748637676239014,alcohol,1119757,23.0,220.0,167.0,158.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
3.227980852127075,alcohol,1120011,24.0,220.0,167.0,159.0,27.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
3.4809489250183105,alcohol,1120264,23.0,220.0,167.0,158.0,27.0,11.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
3.735072612762451,alcohol,1120518,24.0,220.0,167.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
3.9915475845336914,alcohol,1120771,23.0,220.0,167.0,158.0,27.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
4.241888761520386,alcohol,1121024,23.0,220.0,167.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
4.4952168464660645,alcohol,1121277,23.0,220.0,167.0,158.0,27.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
4.7484564781188965,alcohol,1121530,23.0,220.0,167.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
5.0024566650390625,alcohol,1121784,24.0,220.0,167.0,158.0,27.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
5.255506277084351,alcohol,1122037,24.0,220.0,167.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
5.5082995891571045,alcohol,1122291,23.0,220.0,167.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
5.762126445770264,alcohol,1122544,24.0,220.0,167.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
6.015094041824341,alcohol,1122798,24.0,220.0,167.0,159.0,27.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
6.269601106643677,alcohol,1123051,24.0,220.0,167.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
6.522702932357788,alcohol,1123304,23.0,220.0,167.0,159.0,27.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
6.776063680648804,alcohol,1123558,24.0,220.0,167.0,160.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
7.032641887664795,alcohol,1123811,23.0,220.0,167.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
7.282980680465698,alcohol,1124065,24.0,220.0,167.0,159.0,27.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
7.54472279548645,alcohol,1124318,23.0,220.0,167.0,159.0,27.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
