"class","file","source_path","bytes","modified","training_status"
"acetone","acetone_100.csv","D:\enose_data\enose_data\acetone\acetone_100.csv","84091","2026-07-25 13:46:56","not_used_in_any_current_training_or_reported_result"
"acetone","acetone_101.csv","D:\enose_data\enose_data\acetone\acetone_101.csv","83965","2026-07-25 13:46:56","not_used_in_any_current_training_or_reported_result"
"acetone","acetone_102.csv","D:\enose_data\enose_data\acetone\acetone_102.csv","84600","2026-07-25 13:46:56","not_used_in_any_current_training_or_reported_result"
"acetone","acetone_103.csv","D:\enose_data\enose_data\acetone\acetone_103.csv","84579","2026-07-25 13:46:56","not_used_in_any_current_training_or_reported_result"
"acetone","acetone_104.csv","D:\enose_data\enose_data\acetone\acetone_104.csv","84581","2026-07-25 13:46:56","not_used_in_any_current_training_or_reported_result"
"acetone","acetone_105.csv","D:\enose_data\enose_data\acetone\acetone_105.csv","84576","2026-07-25 13:46:56","not_used_in_any_current_training_or_reported_result"
"acetone","acetone_106.csv","D:\enose_data\enose_data\acetone\acetone_106.csv","84699","2026-07-25 13:46:56","not_used_in_any_current_training_or_reported_result"
"acetone","acetone_97.csv","D:\enose_data\enose_data\acetone\acetone_97.csv","84525","2026-07-25 13:46:56","not_used_in_any_current_training_or_reported_result"
"acetone","acetone_98.csv","D:\enose_data\enose_data\acetone\acetone_98.csv","84626","2026-07-25 13:46:56","not_used_in_any_current_training_or_reported_result"
"acetone","acetone_99.csv","D:\enose_data\enose_data\acetone\acetone_99.csv","84161","2026-07-25 13:46:56","not_used_in_any_current_training_or_reported_result"
"air","air_73.csv","D:\enose_data\enose_data\air\air_73.csv","78813","2026-07-25 13:46:51","not_used_in_any_current_training_or_reported_result"
"air","air_74.csv","D:\enose_data\enose_data\air\air_74.csv","78813","2026-07-25 13:46:51","not_used_in_any_current_training_or_reported_result"
"air","air_75.csv","D:\enose_data\enose_data\air\air_75.csv","78812","2026-07-25 13:46:51","not_used_in_any_current_training_or_reported_result"
"air","air_76.csv","D:\enose_data\enose_data\air\air_76.csv","78806","2026-07-25 13:46:51","not_used_in_any_current_training_or_reported_result"
"air","air_77.csv","D:\enose_data\enose_data\air\air_77.csv","78819","2026-07-25 13:46:51","not_used_in_any_current_training_or_reported_result"
"air","air_78.csv","D:\enose_data\enose_data\air\air_78.csv","78912","2026-07-25 13:46:52","not_used_in_any_current_training_or_reported_result"
"air","air_79.csv","D:\enose_data\enose_data\air\air_79.csv","78832","2026-07-25 13:46:52","not_used_in_any_current_training_or_reported_result"
"air","air_80.csv","D:\enose_data\enose_data\air\air_80.csv","78804","2026-07-25 13:46:52","not_used_in_any_current_training_or_reported_result"
"air","air_81.csv","D:\enose_data\enose_data\air\air_81.csv","78812","2026-07-25 13:46:52","not_used_in_any_current_training_or_reported_result"
"air","air_82.csv","D:\enose_data\enose_data\air\air_82.csv","78800","2026-07-25 13:46:52","not_used_in_any_current_training_or_reported_result"
"alcohol","alcohol_100.csv","D:\enose_data\enose_data\alcohol\alcohol_100.csv","84682","2026-07-25 13:47:00","not_used_in_any_current_training_or_reported_result"
"alcohol","alcohol_101.csv","D:\enose_data\enose_data\alcohol\alcohol_101.csv","84675","2026-07-25 13:47:00","not_used_in_any_current_training_or_reported_result"
"alcohol","alcohol_102.csv","D:\enose_data\enose_data\alcohol\alcohol_102.csv","84573","2026-07-25 13:47:00","not_used_in_any_current_training_or_reported_result"
"alcohol","alcohol_103.csv","D:\enose_data\enose_data\alcohol\alcohol_103.csv","84623","2026-07-25 13:47:00","not_used_in_any_current_training_or_reported_result"
"alcohol","alcohol_104.csv","D:\enose_data\enose_data\alcohol\alcohol_104.csv","84551","2026-07-25 13:47:00","not_used_in_any_current_training_or_reported_result"
"alcohol","alcohol_105.csv","D:\enose_data\enose_data\alcohol\alcohol_105.csv","84587","2026-07-25 13:47:00","not_used_in_any_current_training_or_reported_result"
"alcohol","alcohol_106.csv","D:\enose_data\enose_data\alcohol\alcohol_106.csv","84568","2026-07-25 13:47:00","not_used_in_any_current_training_or_reported_result"
"alcohol","alcohol_97.csv","D:\enose_data\enose_data\alcohol\alcohol_97.csv","84583","2026-07-25 13:47:00","not_used_in_any_current_training_or_reported_result"
"alcohol","alcohol_98.csv","D:\enose_data\enose_data\alcohol\alcohol_98.csv","84685","2026-07-25 13:47:00","not_used_in_any_current_training_or_reported_result"
"alcohol","alcohol_99.csv","D:\enose_data\enose_data\alcohol\alcohol_99.csv","84558","2026-07-25 13:47:00","not_used_in_any_current_training_or_reported_result"
"reference","reference_1.csv","D:\enose_data\enose_data\reference\reference_1.csv","29258","2026-07-25 13:46:54","not_used_in_any_current_training_or_reported_result"
"reference","reference_2.csv","D:\enose_data\enose_data\reference\reference_2.csv","29515","2026-07-25 13:46:54","not_used_in_any_current_training_or_reported_result"
"reference","reference_3.csv","D:\enose_data\enose_data\reference\reference_3.csv","29998","2026-07-25 13:46:53","not_used_in_any_current_training_or_reported_result"
"reference","reference_4.csv","D:\enose_data\enose_data\reference\reference_4.csv","29990","2026-07-25 13:46:53","not_used_in_any_current_training_or_reported_result"
"reference","reference_5.csv","D:\enose_data\enose_data\reference\reference_5.csv","29506","2026-07-25 13:46:53","not_used_in_any_current_training_or_reported_result"
"reference","reference_6.csv","D:\enose_data\enose_data\reference\reference_6.csv","26698","2026-07-25 13:46:54","not_used_in_any_current_training_or_reported_result"
"reference","reference_7.csv","D:\enose_data\enose_data\reference\reference_7.csv","26667","2026-07-25 13:46:53","not_used_in_any_current_training_or_reported_result"
"reference","reference_8.csv","D:\enose_data\enose_data\reference\reference_8.csv","29876","2026-07-25 13:46:54","not_used_in_any_current_training_or_reported_result"
"reference","reference_9.csv","D:\enose_data\enose_data\reference\reference_9.csv","29617","2026-07-25 13:46:54","not_used_in_any_current_training_or_reported_result"
