feature_set,split,model,group,accuracy,balanced_accuracy,macro_f1
54D,S1,LR,classical ML,0.8205128205128205,0.820216049382716,0.8267239643133975
54D,S1,sklearn MLP,classical ML,0.7575091575091576,0.761522633744856,0.7605783064535241
54D,S1,No-DA NN,neural baseline,0.7208791208791208,0.7265432098765432,0.7035998247682426
54D,S1,DANN,domain adaptation,0.8454212454212454,0.8424125514403291,0.8470574056487804
54D,S1,Deep CORAL,domain adaptation,0.8637362637362637,0.8629886831275719,0.8664130074747021
54D,S1,MK-MMD,domain adaptation,0.8725274725274726,0.8678497942386831,0.8722818354469665
54D,S1,CDAN,domain adaptation,0.8534798534798534,0.8508230452674898,0.8555402966963728
54D,S2,LR,classical ML,0.8168498168498168,0.8167438271604938,0.8231666880588714
54D,S2,sklearn MLP,classical ML,0.7575091575091576,0.761522633744856,0.7605783064535241
54D,S2,No-DA NN,neural baseline,0.7377289377289377,0.7422582304526748,0.7251843733654512
54D,S2,DANN,domain adaptation,0.8615384615384615,0.8593621399176955,0.8639603764205
54D,S2,Deep CORAL,domain adaptation,0.7963369963369964,0.7998713991769548,0.7933268944381416
54D,S2,MK-MMD,domain adaptation,0.841025641025641,0.8345164609053498,0.8280097605497312
54D,S2,CDAN,domain adaptation,0.8212454212454213,0.8220679012345679,0.8232511942445647
54D,S3,LR,classical ML,0.8461538461538461,0.8458076131687243,0.8494322444247425
54D,S3,sklearn MLP,classical ML,0.7575091575091576,0.761522633744856,0.7605783064535241
54D,S3,No-DA NN,neural baseline,0.7912087912087912,0.7935956790123457,0.7897814083733703
54D,S3,DANN,domain adaptation,0.8161172161172161,0.8141203703703702,0.8180790580692445
54D,S3,Deep CORAL,domain adaptation,0.8593406593406593,0.8580504115226338,0.8593144309723495
54D,S3,MK-MMD,domain adaptation,0.8893772893772894,0.889351851851852,0.8906097203108944
54D,S3,CDAN,domain adaptation,0.871062271062271,0.8703189300411521,0.8739855481320706
54D,S4,LR,classical ML,0.9183673469387756,0.9197196559413826,0.9217000722282412
54D,S4,sklearn MLP,classical ML,0.8228571428571427,0.8277795476266328,0.8185067301041491
54D,S4,No-DA NN,neural baseline,0.8783673469387756,0.8817351598173515,0.8813556499783427
54D,S4,DANN,domain adaptation,0.8914285714285715,0.8928958266964001,0.8931788361899367
54D,S4,Deep CORAL,domain adaptation,0.9159183673469388,0.9165657852819368,0.9185426651874746
54D,S4,MK-MMD,domain adaptation,0.9110204081632652,0.9101199957523628,0.9131132579345718
54D,S4,CDAN,domain adaptation,0.899591836734694,0.9003716682595307,0.902243496541728
54D,S5,LR,classical ML,0.9307359307359307,0.9320093039899804,0.9332263814616756
54D,S5,sklearn MLP,classical ML,0.8796536796536797,0.8821613884415817,0.8799244348938993
54D,S5,No-DA NN,neural baseline,0.90995670995671,0.9125424941850064,0.9126282141909404
54D,S5,DANN,domain adaptation,0.9203463203463202,0.9208445160135982,0.9229403706701536
54D,S5,Deep CORAL,domain adaptation,0.9341991341991344,0.9345857935229916,0.9363975396704018
54D,S5,MK-MMD,domain adaptation,0.9316017316017317,0.9306852746466272,0.9328301932251352
54D,S5,CDAN,domain adaptation,0.9281385281385284,0.9279656468062264,0.9300533557031748
54D,S6,LR,classical ML,0.9707317073170731,0.9712348163052388,0.971348528823216
54D,S6,sklearn MLP,classical ML,0.9453658536585364,0.9436023548699606,0.9451734546275314
54D,S6,No-DA NN,neural baseline,0.9600000000000002,0.9605484760414338,0.9608288529886811
