feature_set,split,model,classifier_strategy,plot_label,mean_balanced_accuracy,min_balanced_accuracy,max_balanced_accuracy,std_balanced_accuracy,seeds,range_source
54D,S1,C-DANN,MLP head,C-DANN,0.8408179012345679,0.8206018518518517,0.8770576131687243,0.0221308154636527,"0,1,2,3,4",min-max over seeds
54D,S2,C-DANN,MLP head,C-DANN,0.8851594650205762,0.856224279835391,0.9191100823045268,0.0305564323667687,"0,1,2,3,4",min-max over seeds
54D,S3,C-DANN,MLP head,C-DANN,0.8660751028806585,0.8069701646090536,0.9083076131687244,0.0368360665076852,"0,1,2,3,4",min-max over seeds
54D,S4,C-DANN,MLP head,C-DANN,0.9096208983752788,0.8535627057449293,0.9422852288414568,0.0358073592260957,"0,1,2,3,4",min-max over seeds
54D,S5,C-DANN,MLP head,C-DANN,0.9295043836106638,0.895509035605654,0.9615315798890678,0.0253594391862389,"0,1,2,3,4",min-max over seeds
54D,S6,C-DANN,MLP head,C-DANN,0.9595946046650272,0.93539011848871,0.9853193233474924,0.0184749014884459,"0,1,2,3,4",min-max over seeds
54D,S7,C-DANN,MLP head,C-DANN,0.9463149265966166,0.9306952828079588,0.9618451449437364,0.0123748507604735,"0,1,2,3,4",min-max over seeds
54D,S1,CDAN,MLP head,CDAN,0.8508230452674898,0.7894804526748972,0.9016203703703703,0.0423233495093467,"0,1,2,3,4",min-max over seeds
54D,S2,CDAN,MLP head,CDAN,0.8220679012345679,0.7848508230452674,0.8512088477366255,0.0306738709007327,"0,1,2,3,4",min-max over seeds
54D,S3,CDAN,MLP head,CDAN,0.8703189300411521,0.8501800411522634,0.8850308641975309,0.0145195397984035,"0,1,2,3,4",min-max over seeds
54D,S4,CDAN,MLP head,CDAN,0.9003716682595307,0.8615801210576617,0.9254008707656366,0.0234398170299413,"0,1,2,3,4",min-max over seeds
54D,S5,CDAN,MLP head,CDAN,0.9279656468062264,0.9114331723027376,0.9504383610663804,0.016680469130536,"0,1,2,3,4",min-max over seeds
54D,S6,CDAN,MLP head,CDAN,0.9530218347119755,0.9412772933899696,0.9665399806244878,0.0124817561969965,"0,1,2,3,4",min-max over seeds
54D,S7,CDAN,MLP head,CDAN,0.9478500633430212,0.9219017810567106,0.971830985915493,0.0238734573983038,"0,1,2,3,4",min-max over seeds
54D,S1,DANN,MLP head,DANN,0.8424125514403291,0.8113425925925926,0.8744855967078188,0.0284884350180675,"0,1,2,3,4",min-max over seeds
54D,S2,DANN,MLP head,DANN,0.8593621399176955,0.7993827160493828,0.8972479423868314,0.041216172564799,"0,1,2,3,4",min-max over seeds
54D,S3,DANN,MLP head,DANN,0.8141203703703702,0.7613168724279835,0.8915895061728395,0.0481928560217219,"0,1,2,3,4",min-max over seeds
54D,S4,DANN,MLP head,DANN,0.8928958266964001,0.8221301900817669,0.9409047467346288,0.0455836771696768,"0,1,2,3,4",min-max over seeds
54D,S5,DANN,MLP head,DANN,0.9208445160135982,0.8776167471819646,0.9484702093397748,0.0261376266728144,"0,1,2,3,4",min-max over seeds
54D,S6,DANN,MLP head,DANN,0.9572397347045234,0.9494746255309636,0.9747373127654818,0.010295448507353,"0,1,2,3,4",min-max over seeds
54D,S7,DANN,MLP head,DANN,0.9532453983158208,0.9382964453386988,0.9700424770847306,0.0114405942337241,"0,1,2,3,4",min-max over seeds
54D,S1,Deep CORAL,MLP head,Deep CORAL,0.8629886831275719,0.816358024691358,0.9039351851851852,0.0388639049165917,"0,1,2,3,4",min-max over seeds
54D,S2,Deep CORAL,MLP head,Deep CORAL,0.7998713991769548,0.7136059670781894,0.8607253086419754,0.0579937955635116,"0,1,2,3,4",min-max over seeds
54D,S3,Deep CORAL,MLP head,Deep CORAL,0.8580504115226338,0.8180298353909464,0.8918467078189302,0.0328488141109924,"0,1,2,3,4",min-max over seeds
54D,S4,Deep CORAL,MLP head,Deep CORAL,0.9165657852819368,0.891897631942232,0.9338430498035468,0.0158135197910175,"0,1,2,3,4",min-max over seeds
54D,S5,Deep CORAL,MLP head,Deep CORAL,0.9345857935229916,0.9278940776525316,0.9429235999284308,0.0063518883911911,"0,1,2,3,4",min-max over seeds
54D,S6,Deep CORAL,MLP head,Deep CORAL,0.954899768984276,0.9412772933899696,0.9653476414039792,0.0086634542343072,"0,1,2,3,4",min-max over seeds
