feature_set,split,method,model,classifier_strategy,model_path,balanced_accuracy,balanced_accuracy_std,accuracy,macro_f1
54D,S1,logistic-regression,LR,raw LR,raw features -> sklearn Logistic Regression,0.820216049382716,,0.8205128205128205,0.8267239643133975
54D,S1,mlp,sklearn MLP,raw MLP,raw features -> sklearn MLP,0.761522633744856,0.0348187292433302,0.7575091575091576,0.7605783064535241
54D,S1,source-only,No-DA NN,MLP head,bottleneck16 -> neural MLP head,0.7265432098765432,0.0542331642566582,0.7208791208791208,0.7035998247682426
54D,S1,dann,DANN,MLP head,bottleneck16 -> neural MLP head,0.8424125514403291,0.0284884350180675,0.8454212454212454,0.8470574056487804
54D,S1,deep-coral,Deep CORAL,MLP head,bottleneck16 -> neural MLP head,0.8629886831275719,0.0388639049165917,0.8637362637362637,0.8664130074747021
54D,S1,mk-mmd,MK-MMD,MLP head,bottleneck16 -> neural MLP head,0.8678497942386831,0.040400987812067,0.8725274725274726,0.8722818354469665
54D,S1,cdan,CDAN,MLP head,bottleneck16 -> neural MLP head,0.8508230452674898,0.0423233495093467,0.8534798534798534,0.8555402966963728
54D,S2,logistic-regression,LR,raw LR,raw features -> sklearn Logistic Regression,0.8167438271604938,,0.8168498168498168,0.8231666880588714
54D,S2,mlp,sklearn MLP,raw MLP,raw features -> sklearn MLP,0.761522633744856,0.0348187292433302,0.7575091575091576,0.7605783064535241
54D,S2,source-only,No-DA NN,MLP head,bottleneck16 -> neural MLP head,0.7422582304526748,0.080818194516926,0.7377289377289377,0.7251843733654512
54D,S2,dann,DANN,MLP head,bottleneck16 -> neural MLP head,0.8593621399176955,0.041216172564799,0.8615384615384615,0.8639603764205
54D,S2,deep-coral,Deep CORAL,MLP head,bottleneck16 -> neural MLP head,0.7998713991769548,0.0579937955635116,0.7963369963369964,0.7933268944381416
54D,S2,mk-mmd,MK-MMD,MLP head,bottleneck16 -> neural MLP head,0.8345164609053498,0.0969250335075637,0.841025641025641,0.8280097605497312
54D,S2,cdan,CDAN,MLP head,bottleneck16 -> neural MLP head,0.8220679012345679,0.0306738709007327,0.8212454212454213,0.8232511942445647
54D,S3,logistic-regression,LR,raw LR,raw features -> sklearn Logistic Regression,0.8458076131687243,,0.8461538461538461,0.8494322444247425
54D,S3,mlp,sklearn MLP,raw MLP,raw features -> sklearn MLP,0.761522633744856,0.0348187292433302,0.7575091575091576,0.7605783064535241
54D,S3,source-only,No-DA NN,MLP head,bottleneck16 -> neural MLP head,0.7935956790123457,0.0184289960058362,0.7912087912087912,0.7897814083733703
54D,S3,dann,DANN,MLP head,bottleneck16 -> neural MLP head,0.8141203703703702,0.0481928560217219,0.8161172161172161,0.8180790580692445
54D,S3,deep-coral,Deep CORAL,MLP head,bottleneck16 -> neural MLP head,0.8580504115226338,0.0328488141109924,0.8593406593406593,0.8593144309723495
54D,S3,mk-mmd,MK-MMD,MLP head,bottleneck16 -> neural MLP head,0.889351851851852,0.0144476027881702,0.8893772893772894,0.8906097203108944
54D,S3,cdan,CDAN,MLP head,bottleneck16 -> neural MLP head,0.8703189300411521,0.0145195397984035,0.871062271062271,0.8739855481320706
54D,S4,logistic-regression,LR,raw LR,raw features -> sklearn Logistic Regression,0.9197196559413826,,0.9183673469387756,0.9217000722282412
54D,S4,mlp,sklearn MLP,raw MLP,raw features -> sklearn MLP,0.8277795476266328,0.0194837426700462,0.8228571428571427,0.8185067301041491
54D,S4,source-only,No-DA NN,MLP head,bottleneck16 -> neural MLP head,0.8817351598173515,0.008936347015044,0.8783673469387756,0.8813556499783427
54D,S4,dann,DANN,MLP head,bottleneck16 -> neural MLP head,0.8928958266964001,0.0455836771696768,0.8914285714285715,0.8931788361899367
54D,S4,deep-coral,Deep CORAL,MLP head,bottleneck16 -> neural MLP head,0.9165657852819368,0.0158135197910175,0.9159183673469388,0.9185426651874746
54D,S4,mk-mmd,MK-MMD,MLP head,bottleneck16 -> neural MLP head,0.9101199957523628,0.0196721530527732,0.9110204081632652,0.9131132579345718
54D,S4,cdan,CDAN,MLP head,bottleneck16 -> neural MLP head,0.9003716682595307,0.0234398170299413,0.899591836734694,0.902243496541728
54D,S5,logistic-regression,LR,raw LR,raw features -> sklearn Logistic Regression,0.9320093039899804,,0.9307359307359307,0.9332263814616756
54D,S5,mlp,sklearn MLP,raw MLP,raw features -> sklearn MLP,0.8821613884415817,0.0087942008224235,0.8796536796536797,0.8799244348938993
54D,S5,source-only,No-DA NN,MLP head,bottleneck16 -> neural MLP head,0.9125424941850064,0.0105126901559161,0.90995670995671,0.9126282141909404
54D,S5,dann,DANN,MLP head,bottleneck16 -> neural MLP head,0.9208445160135982,0.0261376266728144,0.9203463203463202,0.9229403706701536
54D,S5,deep-coral,Deep CORAL,MLP head,bottleneck16 -> neural MLP head,0.9345857935229916,0.0063518883911911,0.9341991341991344,0.9363975396704018
54D,S5,mk-mmd,MK-MMD,MLP head,bottleneck16 -> neural MLP head,0.9306852746466272,0.0129324242817275,0.9316017316017317,0.9328301932251352
54D,S5,cdan,CDAN,MLP head,bottleneck16 -> neural MLP head,0.9279656468062264,0.016680469130536,0.9281385281385284,0.9300533557031748
54D,S6,logistic-regression,LR,raw LR,raw features -> sklearn Logistic Regression,0.9712348163052388,,0.9707317073170731,0.971348528823216
54D,S6,mlp,sklearn MLP,raw MLP,raw features -> sklearn MLP,0.9436023548699606,0.0115354390590546,0.9453658536585364,0.9451734546275314
54D,S6,source-only,No-DA NN,MLP head,bottleneck16 -> neural MLP head,0.9605484760414338,0.0123866252603207,0.9600000000000002,0.9608288529886811
54D,S6,dann,DANN,MLP head,bottleneck16 -> neural MLP head,0.9572397347045234,0.010295448507353,0.9580487804878048,0.9581022855367752
54D,S6,deep-coral,Deep CORAL,MLP head,bottleneck16 -> neural MLP head,0.954899768984276,0.0086634542343072,0.955121951219512,0.9557901342000216
54D,S6,mk-mmd,MK-MMD,MLP head,bottleneck16 -> neural MLP head,0.9546613011401744,0.0040339999607623,0.9551219512195122,0.955630629002166
54D,S6,cdan,CDAN,MLP head,bottleneck16 -> neural MLP head,0.9530218347119755,0.0124817561969965,0.953170731707317,0.9536679207565522
54D,S7,logistic-regression,LR,raw LR,raw features -> sklearn Logistic Regression,0.9712348163052388,,0.9707317073170731,0.971348528823216
54D,S7,mlp,sklearn MLP,raw MLP,raw features -> sklearn MLP,0.9436023548699606,0.0115354390590546,0.9453658536585364,0.9451734546275314
54D,S7,source-only,No-DA NN,MLP head,bottleneck16 -> neural MLP head,0.9563156718086298,0.0073126527460453,0.9560975609756096,0.956937717240973
54D,S7,dann,DANN,MLP head,bottleneck16 -> neural MLP head,0.9532453983158208,0.0114405942337241,0.9541463414634148,0.954495676189091
54D,S7,deep-coral,Deep CORAL,MLP head,bottleneck16 -> neural MLP head,0.9667635442283328,0.0117057603142357,0.9668292682926828,0.967113091321292
54D,S7,mk-mmd,MK-MMD,MLP head,bottleneck16 -> neural MLP head,0.9567777032565764,0.0153518196491391,0.9570731707317072,0.9573581401123044
54D,S7,cdan,CDAN,MLP head,bottleneck16 -> neural MLP head,0.9478500633430212,0.0238734573983038,0.9482926829268292,0.9487844505902118
48D,S1,logistic-regression,LR,raw LR,raw features -> sklearn Logistic Regression,0.7067901234567903,,0.706959706959707,0.7149530651174386
48D,S1,mlp,sklearn MLP,raw MLP,raw features -> sklearn MLP,0.6957561728395061,0.0197045670937384,0.6981684981684981,0.7003642180023112
48D,S1,source-only,No-DA NN,MLP head,bottleneck16 -> neural MLP head,0.6556841563786009,0.0692569222647378,0.6586080586080587,0.6564080166348315
48D,S1,dann,DANN,MLP head,bottleneck16 -> neural MLP head,0.7627829218106996,0.01653348517994,0.7699633699633699,0.7642233655422022
48D,S1,deep-coral,Deep CORAL,MLP head,bottleneck16 -> neural MLP head,0.6966049382716049,0.0531373091998342,0.701098901098901,0.7008760151310434
48D,S1,mk-mmd,MK-MMD,MLP head,bottleneck16 -> neural MLP head,0.7193672839506172,0.0541307430049681,0.7304029304029304,0.7196751331985738
48D,S1,cdan,CDAN,MLP head,bottleneck16 -> neural MLP head,0.7006172839506174,0.0978612550093789,0.7106227106227105,0.7043098496078157
48D,S2,logistic-regression,LR,raw LR,raw features -> sklearn Logistic Regression,0.6078960905349794,,0.608058608058608,0.6105555010839843
48D,S2,mlp,sklearn MLP,raw MLP,raw features -> sklearn MLP,0.6957561728395061,0.0197045670937384,0.6981684981684981,0.7003642180023112
48D,S2,source-only,No-DA NN,MLP head,bottleneck16 -> neural MLP head,0.6426440329218107,0.0620078310574135,0.6432234432234432,0.6324594535520214
48D,S2,dann,DANN,MLP head,bottleneck16 -> neural MLP head,0.6898919753086419,0.057276155971718,0.6989010989010989,0.6900768127607703
48D,S2,deep-coral,Deep CORAL,MLP head,bottleneck16 -> neural MLP head,0.6822530864197531,0.0393682807498129,0.6871794871794872,0.681674360914519
48D,S2,mk-mmd,MK-MMD,MLP head,bottleneck16 -> neural MLP head,0.68369341563786,0.0559353415477102,0.6857142857142857,0.678493616020999
48D,S2,cdan,CDAN,MLP head,bottleneck16 -> neural MLP head,0.7032664609053498,0.1124645115714258,0.7098901098901098,0.7064233510890683
48D,S3,logistic-regression,LR,raw LR,raw features -> sklearn Logistic Regression,0.6078960905349794,,0.608058608058608,0.6105555010839843
48D,S3,mlp,sklearn MLP,raw MLP,raw features -> sklearn MLP,0.6957561728395061,0.0197045670937384,0.6981684981684981,0.7003642180023112
48D,S3,source-only,No-DA NN,MLP head,bottleneck16 -> neural MLP head,0.6057098765432098,0.10277221490144,0.608058608058608,0.6070537312898495
48D,S3,dann,DANN,MLP head,bottleneck16 -> neural MLP head,0.6626286008230452,0.0581651585341771,0.6695970695970697,0.6564546586539282
48D,S3,deep-coral,Deep CORAL,MLP head,bottleneck16 -> neural MLP head,0.7155092592592591,0.0511745965552068,0.723076923076923,0.7155327847664942
48D,S3,mk-mmd,MK-MMD,MLP head,bottleneck16 -> neural MLP head,0.7044495884773662,0.0929729876222992,0.712087912087912,0.7011535414485193
48D,S3,cdan,CDAN,MLP head,bottleneck16 -> neural MLP head,0.7025205761316873,0.0781540964716859,0.7047619047619047,0.7076109064034826
48D,S4,logistic-regression,LR,raw LR,raw features -> sklearn Logistic Regression,0.8775087607518318,,0.8775510204081632,0.8820899597297114
48D,S4,mlp,sklearn MLP,raw MLP,raw features -> sklearn MLP,0.8327492832112137,0.0196207323093619,0.8334693877551022,0.8368390650712214
48D,S4,source-only,No-DA NN,MLP head,bottleneck16 -> neural MLP head,0.7888605713072103,0.0675808985769399,0.7844897959183674,0.7752515979885318
48D,S4,dann,DANN,MLP head,bottleneck16 -> neural MLP head,0.8563661463311032,0.0336764954735739,0.8587755102040816,0.8585080901710495
48D,S4,deep-coral,Deep CORAL,MLP head,bottleneck16 -> neural MLP head,0.8874800892003822,0.0196791021439888,0.889795918367347,0.8903211670807558
48D,S4,mk-mmd,MK-MMD,MLP head,bottleneck16 -> neural MLP head,0.8872889455240521,0.0429016192249893,0.8906122448979593,0.889871925454908
48D,S4,cdan,CDAN,MLP head,bottleneck16 -> neural MLP head,0.8673250504406924,0.0309065189226338,0.8685714285714287,0.8699446799518175
48D,S5,logistic-regression,LR,raw LR,raw features -> sklearn Logistic Regression,0.9525854356772232,,0.9523809523809524,0.9540819702669412
48D,S5,mlp,sklearn MLP,raw MLP,raw features -> sklearn MLP,0.8721417069243156,0.0221985549188898,0.8727272727272727,0.8752107849745606
48D,S5,source-only,No-DA NN,MLP head,bottleneck16 -> neural MLP head,0.8654142064770083,0.0386652311437756,0.8623376623376624,0.8632791218048486
48D,S5,dann,DANN,MLP head,bottleneck16 -> neural MLP head,0.8819824655573447,0.0329146627323071,0.8805194805194805,0.8820255100215277
48D,S5,deep-coral,Deep CORAL,MLP head,bottleneck16 -> neural MLP head,0.9237072821613884,0.0129596254795304,0.9238095238095236,0.9247351973639923
48D,S5,mk-mmd,MK-MMD,MLP head,bottleneck16 -> neural MLP head,0.8947933440687063,0.0315820431650477,0.8961038961038963,0.8979416152835593
48D,S5,cdan,CDAN,MLP head,bottleneck16 -> neural MLP head,0.9109679728037215,0.0225622395525372,0.90995670995671,0.9117366866556578
48D,S6,logistic-regression,LR,raw LR,raw features -> sklearn Logistic Regression,0.9618451449437364,,0.9609756097560976,0.96176508883444
48D,S6,mlp,sklearn MLP,raw MLP,raw features -> sklearn MLP,0.9356136820925556,0.0095945865773398,0.9375609756097564,0.93789665981486
48D,S6,source-only,No-DA NN,MLP head,bottleneck16 -> neural MLP head,0.9107534093449589,0.0291420109928573,0.9102439024390244,0.911570969273526
48D,S6,dann,DANN,MLP head,bottleneck16 -> neural MLP head,0.9395185930397196,0.0128406538895261,0.9395121951219512,0.9405027279621476
48D,S6,deep-coral,Deep CORAL,MLP head,bottleneck16 -> neural MLP head,0.9213950368879946,0.0590521017740779,0.9239024390243904,0.9239435639353568
48D,S6,mk-mmd,MK-MMD,MLP head,bottleneck16 -> neural MLP head,0.930099113197705,0.0392484851231951,0.9317073170731708,0.9319906548595056
48D,S6,cdan,CDAN,MLP head,bottleneck16 -> neural MLP head,0.9151799687010956,0.0319850256790964,0.9170731707317072,0.9175143093004582
