sample_id,label,collection_date,PC1,PC2,PC3
air_1,air,2026-05-14,-5.586876120245076,0.7259129001169641,0.5187736825108877
air_10,air,2026-05-21,-5.260185093796484,-0.1286047266857401,0.3008399880976135
air_11,air,2026-05-21,-3.6267242485324758,-1.533872720997451,1.8581950190445735
air_12,air,2026-05-22,-6.133556038944564,3.7076165244628183,3.966551732902656
air_13,air,2026-05-22,-6.083820873087313,1.1917039981115567,-0.19391497408235744
air_14,air,2026-05-24,-5.941785401829076,0.9946869875078365,0.9185923448278488
air_15,air,2026-05-24,-5.73213177970849,0.04141112800317855,-1.7470223750721967
air_16,air,2026-05-26,-5.648174886067688,-0.1018577642428104,-1.6879672510074548
air_17,air,2026-05-26,-5.870860728669831,0.5989389012000751,-0.2184649578001618
air_18,air,2026-05-27,-5.815528187844394,0.14338981995320865,0.07346371152375687
air_19,air,2026-05-27,-4.650782322659093,-0.196988892951209,1.2888683523415778
air_2,air,2026-05-15,-5.850216656134377,2.6459886946157103,3.463568346314792
air_20,air,2026-05-28,-4.784527370599559,-0.7748443452922646,-1.310878263555886
air_21,air,2026-05-28,-6.58060346226642,5.62331441471307,5.416905277089433
air_22,air,2026-05-29,-4.755561559569638,0.8318611420001284,1.264715760854037
air_23,air,2026-05-29,-3.8637091286592593,-1.5147009079730587,-0.005437265947498281
air_24,air,2026-05-30,-5.998021109629025,1.434845959594435,1.870119461937034
air_25,air,2026-05-30,-5.939427804791273,1.1093459272918396,0.927749244423639
air_26,air,2026-05-30,-5.996724409184115,0.20254175616028172,-0.33578154703393437
air_27,air,2026-05-30,-5.422718802834581,0.0213569206562258,-0.3767111815207532
air_28,air,2026-05-30,-6.50189865352554,1.503564287055288,0.4708160749446708
air_29,air,2026-05-31,-5.588632017778406,0.7587093908523461,0.24802575354529904
air_3,air,2026-05-15,-5.139910678785278,-0.48890183779977703,-1.916583364797762
air_30,air,2026-05-31,-3.9283715672438593,-1.8830476020484652,-2.3525919800875106
air_31,air,2026-05-31,-6.76541559091498,3.8782553030521476,3.156039381792893
air_32,air,2026-05-31,-5.197386176815436,-0.3213775728230731,-2.021088445169847
air_33,air,2026-05-31,-6.7252836277185555,2.9917904313761685,1.3948933438278515
air_34,air,2026-05-31,-6.6682341202405135,2.9764629197039376,1.1281655406435895
air_35,air,2026-06-01,-5.454921105526718,0.46061708552969416,0.6734994560155235
air_36,air,2026-06-01,-5.911033271082608,1.6249014472416845,1.2298646428991489
air_37,air,2026-06-01,-5.941478159151266,0.43208517970520943,-1.435811021175748
air_38,air,2026-06-01,-5.886963536415715,0.25895925229178485,0.6103157324951985
air_39,air,2026-06-01,-5.6892246586962205,-0.36214840751555244,-1.9889266581272982
air_4,air,2026-05-15,-4.392258016916668,-0.32377571108116765,-1.5379469625530835
air_40,air,2026-06-01,-5.69118512540748,0.39631011013139544,-0.849127344435454
air_41,air,2026-06-01,-6.340018546324438,0.7561220353072925,-0.6892653013460416
air_42,air,2026-06-01,-6.371057898332588,1.8005328718130096,0.7959211988006972
air_43,air,2026-06-02,-5.755282625468332,0.003013465891121664,-0.5998844575908336
air_44,air,2026-06-02,-5.263270707085408,-1.087967473709631,-0.25552029624111067
air_45,air,2026-06-04,-6.393858599441105,2.674141033412221,0.9977866873353675
air_46,air,2026-06-04,-6.213787724686134,3.277172287340537,2.3041638392238415
air_47,air,2026-06-04,-5.354244683811402,0.2538321135365997,0.04879036253020265
air_48,air,2026-06-04,-5.293280846545517,0.10912379602040721,-0.6137243321852802
air_49,air,2026-06-05,-6.1226295729267175,0.45971167074069547,-0.11882989062383785
air_5,air,2026-05-19,-4.955398413379416,0.20026427320707532,-0.9261477355482933
air_50,air,2026-06-05,-5.398922864475756,-0.24853786380001838,-1.8539727922125808
air_51,air,2026-06-05,-6.177607458352424,0.37580600420142407,-1.474203159448031
air_52,air,2026-06-05,-5.970966131658828,0.08775689869688293,-1.74151688984463
air_6,air,2026-05-19,-5.881565611927319,0.017263526395936472,-1.5063322453569379
air_7,air,2026-05-20,-5.31075044533184,-0.37352589374668527,-0.5253685116604024
air_8,air,2026-05-20,-6.053695381438144,0.5732823038504488,-0.12853242504653303
air_9,air,2026-05-21,-6.273444666077842,3.1921771623035977,0.8362531103271834
alcohol_1,alcohol,2026-05-14,10.604077598007196,0.6570093201498654,9.534759369793553
alcohol_10,alcohol,2026-05-15,6.899875177738993,-1.6221899474090846,3.555158681661999
alcohol_11,alcohol,2026-05-19,-2.2064169674847465,0.12359541972748689,2.090298435405647
alcohol_12,alcohol,2026-05-19,0.2540746831307529,-1.4038913309163286,2.1176911283199065
alcohol_13,alcohol,2026-05-19,-0.5336614258485481,-0.14639758886653167,1.781603026536277
alcohol_14,alcohol,2026-05-19,0.8816483542971432,-0.501397180704233,0.6591501062092723
alcohol_15,alcohol,2026-05-19,-0.5932642633202078,-1.5103596757626636,-0.5122323227505566
alcohol_16,alcohol,2026-05-20,-0.08602159769053327,-1.7144804953751118,0.8690453427637954
alcohol_17,alcohol,2026-05-20,-3.074573930360937,-0.16934446522439142,0.4114604259780731
alcohol_18,alcohol,2026-05-20,0.16209286338379106,-1.600783100836285,1.0663409603287692
alcohol_19,alcohol,2026-05-20,-2.192216125756303,-1.5358895509181523,-1.4805019378225568
alcohol_2,alcohol,2026-05-14,7.409871642620046,-1.647262333354587,7.45818185915596
alcohol_20,alcohol,2026-05-20,-1.2743397346108316,-0.7168391722862247,-0.6207779862310249
alcohol_21,alcohol,2026-05-21,2.908445878675725,-3.7239852031672207,2.2934684402256362
alcohol_22,alcohol,2026-05-21,-0.22571767942635088,-0.4394162234437089,0.27342014511023904
alcohol_23,alcohol,2026-05-21,15.479842313971766,-12.605699965636681,2.2945641351578625
alcohol_24,alcohol,2026-05-21,-0.6154162718445741,-0.8357880149722613,1.4203676629914597
alcohol_25,alcohol,2026-05-21,-2.1556302933015115,-0.5560976841808092,0.5257846851268403
alcohol_26,alcohol,2026-05-21,-1.1353590151603103,-2.1781322761676054,-0.16315532591311774
alcohol_27,alcohol,2026-05-22,3.7581888434815136,-5.592816389960214,-0.5986501349602268
alcohol_28,alcohol,2026-05-22,5.026134246692058,-6.657035877443457,3.206970423970961
alcohol_29,alcohol,2026-05-22,2.0649490582683807,-1.8987601809486003,2.6566415208559935
alcohol_3,alcohol,2026-05-14,8.01157669909073,-3.078536388903805,6.510473033773918
alcohol_30,alcohol,2026-05-22,-0.1300844092491018,-1.923556340175309,0.8979784350261749
alcohol_31,alcohol,2026-05-22,1.9129745195971009,-2.9665103466013445,-0.7983365082097023
alcohol_32,alcohol,2026-05-22,0.175977592417335,0.8148024461130551,2.5144965439080895
alcohol_33,alcohol,2026-05-23,1.928444731593127,-3.494242665408902,0.21355930177690585
alcohol_34,alcohol,2026-05-23,-0.73379443833357,-0.06949303163845442,1.2527814956600865
alcohol_35,alcohol,2026-05-23,4.077349111576726,-4.674873734389972,0.436523460880908
alcohol_36,alcohol,2026-05-24,-2.872915901622815,-1.3003679671967838,-0.9648134583910558
alcohol_37,alcohol,2026-05-24,-2.4218893333065328,-0.8418610627082064,-0.2226731443378407
alcohol_38,alcohol,2026-05-24,-1.6041515525565413,-0.49641847655360705,-0.09837417878214602
alcohol_39,alcohol,2026-05-26,-3.2121587225773287,-0.9096281361785518,0.022289925795351655
alcohol_4,alcohol,2026-05-14,3.883868729066341,-5.769767955403264,-2.2518513566678684
alcohol_40,alcohol,2026-05-26,-2.4696172288809985,-0.4086672021729151,0.5660976783004639
alcohol_41,alcohol,2026-05-26,-3.616469998004125,-1.049781556949477,-0.8809581803181276
alcohol_42,alcohol,2026-05-26,-1.7351399787932,-1.7675374732545097,-0.9819158012632848
alcohol_43,alcohol,2026-05-26,-2.167349286348919,-0.5599391637265839,-0.6846930629030361
alcohol_44,alcohol,2026-05-27,1.6636249691440355,-3.1759610878169053,-0.9115175007679794
alcohol_45,alcohol,2026-05-27,-0.6718696171038371,-1.2804906568934489,1.0747515568885266
alcohol_46,alcohol,2026-05-27,-3.2629814492391427,0.25973738930338397,0.9334712581972266
alcohol_47,alcohol,2026-05-27,3.580313720590152,-4.307516714555579,0.30592828018837825
alcohol_48,alcohol,2026-05-28,-2.16544536713939,-1.7318480871541173,0.8682180258791435
alcohol_49,alcohol,2026-05-28,-1.0825115300306687,-2.401717765152531,-0.41042566103164146
alcohol_5,alcohol,2026-05-14,1.4969085668591353,-0.3449996705225942,4.297797750375278
alcohol_50,alcohol,2026-05-28,-1.700831533532949,0.38678921851816384,1.8473287525170978
alcohol_51,alcohol,2026-05-28,-1.5783500579317256,-2.2044287289786,-0.5301113148734576
alcohol_52,alcohol,2026-05-29,-4.260304633975447,1.6344356043795993,2.408201831572939
alcohol_53,alcohol,2026-05-29,-2.6136490565769632,0.6883793451593507,2.3122205336990262
alcohol_54,alcohol,2026-05-29,-0.8165918095502445,-2.9446604748889063,3.9559765635837287
alcohol_55,alcohol,2026-05-29,-2.146502889687831,-1.3637485314629147,0.700276947077831
alcohol_56,alcohol,2026-05-30,1.9954852532831535,-2.514317660822348,3.1328850421674304
alcohol_57,alcohol,2026-05-30,-1.466640323116376,-1.4424663009070315,1.8803129189536603
alcohol_58,alcohol,2026-05-31,1.2761072961220021,-0.516777638406726,4.036163014531759
alcohol_59,alcohol,2026-05-31,0.5251273570152992,-1.447906017962786,-0.6114385195609457
alcohol_6,alcohol,2026-05-15,6.087878584322349,-4.357630741280299,1.9208420991040756
alcohol_60,alcohol,2026-05-31,4.563008766992337,-3.820767583221833,0.1390079080677763
alcohol_61,alcohol,2026-06-01,-2.5871331327596723,-1.9371576385071028,-0.36460316759175115
alcohol_62,alcohol,2026-06-01,-1.222197845196068,-2.7223692439327936,-0.009566330171910605
alcohol_63,alcohol,2026-06-01,-0.307114171684285,1.7144790632018119,4.86322027957969
alcohol_64,alcohol,2026-06-04,-2.4364126101629373,-0.9266746104014957,-0.7436735431341488
alcohol_65,alcohol,2026-06-04,0.09797789914750628,-1.6005137035327097,2.155660296361228
alcohol_66,alcohol,2026-06-04,-0.9512043490897943,-2.6871292125311657,0.3103174643001625
alcohol_67,alcohol,2026-06-04,-1.2291888083678302,0.4991718626278615,2.160392389445044
alcohol_68,alcohol,2026-06-04,2.0969781103413765,-0.6839101225954394,2.337027853681044
alcohol_69,alcohol,2026-06-05,-1.1055406041943938,-1.795674029117055,0.28727286188567336
alcohol_7,alcohol,2026-05-15,-2.061391399398452,1.1102714166169276,0.16953223670782924
alcohol_70,alcohol,2026-06-05,4.6161713758923435,-2.621350898418692,0.4784309459060435
alcohol_71,alcohol,2026-06-05,3.838193597957337,-3.9077249021605036,1.0676190566462898
alcohol_72,alcohol,2026-06-05,3.4421215764111257,-4.0278607157073,0.9843290992394695
alcohol_73,alcohol,2026-06-05,5.287713197591997,-3.736844214855934,0.7410776383561247
alcohol_8,alcohol,2026-05-15,0.9463356659825046,-2.968969617346046,-0.6383592272320964
alcohol_9,alcohol,2026-05-15,1.5616648805769537,-0.0678053632941437,1.2736157749575232
acetone_1,acetone,2026-05-14,25.141732702985493,1.9376799171838985,-0.9213598741293898
acetone_10,acetone,2026-05-15,8.649089063252108,8.173232269327288,-0.6347609943151592
acetone_11,acetone,2026-05-19,3.312561278377076,-2.6513700687213513,-4.054787802687432
acetone_12,acetone,2026-05-19,1.2118606125669884,0.5173967900562898,-2.5064631482652437
acetone_13,acetone,2026-05-19,1.561005737476352,1.3882820074349542,-2.7677375074960655
acetone_14,acetone,2026-05-19,-0.008798765900845109,1.1157410535183185,-2.4358530396037237
acetone_15,acetone,2026-05-19,2.3910258342819373,0.4073086153100151,-2.0693722499496428
acetone_16,acetone,2026-05-20,-0.7273286188924697,1.6943419337837091,-0.9682468553367647
acetone_17,acetone,2026-05-20,3.250473714249299,1.054734073682158,-0.7424884522869866
acetone_18,acetone,2026-05-20,1.4762609530738073,0.5308462503777471,-0.778514953514868
acetone_19,acetone,2026-05-20,-1.6020440070768731,0.1932810991148664,-1.4784259692629365
acetone_2,acetone,2026-05-14,24.185391661607838,8.827931377236329,1.6446625952547382
acetone_20,acetone,2026-05-20,-0.44956973774671494,2.5955582506668975,-0.9097141480110302
acetone_21,acetone,2026-05-21,6.77267989413124,1.9181470529829614,-1.3410560837374086
acetone_22,acetone,2026-05-21,2.138021136147805,2.97889902304459,1.508654935243435
acetone_23,acetone,2026-05-21,5.198470433979865,-0.900785984310246,-2.5272679349920413
acetone_24,acetone,2026-05-21,17.236854587678643,2.6511834773650937,-2.0892541064196184
acetone_25,acetone,2026-05-21,1.8841998660637378,1.336980178815002,1.0133574540971446
acetone_26,acetone,2026-05-21,0.27966037880653044,0.6821690435789489,-2.1851248210692216
acetone_27,acetone,2026-05-22,1.5711274456928346,1.5786579583632376,-1.6351022380744762
acetone_28,acetone,2026-05-22,1.2562971122467836,3.671826878474881,0.3569551187123433
acetone_29,acetone,2026-05-22,2.5419545997558406,1.8037197597188834,-0.14707714334953792
acetone_3,acetone,2026-05-14,17.73626876509307,4.381738334033618,2.402489300470679
acetone_30,acetone,2026-05-22,2.068492574643868,3.159078776116183,-1.4840612179285673
acetone_31,acetone,2026-05-22,3.3885665564645784,0.5090924460493936,-2.1364481885393247
acetone_32,acetone,2026-05-22,9.126313201548252,7.732828013132038,1.359281551220553
acetone_33,acetone,2026-05-23,-1.43195581792386,0.43023632350687835,-1.4648538622038718
acetone_34,acetone,2026-05-23,2.447402119355454,0.9243121545675699,-3.0219585121467203
acetone_35,acetone,2026-05-23,5.870717986868967,-1.1415639637406536,-3.0014836958401676
acetone_36,acetone,2026-05-24,5.92047116374198,2.6350754141402972,-0.9915264016648921
acetone_37,acetone,2026-05-24,0.7286417774377871,-0.27909761806580957,-3.0874378914460974
acetone_38,acetone,2026-05-24,-1.8203114470101687,-0.9979266388774093,-2.868342497511748
acetone_39,acetone,2026-05-26,2.386290778081793,2.5376644199435354,-0.14927346080883844
acetone_4,acetone,2026-05-14,13.132043401473027,4.267772301508157,-3.8588834498562212
acetone_40,acetone,2026-05-26,-0.7702575644879851,-1.265103347867553,-2.6513801375999084
acetone_41,acetone,2026-05-26,2.13843009662163,2.0219300051616615,-1.8447738897914299
acetone_42,acetone,2026-05-26,5.159329277498964,-1.0720902295600494,-1.4047274954597972
acetone_43,acetone,2026-05-26,3.076571069969531,0.8992049581553617,-2.1894034606385633
acetone_44,acetone,2026-05-27,8.004084621548813,0.23369938958759537,-3.0057570198309573
acetone_45,acetone,2026-05-27,-2.4872013092691336,0.46558506485342877,-0.8767611442886134
acetone_46,acetone,2026-05-27,0.5844776447316334,-0.687750711214973,-1.7298448641291686
acetone_47,acetone,2026-05-27,0.37809274318329344,1.0508483646889042,0.17365258931999047
acetone_48,acetone,2026-05-28,-0.6410634474465525,1.0729630306651576,-0.39317321441775843
acetone_49,acetone,2026-05-28,4.38327890714009,-0.7713565774474638,-2.7032446636810454
acetone_5,acetone,2026-05-14,10.496530812957593,-0.11759587572769602,2.019602769345059
acetone_50,acetone,2026-05-28,-2.0603878711402777,1.9499556915028369,2.7869281130500676
acetone_51,acetone,2026-05-28,1.2389252176978847,-1.0990381637122655,-2.218419543552696
acetone_52,acetone,2026-05-29,-2.666580823153159,3.2567322521360373,2.0680132344123945
acetone_53,acetone,2026-05-29,2.4025621010103575,1.4881667398239309,2.5971339257825075
acetone_54,acetone,2026-05-29,0.3152872034299467,-0.9190104946904011,-0.6964323498050288
acetone_55,acetone,2026-05-29,0.6397117177231724,3.852277225066733,2.6612046848509383
acetone_56,acetone,2026-05-30,2.0539862927767576,0.5194057314034137,0.7352002100293464
acetone_57,acetone,2026-05-30,1.5140454677025141,2.525969066222498,-0.38217353447211205
acetone_58,acetone,2026-05-31,2.2264904529964498,0.3514592979995353,-0.6693373955388341
acetone_59,acetone,2026-05-31,1.3469667562326255,-0.19965962929726627,-2.304322671452822
acetone_6,acetone,2026-05-15,3.0645508821480236,-0.17254460676784916,-3.5150771551976043
acetone_60,acetone,2026-05-31,5.590899634917896,1.6125595896287215,-2.2890145839013805
acetone_61,acetone,2026-06-01,-1.198204569348367,-1.5814419317971562,-2.7674070335086367
acetone_62,acetone,2026-06-01,-1.8752739389611013,1.7105241775439934,-0.23528383709985215
acetone_63,acetone,2026-06-01,-1.951247611959432,0.10908372246329268,-0.9381684385622052
acetone_64,acetone,2026-06-04,-0.2775026038597759,1.3225197904518327,-1.7756623406272547
