sample_id,baseline_end_s,exposure_start_s,exposure_end_s,recovery_start_s
air_1,20.0,20.0,181.929,127.35029999999999
air_10,20.0,20.0,181.947,127.3629
air_11,20.0,20.0,181.946,127.36219999999999
air_12,20.0,20.0,181.929,127.35029999999999
air_13,20.0,20.0,181.93,127.351
air_14,20.0,20.0,181.93,127.351
air_15,20.0,20.0,181.946,127.36219999999999
air_16,20.0,20.0,132.013,92.4091
air_17,20.0,20.0,132.025,92.4175
air_18,20.0,20.0,132.014,92.4098
air_19,20.0,20.0,132.025,92.4175
air_2,20.0,20.0,181.946,127.36219999999999
air_20,20.0,20.0,127.183,89.0281
air_21,20.0,20.0,126.945,88.86149999999999
air_22,20.0,20.0,111.224,77.85679999999999
air_23,20.0,20.0,180.643,126.45009999999999
air_24,20.0,20.0,181.929,127.35029999999999
air_25,20.0,20.0,181.909,127.33629999999998
air_26,20.0,20.0,181.928,127.3496
air_27,20.0,20.0,181.929,127.35029999999999
air_28,20.0,20.0,182.183,127.52809999999998
air_29,20.0,20.0,181.93,127.351
air_3,20.0,20.0,182.184,127.52879999999999
air_30,20.0,20.0,182.183,127.52809999999998
air_31,20.0,20.0,181.93,127.351
air_32,20.0,20.0,181.929,127.35029999999999
air_33,20.0,20.0,182.2,127.53999999999998
air_34,20.0,20.0,181.946,127.36219999999999
air_35,20.0,20.0,181.91,127.33699999999999
air_36,20.0,20.0,181.91,127.33699999999999
air_37,20.0,20.0,181.676,127.17319999999998
air_38,20.0,20.0,181.91,127.33699999999999
air_39,20.0,20.0,181.947,127.3629
air_4,20.0,20.0,181.945,127.36149999999999
air_40,20.0,20.0,181.947,127.3629
air_41,20.0,20.0,181.909,127.33629999999998
air_42,20.0,20.0,181.911,127.3377
air_43,20.0,20.0,182.163,127.5141
air_44,20.0,20.0,181.929,127.35029999999999
air_45,20.0,20.0,182.182,127.52739999999999
air_46,20.0,20.0,182.183,127.52809999999998
air_47,20.0,20.0,182.184,127.52879999999999
air_48,20.0,20.0,159.125,111.38749999999999
air_49,20.0,20.0,182.183,127.52809999999998
air_5,20.0,20.0,181.93,127.351
air_50,20.0,20.0,181.93,127.351
air_51,20.0,20.0,181.93,127.351
air_52,20.0,20.0,181.93,127.351
air_6,20.0,20.0,181.929,127.35029999999999
air_7,20.0,20.0,181.945,127.36149999999999
air_8,20.0,20.0,181.947,127.3629
air_9,20.0,20.0,181.93,127.351
alcohol_1,60.0,60.0,120.0,120.0
alcohol_10,60.0,60.0,120.0,120.0
alcohol_11,60.0,60.0,120.0,120.0
alcohol_12,60.0,60.0,120.0,120.0
alcohol_13,60.0,60.0,120.0,120.0
alcohol_14,60.0,60.0,120.0,120.0
alcohol_15,60.0,60.0,120.0,120.0
alcohol_16,60.0,60.0,120.0,120.0
alcohol_17,60.0,60.0,120.0,120.0
alcohol_18,60.0,60.0,120.0,120.0
alcohol_19,60.0,60.0,120.0,120.0
alcohol_2,60.0,60.0,120.0,120.0
alcohol_20,60.0,60.0,120.0,120.0
alcohol_21,60.0,60.0,120.0,120.0
alcohol_22,60.0,60.0,120.0,120.0
alcohol_23,60.0,60.0,120.0,120.0
alcohol_24,60.0,60.0,120.0,120.0
alcohol_25,60.0,60.0,120.0,120.0
alcohol_26,60.0,60.0,120.0,120.0
alcohol_27,60.0,60.0,120.0,120.0
alcohol_28,60.0,60.0,120.0,120.0
alcohol_29,60.0,60.0,120.0,120.0
alcohol_3,60.0,60.0,120.0,120.0
alcohol_30,60.0,60.0,120.0,120.0
alcohol_31,60.0,60.0,120.0,120.0
alcohol_32,60.0,60.0,120.0,120.0
alcohol_33,60.0,60.0,120.0,120.0
alcohol_34,60.0,60.0,120.0,120.0
alcohol_35,60.0,60.0,120.0,120.0
alcohol_36,60.0,60.0,120.0,120.0
alcohol_37,60.0,60.0,120.0,120.0
alcohol_38,60.0,60.0,120.0,120.0
alcohol_39,59.40585,60.0,70.0,70.0
alcohol_4,60.0,60.0,120.0,120.0
alcohol_40,59.3991,60.0,70.0,70.0
alcohol_41,59.40585,60.0,70.0,70.0
alcohol_42,59.4108,60.0,70.0,70.0
alcohol_43,59.4117,60.0,70.0,70.0
alcohol_44,59.40585,60.0,70.0,70.0
alcohol_45,59.40585,60.0,70.0,70.0
alcohol_46,59.40630000000001,60.0,70.0,70.0
alcohol_47,59.291999999999994,60.0,70.0,70.0
alcohol_48,57.233250000000005,60.0,65.0,65.0
alcohol_49,57.12525,60.0,65.0,65.0
alcohol_5,60.0,60.0,120.0,120.0
alcohol_50,57.233250000000005,60.0,65.0,65.0
alcohol_51,57.11985000000001,60.0,65.0,65.0
alcohol_52,60.0,60.0,120.0,120.0
alcohol_53,60.0,60.0,120.0,120.0
alcohol_54,60.0,60.0,120.0,120.0
alcohol_55,60.0,60.0,120.0,120.0
alcohol_56,60.0,60.0,120.0,120.0
alcohol_57,60.0,60.0,120.0,120.0
alcohol_58,60.0,60.0,120.0,120.0
alcohol_59,60.0,60.0,120.0,120.0
alcohol_6,60.0,60.0,120.0,120.0
alcohol_60,60.0,60.0,120.0,120.0
alcohol_61,60.0,60.0,120.0,120.0
alcohol_62,60.0,60.0,120.0,120.0
alcohol_63,60.0,60.0,120.0,120.0
alcohol_64,60.0,60.0,120.0,120.0
alcohol_65,60.0,60.0,120.0,120.0
alcohol_66,60.0,60.0,120.0,120.0
