sample_id,path,label,duration_s,collection_date,distance_cm,wind_level,total_seconds,n_rows
air_1,D:\datasets\enose_export\enose_data\air\air_1.csv,air,180,2026-05-14,0.0,1,181.929,719
air_10,D:\datasets\enose_export\enose_data\air\air_10.csv,air,180,2026-05-21,0.0,1,181.947,719
air_11,D:\datasets\enose_export\enose_data\air\air_11.csv,air,180,2026-05-21,0.0,1,181.946,719
air_12,D:\datasets\enose_export\enose_data\air\air_12.csv,air,180,2026-05-22,0.0,1,181.929,719
air_13,D:\datasets\enose_export\enose_data\air\air_13.csv,air,180,2026-05-22,0.0,1,181.93,719
air_14,D:\datasets\enose_export\enose_data\air\air_14.csv,air,180,2026-05-24,0.0,2,181.93,719
air_15,D:\datasets\enose_export\enose_data\air\air_15.csv,air,180,2026-05-24,0.0,2,181.946,719
air_16,D:\datasets\enose_export\enose_data\air\air_16.csv,air,130,2026-05-26,0.0,1,132.013,522
air_17,D:\datasets\enose_export\enose_data\air\air_17.csv,air,130,2026-05-26,0.0,1,132.025,522
air_18,D:\datasets\enose_export\enose_data\air\air_18.csv,air,130,2026-05-27,0.0,1,132.014,522
air_19,D:\datasets\enose_export\enose_data\air\air_19.csv,air,130,2026-05-27,0.0,2,132.025,522
air_2,D:\datasets\enose_export\enose_data\air\air_2.csv,air,180,2026-05-15,0.0,1,181.946,719
air_20,D:\datasets\enose_export\enose_data\air\air_20.csv,air,125,2026-05-28,0.0,2,127.183,503
air_21,D:\datasets\enose_export\enose_data\air\air_21.csv,air,125,2026-05-28,0.0,2,126.945,502
air_22,D:\datasets\enose_export\enose_data\air\air_22.csv,air,180,2026-05-29,0.0,3,111.224,440
air_23,D:\datasets\enose_export\enose_data\air\air_23.csv,air,180,2026-05-29,0.0,3.0,180.643,715
air_24,D:\datasets\enose_export\enose_data\air\air_24.csv,air,180,2026-05-30,0.0,2,181.929,719
air_25,D:\datasets\enose_export\enose_data\air\air_25.csv,air,180,2026-05-30,0.0,2,181.909,719
air_26,D:\datasets\enose_export\enose_data\air\air_26.csv,air,180,2026-05-30,0.0,2,181.928,719
air_27,D:\datasets\enose_export\enose_data\air\air_27.csv,air,180,2026-05-30,0.0,1,181.929,719
air_28,D:\datasets\enose_export\enose_data\air\air_28.csv,air,180,2026-05-30,0.0,1,182.183,720
air_29,D:\datasets\enose_export\enose_data\air\air_29.csv,air,180,2026-05-31,0.0,1,181.93,719
air_3,D:\datasets\enose_export\enose_data\air\air_3.csv,air,180,2026-05-15,0.0,1,182.184,720
air_30,D:\datasets\enose_export\enose_data\air\air_30.csv,air,180,2026-05-31,0.0,1,182.183,720
air_31,D:\datasets\enose_export\enose_data\air\air_31.csv,air,180,2026-05-31,0.0,1,181.93,719
air_32,D:\datasets\enose_export\enose_data\air\air_32.csv,air,180,2026-05-31,0.0,1,181.929,719
air_33,D:\datasets\enose_export\enose_data\air\air_33.csv,air,180,2026-05-31,0.0,1,182.2,720
air_34,D:\datasets\enose_export\enose_data\air\air_34.csv,air,180,2026-05-31,0.0,1,181.946,719
air_35,D:\datasets\enose_export\enose_data\air\air_35.csv,air,180,2026-06-01,0.0,2,181.91,719
air_36,D:\datasets\enose_export\enose_data\air\air_36.csv,air,180,2026-06-01,0.0,2,181.91,719
air_37,D:\datasets\enose_export\enose_data\air\air_37.csv,air,180,2026-06-01,0.0,2,181.676,718
air_38,D:\datasets\enose_export\enose_data\air\air_38.csv,air,180,2026-06-01,0.0,2,181.91,719
air_39,D:\datasets\enose_export\enose_data\air\air_39.csv,air,180,2026-06-01,0.0,2,181.947,719
air_4,D:\datasets\enose_export\enose_data\air\air_4.csv,air,180,2026-05-15,0.0,1,181.945,719
air_40,D:\datasets\enose_export\enose_data\air\air_40.csv,air,180,2026-06-01,0.0,2,181.947,719
air_41,D:\datasets\enose_export\enose_data\air\air_41.csv,air,180,2026-06-01,0.0,1,181.909,719
air_42,D:\datasets\enose_export\enose_data\air\air_42.csv,air,180,2026-06-01,0.0,1,181.911,719
air_43,D:\datasets\enose_export\enose_data\air\air_43.csv,air,180,2026-06-02,0.0,1,182.163,720
air_44,D:\datasets\enose_export\enose_data\air\air_44.csv,air,180,2026-06-02,0.0,1,181.929,719
air_45,D:\datasets\enose_export\enose_data\air\air_45.csv,air,180,2026-06-04,0.0,1,182.182,720
air_46,D:\datasets\enose_export\enose_data\air\air_46.csv,air,180,2026-06-04,0.0,1,182.183,720
air_47,D:\datasets\enose_export\enose_data\air\air_47.csv,air,180,2026-06-04,0.0,1,182.184,720
air_48,D:\datasets\enose_export\enose_data\air\air_48.csv,air,180,2026-06-04,0.0,1.0,159.125,630
air_49,D:\datasets\enose_export\enose_data\air\air_49.csv,air,180,2026-06-05,0.0,1,182.183,720
air_5,D:\datasets\enose_export\enose_data\air\air_5.csv,air,180,2026-05-19,0.0,1,181.93,719
air_50,D:\datasets\enose_export\enose_data\air\air_50.csv,air,180,2026-06-05,0.0,1,181.93,719
air_51,D:\datasets\enose_export\enose_data\air\air_51.csv,air,180,2026-06-05,0.0,1,181.93,719
air_52,D:\datasets\enose_export\enose_data\air\air_52.csv,air,180,2026-06-05,0.0,1,181.93,719
air_6,D:\datasets\enose_export\enose_data\air\air_6.csv,air,180,2026-05-19,0.0,1,181.929,719
air_7,D:\datasets\enose_export\enose_data\air\air_7.csv,air,180,2026-05-20,0.0,1,181.945,719
air_8,D:\datasets\enose_export\enose_data\air\air_8.csv,air,180,2026-05-20,0.0,1,181.947,719
air_9,D:\datasets\enose_export\enose_data\air\air_9.csv,air,180,2026-05-21,0.0,1,181.93,719
alcohol_1,D:\datasets\enose_export\enose_data\alcohol\alcohol_1.csv,alcohol,180,2026-05-14,8.0,1,181.93,719
alcohol_10,D:\datasets\enose_export\enose_data\alcohol\alcohol_10.csv,alcohol,180,2026-05-15,8.0,1,181.946,719
alcohol_11,D:\datasets\enose_export\enose_data\alcohol\alcohol_11.csv,alcohol,180,2026-05-19,8.0,1,182.183,720
alcohol_12,D:\datasets\enose_export\enose_data\alcohol\alcohol_12.csv,alcohol,180,2026-05-19,8.0,1,182.183,720
alcohol_13,D:\datasets\enose_export\enose_data\alcohol\alcohol_13.csv,alcohol,180,2026-05-19,8.0,1,181.93,719
alcohol_14,D:\datasets\enose_export\enose_data\alcohol\alcohol_14.csv,alcohol,180,2026-05-19,8.0,1,181.929,719
alcohol_15,D:\datasets\enose_export\enose_data\alcohol\alcohol_15.csv,alcohol,180,2026-05-19,8.0,1,181.929,719
alcohol_16,D:\datasets\enose_export\enose_data\alcohol\alcohol_16.csv,alcohol,180,2026-05-20,5.0,1,181.946,719
alcohol_17,D:\datasets\enose_export\enose_data\alcohol\alcohol_17.csv,alcohol,180,2026-05-20,5.0,1,182.2,720
alcohol_18,D:\datasets\enose_export\enose_data\alcohol\alcohol_18.csv,alcohol,180,2026-05-20,5.0,1,182.199,720
alcohol_19,D:\datasets\enose_export\enose_data\alcohol\alcohol_19.csv,alcohol,180,2026-05-20,5.0,1,181.947,719
alcohol_2,D:\datasets\enose_export\enose_data\alcohol\alcohol_2.csv,alcohol,180,2026-05-14,8.0,1,181.93,719
alcohol_20,D:\datasets\enose_export\enose_data\alcohol\alcohol_20.csv,alcohol,180,2026-05-20,8.0,1,181.946,719
alcohol_21,D:\datasets\enose_export\enose_data\alcohol\alcohol_21.csv,alcohol,180,2026-05-21,10.0,1,181.93,719
alcohol_22,D:\datasets\enose_export\enose_data\alcohol\alcohol_22.csv,alcohol,180,2026-05-21,10.0,1,181.946,719
alcohol_23,D:\datasets\enose_export\enose_data\alcohol\alcohol_23.csv,alcohol,180,2026-05-21,10.0,1,181.946,719
alcohol_24,D:\datasets\enose_export\enose_data\alcohol\alcohol_24.csv,alcohol,180,2026-05-21,10.0,1,181.946,719
alcohol_25,D:\datasets\enose_export\enose_data\alcohol\alcohol_25.csv,alcohol,180,2026-05-21,8.0,1,181.946,719
alcohol_26,D:\datasets\enose_export\enose_data\alcohol\alcohol_26.csv,alcohol,180,2026-05-21,8.0,1,181.945,719
alcohol_27,D:\datasets\enose_export\enose_data\alcohol\alcohol_27.csv,alcohol,180,2026-05-22,8.0,1,182.162,720
alcohol_28,D:\datasets\enose_export\enose_data\alcohol\alcohol_28.csv,alcohol,180,2026-05-22,10.0,1,182.183,720
alcohol_29,D:\datasets\enose_export\enose_data\alcohol\alcohol_29.csv,alcohol,180,2026-05-22,10.0,1,181.93,719
alcohol_3,D:\datasets\enose_export\enose_data\alcohol\alcohol_3.csv,alcohol,180,2026-05-14,8.0,1,182.183,720
alcohol_30,D:\datasets\enose_export\enose_data\alcohol\alcohol_30.csv,alcohol,180,2026-05-22,10.0,1,182.183,720
alcohol_31,D:\datasets\enose_export\enose_data\alcohol\alcohol_31.csv,alcohol,180,2026-05-22,5.0,1,182.2,720
alcohol_32,D:\datasets\enose_export\enose_data\alcohol\alcohol_32.csv,alcohol,180,2026-05-22,5.0,1,181.91,719
alcohol_33,D:\datasets\enose_export\enose_data\alcohol\alcohol_33.csv,alcohol,180,2026-05-23,5.0,1,181.929,719
alcohol_34,D:\datasets\enose_export\enose_data\alcohol\alcohol_34.csv,alcohol,180,2026-05-23,8.0,1,181.929,719
alcohol_35,D:\datasets\enose_export\enose_data\alcohol\alcohol_35.csv,alcohol,180,2026-05-23,10.0,1,181.93,719
alcohol_36,D:\datasets\enose_export\enose_data\alcohol\alcohol_36.csv,alcohol,180,2026-05-24,8.0,2,182.183,720
alcohol_37,D:\datasets\enose_export\enose_data\alcohol\alcohol_37.csv,alcohol,180,2026-05-24,8.0,2,182.183,720
alcohol_38,D:\datasets\enose_export\enose_data\alcohol\alcohol_38.csv,alcohol,180,2026-05-24,8.0,2,182.185,720
alcohol_39,D:\datasets\enose_export\enose_data\alcohol\alcohol_39.csv,alcohol,130,2026-05-26,8.0,1,132.013,522
alcohol_4,D:\datasets\enose_export\enose_data\alcohol\alcohol_4.csv,alcohol,180,2026-05-14,8.0,1,182.2,720
alcohol_40,D:\datasets\enose_export\enose_data\alcohol\alcohol_40.csv,alcohol,130,2026-05-26,8.0,1,131.998,522
alcohol_41,D:\datasets\enose_export\enose_data\alcohol\alcohol_41.csv,alcohol,130,2026-05-26,8.0,1,132.013,522
alcohol_42,D:\datasets\enose_export\enose_data\alcohol\alcohol_42.csv,alcohol,130,2026-05-26,8.0,1,132.024,522
alcohol_43,D:\datasets\enose_export\enose_data\alcohol\alcohol_43.csv,alcohol,130,2026-05-26,8.0,1,132.026,522
alcohol_44,D:\datasets\enose_export\enose_data\alcohol\alcohol_44.csv,alcohol,130,2026-05-27,8.0,2,132.013,522
alcohol_45,D:\datasets\enose_export\enose_data\alcohol\alcohol_45.csv,alcohol,130,2026-05-27,8.0,2,132.013,522
alcohol_46,D:\datasets\enose_export\enose_data\alcohol\alcohol_46.csv,alcohol,130,2026-05-27,8.0,2,132.014,522
alcohol_47,D:\datasets\enose_export\enose_data\alcohol\alcohol_47.csv,alcohol,130,2026-05-27,8.0,2,131.76,521
alcohol_48,D:\datasets\enose_export\enose_data\alcohol\alcohol_48.csv,alcohol,125,2026-05-28,8.0,2,127.185,503
alcohol_49,D:\datasets\enose_export\enose_data\alcohol\alcohol_49.csv,alcohol,125,2026-05-28,8.0,2,126.945,502
alcohol_5,D:\datasets\enose_export\enose_data\alcohol\alcohol_5.csv,alcohol,180,2026-05-14,8.0,1,182.2,720
alcohol_50,D:\datasets\enose_export\enose_data\alcohol\alcohol_50.csv,alcohol,125,2026-05-28,8.0,2,127.185,503
alcohol_51,D:\datasets\enose_export\enose_data\alcohol\alcohol_51.csv,alcohol,125,2026-05-28,8.0,2,126.933,502
alcohol_52,D:\datasets\enose_export\enose_data\alcohol\alcohol_52.csv,alcohol,180,2026-05-29,10.0,3,181.909,719
alcohol_53,D:\datasets\enose_export\enose_data\alcohol\alcohol_53.csv,alcohol,180,2026-05-29,10.0,3,182.18,720
alcohol_54,D:\datasets\enose_export\enose_data\alcohol\alcohol_54.csv,alcohol,180,2026-05-29,10.0,3,182.183,720
alcohol_55,D:\datasets\enose_export\enose_data\alcohol\alcohol_55.csv,alcohol,180,2026-05-29,10.0,3,182.182,720
alcohol_56,D:\datasets\enose_export\enose_data\alcohol\alcohol_56.csv,alcohol,180,2026-05-30,8.0,1,181.909,719
alcohol_57,D:\datasets\enose_export\enose_data\alcohol\alcohol_57.csv,alcohol,180,2026-05-30,8.0,1,182.183,720
