split,task,variant,space,label,domain,partition,period,day,day_num,target_file,x,y
S1_train_I_test_all,three_class_with_air,CDAN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 1 afternoon,1,acetone\acetone_o1.csv,-14.29697276054982,-2.839141335634642
S1_train_I_test_all,three_class_with_air,CDAN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 1 afternoon,1,acetone\acetone_o2.csv,-4.233527989575168,1.8872590131366067
S1_train_I_test_all,three_class_with_air,CDAN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 1 afternoon,1,acetone\acetone_o3.csv,35.43918023667504,-8.345947792061597
S1_train_I_test_all,three_class_with_air,CDAN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 2 noon,2,acetone\acetone_o4.csv,210.6342274157502,-8.818701648951034
S1_train_I_test_all,three_class_with_air,CDAN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 2 noon,2,acetone\acetone_o5.csv,159.86636054919026,-2.4760306871893327
S1_train_I_test_all,three_class_with_air,CDAN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 2 noon,2,acetone\acetone_o6.csv,74.30768018083955,-11.995247698680517
S1_train_I_test_all,three_class_with_air,CDAN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 2 afternoon,2,acetone\acetone_o7.csv,-5.418709470114715,2.8266583528638214
S1_train_I_test_all,three_class_with_air,CDAN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 2 afternoon,2,acetone\acetone_o8.csv,-5.580457503353296,-7.069833047068742
S1_train_I_test_all,three_class_with_air,CDAN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 2 afternoon,2,acetone\acetone_o9.csv,94.07817336145415,8.267854355010996
S1_train_I_test_all,three_class_with_air,CDAN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 3 noon,3,acetone\acetone_o10.csv,20.438851870848392,-1.227392608610804
S1_train_I_test_all,three_class_with_air,CDAN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 3 noon,3,acetone\acetone_o11.csv,38.99453853839995,-15.675059892779863
S1_train_I_test_all,three_class_with_air,CDAN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 3 noon,3,acetone\acetone_o12.csv,253.15396351735424,8.281882027336417
S1_train_I_test_all,three_class_with_air,CDAN-UDA,learned latent PCA,air,source,source_train,Period_I,baseline,0,air\baseline_1.csv,-14.260088153168608,12.614470060403622
