split,description,task,variant,lambda,conditional_alignment_strength,seed,classifier_label_usage,domain_label_usage,model_selection_labels,selection_status,best_epoch,feature_extractor_objective,condition_map,classifier_train_n,source_train_n,source_val_n,target_labeled_train_n,target_domain_n,target_validation_n,target_test_n,train_test_accuracy_gap,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,domain_discriminator_accuracy,L_last,Ld_last,Ld_cdan_last,Lc_last,backward_loss_scalar_last,representative_seed,seed_values,seed_count,seed_policy,judgment,best_epoch_std,L_last_std,Ld_last_std,Ld_cdan_last_std,Lc_last_std,backward_loss_scalar_last_std,train_accuracy_std,validation_accuracy_std,test_accuracy_std,train_balanced_accuracy_std,validation_balanced_accuracy_std,test_balanced_accuracy_std,train_macro_f1_std,validation_macro_f1_std,test_macro_f1_std,train_test_accuracy_gap_std,domain_discriminator_accuracy_std,best_epoch_min,best_epoch_max,L_last_min,L_last_max,Ld_last_min,Ld_last_max,Ld_cdan_last_min,Ld_cdan_last_max,Lc_last_min,Lc_last_max,backward_loss_scalar_last_min,backward_loss_scalar_last_max,train_accuracy_min,train_accuracy_max,validation_accuracy_min,validation_accuracy_max,test_accuracy_min,test_accuracy_max,train_balanced_accuracy_min,train_balanced_accuracy_max,validation_balanced_accuracy_min,validation_balanced_accuracy_max,test_balanced_accuracy_min,test_balanced_accuracy_max,train_macro_f1_min,train_macro_f1_max,validation_macro_f1_min,validation_macro_f1_max,test_macro_f1_min,test_macro_f1_max,train_test_accuracy_gap_min,train_test_accuracy_gap_max,domain_discriminator_accuracy_min,domain_discriminator_accuracy_max
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,,0,source labels only,source/target domain labels only; gas labels not used for domain losses,no validation; fixed hyperparameters,fixed hyperparameters because the split has no validation set; metrics averaged over seeds,400.0,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,0,273,0.2095238095238095,1.0,,0.7904761904761903,1.0,,0.7934156378600822,1.0,,0.7922023463517256,0.9016501650165016,0.0014101399130595383,0.0,0.3034035682678223,0.0,0.30481370687484743,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,fixed hyperparameters because the split has no validation set; metrics averaged over seeds,0.0,0.002660763935876236,0.0,0.03797798647554984,0.0,0.040577337430153286,0.0,,0.04481756459833782,0.0,,0.04182430140648328,0.0,,0.041934937116227096,0.04481756459833782,0.0036153304125753367,400,400,1.758556390996091e-05,0.006158812437206507,0.0,0.0,0.2745550274848938,0.36902883648872375,0.0,0.0,0.27478092908859253,0.37518763542175293,1.0,1.0,,,0.7106227106227107,0.8168498168498168,1.0,1.0,,,0.719264403292181,0.8180298353909464,1.0,1.0,,,0.7175916262125096,0.8179371353284397,0.18315018315018317,0.28937728937728935,0.8976897689768977,0.9042904290429042
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,CDAN+C-DANN-UDA,0.2,0.2,0,source labels only,source/target domain labels only; gas labels not used for domain losses,no validation; fixed hyperparameters,fixed hyperparameters because the split has no validation set; metrics averaged over seeds,400.0,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,0,273,0.11794871794871797,1.0,,0.8820512820512821,1.0,,0.8786779835390949,1.0,,0.8838008803800849,0.9009900990099011,0.0014903621864505111,0.320854127407074,0.31744375824928284,0.009646980557590723,0.6417176365852356,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,fixed hyperparameters because the split has no validation set; metrics averaged over seeds,0.0,0.0010430430381095212,0.0026027878602954344,0.0038487527632129334,0.0018462343557027936,0.006920403296089285,0.0,,0.007506923638065613,0.0,,0.007320426061396165,0.0,,0.007248125481070814,0.007506923638065613,1.2412670766236366e-16,400,400,0.0005548581830225885,0.002812554594129324,0.31830736994743347,0.32480645179748535,0.3135431110858917,0.32348114252090454,0.0077353878878057,0.011630172841250896,0.6357932090759277,0.6534261703491211,1.0,1.0,,,0.8754578754578755,0.8901098901098901,1.0,1.0,,,0.8722993827160493,0.887474279835391,1.0,1.0,,,0.8766300670323224,0.8917762902322233,0.10989010989010994,0.12454212454212454,0.900990099009901,0.900990099009901
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.5,,0,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",243.0,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.25365567765567765,0.976,0.9199999999999999,0.7223443223443223,0.9733333333333334,0.9333333333333333,0.7276748971193415,0.9731986531986532,0.9199999999999999,0.7197555904860167,0.9167785234899328,0.06672173547267449,0.0,0.29328222274780275,0.0,0.36000395715236666,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",173.44307423474712,0.14710092083515616,0.0,0.09883169956397692,0.0,0.2379848424519088,0.05366563145999495,0.1095445115010332,0.06845016045009863,0.059628479399994376,0.09128709291752767,0.06541792535900368,0.05992963333635795,0.11066577420434431,0.07065770568470264,0.06328495006875398,0.006454826866332674,15,400,0.0001735744153847918,0.3298613429069519,0.0,0.0,0.21320384740829468,0.44664764404296875,0.0,0.0,0.21337741613388062,0.7765089869499207,0.88,1.0,0.8,1.0,0.663003663003663,0.8388278388278388,0.8666666666666667,1.0,0.8333333333333334,1.0,0.6715534979423868,0.8388631687242798,0.8659932659932661,1.0,0.7777777777777777,1.0,0.6476983194374498,0.8367114958684727,0.16117216117216115,0.315018315018315,0.9093959731543624,0.9261744966442953
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN+C-DANN-UDA,0.2,0.2,0,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",188.0,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.18051282051282053,0.96,0.9199999999999999,0.7794871794871796,0.9600000000000002,0.9333333333333333,0.7829989711934157,0.9564252511620932,0.9199999999999999,0.7738889531544029,0.9174496644295301,0.16822117576375603,0.3405078947544098,0.31594454646110537,0.07826559357345104,0.8403267502784729,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",134.33167906342868,0.3698246807332674,0.12082992811071346,0.08885504301751189,0.046886729082238454,0.581562769256025,0.08944271909999157,0.1095445115010332,0.0964768688902327,0.0894427190999915,0.09128709291752767,0.08902579951594651,0.0974361005040394,0.1106657742043443,0.10871539006808548,0.0618702897278627,0.0030014335268453507,5,295,0.0008597259875386953,0.8297672867774963,0.2790219187736511,0.5564929246902466,0.2561706006526947,0.47345107793807983,0.01871306635439396,0.14240531623363495,0.5709791779518127,1.8805228471755981,0.8,1.0,0.8,1.0,0.6446886446886447,0.8791208791208791,0.8000000000000002,1.0,0.8333333333333334,1.0,0.6599794238683128,0.8764146090534979,0.7821262558104664,1.0,0.7777777777777777,1.0,0.6171464304860171,0.8827864323319679,0.1208791208791209,0.28205128205128205,0.9161073825503355,0.9228187919463087
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,,0,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",98.0,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",20,20,10,0,273,0,273,0.25479853479853476,0.9200000000000002,0.7200000000000001,0.6652014652014653,0.925,0.6833333333333332,0.6727366255144033,0.9118783068783067,0.6804761904761905,0.6631784677340999,0.9296928327645052,0.26604440428782256,0.0,0.32838003635406493,0.0,0.5944244414567947,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",118.66970969881068,0.3254598802791882,0.0,0.10153738355427881,0.0,0.4250538361343437,0.09082951062292474,0.044721359549995836,0.062410961144275336,0.08539125638299665,0.03726779962499652,0.05875871383018144,0.09732611516922654,0.04214925867341839,0.06316758890233036,0.03684538347481891,0.004578978793514897,5,240,0.0007656338857486844,0.7573165893554688,0.0,0.0,0.2312483787536621,0.4904424846172333,0.0,0.0,0.2320140153169632,1.2477591037750244,0.8,1.0,0.7,0.8,0.5787545787545788,0.717948717948718,0.8333333333333334,1.0,0.6666666666666666,0.75,0.5936213991769547,0.7287808641975309,0.7936507936507936,1.0,0.6518518518518519,0.7486772486772487,0.5721595681965828,0.7096990745285413,0.22124542124542124,0.29670329670329665,0.9215017064846417,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN+C-DANN-UDA,0.5,0.05,0,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",141.0,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",20,20,10,0,273,0,273,0.1980952380952381,0.96,0.74,0.761904761904762,0.9666666666666666,0.7333333333333333,0.7660751028806583,0.9555555555555555,0.7066666666666667,0.764212157191748,0.9303754266211604,0.191588875092566,0.32724055647850037,0.28242509365081786,0.6862922817468643,0.835569155216217,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",154.53155017665486,0.2449165773579686,0.09604633060873484,0.05564578115276937,0.5986439070603227,0.42146487431656965,0.0547722557505166,0.05477225575051666,0.10625867915282264,0.04564354645876387,0.09128709291752773,0.10095787116137554,0.06085806194501843,0.06861354771501871,0.10539257801029005,0.07538466878115134,0.0018693602645227182,10,390,0.002090416382998228,0.46129393577575684,0.24643230438232422,0.4538629949092865,0.2305395007133484,0.34506452083587646,0.1686149388551712,1.6391887664794922,0.49739938974380493,1.3019932508468628,0.9,1.0,0.7,0.8,0.6336996336996337,0.8974358974358975,0.9166666666666666,1.0,0.6666666666666666,0.8333333333333334,0.643775720164609,0.8957047325102879,0.888888888888889,1.0,0.6518518518518519,0.7851851851851852,0.6364121340582246,0.8980079071466499,0.10256410256410253,0.28205128205128205,0.9283276450511946,0.931740614334471
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,CDAN-UDA,0.05,,0,source labels only,source/target domain labels only; gas labels not used for domain losses,target validation labels,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",285.0,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,28,245,0.2187755102040816,1.0,0.9214285714285715,0.7812244897959183,1.0,0.9266666666666665,0.7849315068493151,1.0,0.92033413897191,0.7784476898784773,0.9102310231023102,0.015083900035824627,0.0,0.2762912482023239,0.0,0.2913751482963562,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",78.66066361276137,0.032293459863121356,0.0,0.02436004753361976,0.0,0.050783683070813435,0.0,0.02988071523335983,0.017697537460145976,0.0,0.027888667551135834,0.018055956035420623,0.0,0.029682545279260716,0.020310450074663863,0.017697537460145973,0.007879429957962586,155,350,4.805510980077088e-05,0.0728411078453064,0.0,0.0,0.2432183176279068,0.3020854890346527,0.0,0.0,0.2440272867679596,0.3749265968799591,1.0,1.0,0.8928571428571429,0.9642857142857143,0.763265306122449,0.8,1.0,1.0,0.9,0.9666666666666667,0.7655304237018159,0.8066263141127749,1.0,1.0,0.8912655971479501,0.9628482972136223,0.75637507920348,0.8016653016653016,0.19999999999999996,0.23673469387755097,0.8976897689768977,0.9174917491749175
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,CDAN+C-DANN-UDA,0.2,0.2,0,source labels only,source/target domain labels only; gas labels not used for domain losses,target validation labels,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",76.0,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,28,245,0.15102040816326529,1.0,0.9785714285714286,0.8489795918367348,1.0,0.9800000000000001,0.8483062546458532,1.0,0.9777089783281735,0.8502490759349289,0.9016501650165016,0.007877682289108633,0.33545395731925964,0.318116694688797,0.05732090771198273,0.6729125261306763,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",38.47076812334269,0.0042963263462882945,0.005673312789637671,0.01375172466745861,0.018258462220284648,0.01884728715055813,0.0,0.01956151991089878,0.032525260103080066,0.0,0.018257418583505533,0.031127508249942034,0.0,0.020348825665826596,0.032754285712570455,0.032525260103080066,0.0014759524603958692,45,135,0.003442323999479413,0.01345077808946371,0.3291463255882263,0.3444203734397888,0.3067418932914734,0.3415886461734772,0.037125106900930405,0.08108725398778915,0.6547701954841614,0.7046428918838501,1.0,1.0,0.9642857142857143,1.0,0.7959183673469388,0.8775510204081632,1.0,1.0,0.9666666666666667,1.0,0.7972284166932143,0.8754380375915897,1.0,1.0,0.9628482972136223,1.0,0.7972593313254174,0.8802462415045319,0.12244897959183676,0.20408163265306123,0.900990099009901,0.9042904290429042
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,three_class_with_air,CDAN-UDA,0.5,,0,source labels only,source/target domain labels only; gas labels not used for domain losses,target validation labels,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",228.0,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,16,273,26,231,0.21558441558441555,1.0,0.8846153846153847,0.7844155844155845,1.0,0.8733333333333334,0.7859008767221327,1.0,0.8819278763443524,0.7878065125834552,0.9023102310231023,0.0009565777261741459,0.0,0.29176859855651854,0.0,0.2927251696586609,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",127.21045554513198,0.001127967126826483,0.0,0.034028894323225,0.0,0.03419775386511036,0.0,0.07195494974565274,0.043441294214033255,0.0,0.06876332643007028,0.04077962239513869,0.0,0.06858026379419949,0.03965563460672553,0.043441294214033255,0.00828376263895122,80,380,0.00010348785144742578,0.0026001748628914356,0.0,0.0,0.2642329931259155,0.3495567739009857,0.0,0.0,0.2668331563472748,0.3512308895587921,1.0,1.0,0.8076923076923077,0.9615384615384616,0.7402597402597403,0.8311688311688312,1.0,1.0,0.7888888888888889,0.9444444444444445,0.743782429772768,0.8302021828591877,1.0,1.0,0.802135774218154,0.9538239538239538,0.7468264156325776,0.8342032967032967,0.16883116883116878,0.2597402597402597,0.8910891089108911,0.9141914191419142
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,three_class_with_air,CDAN-semi,0.5,,0,source labels + selected target labels,source/target domain labels only; gas labels not used for domain losses,target validation labels,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",120.0,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",46,30,0,16,273,26,231,0.14108789760963675,0.9913043478260869,0.9692307692307691,0.8502164502164502,0.9921568627450981,0.9733333333333333,0.8517444981213098,0.9913915626856802,0.9654520917678813,0.8506959302161242,0.9036303630363036,0.04821951019694097,0.0,0.3700787305831909,0.0,0.4182982385158539,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",92.46621004453465,0.07829383515053165,0.0,0.10953777339658044,0.0,0.1314132739680102,0.019444069369563378,0.017200522903844526,0.02535333413739623,0.017537788058821866,0.014907119849998594,0.02392775005843231,0.019249051014864484,0.019312867821860515,0.025653254810688537,0.036873500358256234,0.010795661540459498,20,230,0.0003602478827815503,0.18153424561023712,0.0,0.0,0.2737366557121277,0.555449903011322,0.0,0.0,0.27409690618515015,0.5563652515411377,0.9565217391304348,1.0,0.9615384615384616,1.0,0.8095238095238095,0.8744588744588745,0.9607843137254902,1.0,0.9666666666666667,1.0,0.8139202003936304,0.8756485954553588,0.9569578134284017,1.0,0.9568151147098516,1.0,0.8097020081428171,0.8769589883348073,0.09072087332956902,0.19047619047619047,0.8910891089108911,0.9207920792079208
