epoch,L,Ld,Ld_cdan,Lc,backward_loss_scalar,train_accuracy,validation_accuracy,test_accuracy,domain_discriminator_accuracy,split,task,variant,lambda,conditional_alignment_strength,seed
1,1.121538758277893,0.0,0.5977647304534912,0.0,1.7193034887313843,0.5666666666666667,,0.3956043956043956,0.900990099009901,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
5,0.8422924876213074,0.0,0.48439034819602966,0.0,1.3266828060150146,0.6333333333333333,,0.63003663003663,0.900990099009901,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
10,0.6554943323135376,0.0,0.38217678666114807,0.0,1.0376710891723633,0.6,,0.6446886446886447,0.900990099009901,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
15,0.47382110357284546,0.0,0.3717338442802429,0.0,0.8455549478530884,0.8,,0.706959706959707,0.900990099009901,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
20,0.3095880448818207,0.0,0.35657575726509094,0.0,0.6661638021469116,0.9,,0.73992673992674,0.900990099009901,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
25,0.15709061920642853,0.0,0.3412913382053375,0.0,0.49838197231292725,0.9666666666666667,,0.73992673992674,0.900990099009901,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
30,0.06743063777685165,0.0,0.31911852955818176,0.0,0.386549174785614,1.0,,0.706959706959707,0.9042904290429042,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
35,0.06324084103107452,0.0,0.31487974524497986,0.0,0.3781206011772156,1.0,,0.7326007326007326,0.9108910891089109,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
40,0.04825575277209282,0.0,0.3260071277618408,0.0,0.37426286935806274,1.0,,0.7142857142857143,0.9042904290429042,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
45,0.02095365896821022,0.0,0.30623525381088257,0.0,0.3271889090538025,1.0,,0.7216117216117216,0.9108910891089109,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
50,0.002749029779806733,0.0,0.3382437825202942,0.0,0.34099280834198,1.0,,0.7326007326007326,0.8943894389438944,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
55,0.009248790331184864,0.0,0.35345229506492615,0.0,0.36270108819007874,1.0,,0.7362637362637363,0.9042904290429042,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
60,0.0051615918055176735,0.0,0.315976083278656,0.0,0.3211376667022705,1.0,,0.73992673992674,0.900990099009901,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
65,0.005502589046955109,0.0,0.25731709599494934,0.0,0.26281967759132385,1.0,,0.7326007326007326,0.9240924092409241,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
70,0.002435618545860052,0.0,0.23253540694713593,0.0,0.2349710315465927,1.0,,0.7326007326007326,0.9141914191419142,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
75,0.00045202262117527425,0.0,0.23341797292232513,0.0,0.2338699996471405,1.0,,0.7252747252747253,0.9075907590759076,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
80,0.0008791758446022868,0.0,0.27204012870788574,0.0,0.27291929721832275,1.0,,0.717948717948718,0.8844884488448845,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
85,0.002121112309396267,0.0,0.30679893493652344,0.0,0.3089200556278229,1.0,,0.7142857142857143,0.8811881188118812,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
90,0.0030882363207638264,0.0,0.33056485652923584,0.0,0.3336530923843384,1.0,,0.717948717948718,0.8745874587458746,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
95,0.0005781488725915551,0.0,0.3916623294353485,0.0,0.3922404646873474,1.0,,0.6923076923076923,0.8745874587458746,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
100,0.00484069949015975,0.0,0.3709842562675476,0.0,0.3758249580860138,1.0,,0.6776556776556777,0.8778877887788779,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
105,0.0005357395275495946,0.0,0.2898437976837158,0.0,0.29037952423095703,1.0,,0.673992673992674,0.9042904290429042,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
110,0.000518015178386122,0.0,0.25223737955093384,0.0,0.25275540351867676,1.0,,0.6776556776556777,0.9240924092409241,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
115,0.003604333149269223,0.0,0.27015504240989685,0.0,0.2737593650817871,1.0,,0.6776556776556777,0.9108910891089109,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
120,0.001421492313966155,0.0,0.5019906759262085,0.0,0.5034121870994568,1.0,,0.684981684981685,0.8118811881188119,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
125,0.0068272133357822895,0.0,0.5172471404075623,0.0,0.524074375629425,1.0,,0.663003663003663,0.8481848184818482,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
130,0.00455773388966918,0.0,0.28606507182121277,0.0,0.2906228005886078,1.0,,0.6923076923076923,0.9042904290429042,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
135,0.0018294942565262318,0.0,0.342044860124588,0.0,0.34387436509132385,1.0,,0.7032967032967034,0.9075907590759076,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
140,0.002606175607070327,0.0,0.30931100249290466,0.0,0.31191718578338623,1.0,,0.717948717948718,0.8976897689768977,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
145,0.0003803216677624732,0.0,0.2766990065574646,0.0,0.277079313993454,1.0,,0.7106227106227107,0.8976897689768977,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
150,0.001097124069929123,0.0,0.2660690248012543,0.0,0.2671661376953125,1.0,,0.7106227106227107,0.9075907590759076,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
155,0.0016353869577869773,0.0,0.27750274538993835,0.0,0.27913811802864075,1.0,,0.706959706959707,0.9075907590759076,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
160,9.639253403292969e-05,0.0,0.2526417076587677,0.0,0.2527380883693695,1.0,,0.7362637362637363,0.9042904290429042,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
165,0.00017473216576036066,0.0,0.25308507680892944,0.0,0.2532598078250885,1.0,,0.7216117216117216,0.9075907590759076,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
170,0.0011132130166515708,0.0,0.2550325095653534,0.0,0.256145715713501,1.0,,0.7252747252747253,0.9108910891089109,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
175,0.0003549944667611271,0.0,0.25805795192718506,0.0,0.2584129571914673,1.0,,0.73992673992674,0.9042904290429042,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
180,0.002979171695187688,0.0,0.2522149980068207,0.0,0.25519415736198425,1.0,,0.7289377289377289,0.9042904290429042,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
185,0.02601073682308197,0.0,0.2535564601421356,0.0,0.2795671820640564,1.0,,0.7362637362637363,0.9042904290429042,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
190,0.0028215537313371897,0.0,0.2583344876766205,0.0,0.2611560523509979,1.0,,0.7435897435897436,0.9108910891089109,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
195,0.0021563926711678505,0.0,0.2553176283836365,0.0,0.25747403502464294,1.0,,0.7362637362637363,0.8976897689768977,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
200,0.0005544360028579831,0.0,0.2378179430961609,0.0,0.23837238550186157,1.0,,0.717948717948718,0.900990099009901,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
205,0.00017759320326149464,0.0,0.2461428940296173,0.0,0.24632048606872559,1.0,,0.6959706959706959,0.9075907590759076,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
210,0.0005223497282713652,0.0,0.2717326581478119,0.0,0.272255003452301,1.0,,0.706959706959707,0.9042904290429042,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
215,0.00024154337006621063,0.0,0.26614856719970703,0.0,0.2663901150226593,1.0,,0.7032967032967034,0.8976897689768977,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
220,0.0013790352968499064,0.0,0.2534829378128052,0.0,0.254861980676651,1.0,,0.6996336996336996,0.8976897689768977,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
225,0.0002508345351088792,0.0,0.26514744758605957,0.0,0.2653982937335968,1.0,,0.7509157509157509,0.8976897689768977,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
230,0.09049876034259796,0.0,0.281033456325531,0.0,0.3715322017669678,1.0,,0.7582417582417582,0.8976897689768977,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
235,0.00042412508628331125,0.0,0.27803298830986023,0.0,0.2784571051597595,1.0,,0.7435897435897436,0.9042904290429042,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
240,0.0007213052595034242,0.0,0.2760004699230194,0.0,0.2767217755317688,1.0,,0.7289377289377289,0.900990099009901,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
245,0.0009172415593639016,0.0,0.27469903230667114,0.0,0.27561628818511963,1.0,,0.7362637362637363,0.900990099009901,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
250,0.06037195771932602,0.0,0.27385762333869934,0.0,0.33422958850860596,1.0,,0.73992673992674,0.900990099009901,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
255,0.002074815332889557,0.0,0.28281253576278687,0.0,0.2848873436450958,1.0,,0.7545787545787546,0.9042904290429042,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
260,0.0023695274721831083,0.0,0.27360793948173523,0.0,0.2759774625301361,1.0,,0.7362637362637363,0.9042904290429042,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
265,0.0003178930201102048,0.0,0.2830798327922821,0.0,0.28339773416519165,1.0,,0.7326007326007326,0.8976897689768977,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
270,0.00022497978352475911,0.0,0.3000386655330658,0.0,0.3002636432647705,1.0,,0.6886446886446886,0.900990099009901,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
275,0.009572573937475681,0.0,0.3015146851539612,0.0,0.3110872507095337,1.0,,0.663003663003663,0.9042904290429042,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
280,7.585485582239926e-05,0.0,0.27692514657974243,0.0,0.2770009934902191,1.0,,0.717948717948718,0.900990099009901,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
285,3.276348070357926e-05,0.0,0.2721443474292755,0.0,0.2721771001815796,1.0,,0.7216117216117216,0.8976897689768977,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
290,5.0492319132899866e-05,0.0,0.27774330973625183,0.0,0.2777937948703766,1.0,,0.7252747252747253,0.8943894389438944,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
295,7.514539174735546e-05,0.0,0.2952018082141876,0.0,0.295276939868927,1.0,,0.7216117216117216,0.9042904290429042,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
300,9.147643140750006e-05,0.0,0.2608620524406433,0.0,0.26095351576805115,1.0,,0.7289377289377289,0.9108910891089109,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
305,0.00020068854792043567,0.0,0.25837406516075134,0.0,0.2585747539997101,1.0,,0.7216117216117216,0.900990099009901,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
310,0.00013756386761087924,0.0,0.2521904408931732,0.0,0.2523280084133148,1.0,,0.6959706959706959,0.9141914191419142,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
315,0.00014286738587543368,0.0,0.2540309429168701,0.0,0.25417381525039673,1.0,,0.6996336996336996,0.9207920792079208,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
320,0.00012189656990813091,0.0,0.25668713450431824,0.0,0.2568090260028839,1.0,,0.706959706959707,0.9075907590759076,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
325,0.02210320346057415,0.0,0.2673928141593933,0.0,0.2894960045814514,1.0,,0.7032967032967034,0.9108910891089109,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
330,0.008107929490506649,0.0,0.31007370352745056,0.0,0.3181816339492798,1.0,,0.6923076923076923,0.9042904290429042,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
335,2.263145688630175e-05,0.0,0.2910892367362976,0.0,0.29111185669898987,1.0,,0.6813186813186813,0.9075907590759076,S1_train_I_test_all,three_class_with_air,CDAN-UDA,0.2,,0
