split,description,task,variant,lambda,seed,classifier_label_usage,domain_label_usage,model_selection_labels,best_epoch,L_last,Ld_cdan_last,backward_loss_scalar_last,feature_extractor_objective,condition_map,classifier_train_n,source_train_n,source_val_n,target_labeled_train_n,target_domain_n,target_validation_n,target_test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,0,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,no validation; fixed hyperparameters,400,0.00020110535842832178,0.30258455872535706,0.3027856647968292,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,0,273,1.0,,0.6996336996336996,1.0,,0.7049897119341564,1.0,,0.7079092723580004,0.3003663003663004,0.8976897689768977
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,1,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,no validation; fixed hyperparameters,400,0.0009233156451955438,0.280011922121048,0.28093522787094116,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,0,273,1.0,,0.7509157509157509,1.0,,0.7510288065843621,1.0,,0.74826097413606,0.2490842490842491,0.9042904290429042
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,2,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,no validation; fixed hyperparameters,400,0.0002359623758820817,0.25534555315971375,0.2555815279483795,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,0,273,1.0,,0.717948717948718,1.0,,0.7236368312757202,1.0,,0.7234081089120664,0.28205128205128205,0.9108910891089109
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,3,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,no validation; fixed hyperparameters,400,0.00047338122385554016,0.2595454156398773,0.26001879572868347,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,0,273,1.0,,0.8388278388278388,1.0,,0.8369341563786007,1.0,,0.8416346594352934,0.16117216117216115,0.900990099009901
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,4,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,no validation; fixed hyperparameters,400,0.000978345749899745,0.286223441362381,0.28720179200172424,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,0,273,1.0,,0.7692307692307693,1.0,,0.7722479423868313,1.0,,0.7716957006529858,0.23076923076923073,0.900990099009901
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.05,0,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,20,0.004765263292938471,0.30690303444862366,0.3116683065891266,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.96,0.8,0.6996336996336996,0.9666666666666667,0.8333333333333334,0.7088477366255144,0.952153110047847,0.7777777777777777,0.687195025695186,0.2603663003663004,0.9161073825503355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.05,1,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,300,0.0007836003787815571,0.2803768217563629,0.2811604142189026,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,1.0,1.0,0.7619047619047619,1.0,1.0,0.7627314814814815,1.0,1.0,0.7618521429030983,0.23809523809523814,0.9194630872483222
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.05,2,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,10,0.0016959459753707051,0.22808077931404114,0.22977672517299652,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.84,0.8,0.684981684981685,0.8333333333333334,0.8333333333333334,0.6949588477366255,0.8185185185185185,0.8222222222222223,0.6783792679877018,0.15501831501831498,0.9161073825503355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.05,3,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,10,0.013976582325994968,0.2695530354976654,0.2835296094417572,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.88,0.8,0.63003663003663,0.8666666666666667,0.8333333333333334,0.6396604938271605,0.8561808561808562,0.7777777777777777,0.6228317791999559,0.24996336996336999,0.9161073825503355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.05,4,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,10,0.0001409295800840482,0.2251417487859726,0.225282683968544,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.8,0.8,0.6263736263736264,0.8000000000000002,0.8333333333333334,0.6394032921810698,0.7821262558104664,0.7777777777777777,0.5976483366971477,0.17362637362637368,0.9161073825503355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,0,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,270,0.003151500364765525,0.2676239311695099,0.2707754373550415,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,1.0,1.0,0.6959706959706959,1.0,1.0,0.7002314814814815,1.0,1.0,0.7026053729907685,0.30402930402930406,0.9228187919463087
