split,description,task,variant,lambda,seed,classifier_label_usage,domain_label_usage,model_selection_labels,best_epoch,L_last,Ld_cdan_last,backward_loss_scalar_last,feature_extractor_objective,condition_map,classifier_train_n,source_train_n,source_val_n,target_labeled_train_n,target_domain_n,target_validation_n,target_test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy,representative_seed,seed_values,seed_count,seed_policy,selection_status,judgment,best_epoch_std,L_last_std,Ld_cdan_last_std,backward_loss_scalar_last_std,train_accuracy_std,validation_accuracy_std,test_accuracy_std,train_balanced_accuracy_std,validation_balanced_accuracy_std,test_balanced_accuracy_std,train_macro_f1_std,validation_macro_f1_std,test_macro_f1_std,train_test_accuracy_gap_std,domain_discriminator_accuracy_std,best_epoch_min,best_epoch_max,L_last_min,L_last_max,Ld_cdan_last_min,Ld_cdan_last_max,backward_loss_scalar_last_min,backward_loss_scalar_last_max,train_accuracy_min,train_accuracy_max,validation_accuracy_min,validation_accuracy_max,test_accuracy_min,test_accuracy_max,train_balanced_accuracy_min,train_balanced_accuracy_max,validation_balanced_accuracy_min,validation_balanced_accuracy_max,test_balanced_accuracy_min,test_balanced_accuracy_max,train_macro_f1_min,train_macro_f1_max,validation_macro_f1_min,validation_macro_f1_max,test_macro_f1_min,test_macro_f1_max,train_test_accuracy_gap_min,train_test_accuracy_gap_max,domain_discriminator_accuracy_min,domain_discriminator_accuracy_max
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,0,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,no validation; fixed hyperparameters,400.0,0.0005624220706522465,0.2767421782016754,0.27730460166931153,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,0,273,1.0,,0.7553113553113553,1.0,,0.7577674897119342,1.0,,0.7585817430988813,0.2446886446886447,0.9029702970297029,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,fixed hyperparameters because the split has no validation set; metrics averaged over seeds,fixed hyperparameters because the split has no validation set; metrics averaged over seeds; highest selected CDAN test accuracy in split; domain still separable,0.0,0.00037023325429566176,0.01950614270777765,0.01956470942860259,0.0,,0.054046374654719516,0.0,,0.05116847208859388,0.0,,0.052395526764198,0.054046374654719516,0.005005198312905323,400,400,0.00020110535842832178,0.000978345749899745,0.25534555315971375,0.30258455872535706,0.2555815279483795,0.3027856647968292,1.0,1.0,,,0.6996336996336996,0.8388278388278388,1.0,1.0,,,0.7049897119341564,0.8369341563786007,1.0,1.0,,,0.7079092723580004,0.8416346594352934,0.16117216117216115,0.3003663003663004,0.8976897689768977,0.9108910891089109
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,0,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,176.0,0.001618244597921148,0.2644677937030792,0.2660860389471054,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.9359999999999999,0.9199999999999999,0.7157509157509158,0.9333333333333333,0.9333333333333333,0.7218106995884773,0.9283289030657451,0.9111111111111111,0.7106102827887677,0.22024908424908424,0.9174496644295301,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds","lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds; highest selected CDAN test accuracy in split; domain still separable",155.1773179301666,0.001731837838549826,0.04184204631611907,0.043097591073027235,0.0876356092008266,0.1095445115010332,0.07166767531953466,0.09128709291752765,0.09128709291752765,0.06592058620671677,0.09815320988930942,0.12171612389003697,0.08362815430511045,0.05395825961745184,0.0030014335268453507,10,340,3.7494231946766376e-05,0.0038151240441948175,0.21000009775161743,0.3238227963447571,0.21061848104000092,0.3276379108428955,0.84,1.0,0.8,1.0,0.6263736263736264,0.8058608058608059,0.8333333333333334,1.0,0.8333333333333334,1.0,0.6400462962962963,0.8056841563786007,0.8185185185185185,1.0,0.7777777777777777,1.0,0.5978596566831861,0.8069972351350531,0.15868131868131863,0.30402930402930406,0.9161073825503355,0.9228187919463087
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.5,0,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,162.0,0.00020057018218722078,0.21600879430770875,0.21620936393737794,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",20,20,10,0,273,0,273,0.99,0.74,0.6871794871794872,0.9916666666666668,0.7,0.6893261316872427,0.9881481481481481,0.6998412698412698,0.6886348481273004,0.3028205128205128,0.9208191126279864,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds","lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds; highest selected CDAN test accuracy in split; high train-test gap; domain still separable",96.79876032264049,0.00014028245111592254,0.0174829475726569,0.017443548874692252,0.022360679774997918,0.05477225575051666,0.04453224297561652,0.01863389981249823,0.04564354645876386,0.04473362577094719,0.026501546399997546,0.04760052549830506,0.046385200336027374,0.05456762922232231,0.021504415019827118,20,270,5.45366992810159e-06,0.0003399970009922981,0.19187694787979126,0.23725229501724243,0.192122682929039,0.23725774884223938,0.95,1.0,0.7,0.8,0.6336996336996337,0.7509157509157509,0.9583333333333334,1.0,0.6666666666666666,0.75,0.6405606995884773,0.7529578189300411,0.9407407407407407,1.0,0.6518518518518519,0.7486772486772487,0.6308300583653147,0.7569467328292516,0.24304029304029295,0.36630036630036633,0.8873720136518771,0.9385665529010239
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,CDAN-UDA,0.05,0,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,target validation labels,208.0,0.012617128268175293,0.27243993878364564,0.2850570738315582,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,28,245,1.0,0.8857142857142858,0.7706122448979591,1.0,0.8883333333333333,0.7738876499946904,1.0,0.8820810195423199,0.7695408598800391,0.22938775510204085,0.9115511551155115,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds","lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds; highest selected CDAN test accuracy in split; domain still separable",90.11104260855048,0.027633105997038235,0.012223244184718802,0.037198571441830884,0.0,0.06869780022025482,0.04352253146960432,0.0,0.0649786289653931,0.041483542016214264,0.0,0.07299249957496173,0.04315007996923207,0.04352253146960432,0.009158044175255174,70,310,9.983938798541203e-05,0.062047090381383896,0.25380444526672363,0.28779855370521545,0.25445181131362915,0.34984564781188965,1.0,1.0,0.7857142857142857,0.9642857142857143,0.7020408163265306,0.8122448979591836,1.0,1.0,0.7999999999999999,0.9666666666666667,0.7087713709249229,0.8134225337156207,1.0,1.0,0.7708683473389355,0.9628482972136223,0.7044733044733045,0.813777982572793,0.18775510204081636,0.2979591836734694,0.900990099009901,0.9240924092409241
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,three_class_with_air,CDAN-UDA,0.2,0,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,target validation labels,282.0,0.0005624220706522465,0.2767421782016754,0.27730460166931153,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,16,273,26,231,1.0,0.876923076923077,0.787878787878788,1.0,0.8666666666666666,0.7894793344068706,1.0,0.873032735549898,0.791441098663224,0.2121212121212121,0.9082508250825082,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds","lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds; domain still separable",89.55445270895244,0.00037023325429566176,0.01950614270777765,0.01956470942860259,0.0,0.050147710809251164,0.03608946320461705,0.0,0.05152010275275391,0.03464840613803738,0.0,0.04796861716569441,0.03301998621600301,0.03608946320461705,0.009734575051981918,160,400,0.00020110535842832178,0.000978345749899745,0.25534555315971375,0.30258455872535706,0.2555815279483795,0.3027856647968292,1.0,1.0,0.8076923076923077,0.9230769230769231,0.7445887445887446,0.8311688311688312,1.0,1.0,0.7888888888888889,0.9111111111111111,0.7464662730363214,0.8302021828591878,1.0,1.0,0.802135774218154,0.9204906204906204,0.7532203613407767,0.8340937483794626,0.16883116883116878,0.2554112554112554,0.900990099009901,0.9240924092409241
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,three_class_with_air,CDAN-semi,0.2,0,source labels + selected target labels,source/target domain labels only; gas labels not used for CDAN domain loss,target validation labels,138.0,0.0007398422418191331,0.29807283282279967,0.2988126754760742,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",46,30,0,16,273,26,231,0.9869565217391305,0.976923076923077,0.8424242424242424,0.9882352941176471,0.9800000000000001,0.8454821971730185,0.9867909867909868,0.976042670779513,0.8424496419346564,0.14453227931488802,0.9016501650165016,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds","lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds; highest selected CDAN test accuracy in split; domain still separable",132.1741275741966,0.0011821685509781918,0.02629346841088287,0.026988288583145646,0.02916610405434506,0.021066252211737142,0.03551366978700205,0.02630668208823288,0.018257418583505533,0.03291952546387283,0.0295362514510462,0.02223054254744269,0.03685737775864923,0.0598329297938864,0.009450706972459618,20,340,1.2111233445466496e-05,0.0028344595339149237,0.2702785134315491,0.32697364687919617,0.2705153524875641,0.3298081159591675,0.9347826086956522,1.0,0.9615384615384616,1.0,0.7965367965367965,0.8874458874458875,0.9411764705882352,1.0,0.9666666666666667,1.0,0.8030059044551798,0.8872785829307569,0.9339549339549339,1.0,0.9568151147098516,1.0,0.792989417989418,0.8864768617644184,0.047336721249764735,0.20346320346320346,0.8943894389438944,0.9174917491749175
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,three_class_with_air,CDAN-UDA,0.5,0,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,target validation labels,214.0,0.0022632313062786124,0.27453805804252623,0.27680128812789917,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,28,273,40,205,1.0,0.9,0.7278048780487806,1.0,0.8977777777777778,0.7300394962366792,1.0,0.9049866701956744,0.732952782419109,0.27219512195121953,0.8957095709570957,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds","lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds; high train-test gap; domain still separable",155.33834040570923,0.003679526735615334,0.01903721100374963,0.016789145164049474,0.0,0.025000000000000022,0.0467122521751185,0.0,0.025337231668869673,0.044654885963414694,0.0,0.023622162645312954,0.04374833392969876,0.046712252175118506,0.01626898685658912,20,400,7.758496940368786e-05,0.008754977025091648,0.2514822781085968,0.2989586889743805,0.2602372467517853,0.29903626441955566,1.0,1.0,0.875,0.925,0.6829268292682927,0.7853658536585366,1.0,1.0,0.8666666666666667,0.9222222222222222,0.6870854758178702,0.7850808555033907,1.0,1.0,0.8779751538372228,0.928343586238323,0.6882034098748399,0.7840566567344647,0.21463414634146338,0.31707317073170727,0.8679867986798679,0.9108910891089109
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,three_class_with_air,CDAN-semi,0.5,0,source labels + selected target labels,source/target domain labels only; gas labels not used for CDAN domain loss,target validation labels,234.0,0.0004745619786262978,0.2667595982551575,0.2672341525554657,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",58,30,0,28,273,40,205,0.9862068965517242,0.9400000000000001,0.878048780487805,0.9878787878787879,0.9466666666666667,0.8786943885535436,0.9852382302892796,0.9452286731930781,0.8773114025838599,0.10815811606391926,0.9056105610561056,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds","lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds; highest selected CDAN test accuracy in split; domain still separable",136.8575902169843,0.0005248891025898539,0.027302080842521823,0.027737745025356853,0.030842316931031597,0.022360679774997862,0.019512195121951237,0.027103854272724697,0.019876159799998214,0.01817205261496322,0.03300832054136813,0.019739597308283088,0.019219271860511315,0.038732193983672114,0.005522508425967473,20,370,5.997460903017782e-05,0.0012006560573354363,0.22902432084083557,0.2971016764640808,0.2291555106639862,0.29796934127807617,0.9310344827586207,1.0,0.925,0.975,0.8536585365853658,0.9024390243902439,0.9393939393939394,1.0,0.9333333333333332,0.9777777777777779,0.85557791191594,0.9007377598926896,0.9261911514463982,1.0,0.9326599326599326,0.9777530589543938,0.8534323770491804,0.9011191189159011,0.04810765349032797,0.14634146341463417,0.900990099009901,0.9141914191419142
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,three_class_with_air,CDAN-UDA,0.5,0,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,target validation labels,256.0,0.0022632313062786124,0.27453805804252623,0.27680128812789917,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,42,273,26,205,1.0,0.9,0.7258536585365855,1.0,0.9133333333333333,0.7289961994187346,1.0,0.9130482772588036,0.7272363227184996,0.27414634146341466,0.8957095709570957,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds","lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds; high train-test gap; domain still separable",102.85912696499032,0.003679526735615334,0.01903721100374963,0.016789145164049474,0.0,0.021066252211737205,0.0491933745774779,0.0,0.018257418583505474,0.04630179809308711,0.0,0.018211830333445138,0.04987278629626965,0.0491933745774779,0.0157588599159252,130,400,7.758496940368786e-05,0.008754977025091648,0.2514822781085968,0.2989586889743805,0.2602372467517853,0.29903626441955566,1.0,1.0,0.8846153846153846,0.9230769230769231,0.6731707317073171,0.7853658536585366,1.0,1.0,0.9,0.9333333333333332,0.678888143676876,0.7850808555033907,1.0,1.0,0.899749373433584,0.9333333333333332,0.6730172577433673,0.7840566567344647,0.21463414634146338,0.3268292682926829,0.8679867986798679,0.9075907590759076
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,three_class_with_air,CDAN-semi,0.2,0,source labels + selected target labels,source/target domain labels only; gas labels not used for CDAN domain loss,target validation labels,224.0,0.0011539958359207958,0.26575268507003785,0.2669066786766052,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",72,30,0,42,273,26,205,1.0,0.9692307692307693,0.913170731707317,1.0,0.9733333333333333,0.913212608987257,1.0,0.973165236323131,0.9137143673594492,0.08682926829268292,0.9089108910891088,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds","lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds; highest selected CDAN test accuracy in split; domain still separable",135.20355024924456,0.0017599282189083147,0.026577188404345656,0.028184610794656575,0.0,0.03217923178977212,0.03404165136071786,0.0,0.027888667551135886,0.032735960131814304,0.0,0.028140438432627545,0.03399063025018149,0.03404165136071786,0.01311855241871408,30,350,7.031067798379809e-05,0.004215496592223644,0.23651906847953796,0.30569031834602356,0.23658937215805054,0.3099058270454407,1.0,1.0,0.9230769230769231,1.0,0.8682926829268293,0.9512195121951219,1.0,1.0,0.9333333333333332,1.0,0.8702585885684476,0.9506669647514717,1.0,1.0,0.9326599326599326,1.0,0.8680260619362685,0.9516452757372217,0.04878048780487809,0.13170731707317074,0.8976897689768977,0.9306930693069307
