model,case,sensor_removed,n_features,best_params,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,delta_test_balanced_accuracy_without_minus_all,importance_all_minus_without
LDA,all,none,54,shrinkage=0.1,0.8909090909090909,0.875,0.8925729442970822,1.0,1.0,1.0,0.0,0.0
LDA,without_s1,s1,45,shrinkage=0.25,0.8545454545454545,0.8396739130434782,0.8508533042846769,1.0,1.0,1.0,0.0,0.0
LDA,without_s2,s2,45,shrinkage=0.01,0.8545454545454545,0.8333333333333334,0.8465959328028293,0.9285714285714286,0.9249999999999999,0.9299308878256246,-0.07500000000000007,0.07500000000000007
LDA,without_s3,s3,45,shrinkage=0.1,0.8545454545454545,0.8333333333333334,0.855379188712522,0.9642857142857143,0.9666666666666667,0.9628482972136223,-0.033333333333333326,0.033333333333333326
LDA,without_s4,s4,45,shrinkage=0.1,0.8909090909090909,0.875,0.8925729442970822,1.0,1.0,1.0,0.0,0.0
LDA,without_s5,s5,45,shrinkage=0.05,0.9090909090909091,0.8958333333333334,0.9106152805949966,1.0,1.0,1.0,0.0,0.0
LDA,without_s6,s6,45,shrinkage=0.1,0.9272727272727272,0.9166666666666666,0.928888888888889,1.0,1.0,1.0,0.0,0.0
Logistic Regression,all,none,54,l2=0.05;lr=0.08,0.9454545454545454,0.9375,0.9430555555555555,1.0,1.0,1.0,0.0,0.0
Logistic Regression,without_s1,s1,45,l2=0.05;lr=0.08,0.9454545454545454,0.9375,0.9430555555555555,1.0,1.0,1.0,0.0,0.0
Logistic Regression,without_s2,s2,45,l2=0.001;lr=0.08,0.9272727272727272,0.9166666666666666,0.924275744780671,1.0,1.0,1.0,0.0,0.0
Logistic Regression,without_s3,s3,45,l2=0.01;lr=0.08,0.9272727272727272,0.9166666666666666,0.924275744780671,1.0,1.0,1.0,0.0,0.0
Logistic Regression,without_s4,s4,45,l2=0.05;lr=0.08,0.9272727272727272,0.9166666666666666,0.924275744780671,1.0,1.0,1.0,0.0,0.0
Logistic Regression,without_s5,s5,45,l2=0.05;lr=0.08,0.9090909090909091,0.8958333333333334,0.9065925101965147,1.0,1.0,1.0,0.0,0.0
Logistic Regression,without_s6,s6,45,l2=0.001;lr=0.04,0.9636363636363636,0.9583333333333334,0.9638888888888889,1.0,1.0,1.0,0.0,0.0
kNN,all,none,54,k=7;distance_weighted=False,0.8909090909090909,0.875,0.8756238508011558,1.0,1.0,1.0,0.0,0.0
kNN,without_s1,s1,45,k=7;distance_weighted=False,0.8909090909090909,0.875,0.8756238508011558,1.0,1.0,1.0,0.0,0.0
kNN,without_s2,s2,45,k=5;distance_weighted=False,0.8181818181818182,0.7916666666666666,0.7791396854764107,0.9285714285714286,0.9333333333333332,0.9326599326599326,-0.06666666666666676,0.06666666666666676
kNN,without_s3,s3,45,k=3;distance_weighted=False,0.8909090909090909,0.875,0.8756238508011558,1.0,1.0,1.0,0.0,0.0
kNN,without_s4,s4,45,k=7;distance_weighted=False,0.9090909090909091,0.8958333333333334,0.8992763772175537,1.0,1.0,1.0,0.0,0.0
kNN,without_s5,s5,45,k=3;distance_weighted=True,0.8909090909090909,0.8876811594202899,0.8877394636015326,1.0,1.0,1.0,0.0,0.0
kNN,without_s6,s6,45,k=3;distance_weighted=False,0.9454545454545454,0.9375,0.9403825488931871,1.0,1.0,1.0,0.0,0.0
Random Forest,all,none,54,max_depth=4;min_leaf=1,0.9272727272727272,0.9166666666666666,0.9153439153439153,1.0,1.0,1.0,0.0,0.0
Random Forest,without_s1,s1,45,max_depth=4;min_leaf=1,0.9272727272727272,0.9166666666666666,0.9153439153439153,1.0,1.0,1.0,0.0,0.0
Random Forest,without_s2,s2,45,max_depth=4;min_leaf=1,0.9636363636363636,0.9583333333333334,0.9581699346405229,0.9642857142857143,0.9666666666666667,0.9665831244778613,-0.033333333333333326,0.033333333333333326
Random Forest,without_s3,s3,45,max_depth=4;min_leaf=2,0.9272727272727272,0.9166666666666666,0.9153439153439153,1.0,1.0,1.0,0.0,0.0
Random Forest,without_s4,s4,45,max_depth=5;min_leaf=2,0.9454545454545454,0.9375,0.9369458128078817,1.0,1.0,1.0,0.0,0.0
Random Forest,without_s5,s5,45,max_depth=5;min_leaf=2,0.9272727272727272,0.9166666666666666,0.9192093565232402,1.0,1.0,1.0,0.0,0.0
Random Forest,without_s6,s6,45,max_depth=4;min_leaf=3,0.9272727272727272,0.9166666666666666,0.9153439153439153,1.0,1.0,1.0,0.0,0.0
RBF LS-SVM,all,none,54,gamma_mult=0.25;c_value=100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
RBF LS-SVM,without_s1,s1,45,gamma_mult=1.0;c_value=100.0,0.9636363636363636,0.9646739130434782,0.9622320612832946,1.0,1.0,1.0,0.0,0.0
RBF LS-SVM,without_s2,s2,45,gamma_mult=2.0;c_value=10.0,0.9636363636363636,0.9583333333333334,0.9581699346405229,1.0,1.0,1.0,0.0,0.0
RBF LS-SVM,without_s3,s3,45,gamma_mult=0.25;c_value=10.0,0.9818181818181818,0.9791666666666666,0.9821551132463967,1.0,1.0,1.0,0.0,0.0
RBF LS-SVM,without_s4,s4,45,gamma_mult=0.25;c_value=100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
RBF LS-SVM,without_s5,s5,45,gamma_mult=0.25;c_value=100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
RBF LS-SVM,without_s6,s6,45,gamma_mult=0.25;c_value=100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
