model,case,true_label,predicted_label,count
LDA,all,air,air,8
LDA,all,air,alcohol,0
LDA,all,air,acetone,0
LDA,all,alcohol,air,0
LDA,all,alcohol,alcohol,10
LDA,all,alcohol,acetone,0
LDA,all,acetone,air,0
LDA,all,acetone,alcohol,0
LDA,all,acetone,acetone,10
LDA,without_s1,air,air,8
LDA,without_s1,air,alcohol,0
LDA,without_s1,air,acetone,0
LDA,without_s1,alcohol,air,0
LDA,without_s1,alcohol,alcohol,10
LDA,without_s1,alcohol,acetone,0
LDA,without_s1,acetone,air,0
LDA,without_s1,acetone,alcohol,0
LDA,without_s1,acetone,acetone,10
LDA,without_s2,air,air,7
LDA,without_s2,air,alcohol,1
LDA,without_s2,air,acetone,0
LDA,without_s2,alcohol,air,0
LDA,without_s2,alcohol,alcohol,10
LDA,without_s2,alcohol,acetone,0
LDA,without_s2,acetone,air,0
LDA,without_s2,acetone,alcohol,1
LDA,without_s2,acetone,acetone,9
LDA,without_s3,air,air,8
LDA,without_s3,air,alcohol,0
LDA,without_s3,air,acetone,0
LDA,without_s3,alcohol,air,0
LDA,without_s3,alcohol,alcohol,10
LDA,without_s3,alcohol,acetone,0
LDA,without_s3,acetone,air,1
LDA,without_s3,acetone,alcohol,0
LDA,without_s3,acetone,acetone,9
LDA,without_s4,air,air,8
LDA,without_s4,air,alcohol,0
LDA,without_s4,air,acetone,0
LDA,without_s4,alcohol,air,0
LDA,without_s4,alcohol,alcohol,10
LDA,without_s4,alcohol,acetone,0
LDA,without_s4,acetone,air,0
LDA,without_s4,acetone,alcohol,0
LDA,without_s4,acetone,acetone,10
LDA,without_s5,air,air,8
LDA,without_s5,air,alcohol,0
LDA,without_s5,air,acetone,0
LDA,without_s5,alcohol,air,0
LDA,without_s5,alcohol,alcohol,10
LDA,without_s5,alcohol,acetone,0
LDA,without_s5,acetone,air,0
LDA,without_s5,acetone,alcohol,0
LDA,without_s5,acetone,acetone,10
LDA,without_s6,air,air,8
LDA,without_s6,air,alcohol,0
LDA,without_s6,air,acetone,0
LDA,without_s6,alcohol,air,0
LDA,without_s6,alcohol,alcohol,10
LDA,without_s6,alcohol,acetone,0
LDA,without_s6,acetone,air,0
LDA,without_s6,acetone,alcohol,0
LDA,without_s6,acetone,acetone,10
Logistic Regression,all,air,air,8
Logistic Regression,all,air,alcohol,0
Logistic Regression,all,air,acetone,0
Logistic Regression,all,alcohol,air,0
Logistic Regression,all,alcohol,alcohol,10
Logistic Regression,all,alcohol,acetone,0
Logistic Regression,all,acetone,air,0
Logistic Regression,all,acetone,alcohol,0
Logistic Regression,all,acetone,acetone,10
Logistic Regression,without_s1,air,air,8
Logistic Regression,without_s1,air,alcohol,0
Logistic Regression,without_s1,air,acetone,0
Logistic Regression,without_s1,alcohol,air,0
Logistic Regression,without_s1,alcohol,alcohol,10
Logistic Regression,without_s1,alcohol,acetone,0
Logistic Regression,without_s1,acetone,air,0
Logistic Regression,without_s1,acetone,alcohol,0
Logistic Regression,without_s1,acetone,acetone,10
Logistic Regression,without_s2,air,air,8
Logistic Regression,without_s2,air,alcohol,0
Logistic Regression,without_s2,air,acetone,0
Logistic Regression,without_s2,alcohol,air,0
Logistic Regression,without_s2,alcohol,alcohol,10
Logistic Regression,without_s2,alcohol,acetone,0
Logistic Regression,without_s2,acetone,air,0
Logistic Regression,without_s2,acetone,alcohol,0
Logistic Regression,without_s2,acetone,acetone,10
Logistic Regression,without_s3,air,air,8
Logistic Regression,without_s3,air,alcohol,0
Logistic Regression,without_s3,air,acetone,0
Logistic Regression,without_s3,alcohol,air,0
Logistic Regression,without_s3,alcohol,alcohol,10
Logistic Regression,without_s3,alcohol,acetone,0
