experiment,feature_dim,split,task,model,best_params,selection_method,train_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,fit_assessment
amplitude_only,1,S1_train_I_test_all,three_class_with_air,LDA,shrinkage=0.1,fixed_default_no_validation,30,0,227,0.6666666666666666,,0.6960352422907489,0.7222222222222223,,0.7125,0.6707348080345792,,0.6814224112469726,-0.029368575624082238,Possible underfitting
amplitude_only,1,S1_train_I_test_all,three_class_with_air,Logistic Regression,l2=0.01,fixed_default_no_validation,30,0,227,0.6666666666666666,,0.6607929515418502,0.7222222222222222,,0.6791666666666667,0.6666666666666666,,0.6682189880415987,0.005873715124816381,Possible underfitting
amplitude_only,1,S1_train_I_test_all,three_class_with_air,kNN,k=3,fixed_default_no_validation,30,0,227,0.8,,0.6916299559471366,0.8055555555555557,,0.7067164179104477,0.7992538818310143,,0.6862785876846808,0.10837004405286343,Reasonable or mild shift
amplitude_only,1,S1_train_I_test_all,three_class_with_air,Random Forest,subspace_mult=2.0,fixed_default_no_validation,30,0,227,0.6666666666666666,,0.6960352422907489,0.7222222222222223,,0.7125,0.6707348080345792,,0.6814224112469726,-0.029368575624082238,Possible underfitting
amplitude_only,1,S1_train_I_test_all,three_class_with_air,RBF LS-SVM,gamma_mult=1.0;c_value=10.0,fixed_default_no_validation,30,0,227,0.7333333333333333,,0.6916299559471366,0.75,,0.7083333333333334,0.7355311355311356,,0.7079225994888646,0.04170337738619667,Possible underfitting
amplitude_only,1,S1_train_I_test_all,binary_without_air,LDA,shrinkage=0.1,fixed_default_no_validation,24,0,160,0.7916666666666666,,0.575,0.7916666666666667,,0.575,0.7822141560798548,,0.5290043290043289,0.21666666666666667,Reasonable or mild shift
amplitude_only,1,S1_train_I_test_all,binary_without_air,Logistic Regression,l2=0.01,fixed_default_no_validation,24,0,160,0.8333333333333334,,0.56875,0.8333333333333333,,0.56875,0.8285714285714285,,0.568733153638814,0.2645833333333334,High train-test gap
amplitude_only,1,S1_train_I_test_all,binary_without_air,kNN,k=3,fixed_default_no_validation,24,0,160,0.7916666666666666,,0.575,0.7916666666666667,,0.575,0.7822141560798548,,0.5402298850574712,0.21666666666666667,Reasonable or mild shift
amplitude_only,1,S1_train_I_test_all,binary_without_air,Random Forest,subspace_mult=2.0,fixed_default_no_validation,24,0,160,0.7916666666666666,,0.575,0.7916666666666667,,0.575,0.7822141560798548,,0.5290043290043289,0.21666666666666667,Reasonable or mild shift
amplitude_only,1,S1_train_I_test_all,binary_without_air,RBF LS-SVM,gamma_mult=1.0;c_value=10.0,fixed_default_no_validation,24,0,160,0.8333333333333334,,0.56875,0.8333333333333333,,0.56875,0.8285714285714285,,0.568733153638814,0.2645833333333334,High train-test gap
amplitude_only,1,S2_train_I_internal_val_test_all,three_class_with_air,LDA,shrinkage=0.01,validation_accuracy_macro_f1_balanced_accuracy,25,5,227,0.68,0.6,0.6916299559471366,0.7333333333333334,0.6666666666666666,0.7083333333333334,0.688095238095238,0.611111111111111,0.6794484784204945,-0.011629955947136561,Possible underfitting
amplitude_only,1,S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,25,5,227,0.68,0.6,0.6696035242290749,0.7333333333333334,0.6666666666666666,0.6875,0.6789215686274509,0.611111111111111,0.6752396924786245,0.010396475770925173,Possible underfitting
amplitude_only,1,S2_train_I_internal_val_test_all,three_class_with_air,kNN,k=1,validation_accuracy_macro_f1_balanced_accuracy,25,5,227,1.0,0.8,0.6740088105726872,1.0,0.8333333333333334,0.6900497512437811,1.0,0.7777777777777777,0.686890886890887,0.32599118942731276,Possible overfitting or domain shift
amplitude_only,1,S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,25,5,227,0.68,0.6,0.6916299559471366,0.7333333333333334,0.6666666666666666,0.7083333333333334,0.688095238095238,0.611111111111111,0.6794484784204945,-0.011629955947136561,Possible underfitting
amplitude_only,1,S2_train_I_internal_val_test_all,three_class_with_air,RBF LS-SVM,gamma_mult=1.0;c_value=1.0,validation_accuracy_macro_f1_balanced_accuracy,25,5,227,0.8,0.8,0.6828193832599119,0.7666666666666666,0.8333333333333334,0.6975746268656716,0.7911764705882351,0.8222222222222223,0.7008631442398844,0.11718061674008817,Reasonable or mild shift
amplitude_only,1,S2_train_I_internal_val_test_all,binary_without_air,LDA,shrinkage=0.01,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,0.8,0.75,0.575,0.8,0.75,0.575,0.7916666666666665,0.7333333333333334,0.5329670329670331,0.2250000000000001,Possible overfitting or domain shift
amplitude_only,1,S2_train_I_internal_val_test_all,binary_without_air,Logistic Regression,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,0.85,0.75,0.5625,0.85,0.75,0.5625,0.8465473145780051,0.7333333333333334,0.5618838992332968,0.2875,Possible overfitting or domain shift
amplitude_only,1,S2_train_I_internal_val_test_all,binary_without_air,kNN,k=1,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,1.0,0.75,0.55,1.0,0.75,0.55,1.0,0.7333333333333334,0.5413282369804109,0.44999999999999996,Possible overfitting or domain shift
amplitude_only,1,S2_train_I_internal_val_test_all,binary_without_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,0.8,0.75,0.575,0.8,0.75,0.575,0.7916666666666665,0.7333333333333334,0.5329670329670331,0.2250000000000001,Possible overfitting or domain shift
amplitude_only,1,S2_train_I_internal_val_test_all,binary_without_air,RBF LS-SVM,gamma_mult=0.5;c_value=1.0,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,0.85,0.75,0.575,0.85,0.75,0.575,0.8465473145780051,0.7333333333333334,0.5733333333333333,0.275,Possible overfitting or domain shift
amplitude_only,1,S3_train_I_val_D1_2,three_class_with_air,LDA,shrinkage=0.01,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,0.6666666666666666,0.7857142857142857,0.6834170854271356,0.7222222222222223,0.7999999999999999,0.7000000000000001,0.6707348080345792,0.7999999999999999,0.65645813881108,-0.01675041876046901,Reasonable or mild shift
amplitude_only,1,S3_train_I_val_D1_2,three_class_with_air,Logistic Regression,l2=0.05,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,0.6666666666666666,0.7857142857142857,0.6381909547738693,0.7222222222222222,0.7999999999999999,0.6571428571428571,0.6666666666666666,0.7802197802197802,0.6429724178403756,0.028475711892797295,Reasonable or mild shift
amplitude_only,1,S3_train_I_val_D1_2,three_class_with_air,kNN,k=7,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,0.7,0.7857142857142857,0.6834170854271356,0.7222222222222223,0.7999999999999999,0.6991121872477805,0.7059314954051796,0.7999999999999999,0.6575737235423099,0.016582914572864316,Reasonable or mild shift
amplitude_only,1,S3_train_I_val_D1_2,three_class_with_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,0.6666666666666666,0.7857142857142857,0.6834170854271356,0.7222222222222223,0.7999999999999999,0.7000000000000001,0.6707348080345792,0.7999999999999999,0.65645813881108,-0.01675041876046901,Reasonable or mild shift
amplitude_only,1,S3_train_I_val_D1_2,three_class_with_air,RBF LS-SVM,gamma_mult=0.5;c_value=10.0,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,0.7333333333333333,0.7857142857142857,0.678391959798995,0.75,0.7999999999999999,0.6943502824858757,0.7355311355311356,0.7802197802197802,0.6932685279141971,0.054941373534338256,Reasonable or mild shift
amplitude_only,1,S3_train_I_val_D1_2,binary_without_air,LDA,shrinkage=0.01,validation_accuracy_macro_f1_balanced_accuracy,24,20,140,0.7916666666666666,0.7,0.5571428571428572,0.7916666666666667,0.7,0.5571428571428572,0.7822141560798548,0.7,0.49239766081871345,0.23452380952380947,Possible overfitting or domain shift
amplitude_only,1,S3_train_I_val_D1_2,binary_without_air,Logistic Regression,l2=0.05,validation_accuracy_macro_f1_balanced_accuracy,24,20,140,0.8333333333333334,0.7,0.5857142857142857,0.8333333333333333,0.7,0.5857142857142856,0.8285714285714285,0.6875,0.5770833333333334,0.24761904761904763,Possible overfitting or domain shift
amplitude_only,1,S3_train_I_val_D1_2,binary_without_air,kNN,k=3,validation_accuracy_macro_f1_balanced_accuracy,24,20,140,0.7916666666666666,0.7,0.5571428571428572,0.7916666666666667,0.7,0.5571428571428572,0.7822141560798548,0.7,0.5086050724637681,0.23452380952380947,Possible overfitting or domain shift
amplitude_only,1,S3_train_I_val_D1_2,binary_without_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,24,20,140,0.7916666666666666,0.7,0.5571428571428572,0.7916666666666667,0.7,0.5571428571428572,0.7822141560798548,0.7,0.49239766081871345,0.23452380952380947,Possible overfitting or domain shift
amplitude_only,1,S3_train_I_val_D1_2,binary_without_air,RBF LS-SVM,gamma_mult=1.0;c_value=100.0,validation_accuracy_macro_f1_balanced_accuracy,24,20,140,0.8333333333333334,0.7,0.5428571428571428,0.8333333333333333,0.7,0.5428571428571428,0.8285714285714285,0.6703296703296704,0.5394736842105263,0.29047619047619055,Possible overfitting or domain shift
amplitude_only,1,S4_train_I_D1_val_D2_3,three_class_with_air,LDA,shrinkage=0.01,validation_accuracy_macro_f1_balanced_accuracy,46,26,185,0.7391304347826086,0.6153846153846154,0.6378378378378379,0.7647058823529412,0.6666666666666666,0.6564102564102564,0.7388888888888889,0.6031746031746031,0.6040869262132302,0.10129259694477077,Possible underfitting
amplitude_only,1,S4_train_I_D1_val_D2_3,three_class_with_air,Logistic Regression,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,46,26,185,0.6956521739130435,0.6153846153846154,0.6486486486486487,0.7254901960784315,0.6666666666666666,0.6666666666666666,0.6904761904761904,0.6336996336996338,0.6367383512544803,0.047003525264394774,Possible underfitting
amplitude_only,1,S4_train_I_D1_val_D2_3,three_class_with_air,kNN,k=3,validation_accuracy_macro_f1_balanced_accuracy,46,26,185,0.8260869565217391,0.6153846153846154,0.6702702702702703,0.8267973856209151,0.6666666666666666,0.6862470862470862,0.8300260126347084,0.6031746031746031,0.6294205285030973,0.15581668625146883,Reasonable or mild shift
amplitude_only,1,S4_train_I_D1_val_D2_3,three_class_with_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,46,26,185,0.7391304347826086,0.6153846153846154,0.6378378378378379,0.7647058823529412,0.6666666666666666,0.6564102564102564,0.7388888888888889,0.6031746031746031,0.6040869262132302,0.10129259694477077,Possible underfitting
amplitude_only,1,S4_train_I_D1_val_D2_3,three_class_with_air,RBF LS-SVM,gamma_mult=0.5;c_value=1.0,validation_accuracy_macro_f1_balanced_accuracy,46,26,185,0.7608695652173914,0.6153846153846154,0.6756756756756757,0.7843137254901961,0.6666666666666666,0.6923076923076924,0.7625000000000001,0.6031746031746031,0.6336996336996337,0.0851938895417157,Reasonable or mild shift
amplitude_only,1,S4_train_I_D1_val_D2_3,binary_without_air,LDA,shrinkage=0.01,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,0.8235294117647058,0.5,0.5384615384615384,0.8235294117647058,0.5,0.5384615384615384,0.8210526315789475,0.40476190476190477,0.465607015620718,0.2850678733031674,High train-test gap
amplitude_only,1,S4_train_I_D1_val_D2_3,binary_without_air,Logistic Regression,l2=0.05,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,0.7941176470588235,0.55,0.5615384615384615,0.7941176470588236,0.55,0.5615384615384615,0.7925021795989537,0.4871794871794872,0.5076739087103848,0.23257918552036194,Reasonable or mild shift
amplitude_only,1,S4_train_I_D1_val_D2_3,binary_without_air,kNN,k=3,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,0.8235294117647058,0.5,0.5384615384615384,0.8235294117647058,0.5,0.5384615384615384,0.8210526315789475,0.40476190476190477,0.4505494505494505,0.2850678733031674,High train-test gap
amplitude_only,1,S4_train_I_D1_val_D2_3,binary_without_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,0.8235294117647058,0.5,0.5384615384615384,0.8235294117647058,0.5,0.5384615384615384,0.8210526315789475,0.40476190476190477,0.465607015620718,0.2850678733031674,High train-test gap
amplitude_only,1,S4_train_I_D1_val_D2_3,binary_without_air,RBF LS-SVM,gamma_mult=0.5;c_value=1.0,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,0.8235294117647058,0.5,0.5384615384615384,0.8235294117647058,0.5,0.5384615384615384,0.8210526315789475,0.40476190476190477,0.465607015620718,0.2850678733031674,High train-test gap
