experiment,feature_dim,split,task,model,best_params,selection_method,train_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,fit_assessment,full54_best_model,full54_test_accuracy,full54_test_macro_f1,control_minus_full54_accuracy
amplitude_only,1,S1_train_I_test_all,three_class_with_air,LDA,shrinkage=0.1,fixed_default_no_validation,30,0,227,0.6666666666666666,,0.6960352422907489,0.7222222222222223,,0.7125,0.6707348080345792,,0.6814224112469726,-0.029368575624082238,Possible underfitting,RBF LS-SVM,0.8237885462555066,0.8283062838780196,-0.1277533039647577
amplitude_only,1,S1_train_I_test_all,binary_without_air,kNN,k=3,fixed_default_no_validation,24,0,160,0.7916666666666666,,0.575,0.7916666666666667,,0.575,0.7822141560798548,,0.5402298850574712,0.21666666666666667,Reasonable or mild shift,RBF LS-SVM,0.8125,0.8088867654085046,-0.23750000000000004
amplitude_only,1,S2_train_I_internal_val_test_all,three_class_with_air,LDA,shrinkage=0.01,validation_accuracy_macro_f1_balanced_accuracy,25,5,227,0.68,0.6,0.6916299559471366,0.7333333333333334,0.6666666666666666,0.7083333333333334,0.688095238095238,0.611111111111111,0.6794484784204945,-0.011629955947136561,Possible underfitting,RBF LS-SVM,0.8281938325991189,0.8286328188186322,-0.13656387665198233
amplitude_only,1,S2_train_I_internal_val_test_all,binary_without_air,RBF LS-SVM,gamma_mult=0.5;c_value=1.0,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,0.85,0.75,0.575,0.85,0.75,0.575,0.8465473145780051,0.7333333333333334,0.5733333333333333,0.275,Possible overfitting or domain shift,RBF LS-SVM,0.89375,0.8930439227714208,-0.3187500000000001
amplitude_only,1,S3_train_I_val_D1_2,three_class_with_air,kNN,k=7,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,0.7,0.7857142857142857,0.6834170854271356,0.7222222222222223,0.7999999999999999,0.6991121872477805,0.7059314954051796,0.7999999999999999,0.6575737235423099,0.016582914572864316,Reasonable or mild shift,RBF LS-SVM,0.7788944723618091,0.7842285754486732,-0.09547738693467345
amplitude_only,1,S3_train_I_val_D1_2,binary_without_air,Logistic Regression,l2=0.05,validation_accuracy_macro_f1_balanced_accuracy,24,20,140,0.8333333333333334,0.7,0.5857142857142857,0.8333333333333333,0.7,0.5857142857142856,0.8285714285714285,0.6875,0.5770833333333334,0.24761904761904763,Possible overfitting or domain shift,RBF LS-SVM,0.7928571428571428,0.786034255599473,-0.20714285714285707
amplitude_only,1,S4_train_I_D1_val_D2_3,three_class_with_air,RBF LS-SVM,gamma_mult=0.5;c_value=1.0,validation_accuracy_macro_f1_balanced_accuracy,46,26,185,0.7608695652173914,0.6153846153846154,0.6756756756756757,0.7843137254901961,0.6666666666666666,0.6923076923076924,0.7625000000000001,0.6031746031746031,0.6336996336996337,0.0851938895417157,Reasonable or mild shift,RBF LS-SVM,0.8432432432432433,0.8398452443053382,-0.16756756756756763
amplitude_only,1,S4_train_I_D1_val_D2_3,binary_without_air,Logistic Regression,l2=0.05,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,0.7941176470588235,0.55,0.5615384615384615,0.7941176470588236,0.55,0.5615384615384615,0.7925021795989537,0.4871794871794872,0.5076739087103848,0.23257918552036194,Reasonable or mild shift,Logistic Regression,0.8538461538461538,0.8506560251526695,-0.29230769230769227
amplitude_only,1,S5_train_I_D1_2_val_D3_5,three_class_with_air,kNN,k=3,validation_accuracy_macro_f1_balanced_accuracy,58,40,159,0.7931034482758621,0.625,0.6855345911949685,0.8008658008658008,0.6666666666666666,0.6962275819418676,0.8055836992007205,0.6148908857509628,0.6844460008288927,0.10756885708089359,Reasonable or mild shift,Logistic Regression,0.9056603773584906,0.9053756185335132,-0.22012578616352207
amplitude_only,1,S5_train_I_D1_2_val_D3_5,binary_without_air,Logistic Regression,l2=0.05,validation_accuracy_macro_f1_balanced_accuracy,44,30,110,0.75,0.5333333333333333,0.5636363636363636,0.75,0.5333333333333333,0.5636363636363636,0.7467294610151753,0.475,0.5175438596491229,0.1863636363636364,Reasonable or mild shift,Logistic Regression,0.9363636363636364,0.9361048875611984,-0.3727272727272728
