protocol,description,task,model,best_params,train_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,validation_test_accuracy_gap,fit_assessment
A_cross_period_low_target,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19,three_class,LDA,shrinkage=0.01,36,24,182,1.0,0.75,0.7252747252747253,1.0,0.7999999999999999,0.7153846153846154,1.0,0.7301587301587301,0.7161169505859611,0.27472527472527475,0.02472527472527475,reasonable_or_mild_shift
A_cross_period_low_target,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19,three_class,Logistic Regression,l2=0.001,36,24,182,1.0,0.75,0.8076923076923077,1.0,0.7999999999999999,0.8102564102564104,1.0,0.7284878863826232,0.7983345059983947,0.1923076923076923,-0.05769230769230771,reasonable_or_mild_shift
A_cross_period_low_target,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19,three_class,kNN,k=1,36,24,182,1.0,0.625,0.5879120879120879,1.0,0.6999999999999998,0.5846153846153846,1.0,0.6930946291560103,0.5915364213318178,0.41208791208791207,0.03708791208791207,reasonable_or_mild_shift
A_cross_period_low_target,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19,three_class,Random Forest,subspace_mult=3.0,36,24,182,0.6944444444444444,0.5833333333333334,0.6318681318681318,0.7843137254901961,0.6666666666666666,0.6564102564102564,0.6240856844305119,0.5566703827573393,0.5874156232496229,0.06257631257631258,-0.04853479853479847,possible_underfitting
A_cross_period_low_target,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19,three_class,RBF LS-SVM,gamma_mult=2.0;c_value=10.0,36,24,182,1.0,1.0,0.7637362637362637,1.0,1.0,0.7525641025641026,1.0,1.0,0.7607499966625282,0.2362637362637363,0.2362637362637363,possible_overfitting_or_domain_shift
A_cross_period_low_target,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19,binary_alcohol_acetone,LDA,shrinkage=0.25,34,20,130,0.9705882352941176,0.95,0.8076923076923077,0.9705882352941176,0.95,0.8076923076923077,0.9705627705627706,0.949874686716792,0.8003072196620584,0.16289592760180993,0.14230769230769225,reasonable_or_mild_shift
A_cross_period_low_target,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19,binary_alcohol_acetone,Logistic Regression,l2=0.05,34,20,130,1.0,0.95,0.8538461538461538,1.0,0.95,0.8538461538461539,1.0,0.949874686716792,0.8506560251526695,0.1461538461538462,0.09615384615384615,reasonable_or_mild_shift
A_cross_period_low_target,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19,binary_alcohol_acetone,kNN,k=3,34,20,130,0.9411764705882353,0.65,0.6538461538461539,0.9411764705882353,0.6499999999999999,0.6538461538461539,0.9411764705882353,0.6491228070175439,0.6528395940893715,0.2873303167420814,-0.0038461538461538325,reasonable_or_mild_shift
A_cross_period_low_target,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19,binary_alcohol_acetone,Random Forest,subspace_mult=1.5,34,20,130,0.7941176470588235,0.55,0.6,0.7941176470588236,0.55,0.6000000000000001,0.7925021795989537,0.4871794871794872,0.5305555555555557,0.1941176470588235,-0.04999999999999993,reasonable_or_mild_shift
A_cross_period_low_target,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19,binary_alcohol_acetone,RBF LS-SVM,gamma_mult=0.5;c_value=100.0,34,20,130,1.0,1.0,0.7923076923076923,1.0,1.0,0.7923076923076924,1.0,1.0,0.7855964815832877,0.20769230769230773,0.20769230769230773,possible_overfitting_or_domain_shift
