experiment,split,variant,mode,seed,alignment_strength,best_epoch,lr_C,probe_dimensions,label_usage,alignment_label_usage,selection_usage,final_training,neural_test_accuracy,lr_train_accuracy,lr_train_balanced_accuracy,lr_train_macro_f1,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1
feature-fusion,S1_train_I_test_all,FEATURE-FUSION-UDA,uda,0,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.9010989010989012,1.0,1.0,1.0,0.8974358974358975,0.893775720164609,0.8989414622628294
feature-fusion,S1_train_I_test_all,FEATURE-FUSION-UDA,uda,1,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8534798534798534,1.0,1.0,1.0,0.8608058608058609,0.8571244855967078,0.8640496594864341
feature-fusion,S1_train_I_test_all,FEATURE-FUSION-UDA,uda,2,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8974358974358975,1.0,1.0,1.0,0.8937728937728938,0.8883744855967078,0.8941126319535266
feature-fusion,S1_train_I_test_all,FEATURE-FUSION-UDA,uda,3,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8534798534798534,1.0,1.0,1.0,0.8754578754578755,0.8703703703703703,0.8768968221023016
feature-fusion,S1_train_I_test_all,FEATURE-FUSION-UDA,uda,4,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8864468864468864,1.0,1.0,1.0,0.8754578754578755,0.871656378600823,0.8776706378899798
feature-fusion,S2_train_I_internal_val_test_all,FEATURE-FUSION-UDA,uda,0,0.2,180,1.0,70,source train + source validation labels,CDAN domain labels plus class-conditional centroid weights,source validation labels,source train+source validation refit,0.8351648351648352,1.0,1.0,1.0,0.8681318681318682,0.8653549382716049,0.8709176290384345
feature-fusion,S2_train_I_internal_val_test_all,FEATURE-FUSION-UDA,uda,1,0.2,340,1.0,70,source train + source validation labels,CDAN domain labels plus class-conditional centroid weights,source validation labels,source train+source validation refit,0.8681318681318682,1.0,1.0,1.0,0.8791208791208791,0.8757716049382717,0.8810766444491044
feature-fusion,S2_train_I_internal_val_test_all,FEATURE-FUSION-UDA,uda,2,0.2,370,1.0,70,source train + source validation labels,CDAN domain labels plus class-conditional centroid weights,source validation labels,source train+source validation refit,0.8717948717948718,1.0,1.0,1.0,0.8717948717948718,0.8681841563786009,0.8752982222611599
feature-fusion,S2_train_I_internal_val_test_all,FEATURE-FUSION-UDA,uda,3,0.2,290,1.0,70,source train + source validation labels,CDAN domain labels plus class-conditional centroid weights,source validation labels,source train+source validation refit,0.8717948717948718,1.0,1.0,1.0,0.8644688644688645,0.8612397119341564,0.8678709770434597
feature-fusion,S2_train_I_internal_val_test_all,FEATURE-FUSION-UDA,uda,4,0.2,180,1.0,70,source train + source validation labels,CDAN domain labels plus class-conditional centroid weights,source validation labels,source train+source validation refit,0.8717948717948718,1.0,1.0,1.0,0.8827838827838828,0.8792438271604938,0.8837957933218341
feature-fusion,S3_train_I_internal_20_10_test_all,FEATURE-FUSION-UDA,uda,0,0.2,350,1.0,70,source train + source validation labels,CDAN domain labels plus class-conditional centroid weights,source validation labels,source train+source validation refit,0.8901098901098901,1.0,1.0,1.0,0.8937728937728938,0.8890174897119341,0.8952440515141991
feature-fusion,S3_train_I_internal_20_10_test_all,FEATURE-FUSION-UDA,uda,1,0.2,10,1.0,70,source train + source validation labels,CDAN domain labels plus class-conditional centroid weights,source validation labels,source train+source validation refit,0.6996336996336996,1.0,1.0,1.0,0.8424908424908425,0.8416923868312757,0.8487958164517404
feature-fusion,S3_train_I_internal_20_10_test_all,FEATURE-FUSION-UDA,uda,2,0.2,400,1.0,70,source train + source validation labels,CDAN domain labels plus class-conditional centroid weights,source validation labels,source train+source validation refit,0.9010989010989012,1.0,1.0,1.0,0.8901098901098901,0.8849022633744856,0.8903477924825998
feature-fusion,S3_train_I_internal_20_10_test_all,FEATURE-FUSION-UDA,uda,3,0.2,20,1.0,70,source train + source validation labels,CDAN domain labels plus class-conditional centroid weights,source validation labels,source train+source validation refit,0.684981684981685,1.0,1.0,1.0,0.8827838827838828,0.8805298353909464,0.886605811876671
feature-fusion,S3_train_I_internal_20_10_test_all,FEATURE-FUSION-UDA,uda,4,0.2,10,1.0,70,source train + source validation labels,CDAN domain labels plus class-conditional centroid weights,source validation labels,source train+source validation refit,0.6923076923076923,1.0,1.0,1.0,0.8608058608058609,0.8616255144032922,0.8666205956066637
feature-fusion,S4_train_I_val_D1_2,FEATURE-FUSION-SEMI,semi,0,0.2,370,1.0,70,source + labeled target,CDAN domain labels plus class-conditional centroid weights,target validation labels,Source+Target refit,0.8693877551020408,1.0,1.0,1.0,0.9142857142857144,0.9151534458957205,0.9170724993978976
