experiment,split,mode,alignment_strength,lr_C,probe_dimensions,label_usage,alignment_label_usage,selection_usage,final_training,seeds,neural_test_accuracy,neural_test_accuracy_std,neural_test_accuracy_min,neural_test_accuracy_max,lr_train_accuracy,lr_train_accuracy_std,lr_train_accuracy_min,lr_train_accuracy_max,lr_train_balanced_accuracy,lr_train_balanced_accuracy_std,lr_train_balanced_accuracy_min,lr_train_balanced_accuracy_max,lr_train_macro_f1,lr_train_macro_f1_std,lr_train_macro_f1_min,lr_train_macro_f1_max,lr_test_accuracy,lr_test_accuracy_std,lr_test_accuracy_min,lr_test_accuracy_max,lr_test_balanced_accuracy,lr_test_balanced_accuracy_std,lr_test_balanced_accuracy_min,lr_test_balanced_accuracy_max,lr_test_macro_f1,lr_test_macro_f1_std,lr_test_macro_f1_min,lr_test_macro_f1_max,best_epoch,best_epoch_std,best_epoch_min,best_epoch_max
feature-fusion,S1_train_I_test_all,uda,0.2,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"0,1,2,3,4",0.8783882783882785,0.02336870023111592,0.8534798534798534,0.9010989010989012,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8805860805860807,0.015013847276131281,0.8608058608058609,0.8974358974358975,0.8762602880658437,0.014795355625859399,0.8571244855967078,0.893775720164609,0.8823342427390143,0.014143646372927952,0.8640496594864341,0.8989414622628294,400.0,0.0,400.0,400.0
feature-fusion,S2_train_I_internal_val_test_all,uda,0.2,1.0,70,source train + source validation labels,CDAN domain labels plus class-conditional centroid weights,source validation labels,source train+source validation refit,"0,1,2,3,4",0.8637362637362639,0.016050477875609256,0.8351648351648352,0.8717948717948718,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8732600732600734,0.007595766063489981,0.8644688644688645,0.8827838827838828,0.8699588477366256,0.007422395673015525,0.8612397119341564,0.8792438271604938,0.8757918532227986,0.006684573430457873,0.8678709770434597,0.8837957933218341,272.0,88.7130204648675,180.0,370.0
feature-fusion,S3_train_I_internal_20_10_test_all,uda,0.2,1.0,70,source train + source validation labels,CDAN domain labels plus class-conditional centroid weights,source validation labels,source train+source validation refit,"0,1,2,3,4",0.7736263736263738,0.11153831116875171,0.684981684981685,0.9010989010989012,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8739926739926741,0.021763297842509802,0.8424908424908425,0.8937728937728938,0.8715534979423868,0.01971044136378663,0.8416923868312757,0.8890174897119341,0.8775228135863749,0.019397950514004853,0.8487958164517404,0.8952440515141991,158.0,198.92209530366404,10.0,400.0
feature-fusion,S4_train_I_val_D1_2,semi,0.2,1.0,70,source + labeled target,CDAN domain labels plus class-conditional centroid weights,target validation labels,Source+Target refit,"0,1,2,3,4",0.8832653061224489,0.011759069625214634,0.8693877551020408,0.8979591836734694,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9240816326530613,0.00939662402711939,0.9142857142857144,0.9387755102040816,0.9244557714771158,0.00892315072342739,0.9151534458957205,0.9384092598492088,0.9262933752484415,0.00889677735014508,0.9170724993978976,0.9402279708651342,180.0,127.27922061357856,70.0,370.0
feature-fusion,S4_train_I_val_D1_2,uda,0.2,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"0,1,2,3,4",0.8775510204081634,0.023089201018336263,0.8489795918367347,0.8979591836734694,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8783673469387754,0.01591313362417791,0.8571428571428571,0.8979591836734694,0.8745566528618456,0.015770542090286267,0.8539874694701073,0.89481788255283,0.8807807904839887,0.015282770572156159,0.8607553062998607,0.900499097124665,400.0,0.0,400.0,400.0
feature-fusion,S5_train_I_D1_val_D2_3,semi,0.05,1.0,70,source + labeled target,CDAN domain labels plus class-conditional centroid weights,target validation labels,Source+Target refit,"0,1,2,3,4",0.9030303030303031,0.009966116392399464,0.8874458874458875,0.9134199134199136,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9246753246753248,0.005807968772726729,0.922077922077922,0.935064935064935,0.9246734657362676,0.005609738918085821,0.9216317767042403,0.9346931472535336,0.9272952286075788,0.005568477917837605,0.9246679283010782,0.9372522214627476,174.0,89.05054744357274,70.0,300.0
feature-fusion,S5_train_I_D1_val_D2_3,uda,0.2,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"0,1,2,3,4",0.8761904761904763,0.022200660441485845,0.8484848484848485,0.8961038961038961,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8779220779220779,0.014807473053235567,0.8571428571428571,0.8961038961038961,0.8743603506888531,0.014760541527880464,0.8541778493469314,0.8933619609948112,0.8804494996954066,0.014329744355881939,0.8607757488960496,0.8989527763103901,400.0,0.0,400.0,400.0
feature-fusion,S6_train_I_D1_2_val_D3_5,semi,0.5,1.0,70,source + labeled target,CDAN domain labels plus class-conditional centroid weights,target validation labels,Source+Target refit,"0,1,2,3,4",0.9502439024390243,0.0180553712422651,0.9365853658536586,0.9804878048780488,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9648780487804878,0.0072353155971665185,0.9560975609756096,0.975609756097561,0.9641702064237275,0.007535932299338243,0.955361800432223,0.975333482375736,0.9653800477173732,0.007205519589492521,0.9569464023895856,0.9760915428289364,286.0,122.5969004502153,120.0,390.0
feature-fusion,S6_train_I_D1_2_val_D3_5,uda,0.2,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"0,1,2,3,4",0.8760975609756099,0.023797679839318037,0.848780487804878,0.902439024390244,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.878048780487805,0.01194873045260088,0.8634146341463415,0.8926829268292683,0.8749981369699681,0.011936147138568514,0.8607943960056635,0.8901557493106789,0.8802862652179518,0.01161279412068786,0.8664124219940373,0.8952795300112869,400.0,0.0,400.0,400.0
feature-fusion,S7_train_I_D1_3_val_D4_5,semi,0.5,1.0,70,source + labeled target,CDAN domain labels plus class-conditional centroid weights,target validation labels,Source+Target refit,"0,1,2,3,4",0.9268292682926831,0.014634146341463428,0.9121951219512195,0.951219512195122,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9541463414634146,0.007397927262489281,0.946341463414634,0.9658536585365852,0.9530069304717191,0.00785210911991228,0.9447797898502124,0.9653476414039792,0.9547851921862479,0.0073397298208628505,0.9472027415994784,0.9664730933023616,106.0,127.59310326189265,30.0,330.0
feature-fusion,S7_train_I_D1_3_val_D4_5,uda,0.2,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"0,1,2,3,4",0.8760975609756099,0.023797679839318037,0.848780487804878,0.902439024390244,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.878048780487805,0.01194873045260088,0.8634146341463415,0.8926829268292683,0.8749981369699681,0.011936147138568514,0.8607943960056635,0.8901557493106789,0.8802862652179518,0.01161279412068786,0.8664124219940373,0.8952795300112869,400.0,0.0,400.0,400.0
local-mkmmd,S1_train_I_test_all,uda,0.1,1.0,16,source labels only,detached target class probabilities,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"0,1,2,3,4",0.8454212454212454,0.023935984253046935,0.8241758241758241,0.8864468864468864,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8659340659340659,0.01842458071788906,0.8388278388278388,0.8864468864468864,0.8641718106995885,0.01754456494444672,0.8388631687242798,0.8840020576131687,0.8653593717304139,0.018342456714434817,0.8377708912737653,0.8847810429271105,400.0,0.0,400.0,400.0
residual-mkmmd,S1_train_I_test_all,uda,0.1,1.0,54,source labels only,target features only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"0,1,2,3,4",0.8315018315018314,0.051282051282051315,0.7619047619047619,0.8717948717948718,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8417582417582418,0.027582198676947552,0.8021978021978022,0.8717948717948718,0.8397119341563787,0.025869007337575044,0.8015689300411522,0.8675411522633745,0.8443031357001161,0.02661364666491742,0.8060748373038048,0.8735300964751644,400.0,0.0,400.0,400.0
residual-mkmmd,S2_train_I_internal_val_test_all,uda,0.1,1.0,54,source train + source validation labels,target features only,source validation labels,source train+source validation refit,"0,1,2,3,4",0.8117216117216117,0.02960015216239841,0.7765567765567766,0.8534798534798534,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8102564102564103,0.036483222265168445,0.7582417582417582,0.8534798534798534,0.8093364197530863,0.034083051651764784,0.7605452674897119,0.8495370370370371,0.8139825779752474,0.036162662901830955,0.7608742733574626,0.8551871192132103,170.0,99.74968671630002,10.0,260.0
residual-mkmmd,S3_train_I_internal_20_10_test_all,uda,0.01,1.0,54,source train + source validation labels,target features only,source validation labels,source train+source validation refit,"0,1,2,3,4",0.7333333333333334,0.027337887409590197,0.6996336996336996,0.7692307692307693,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7897435897435897,0.02982593844076524,0.7728937728937729,0.8424908424908425,0.7909207818930042,0.029124097533904634,0.7731481481481483,0.8423353909465021,0.7929491400770912,0.029776579458490087,0.7728162706343918,0.8453712695573161,10.0,0.0,10.0,10.0
