experiment,split,mode,alignment_strength,seed,best_epoch,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,selection_usage
local-mkmmd,S1_train_I_test_all,uda,0.1,0,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
local-mkmmd,S1_train_I_test_all,uda,0.1,1,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
local-mkmmd,S1_train_I_test_all,uda,0.1,2,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
local-mkmmd,S1_train_I_test_all,uda,0.1,3,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
local-mkmmd,S1_train_I_test_all,uda,0.1,4,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
local-mkmmd,S2_train_I_internal_val_test_all,uda,0.01,0,390,0.8,0.8333333333333334,0.7777777777777777,source validation labels
local-mkmmd,S2_train_I_internal_val_test_all,uda,0.01,1,10,0.6,0.6666666666666666,0.611111111111111,source validation labels
local-mkmmd,S2_train_I_internal_val_test_all,uda,0.01,2,320,0.8,0.8333333333333334,0.7777777777777777,source validation labels
local-mkmmd,S2_train_I_internal_val_test_all,uda,0.01,3,10,0.6,0.6666666666666666,0.611111111111111,source validation labels
local-mkmmd,S2_train_I_internal_val_test_all,uda,0.01,4,80,0.8,0.8333333333333334,0.7777777777777777,source validation labels
local-mkmmd,S2_train_I_internal_val_test_all,uda,0.1,0,10,0.8,0.8333333333333334,0.7777777777777777,source validation labels
local-mkmmd,S2_train_I_internal_val_test_all,uda,0.1,1,390,0.8,0.8333333333333334,0.7777777777777777,source validation labels
local-mkmmd,S2_train_I_internal_val_test_all,uda,0.1,2,40,0.8,0.8333333333333334,0.7777777777777777,source validation labels
local-mkmmd,S2_train_I_internal_val_test_all,uda,0.1,3,10,0.8,0.8333333333333334,0.7777777777777777,source validation labels
local-mkmmd,S2_train_I_internal_val_test_all,uda,0.1,4,100,0.8,0.8333333333333334,0.7777777777777777,source validation labels
local-mkmmd,S2_train_I_internal_val_test_all,uda,1.0,0,30,0.8,0.8333333333333334,0.8222222222222223,source validation labels
residual-mkmmd,S1_train_I_test_all,uda,0.1,0,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S1_train_I_test_all,uda,0.1,1,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S1_train_I_test_all,uda,0.1,2,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S1_train_I_test_all,uda,0.1,3,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S1_train_I_test_all,uda,0.1,4,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S2_train_I_internal_val_test_all,uda,0.01,0,20,0.8,0.8333333333333334,0.7777777777777777,source validation labels
residual-mkmmd,S2_train_I_internal_val_test_all,uda,0.01,1,20,0.8,0.8333333333333334,0.7777777777777777,source validation labels
residual-mkmmd,S2_train_I_internal_val_test_all,uda,0.01,2,20,0.8,0.8333333333333334,0.7777777777777777,source validation labels
residual-mkmmd,S2_train_I_internal_val_test_all,uda,0.01,3,10,0.6,0.6666666666666666,0.611111111111111,source validation labels
residual-mkmmd,S2_train_I_internal_val_test_all,uda,0.01,4,210,0.8,0.8333333333333334,0.7777777777777777,source validation labels
residual-mkmmd,S2_train_I_internal_val_test_all,uda,0.1,0,260,1.0,1.0,1.0,source validation labels
residual-mkmmd,S2_train_I_internal_val_test_all,uda,0.1,1,210,1.0,1.0,1.0,source validation labels
residual-mkmmd,S2_train_I_internal_val_test_all,uda,0.1,2,230,1.0,1.0,1.0,source validation labels
residual-mkmmd,S2_train_I_internal_val_test_all,uda,0.1,3,140,0.8,0.8333333333333334,0.7777777777777777,source validation labels
residual-mkmmd,S2_train_I_internal_val_test_all,uda,0.1,4,10,0.8,0.8333333333333334,0.7777777777777777,source validation labels
residual-mkmmd,S2_train_I_internal_val_test_all,uda,1.0,0,10,0.8,0.8333333333333334,0.7777777777777777,source validation labels
residual-mkmmd,S2_train_I_internal_val_test_all,uda,1.0,1,20,1.0,1.0,1.0,source validation labels
residual-mkmmd,S2_train_I_internal_val_test_all,uda,1.0,2,140,1.0,1.0,1.0,source validation labels
residual-mkmmd,S2_train_I_internal_val_test_all,uda,1.0,3,10,0.8,0.8333333333333334,0.7777777777777777,source validation labels
residual-mkmmd,S2_train_I_internal_val_test_all,uda,1.0,4,380,1.0,1.0,1.0,source validation labels
residual-mkmmd,S3_train_I_internal_20_10_test_all,uda,0.01,0,10,0.7,0.6666666666666666,0.6518518518518519,source validation labels
residual-mkmmd,S3_train_I_internal_20_10_test_all,uda,0.01,1,10,0.7,0.6666666666666666,0.6518518518518519,source validation labels
residual-mkmmd,S3_train_I_internal_20_10_test_all,uda,0.01,2,10,0.7,0.6666666666666666,0.6518518518518519,source validation labels
residual-mkmmd,S3_train_I_internal_20_10_test_all,uda,0.01,3,10,0.7,0.6666666666666666,0.6518518518518519,source validation labels
residual-mkmmd,S3_train_I_internal_20_10_test_all,uda,0.01,4,10,0.7,0.6666666666666666,0.6518518518518519,source validation labels
residual-mkmmd,S3_train_I_internal_20_10_test_all,uda,0.1,0,10,0.7,0.6666666666666666,0.6518518518518519,source validation labels
residual-mkmmd,S3_train_I_internal_20_10_test_all,uda,0.1,1,10,0.7,0.6666666666666666,0.6518518518518519,source validation labels
residual-mkmmd,S3_train_I_internal_20_10_test_all,uda,0.1,2,10,0.7,0.6666666666666666,0.6518518518518519,source validation labels
residual-mkmmd,S3_train_I_internal_20_10_test_all,uda,0.1,3,10,0.7,0.6666666666666666,0.6518518518518519,source validation labels
residual-mkmmd,S3_train_I_internal_20_10_test_all,uda,0.1,4,10,0.7,0.6666666666666666,0.6518518518518519,source validation labels
residual-mkmmd,S3_train_I_internal_20_10_test_all,uda,1.0,0,10,0.7,0.6666666666666666,0.6518518518518519,source validation labels
