split,description,task,variant,lambda,conditional_alignment_strength,seed,classifier_label_usage,domain_label_usage,model_selection_labels,selection_status,best_epoch,feature_extractor_objective,condition_map,classifier_train_n,source_train_n,source_val_n,target_labeled_train_n,target_domain_n,target_validation_n,target_test_n,train_test_accuracy_gap,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,domain_discriminator_accuracy,L_last,Ld_last,Ld_cdan_last,Lc_last,backward_loss_scalar_last
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,,0,source labels only,source/target domain labels only; gas labels not used for domain losses,no validation; fixed hyperparameters,no validation; fixed default hyperparameters,400,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,0,273,0.28937728937728935,1.0,,0.7106227106227107,1.0,,0.719264403292181,1.0,,0.7175916262125096,0.9042904290429042,0.00022588875435758382,0.0,0.2745550274848938,0.0,0.27478092908859253
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,,1,source labels only,source/target domain labels only; gas labels not used for domain losses,no validation; fixed hyperparameters,no validation; fixed default hyperparameters,400,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,0,273,0.19047619047619047,1.0,,0.8095238095238095,1.0,,0.8149434156378601,1.0,,0.8063437485494749,0.9042904290429042,0.006158812437206507,0.0,0.36902883648872375,0.0,0.37518763542175293
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,,2,source labels only,source/target domain labels only; gas labels not used for domain losses,no validation; fixed hyperparameters,no validation; fixed default hyperparameters,400,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,0,273,0.18315018315018317,1.0,,0.8168498168498168,1.0,,0.8180298353909464,1.0,,0.8179371353284397,0.9042904290429042,0.00013899496116209775,0.0,0.28582897782325745,0.0,0.28596797585487366
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,,3,source labels only,source/target domain labels only; gas labels not used for domain losses,no validation; fixed hyperparameters,no validation; fixed default hyperparameters,400,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,0,273,0.19047619047619047,1.0,,0.8095238095238095,1.0,,0.8117283950617283,1.0,,0.8105427174775741,0.8976897689768977,0.0005094178486615419,0.0,0.3020840585231781,0.0,0.302593469619751
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,,4,source labels only,source/target domain labels only; gas labels not used for domain losses,no validation; fixed hyperparameters,no validation; fixed default hyperparameters,400,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,0,273,0.19413919413919412,1.0,,0.8058608058608059,1.0,,0.8031121399176954,1.0,,0.8085965041906297,0.8976897689768977,1.758556390996091e-05,0.0,0.2855209410190582,0.0,0.28553852438926697
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,CDAN+C-DANN-UDA,0.2,0.2,0,source labels only,source/target domain labels only; gas labels not used for domain losses,no validation; fixed hyperparameters,no validation; fixed default hyperparameters,400,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,0,273,0.1208791208791209,1.0,,0.8791208791208791,1.0,,0.8757716049382717,1.0,,0.8818357816451602,0.900990099009901,0.0010370821692049503,0.31868645548820496,0.31752297282218933,0.009796957485377789,0.6392058730125427
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,CDAN+C-DANN-UDA,0.2,0.2,1,source labels only,source/target domain labels only; gas labels not used for domain losses,no validation; fixed hyperparameters,no validation; fixed default hyperparameters,400,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,0,273,0.12454212454212454,1.0,,0.8754578754578755,1.0,,0.8722993827160495,1.0,,0.8766300670323224,0.900990099009901,0.002395642688497901,0.31830736994743347,0.3135431110858917,0.0077353878878057,0.6357932090759277
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,CDAN+C-DANN-UDA,0.2,0.2,2,source labels only,source/target domain labels only; gas labels not used for domain losses,no validation; fixed hyperparameters,no validation; fixed default hyperparameters,400,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,0,273,0.12454212454212454,1.0,,0.8754578754578755,1.0,,0.8722993827160493,1.0,,0.8776514000806667,0.900990099009901,0.0006516732973977923,0.3212037682533264,0.31793656945228577,0.011268249712884426,0.6420456767082214
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,CDAN+C-DANN-UDA,0.2,0.2,3,source labels only,source/target domain labels only; gas labels not used for domain losses,no validation; fixed hyperparameters,no validation; fixed default hyperparameters,400,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,0,273,0.10989010989010994,1.0,,0.8901098901098901,1.0,,0.8855452674897121,1.0,,0.8911108629100518,0.900990099009901,0.002812554594129324,0.32480645179748535,0.32348114252090454,0.011630172841250896,0.6534261703491211
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,CDAN+C-DANN-UDA,0.2,0.2,4,source labels only,source/target domain labels only; gas labels not used for domain losses,no validation; fixed hyperparameters,no validation; fixed default hyperparameters,400,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,0,273,0.10989010989010994,1.0,,0.8901098901098901,1.0,,0.887474279835391,1.0,,0.8917762902322233,0.900990099009901,0.0005548581830225885,0.3212665915489197,0.3147349953651428,0.007804134860634804,0.638117253780365
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.05,,0,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,205,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.2344322344322345,1.0,1.0,0.7655677655677655,1.0,1.0,0.768775720164609,1.0,1.0,0.7683449812288984,0.9295302013422819,0.0006392935756593943,0.0,0.22710667550563812,0.0,0.22774596512317657
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.05,,1,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,365,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.21611721611721613,1.0,0.8,0.7838827838827839,1.0,0.8333333333333334,0.7848508230452674,1.0,0.7777777777777777,0.7821690560469484,0.9228187919463087,0.0001052712177624926,0.0,0.23286987841129303,0.0,0.23297515511512756
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.05,,2,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,10,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.1696703296703297,0.84,0.8,0.6703296703296703,0.8333333333333334,0.8333333333333334,0.6784979423868313,0.8330827067669174,0.8222222222222223,0.6724921554445721,0.9161073825503355,0.5551199913024902,0.0,0.33853521943092346,0.0,0.8936551809310913
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.05,,3,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,285,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.26007326007326004,1.0,1.0,0.73992673992674,1.0,1.0,0.7425411522633745,1.0,1.0,0.7476862495111636,0.9161073825503355,0.00017229944933205843,0.0,0.23819179832935333,0.0,0.2383641004562378
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.05,,4,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,15,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.267985347985348,0.92,0.8,0.652014652014652,0.9333333333333332,0.8333333333333334,0.6624228395061729,0.9333333333333332,0.7777777777777777,0.6248201033523179,0.9161073825503355,0.2895534038543701,0.0,0.396767795085907,0.0,0.6863211989402771
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,,0,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,195,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.293040293040293,1.0,1.0,0.706959706959707,1.0,1.0,0.7145061728395062,1.0,1.0,0.7102111859781935,0.9228187919463087,0.0033067597541958094,0.0,0.26121559739112854,0.0,0.26452234387397766
