split,task,variant,space,label,domain,partition,period,day,day_num,target_file,x,y
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day 1 afternoon,1,acetone\acetone_o1.csv,-3.094899110423437,2.2649248387937178
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day 1 afternoon,1,acetone\acetone_o2.csv,-2.9156879324849547,4.022482830614478
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day 1 afternoon,1,acetone\acetone_o3.csv,2.0826272363521006,-1.8174089899737755
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day 2 noon,2,acetone\acetone_o4.csv,15.269107486917628,4.698834833223261
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day 2 noon,2,acetone\acetone_o5.csv,11.889980064770155,2.2021012093529806
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day 2 noon,2,acetone\acetone_o6.csv,6.254027247834921,2.693020574959872
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day 2 afternoon,2,acetone\acetone_o7.csv,-3.4604133356676443,1.4880048738924199
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day 2 afternoon,2,acetone\acetone_o8.csv,-0.22620058800529438,-1.9637566813304141
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day 2 afternoon,2,acetone\acetone_o9.csv,6.738850994682758,0.1377814059758779
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day 3 noon,3,acetone\acetone_o10.csv,2.5672296925780724,0.4385075518395807
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day 3 noon,3,acetone\acetone_o11.csv,5.261374613619959,4.677483644185719
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day 3 noon,3,acetone\acetone_o12.csv,17.773808302842113,3.4107410111615333
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,source,source_train,Period_I,baseline,0,air\baseline_1.csv,-3.9631350246792216,-1.2786286755135594
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,source,source_train,Period_I,baseline,0,air\baseline_3.csv,-4.6793330236443795,0.9706193649396356
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,source,source_train,Period_I,baseline,0,air\baseline_4.csv,-4.122701632315624,2.9688389578357093
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,source,source_train,Period_I,baseline,0,air\baseline_5.csv,-3.1481656980238983,1.8802506466064601
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,source,source_train,Period_I,baseline,0,air\baseline_6.csv,-1.1439446135127394,4.5561290497088445
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,source,source_train,Period_I,baseline,0,air\baseline_7.csv,-3.659073448463556,1.6347283532068089
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day 1 afternoon,1,alcohol\alcohol_o1.csv,-0.8071540631742293,2.0818503463209477
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day 1 afternoon,1,alcohol\alcohol_o2.csv,-1.889096820697384,2.399902637620845
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day 1 afternoon,1,alcohol\alcohol_o3.csv,-2.8405464895986423,3.328818413259013
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day 2 noon,2,alcohol\alcohol_o4.csv,-1.245050178233581,-1.0915766209327291
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day 2 noon,2,alcohol\alcohol_o5.csv,-2.125206606225488,2.1204061793798896
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day 2 noon,2,alcohol\alcohol_o6.csv,-1.9669660158577187,2.004097307545268
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day 2 afternoon,2,alcohol\alcohol_o7.csv,-1.2736455037974088,4.9663931246239414
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day 2 afternoon,2,alcohol\alcohol_o8.csv,-3.061390151268668,1.7960608155554962
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day 2 afternoon,2,alcohol\alcohol_o9.csv,-2.659942807021541,-1.8282188311739405
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day 3 noon,3,alcohol\alcohol_o10.csv,0.2980579097881254,5.04863334342177
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day 3 noon,3,alcohol\alcohol_o11.csv,-0.950599455876219,3.2908455622730406
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day 3 noon,3,alcohol\alcohol_o12.csv,-2.1319481191341687,1.2256269372901578
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 1,1,acetone\acetone_1.csv,14.249975237625547,4.680351556684247
