epoch,L,Ld,backward_loss_scalar,class_loss,domain_loss,total_loss,train_accuracy,validation_accuracy,test_accuracy,domain_discriminator_accuracy,split,task,variant,lambda,seed,seed_values
1,1.116260290145874,0.0,1.116260290145874,1.116260290145874,0.0,1.116260290145874,0.5666666666666667,,0.39194139194139194,0.8910891089108911,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
5,0.8377960920333862,0.0,0.8377960920333862,0.8377960920333862,0.0,0.8377960920333862,0.5666666666666667,,0.608058608058608,0.8613861386138614,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
10,0.6666556596755981,0.0,0.6666556596755981,0.6666556596755981,0.0,0.6666556596755981,0.5333333333333333,,0.6153846153846154,0.7788778877887789,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
15,0.5028819441795349,0.0,0.5028819441795349,0.5028819441795349,0.0,0.5028819441795349,0.8666666666666667,,0.706959706959707,0.6666666666666666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
20,0.3577571511268616,0.0,0.3577571511268616,0.3577571511268616,0.0,0.3577571511268616,0.8666666666666667,,0.7142857142857143,0.5478547854785478,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
25,0.17446020245552063,0.0,0.17446020245552063,0.17446020245552063,0.0,0.17446020245552063,0.9666666666666667,,0.7216117216117216,0.44554455445544555,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
30,0.07294181734323502,0.0,0.07294181734323502,0.07294181734323502,0.0,0.07294181734323502,1.0,,0.717948717948718,0.44554455445544555,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
35,0.042511094361543655,0.0,0.042511094361543655,0.042511094361543655,0.0,0.042511094361543655,1.0,,0.717948717948718,0.39933993399339934,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
40,0.010826080106198788,0.0,0.010826080106198788,0.010826080106198788,0.0,0.010826080106198788,1.0,,0.717948717948718,0.43234323432343236,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
45,0.019875016063451767,0.0,0.019875016063451767,0.019875016063451767,0.0,0.019875016063451767,1.0,,0.7326007326007326,0.42244224422442245,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
50,0.0043430509977042675,0.0,0.0043430509977042675,0.0043430509977042675,0.0,0.0043430509977042675,1.0,,0.7289377289377289,0.3564356435643564,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
55,0.004906264133751392,0.0,0.004906264133751392,0.004906264133751392,0.0,0.004906264133751392,1.0,,0.7435897435897436,0.37623762376237624,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
60,0.004050995223224163,0.0,0.004050995223224163,0.004050995223224163,0.0,0.004050995223224163,1.0,,0.7545787545787546,0.39933993399339934,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
65,0.036925822496414185,0.0,0.036925822496414185,0.036925822496414185,0.0,0.036925822496414185,1.0,,0.7545787545787546,0.39933993399339934,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
70,0.0022647592704743147,0.0,0.0022647592704743147,0.0022647592704743147,0.0,0.0022647592704743147,1.0,,0.7692307692307693,0.3795379537953795,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
75,0.002723399316892028,0.0,0.002723399316892028,0.002723399316892028,0.0,0.002723399316892028,1.0,,0.7692307692307693,0.36633663366336633,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
80,0.002038840437307954,0.0,0.002038840437307954,0.002038840437307954,0.0,0.002038840437307954,1.0,,0.7692307692307693,0.3696369636963696,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
85,0.0010452157584950328,0.0,0.0010452157584950328,0.0010452157584950328,0.0,0.0010452157584950328,1.0,,0.7509157509157509,0.32673267326732675,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
90,0.0015585820656269789,0.0,0.0015585820656269789,0.0015585820656269789,0.0,0.0015585820656269789,1.0,,0.7289377289377289,0.3102310231023102,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
95,0.0020809669513255358,0.0,0.0020809669513255358,0.0020809669513255358,0.0,0.0020809669513255358,1.0,,0.7582417582417582,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
100,0.0009038225980475545,0.0,0.0009038225980475545,0.0009038225980475545,0.0,0.0009038225980475545,1.0,,0.7728937728937729,0.34983498349834985,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
105,0.010309543460607529,0.0,0.010309543460607529,0.010309543460607529,0.0,0.010309543460607529,1.0,,0.7728937728937729,0.35973597359735976,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
110,0.00705833500251174,0.0,0.00705833500251174,0.00705833500251174,0.0,0.00705833500251174,1.0,,0.7655677655677655,0.35973597359735976,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
115,0.00789391715079546,0.0,0.00789391715079546,0.00789391715079546,0.0,0.00789391715079546,1.0,,0.7472527472527473,0.3432343234323432,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
120,0.0009878441924229264,0.0,0.0009878441924229264,0.0009878441924229264,0.0,0.0009878441924229264,1.0,,0.7472527472527473,0.32673267326732675,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
125,0.0019817990250885487,0.0,0.0019817990250885487,0.0019817990250885487,0.0,0.0019817990250885487,1.0,,0.7472527472527473,0.32673267326732675,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
130,0.03201952949166298,0.0,0.03201952949166298,0.03201952949166298,0.0,0.03201952949166298,1.0,,0.7765567765567766,0.37293729372937295,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
135,0.00852359738200903,0.0,0.00852359738200903,0.00852359738200903,0.0,0.00852359738200903,1.0,,0.7838827838827839,0.33003300330033003,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
140,0.00035606074379757047,0.0,0.00035606074379757047,0.00035606074379757047,0.0,0.00035606074379757047,1.0,,0.7655677655677655,0.31683168316831684,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
145,0.0024899609852582216,0.0,0.0024899609852582216,0.0024899609852582216,0.0,0.0024899609852582216,1.0,,0.7619047619047619,0.3102310231023102,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
150,0.0004844186478294432,0.0,0.0004844186478294432,0.0004844186478294432,0.0,0.0004844186478294432,1.0,,0.7619047619047619,0.32673267326732675,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
155,0.0006798732792958617,0.0,0.0006798732792958617,0.0006798732792958617,0.0,0.0006798732792958617,1.0,,0.7655677655677655,0.33003300330033003,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
160,0.000613354379311204,0.0,0.000613354379311204,0.000613354379311204,0.0,0.000613354379311204,1.0,,0.7509157509157509,0.33003300330033003,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
165,0.0002908407768700272,0.0,0.0002908407768700272,0.0002908407768700272,0.0,0.0002908407768700272,1.0,,0.7545787545787546,0.3333333333333333,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
170,8.380961662624031e-05,0.0,8.380961662624031e-05,8.380961662624031e-05,0.0,8.380961662624031e-05,1.0,,0.7582417582417582,0.3333333333333333,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
175,0.0003031777741853148,0.0,0.0003031777741853148,0.0003031777741853148,0.0,0.0003031777741853148,1.0,,0.7619047619047619,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
180,0.00010761329758679494,0.0,0.00010761329758679494,0.00010761329758679494,0.0,0.00010761329758679494,1.0,,0.7655677655677655,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
185,0.00015656926552765071,0.0,0.00015656926552765071,0.00015656926552765071,0.0,0.00015656926552765071,1.0,,0.7765567765567766,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
