split,description,task,variant,lambda,seed,classifier_label_usage,domain_label_usage,model_selection_labels,best_epoch,L_last,Ld_last,backward_loss_scalar_last,feature_extractor_objective,class_loss_last,domain_loss_last,classifier_train_n,source_train_n,source_val_n,target_labeled_train_n,target_domain_n,target_validation_n,target_test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,MLP source only,0.0,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,no validation; fixed hyperparameters,400,0.00015688312123529613,0.0,0.00015688312123529613,min L - lambda*Ld via gradient reversal,0.00015688312123529613,0.0,30,30,0,0,273,0,273,1.0,,0.7802197802197802,1.0,,0.7858796296296297,1.0,,0.7787064375299669,0.21978021978021978,0.39933993399339934
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,MLP source only,0.0,1,source labels only,source/target domain labels only; gas labels not used for target domain loss,no validation; fixed hyperparameters,400,0.00011390523286536336,0.0,0.00011390523286536336,min L - lambda*Ld via gradient reversal,0.00011390523286536336,0.0,30,30,0,0,273,0,273,1.0,,0.8058608058608059,1.0,,0.8050411522633745,1.0,,0.8091116434153229,0.19413919413919412,0.2838283828382838
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,MLP source only,0.0,2,source labels only,source/target domain labels only; gas labels not used for target domain loss,no validation; fixed hyperparameters,400,0.00020935546490363777,0.0,0.00020935546490363777,min L - lambda*Ld via gradient reversal,0.00020935546490363777,0.0,30,30,0,0,273,0,273,1.0,,0.7765567765567766,1.0,,0.7746913580246914,1.0,,0.7804912151838876,0.22344322344322343,0.900990099009901
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,MLP source only,0.0,3,source labels only,source/target domain labels only; gas labels not used for target domain loss,no validation; fixed hyperparameters,400,0.00010370092786615714,0.0,0.00010370092786615714,min L - lambda*Ld via gradient reversal,0.00010370092786615714,0.0,30,30,0,0,273,0,273,1.0,,0.73992673992674,1.0,,0.7457561728395062,1.0,,0.7444511825348696,0.26007326007326004,0.18811881188118812
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,MLP source only,0.0,4,source labels only,source/target domain labels only; gas labels not used for target domain loss,no validation; fixed hyperparameters,400,0.0001266225299332291,0.0,0.0001266225299332291,min L - lambda*Ld via gradient reversal,0.0001266225299332291,0.0,30,30,0,0,273,0,273,1.0,,0.8205128205128205,1.0,,0.820216049382716,1.0,,0.8233615158601667,0.17948717948717952,0.5082508250825083
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,no validation; fixed hyperparameters,400,7.669518527109176e-05,0.3006330132484436,0.30070969462394714,min L - lambda*Ld via gradient reversal,7.669518527109176e-05,0.3006330132484436,30,30,0,0,273,0,273,1.0,,0.7289377289377289,1.0,,0.7340534979423868,1.0,,0.7334013240293435,0.2710622710622711,0.9042904290429042
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,1,source labels only,source/target domain labels only; gas labels not used for target domain loss,no validation; fixed hyperparameters,400,0.00011059295502491295,0.28876081109046936,0.2888714075088501,min L - lambda*Ld via gradient reversal,0.00011059295502491295,0.28876081109046936,30,30,0,0,273,0,273,1.0,,0.7252747252747253,1.0,,0.7260802469135802,1.0,,0.732581828059215,0.27472527472527475,0.8976897689768977
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,2,source labels only,source/target domain labels only; gas labels not used for target domain loss,no validation; fixed hyperparameters,400,0.006761645432561636,0.33474141359329224,0.3415030539035797,min L - lambda*Ld via gradient reversal,0.006761645432561636,0.33474141359329224,30,30,0,0,273,0,273,1.0,,0.7106227106227107,1.0,,0.7141203703703703,1.0,,0.7228686346333406,0.28937728937728935,0.900990099009901
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,3,source labels only,source/target domain labels only; gas labels not used for target domain loss,no validation; fixed hyperparameters,400,6.510765524581075e-05,0.3600616455078125,0.3601267635822296,min L - lambda*Ld via gradient reversal,6.510765524581075e-05,0.3600616455078125,30,30,0,0,273,0,273,1.0,,0.7545787545787546,1.0,,0.7564300411522633,1.0,,0.7622884719244323,0.24542124542124544,0.900990099009901
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,4,source labels only,source/target domain labels only; gas labels not used for target domain loss,no validation; fixed hyperparameters,400,9.662437514634803e-05,0.28659823536872864,0.28669485449790955,min L - lambda*Ld via gradient reversal,9.662437514634803e-05,0.28659823536872864,30,30,0,0,273,0,273,1.0,,0.8168498168498168,1.0,,0.8180298353909464,1.0,,0.8178573905118528,0.18315018315018317,0.9141914191419142
