split,description,task,variant,lambda,seed,classifier_label_usage,domain_label_usage,model_selection_labels,best_epoch,class_loss_last,coral_loss_last,total_loss_last,feature_extractor_objective,classifier_train_n,source_train_n,source_val_n,target_domain_n,target_validation_n,target_test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,MLP source only,0.0,0,source labels only,no target-domain adaptation loss,no validation; fixed hyperparameters,400,0.00015688312123529613,,0.00015688312123529613,min L using the same MLP source-only classification loss as DANN,30,30,0,273,0,273,1.0,,0.7802197802197802,1.0,,0.7858796296296297,1.0,,0.7787064375299669,0.21978021978021978
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.2,0,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,no validation; fixed hyperparameters,400,0.0003959586611017585,0.003161033848300576,0.001028165454044938,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",30,30,0,273,0,273,1.0,,0.8388278388278388,1.0,,0.8375771604938271,1.0,,0.8413591002967169,0.16117216117216115
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,0,source labels only,no target-domain adaptation loss,source validation labels,20,0.00028098010807298124,,0.00028098010807298124,min L using the same MLP source-only classification loss as DANN,25,25,5,273,0,273,0.88,0.8,0.673992673992674,0.9,0.8333333333333334,0.6851851851851851,0.8684960263907633,0.7777777777777777,0.6513542412822987,0.20600732600732596
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,1,source labels only,no target-domain adaptation loss,source validation labels,20,0.003217291086912155,,0.003217291086912155,min L using the same MLP source-only classification loss as DANN,25,25,5,273,0,273,0.92,0.8,0.706959706959707,0.9333333333333332,0.8333333333333334,0.7151491769547325,0.9188197767145135,0.7777777777777777,0.6998892580287929,0.21304029304029304
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,2,source labels only,no target-domain adaptation loss,source validation labels,10,3.459287836449221e-05,,3.459287836449221e-05,min L using the same MLP source-only classification loss as DANN,25,25,5,273,0,273,0.84,0.8,0.6886446886446886,0.8333333333333334,0.8333333333333334,0.6997170781893004,0.8231259968102074,0.7777777777777777,0.681325458489998,0.15135531135531133
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,3,source labels only,no target-domain adaptation loss,source validation labels,10,0.0014283779310062528,,0.0014283779310062528,min L using the same MLP source-only classification loss as DANN,25,25,5,273,0,273,0.88,0.8,0.63003663003663,0.8666666666666667,0.8333333333333334,0.6422325102880658,0.8561808561808562,0.7777777777777777,0.615783524227547,0.24996336996336999
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,4,source labels only,no target-domain adaptation loss,source validation labels,10,5.0281138101127e-05,,5.0281138101127e-05,min L using the same MLP source-only classification loss as DANN,25,25,5,273,0,273,0.84,0.6,0.6227106227106227,0.8666666666666667,0.6666666666666666,0.6385030864197532,0.8306878306878307,0.611111111111111,0.5777552954901747,0.21728937728937725
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.05,0,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,20,0.0002443122793920338,0.01884494721889496,0.0011865596752613783,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",25,25,5,273,0,273,0.88,0.8,0.6776556776556777,0.9,0.8333333333333334,0.6886574074074074,0.8742690058479532,0.7777777777777777,0.657736314864929,0.2023443223443223
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.05,1,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,180,0.0002864410344045609,0.005762988701462746,0.0005745904636569321,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",25,25,5,273,0,273,1.0,1.0,0.8571428571428571,1.0,1.0,0.8542952674897119,1.0,1.0,0.8562033769246676,0.1428571428571429
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.05,2,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,10,0.00024347231374122202,0.010714453645050526,0.0007791949901729822,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",25,25,5,273,0,273,0.88,0.8,0.6886446886446886,0.9,0.8333333333333334,0.7016460905349794,0.8742690058479532,0.7777777777777777,0.6755675845247676,0.19135531135531136
