split,task,variant,space,x,y,label,domain,partition,period,day_num,target_file
S1_train_I_test_all,three_class_with_air,MLP source only,standardized input PCA,-3.1173794966990074,2.347768138785733,acetone,source,source_train,Period_I,1,acetone\acetone_o1.csv
S1_train_I_test_all,three_class_with_air,MLP source only,standardized input PCA,-2.944027557156771,4.022393641203319,acetone,source,source_train,Period_I,1,acetone\acetone_o2.csv
S1_train_I_test_all,three_class_with_air,MLP source only,standardized input PCA,2.1082119568277213,-1.775296955243636,acetone,source,source_train,Period_I,1,acetone\acetone_o3.csv
S1_train_I_test_all,three_class_with_air,MLP source only,standardized input PCA,14.95253084374776,4.508669998422611,acetone,source,source_train,Period_I,2,acetone\acetone_o4.csv
S1_train_I_test_all,three_class_with_air,MLP source only,standardized input PCA,11.720279510712338,2.2980605921565056,acetone,source,source_train,Period_I,2,acetone\acetone_o5.csv
S1_train_I_test_all,three_class_with_air,MLP source only,standardized input PCA,6.103990606528911,2.77633211888222,acetone,source,source_train,Period_I,2,acetone\acetone_o6.csv
S1_train_I_test_all,three_class_with_air,MLP source only,standardized input PCA,-3.4757646117822976,1.5517272116970937,acetone,source,source_train,Period_I,2,acetone\acetone_o7.csv
S1_train_I_test_all,three_class_with_air,MLP source only,standardized input PCA,-0.21612129262405055,-1.976920695975537,acetone,source,source_train,Period_I,2,acetone\acetone_o8.csv
S1_train_I_test_all,three_class_with_air,MLP source only,standardized input PCA,6.623809888856218,0.21744720679736546,acetone,source,source_train,Period_I,2,acetone\acetone_o9.csv
S1_train_I_test_all,three_class_with_air,MLP source only,standardized input PCA,2.4562050130572466,0.4638430280471213,acetone,source,source_train,Period_I,3,acetone\acetone_o10.csv
S1_train_I_test_all,three_class_with_air,MLP source only,standardized input PCA,5.033687961148748,4.488509512552491,acetone,source,source_train,Period_I,3,acetone\acetone_o11.csv
S1_train_I_test_all,three_class_with_air,MLP source only,standardized input PCA,17.473723815208178,3.3100374766600154,acetone,source,source_train,Period_I,3,acetone\acetone_o12.csv
S1_train_I_test_all,three_class_with_air,MLP source only,standardized input PCA,-3.9427473195635367,-1.3644992143287238,air,source,source_train,Period_I,0,air\baseline_1.csv
S1_train_I_test_all,three_class_with_air,MLP source only,standardized input PCA,-4.672134901077408,1.0097611455197713,air,source,source_train,Period_I,0,air\baseline_3.csv
S1_train_I_test_all,three_class_with_air,MLP source only,standardized input PCA,-4.1422660736264065,3.0483733179189354,air,source,source_train,Period_I,0,air\baseline_4.csv
S1_train_I_test_all,three_class_with_air,MLP source only,standardized input PCA,-3.1594590930570723,1.939139281570579,air,source,source_train,Period_I,0,air\baseline_5.csv
S1_train_I_test_all,three_class_with_air,MLP source only,standardized input PCA,-1.2162160070463044,4.340155822297828,air,source,source_train,Period_I,0,air\baseline_6.csv
