epoch,class_loss,coral_loss,total_loss,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,split,task,variant,lambda,seed
1,1.116260290145874,0.0,1.116260290145874,0.5666666666666667,,0.39194139194139194,0.47222222222222227,,0.37152777777777773,0.4122946475887653,,0.26628352490421453,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
10,0.6666556596755981,0.0,0.6666556596755981,0.5333333333333333,,0.6153846153846154,0.611111111111111,,0.6354166666666666,0.4908424908424909,,0.5460100959784704,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
20,0.3577571511268616,0.0,0.3577571511268616,0.8666666666666667,,0.7142857142857143,0.8888888888888888,,0.724022633744856,0.8545548654244306,,0.709827503769907,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
30,0.07294181734323502,0.0,0.07294181734323502,1.0,,0.717948717948718,1.0,,0.7255658436213991,1.0,,0.7242171510598353,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
40,0.010826080106198788,0.0,0.010826080106198788,1.0,,0.717948717948718,1.0,,0.7249228395061729,1.0,,0.7258043758043758,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
50,0.0043430509977042675,0.0,0.0043430509977042675,1.0,,0.7289377289377289,1.0,,0.7314814814814814,1.0,,0.7380656811908262,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
60,0.004050995223224163,0.0,0.004050995223224163,1.0,,0.7545787545787546,1.0,,0.7596450617283951,1.0,,0.7600000000000001,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
70,0.0022647592704743147,0.0,0.0022647592704743147,1.0,,0.7692307692307693,1.0,,0.773533950617284,1.0,,0.7762468480859285,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
80,0.002038840437307954,0.0,0.002038840437307954,1.0,,0.7692307692307693,1.0,,0.7754629629629629,1.0,,0.774028171180293,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
90,0.0015585820656269789,0.0,0.0015585820656269789,1.0,,0.7289377289377289,1.0,,0.7314814814814815,1.0,,0.7375303541388837,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
100,0.0009038225980475545,0.0,0.0009038225980475545,1.0,,0.7728937728937729,1.0,,0.7782921810699589,1.0,,0.7784373921316914,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
110,0.00705833500251174,0.0,0.00705833500251174,1.0,,0.7655677655677655,1.0,,0.7713477366255144,1.0,,0.7690953803629861,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
120,0.0009878441924229264,0.0,0.0009878441924229264,1.0,,0.7472527472527473,1.0,,0.7507716049382717,1.0,,0.753839731686603,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
130,0.03201952949166298,0.0,0.03201952949166298,1.0,,0.7765567765567766,1.0,,0.7824074074074073,1.0,,0.7796664152322088,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
140,0.00035606074379757047,0.0,0.00035606074379757047,1.0,,0.7655677655677655,1.0,,0.7662037037037037,1.0,,0.7710845392159639,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
150,0.0004844186478294432,0.0,0.0004844186478294432,1.0,,0.7619047619047619,1.0,,0.7627314814814815,1.0,,0.7670049285536998,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
160,0.000613354379311204,0.0,0.000613354379311204,1.0,,0.7509157509157509,1.0,,0.7529578189300411,1.0,,0.7548009778623103,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
170,8.380961662624031e-05,0.0,8.380961662624031e-05,1.0,,0.7582417582417582,1.0,,0.7611882716049383,1.0,,0.7618482786577542,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
180,0.00010761329758679494,0.0,0.00010761329758679494,1.0,,0.7655677655677655,1.0,,0.768775720164609,1.0,,0.7685865195963846,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
190,0.0007112736930139363,0.0,0.0007112736930139363,1.0,,0.7765567765567766,1.0,,0.7811213991769547,1.0,,0.7789213293618794,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
200,0.0002635418204590678,0.0,0.0002635418204590678,1.0,,0.7765567765567766,1.0,,0.7811213991769548,1.0,,0.7795891636249545,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
210,0.00011097230890300125,0.0,0.00011097230890300125,1.0,,0.7765567765567766,1.0,,0.7811213991769548,1.0,,0.7795891636249545,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
220,9.25309068406932e-05,0.0,9.25309068406932e-05,1.0,,0.7728937728937729,1.0,,0.7770061728395062,1.0,,0.7773444810567908,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
230,0.0001049830243573524,0.0,0.0001049830243573524,1.0,,0.7692307692307693,1.0,,0.7722479423868313,1.0,,0.7751032292095094,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
240,8.623223402537405e-05,0.0,8.623223402537405e-05,1.0,,0.7728937728937729,1.0,,0.7770061728395062,1.0,,0.7783493324598317,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
250,0.00041943087126128376,0.0,0.00041943087126128376,1.0,,0.7692307692307693,1.0,,0.773533950617284,1.0,,0.7735042735042734,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0
