split,task,variant,space,label,domain,partition,period,day,day_num,target_file,x,y
S1_train_I_test_all,three_class_with_air,C-DANN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 1 afternoon,1,acetone\acetone_o1.csv,-2.7757402930367063,-1.0812619741421643
S1_train_I_test_all,three_class_with_air,C-DANN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 1 afternoon,1,acetone\acetone_o2.csv,-3.377552829124863,0.2095425664827553
S1_train_I_test_all,three_class_with_air,C-DANN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 1 afternoon,1,acetone\acetone_o3.csv,-4.667881359193534,-1.5097431506553933
S1_train_I_test_all,three_class_with_air,C-DANN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 2 noon,2,acetone\acetone_o4.csv,-7.560063572185915,-0.6140175507905997
S1_train_I_test_all,three_class_with_air,C-DANN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 2 noon,2,acetone\acetone_o5.csv,-10.41745168526556,-0.8164086458323635
S1_train_I_test_all,three_class_with_air,C-DANN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 2 noon,2,acetone\acetone_o6.csv,-9.177138952108173,-0.9306222429799017
S1_train_I_test_all,three_class_with_air,C-DANN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 2 afternoon,2,acetone\acetone_o7.csv,-3.8497096793643792,2.35163022779473
S1_train_I_test_all,three_class_with_air,C-DANN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 2 afternoon,2,acetone\acetone_o8.csv,-5.539924744785972,-0.736013082324439
S1_train_I_test_all,three_class_with_air,C-DANN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 2 afternoon,2,acetone\acetone_o9.csv,-8.547621826948053,-0.67625620667702
S1_train_I_test_all,three_class_with_air,C-DANN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 3 noon,3,acetone\acetone_o10.csv,-6.525650434269869,-0.5701295137378695
S1_train_I_test_all,three_class_with_air,C-DANN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 3 noon,3,acetone\acetone_o11.csv,-5.47612505376217,-0.5337556797390638
S1_train_I_test_all,three_class_with_air,C-DANN-UDA,learned latent PCA,acetone,source,source_train,Period_I,Day 3 noon,3,acetone\acetone_o12.csv,-13.40202135231724,-0.9761514756869182
S1_train_I_test_all,three_class_with_air,C-DANN-UDA,learned latent PCA,air,source,source_train,Period_I,baseline,0,air\baseline_1.csv,3.645489375370952,6.660003288343948
S1_train_I_test_all,three_class_with_air,C-DANN-UDA,learned latent PCA,air,source,source_train,Period_I,baseline,0,air\baseline_3.csv,0.8238673753921476,6.49991578694449
S1_train_I_test_all,three_class_with_air,C-DANN-UDA,learned latent PCA,air,source,source_train,Period_I,baseline,0,air\baseline_4.csv,1.6189491872351083,7.791827788834031
S1_train_I_test_all,three_class_with_air,C-DANN-UDA,learned latent PCA,air,source,source_train,Period_I,baseline,0,air\baseline_5.csv,2.372272896789512,3.872024887506176
S1_train_I_test_all,three_class_with_air,C-DANN-UDA,learned latent PCA,air,source,source_train,Period_I,baseline,0,air\baseline_6.csv,6.391054920439446,9.511228428844431
