method_group,split,task,variant,label,centroid_distance_norm,neighbor_opposite_domain_rate,n_source,n_target
old,S1_train_I_test_all,three_class_with_air,DANN-UDA,acetone,1.7352680462700416,0.1685185185185185,12,96
old,S1_train_I_test_all,three_class_with_air,DANN-UDA,air,0.7772122802845846,0.11494252873563218,6,81
old,S1_train_I_test_all,three_class_with_air,DANN-UDA,alcohol,0.9623637825139595,0.1888888888888889,12,96
old,S1_train_I_test_all,three_class_with_air,MLP source only,acetone,1.2968476743077673,0.13333333333333333,12,96
old,S1_train_I_test_all,three_class_with_air,MLP source only,air,1.5045514129054605,0.11954022988505746,6,81
old,S1_train_I_test_all,three_class_with_air,MLP source only,alcohol,1.5262919342588974,0.11111111111111113,12,96
old,S2_train_I_internal_val_test_all,three_class_with_air,DANN-UDA,acetone,1.7178988869718643,0.14629629629629629,12,96
old,S2_train_I_internal_val_test_all,three_class_with_air,DANN-UDA,air,0.5636233771775493,0.12413793103448273,6,81
old,S2_train_I_internal_val_test_all,three_class_with_air,DANN-UDA,alcohol,1.4063860673934663,0.11851851851851852,12,96
old,S2_train_I_internal_val_test_all,three_class_with_air,MLP source only,acetone,1.2940632095762876,0.137037037037037,12,96
old,S2_train_I_internal_val_test_all,three_class_with_air,MLP source only,air,1.4091443473276817,0.12873563218390804,6,81
old,S2_train_I_internal_val_test_all,three_class_with_air,MLP source only,alcohol,1.5085033334005014,0.10185185185185185,12,96
old,S3_train_I_internal_20_10_test_all,three_class_with_air,DANN-UDA,acetone,1.3360498221936867,0.18333333333333335,12,96
old,S3_train_I_internal_20_10_test_all,three_class_with_air,DANN-UDA,air,1.0374428647362184,0.12643678160919536,6,81
old,S3_train_I_internal_20_10_test_all,three_class_with_air,DANN-UDA,alcohol,0.514566754957344,0.18518518518518515,12,96
old,S3_train_I_internal_20_10_test_all,three_class_with_air,MLP source only,acetone,0.977142430300813,0.16481481481481483,12,96
old,S3_train_I_internal_20_10_test_all,three_class_with_air,MLP source only,air,0.594129977000493,0.11954022988505746,6,81
old,S3_train_I_internal_20_10_test_all,three_class_with_air,MLP source only,alcohol,1.2020318660810707,0.18518518518518517,12,96
old,S4_train_I_val_D1_2,three_class_with_air,DANN-UDA,acetone,1.7056250108268058,0.1796296296296296,12,96
old,S4_train_I_val_D1_2,three_class_with_air,DANN-UDA,air,0.6400528109094029,0.12413793103448273,6,81
old,S4_train_I_val_D1_2,three_class_with_air,DANN-UDA,alcohol,0.858605227545019,0.17592592592592593,12,96
old,S4_train_I_val_D1_2,three_class_with_air,MLP source only,acetone,1.2968476743077673,0.13333333333333333,12,96
old,S4_train_I_val_D1_2,three_class_with_air,MLP source only,air,1.5045514129054605,0.11954022988505746,6,81
old,S4_train_I_val_D1_2,three_class_with_air,MLP source only,alcohol,1.5262919342588974,0.11111111111111113,12,96
old,S5_train_I_D1_val_D2_3,three_class_with_air,DANN-UDA,acetone,1.3134689906278683,0.17777777777777778,12,96
old,S5_train_I_D1_val_D2_3,three_class_with_air,DANN-UDA,air,0.6485193649820504,0.09885057471264365,6,81
old,S5_train_I_D1_val_D2_3,three_class_with_air,DANN-UDA,alcohol,0.842589270121684,0.18703703703703703,12,96
old,S5_train_I_D1_val_D2_3,three_class_with_air,DANN-semi,acetone,1.7034654518981782,0.17222222222222225,12,96
old,S5_train_I_D1_val_D2_3,three_class_with_air,DANN-semi,air,0.30413357213321013,0.10804597701149424,6,81
old,S5_train_I_D1_val_D2_3,three_class_with_air,DANN-semi,alcohol,0.43563671704178236,0.16666666666666666,12,96
old,S5_train_I_D1_val_D2_3,three_class_with_air,MLP source + target labels,acetone,1.560484659560998,0.17037037037037037,12,96
old,S5_train_I_D1_val_D2_3,three_class_with_air,MLP source + target labels,air,0.7389983964464863,0.10574712643678161,6,81
old,S5_train_I_D1_val_D2_3,three_class_with_air,MLP source + target labels,alcohol,0.7154048004947585,0.1777777777777778,12,96
