split,description,task,variant,lambda,seed,classifier_train_n,source_train_n,source_val_n,target_labeled_train_n,target_domain_n,target_validation_n,target_test_n,domain_label_usage,feature_extractor_objective,classifier_label_usage,model_selection_labels,conditional_alignment_strength,selection_status,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,domain_discriminator_accuracy,L_last,Ld_last,Lc_last,backward_loss_scalar_last,class_loss_last,domain_loss_last,alignment_loss_last,best_epoch,train_test_accuracy_gap,judgment,representative_seed,seed_values,seed_count,seed_policy,best_epoch_std,L_last_std,Ld_last_std,Lc_last_std,backward_loss_scalar_last_std,class_loss_last_std,domain_loss_last_std,alignment_loss_last_std,train_accuracy_std,validation_accuracy_std,test_accuracy_std,train_balanced_accuracy_std,validation_balanced_accuracy_std,test_balanced_accuracy_std,train_macro_f1_std,validation_macro_f1_std,test_macro_f1_std,train_test_accuracy_gap_std,domain_discriminator_accuracy_std,best_epoch_min,best_epoch_max,L_last_min,L_last_max,Ld_last_min,Ld_last_max,Lc_last_min,Lc_last_max,backward_loss_scalar_last_min,backward_loss_scalar_last_max,class_loss_last_min,class_loss_last_max,domain_loss_last_min,domain_loss_last_max,alignment_loss_last_min,alignment_loss_last_max,train_accuracy_min,train_accuracy_max,validation_accuracy_min,validation_accuracy_max,test_accuracy_min,test_accuracy_max,train_balanced_accuracy_min,train_balanced_accuracy_max,validation_balanced_accuracy_min,validation_balanced_accuracy_max,test_balanced_accuracy_min,test_balanced_accuracy_max,train_macro_f1_min,train_macro_f1_max,validation_macro_f1_min,validation_macro_f1_max,test_macro_f1_min,test_macro_f1_max,train_test_accuracy_gap_min,train_test_accuracy_gap_max,domain_discriminator_accuracy_min,domain_discriminator_accuracy_max
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,C-DANN-UDA,0.2,0,30,30,0,0,273,0,273,source/target domain labels only; gas labels not used for domain loss,min L - lambda*Ld + alpha*Lc via GRL and class-wise centroid alignment,source labels only,no validation; fixed hyperparameters,0.2,fixed hyperparameters because the split has no validation set; metrics averaged over seeds,1.0,,0.887912087912088,1.0,,0.8850051440329219,1.0,,0.888321184645967,0.9009900990099011,0.0018804306688252836,0.3200044631958008,0.013979529682546853,0.32468079328536986,0.0018804306688252836,0.3200044631958008,0.013979529682546853,400.0,0.11208791208791209,fixed hyperparameters because the split has no validation set; metrics averaged over seeds,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,0.0,0.0009202891175825824,0.0015196519599378565,0.00527119166952415,0.0017024767449413877,0.0009202891175825824,0.0015196519599378565,0.00527119166952415,0.0,,0.018056787610060455,0.0,,0.0156901963752808,0.0,,0.01794032828699064,0.018056787610060455,1.2412670766236366e-16,400,400,0.000366207241313532,0.002617386169731617,0.31851333379745483,0.32170048356056213,0.005697912070900202,0.02016058936715126,0.323088675737381,0.32753047347068787,0.000366207241313532,0.002617386169731617,0.31851333379745483,0.32170048356056213,0.005697912070900202,0.02016058936715126,1.0,1.0,,,0.8571428571428571,0.9010989010989011,1.0,1.0,,,0.8587962962962963,0.8966049382716049,1.0,1.0,,,0.8576607037581953,0.900112416964742,0.09890109890109888,0.1428571428571429,0.900990099009901,0.900990099009901
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,C-DANN-UDA,0.2,0,25,25,5,0,273,0,273,source/target domain labels only; gas labels not used for domain loss,min L - lambda*Ld + alpha*Lc via GRL and class-wise centroid alignment,source labels only,source validation labels,0.2,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",0.976,0.8400000000000001,0.7794871794871795,0.9800000000000001,0.8666666666666668,0.7829989711934155,0.9748538011695906,0.857777777777778,0.7790181966661702,0.9161073825503354,0.10376783708925359,0.3008988082408905,0.047045920277014375,0.41407582759857176,0.10376783708925359,0.3008988082408905,0.047045920277014375,245.0,0.19651282051282054,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,138.42868199907127,0.23041083050846392,0.03337945328943687,0.06428706048503281,0.2759111057341377,0.23041083050846392,0.03337945328943687,0.06428706048503281,0.05366563145999495,0.08944271909999157,0.0740524909630821,0.04472135954999579,0.07453559924999298,0.06843150565159697,0.05622860996052104,0.07950463919999248,0.07833821867720642,0.059770917900167496,1.2412670766236366e-16,10,355,0.00028027428197674453,0.515938937664032,0.28147268295288086,0.36036887764930725,0.0028614227194339037,0.15587936341762543,0.28232523798942566,0.907483696937561,0.00028027428197674453,0.515938937664032,0.28147268295288086,0.36036887764930725,0.0028614227194339037,0.15587936341762543,0.88,1.0,0.8,1.0,0.6996336996336996,0.8498168498168498,0.9,1.0,0.8333333333333334,1.0,0.7069187242798353,0.8492798353909464,0.8742690058479532,1.0,0.8222222222222223,1.0,0.6911326573769448,0.8537667911527995,0.1501831501831502,0.3003663003663004,0.9161073825503355,0.9161073825503355
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,C-DANN-UDA,0.5,0,20,20,10,0,273,0,273,source/target domain labels only; gas labels not used for domain loss,min L - lambda*Ld + alpha*Lc via GRL and class-wise centroid alignment,source labels only,source validation labels,0.05,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",0.9199999999999999,0.72,0.693040293040293,0.925,0.6833333333333333,0.7007973251028806,0.9121895424836601,0.6712169312169313,0.6888162843719462,0.9317406143344711,0.2640777674270794,0.35295591354370115,0.7573533400893211,0.6549013257026672,0.2640777674270794,0.35295591354370115,0.7573533400893211,90.0,0.22695970695970696,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,167.74236197216254,0.1901176544060278,0.06214318475144759,0.40550459244109593,0.262383471985876,0.1901176544060278,0.06214318475144759,0.40550459244109593,0.057008771254956896,0.044721359549995836,0.05466350329510721,0.061801654059130524,0.03726779962499651,0.05100928586077393,0.06803074699451137,0.04330163384999593,0.057159591576802955,0.03518662519330604,1.2412670766236366e-16,10,390,0.001508100307546556,0.46903443336486816,0.2515086531639099,0.41825130581855774,0.08841931074857712,1.0796706676483154,0.25743770599365234,0.9275262951850891,0.001508100307546556,0.46903443336486816,0.2515086531639099,0.41825130581855774,0.08841931074857712,1.0796706676483154,0.85,1.0,0.7,0.8,0.6373626373626373,0.7838827838827839,0.8333333333333334,1.0,0.6666666666666666,0.75,0.6478909465020576,0.7848508230452675,0.8249999999999998,1.0,0.6518518518518519,0.7486772486772487,0.6409717634537585,0.7878307443162788,0.17600732600732594,0.2626373626373627,0.931740614334471,0.931740614334471
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,C-DANN-UDA,0.05,0,30,30,0,0,273,28,245,source/target domain labels only; gas labels not used for domain loss,min L - lambda*Ld + alpha*Lc via GRL and class-wise centroid alignment,source labels only,target validation labels,0.5,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",1.0,0.9714285714285713,0.8514285714285714,1.0,0.9716666666666667,0.8504937878305192,1.0,0.9701393188854489,0.8518598351660795,0.9016501650165016,0.0029497959010768683,0.3158694326877594,0.013256129808723927,0.32544729113578796,0.0029497959010768683,0.3158694326877594,0.013256129808723927,131.0,0.14857142857142855,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,82.41662453655816,0.004437370205955235,0.007203087379370692,0.011320521676007117,0.014898138645753473,0.004437370205955235,0.007203087379370692,0.011320521676007117,0.0,0.029880715233359827,0.04550608565606118,0.0,0.03095695936834454,0.042902900579522556,0.0,0.03133367460389125,0.047685639949983524,0.04550608565606118,0.001475952460395869,40,255,0.0004643029242288321,0.010860837996006012,0.3036448657512665,0.32250961661338806,0.0061486451886594296,0.03326897695660591,0.3095346689224243,0.3500049412250519,0.0004643029242288321,0.010860837996006012,0.3036448657512665,0.32250961661338806,0.0061486451886594296,0.03326897695660591,1.0,1.0,0.9285714285714286,1.0,0.7795918367346939,0.9020408163265307,1.0,1.0,0.9249999999999999,1.0,0.7831050228310502,0.8986938515450781,1.0,1.0,0.9249999999999999,1.0,0.7757126137783358,0.9027319692166468,0.09795918367346934,0.2204081632653061,0.900990099009901,0.9042904290429042
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,three_class_with_air,C-DANN-UDA,0.05,0,30,30,0,16,273,26,231,source/target domain labels only; gas labels not used for domain loss,min L - lambda*Ld + alpha*Lc via GRL and class-wise centroid alignment,source labels only,target validation labels,0.5,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",1.0,0.9538461538461538,0.8658008658008658,1.0,0.9377777777777778,0.8636965467883343,1.0,0.9471572871572871,0.8688619373520379,0.9009900990099011,0.0012051037512719632,0.31749971508979796,0.008291250746697187,0.32285043597221375,0.0012051037512719632,0.31749971508979796,0.008291250746697187,198.0,0.13419913419913418,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,124.2276136774751,0.0005524011889828373,0.011586519995826087,0.005969813433155504,0.014471201781383836,0.0005524011889828373,0.011586519995826087,0.005969813433155504,0.0,0.017200522903844526,0.01911636551153216,0.0,0.014907119849998646,0.01894952999406264,0.0,0.014907119849998646,0.01866366455257759,0.019116365511532164,1.2412670766236366e-16,60,325,0.00040320068364962935,0.0017205157782882452,0.3040311634540558,0.33527952432632446,0.0021244455128908157,0.017429621890187263,0.30827227234840393,0.3455999493598938,0.00040320068364962935,0.0017205157782882452,0.3040311634540558,0.33527952432632446,0.0021244455128908157,0.017429621890187263,1.0,1.0,0.9230769230769231,0.9615384615384616,0.8398268398268398,0.8874458874458875,1.0,1.0,0.9111111111111111,0.9444444444444445,0.8377169439971371,0.8844158167829664,1.0,1.0,0.9204906204906204,0.9538239538239538,0.8433726270690859,0.8894098003542422,0.11255411255411252,0.1601731601731602,0.900990099009901,0.900990099009901
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,three_class_with_air,C-DANN-semi,0.5,0,46,30,0,16,273,26,231,source/target domain labels only; gas labels not used for domain loss,min L - lambda*Ld + alpha*Lc via GRL and class-wise centroid alignment,source labels + selected target labels,target validation labels,0.5,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",1.0,0.9923076923076923,0.8666666666666666,1.0,0.9933333333333334,0.8659509751297192,1.0,0.9933166248955722,0.8691600545422414,0.8990099009900991,0.00431684828363359,0.3497824966907501,0.034777814894914626,0.3714882493019104,0.00431684828363359,0.3497824966907501,0.034777814894914626,205.0,0.13333333333333336,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,127.47548783981962,0.0025524615691950646,0.056278468168296875,0.025904721015960537,0.07108861784277684,0.0025524615691950646,0.056278468168296875,0.025904721015960537,0.0,0.017200522903844526,0.01872012840730708,0.0,0.014907119849998594,0.017513159824655,0.0,0.014944481052630172,0.018842161803944407,0.01872012840730708,0.008606207795647044,40,335,0.0026059739757329226,0.008691763505339622,0.31160590052604675,0.4468787610530853,0.018586736172437668,0.08075758069753647,0.32839149236679077,0.49594929814338684,0.0026059739757329226,0.008691763505339622,0.31160590052604675,0.4468787610530853,0.018586736172437668,0.08075758069753647,1.0,1.0,0.9615384615384616,1.0,0.8441558441558441,0.8917748917748918,1.0,1.0,0.9666666666666667,1.0,0.8454106280193235,0.8913938092682053,1.0,1.0,0.9665831244778613,1.0,0.8451362511263959,0.8951271983777924,0.10822510822510822,0.1558441558441559,0.8844884488448845,0.9075907590759076
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,three_class_with_air,C-DANN-UDA,0.5,0,30,30,0,28,273,40,205,source/target domain labels only; gas labels not used for domain loss,min L - lambda*Ld + alpha*Lc via GRL and class-wise centroid alignment,source labels only,target validation labels,0.2,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",1.0,0.9400000000000001,0.8390243902439025,1.0,0.9355555555555556,0.8383933229003653,1.0,0.941138009093925,0.8394883078607149,0.9009900990099011,0.04742890284396708,0.33413838744163515,0.06063729003071785,0.39369474053382875,0.04742890284396708,0.33413838744163515,0.06063729003071785,195.0,0.16097560975609757,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,128.84098726725125,0.10118696279814429,0.025437946384725307,0.0758013962728773,0.14157879863738018,0.10118696279814429,0.025437946384725307,0.0758013962728773,0.0,0.013693063937629105,0.08074607491339929,0.0,0.012171612389003689,0.0779307506701599,0.0,0.012018254956427601,0.08185123538513638,0.08074607491339929,1.2412670766236366e-16,25,330,0.0006324382266029716,0.22842228412628174,0.31760963797569275,0.3792356848716736,0.017397554591298103,0.19575965404510498,0.32432398200035095,0.6468098759651184,0.0006324382266029716,0.22842228412628174,0.31760963797569275,0.3792356848716736,0.017397554591298103,0.19575965404510498,1.0,1.0,0.925,0.95,0.697560975609756,0.8926829268292683,1.0,1.0,0.9222222222222222,0.9444444444444445,0.7017661524703778,0.8901557493106789,1.0,1.0,0.9279758536125259,0.9501285541439807,0.6963282638107814,0.8940621838397113,0.10731707317073169,0.30243902439024395,0.900990099009901,0.900990099009901
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,three_class_with_air,C-DANN-semi,0.2,0,58,30,0,28,273,40,205,source/target domain labels only; gas labels not used for domain loss,min L - lambda*Ld + alpha*Lc via GRL and class-wise centroid alignment,source labels + selected target labels,target validation labels,0.2,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",1.0,0.985,0.9258536585365853,1.0,0.9866666666666667,0.9244653103808034,1.0,0.9866518353726363,0.9266722740548643,0.9009900990099011,0.0011299697798676789,0.32775492668151857,0.021812648884952067,0.33324742317199707,0.0011299697798676789,0.32775492668151857,0.021812648884952067,300.0,0.07414634146341462,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,41.07919181288746,0.0002627343439383406,0.009846964545275932,0.01105840524952432,0.011583341269994375,0.0002627343439383406,0.009846964545275932,0.01105840524952432,0.0,0.013693063937629165,0.013536036024889344,0.0,0.012171612389003647,0.013784871303267372,0.0,0.012185151446166085,0.013386252680589057,0.013536036024889344,1.2412670766236366e-16,240,345,0.0008030168828554451,0.0015115047572180629,0.3165471851825714,0.3407153785228729,0.00956017803400755,0.03582985699176788,0.31945478916168213,0.34661784768104553,0.0008030168828554451,0.0015115047572180629,0.3165471851825714,0.3407153785228729,0.00956017803400755,0.03582985699176788,1.0,1.0,0.975,1.0,0.9121951219512195,0.9463414634146341,1.0,1.0,0.9777777777777779,1.0,0.9101274312541917,0.9453759594604665,1.0,1.0,0.9777530589543938,1.0,0.9125979994593133,0.9468915815316384,0.0536585365853659,0.08780487804878045,0.900990099009901,0.900990099009901
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,three_class_with_air,C-DANN-UDA,0.2,0,30,30,0,42,273,26,205,source/target domain labels only; gas labels not used for domain loss,min L - lambda*Ld + alpha*Lc via GRL and class-wise centroid alignment,source labels only,target validation labels,0.5,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",1.0,0.9461538461538461,0.8409756097560976,1.0,0.9533333333333334,0.8399135554065131,1.0,0.9532832080200502,0.8407384839803065,0.9009900990099011,0.03879118447657674,0.32975651025772096,0.024916195031255483,0.3810057997703552,0.03879118447657674,0.32975651025772096,0.024916195031255483,213.0,0.1590243902439024,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,150.77300819443778,0.07916520017007676,0.017907834422128517,0.025159787084372255,0.10888257043153549,0.07916520017007676,0.017907834422128517,0.025159787084372255,0.0,0.021066252211737142,0.0897879052865837,0.0,0.018257418583505595,0.0861238528045215,0.0,0.018211660642193546,0.0905478866605945,0.0897879052865837,1.2412670766236366e-16,20,365,0.0006286008283495903,0.18031242489814758,0.31814998388290405,0.3610711991786957,0.00712387403473258,0.0683574452996254,0.32549145817756653,0.5755623579025269,0.0006286008283495903,0.18031242489814758,0.31814998388290405,0.3610711991786957,0.00712387403473258,0.0683574452996254,1.0,1.0,0.9230769230769231,0.9615384615384616,0.6829268292682927,0.8926829268292683,1.0,1.0,0.9333333333333332,0.9666666666666667,0.6882778150383784,0.8901557493106789,1.0,1.0,0.9333333333333332,0.9665831244778613,0.6812277426477968,0.8930930281890261,0.10731707317073169,0.31707317073170727,0.900990099009901,0.900990099009901
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,three_class_with_air,C-DANN-semi,0.5,0,72,30,0,42,273,26,205,source/target domain labels only; gas labels not used for domain loss,min L - lambda*Ld + alpha*Lc via GRL and class-wise centroid alignment,source labels + selected target labels,target validation labels,0.05,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",1.0,1.0,0.9395121951219512,1.0,1.0,0.9382070198971608,1.0,1.0,0.9393572267441461,0.9003300330033003,0.01417961330153048,0.3944511651992798,0.29666774421930314,0.42346417903900146,0.01417961330153048,0.3944511651992798,0.29666774421930314,164.0,0.060487804878048765,"lambda and alpha selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,131.40585983889758,0.015621403417875573,0.094088649271336,0.2403269293986409,0.11827405428913057,0.015621403417875573,0.094088649271336,0.2403269293986409,0.0,0.0,0.007397927262489273,0.0,0.0,0.006883718234556113,0.0,0.0,0.007263873477324149,0.007397927262489273,0.0014759524603959186,60,370,0.0006140979821793735,0.03880477696657181,0.32275620102882385,0.5071737170219421,0.04683190584182739,0.5723844170570374,0.3307255804538727,0.5745977163314819,0.0006140979821793735,0.03880477696657181,0.32275620102882385,0.5071737170219421,0.04683190584182739,0.5723844170570374,1.0,1.0,1.0,1.0,0.9317073170731708,0.9512195121951219,1.0,1.0,1.0,1.0,0.931291452418213,0.9494746255309635,1.0,1.0,1.0,1.0,0.9322113435978417,0.9512308082730617,0.04878048780487809,0.06829268292682922,0.8976897689768977,0.900990099009901
