split,task,variant,space,label,domain,partition,period,day,day_num,target_file,x,y,architecture
S1_train_I_test_all,three_class_with_air,MLP source only,Before DA: standardized 54D PCA,acetone,source,source_train,Period_I,Day 1 afternoon,1,acetone\acetone_o1.csv,-3.0948991104234382,2.264924838793719,Two-layer G_f: 54 -> 32 -> 16
S1_train_I_test_all,three_class_with_air,MLP source only,Before DA: standardized 54D PCA,acetone,source,source_train,Period_I,Day 1 afternoon,1,acetone\acetone_o2.csv,-2.9156879324849556,4.022482830614477,Two-layer G_f: 54 -> 32 -> 16
S1_train_I_test_all,three_class_with_air,MLP source only,Before DA: standardized 54D PCA,acetone,source,source_train,Period_I,Day 1 afternoon,1,acetone\acetone_o3.csv,2.082627236352102,-1.8174089899737764,Two-layer G_f: 54 -> 32 -> 16
S1_train_I_test_all,three_class_with_air,MLP source only,Before DA: standardized 54D PCA,acetone,source,source_train,Period_I,Day 2 noon,2,acetone\acetone_o4.csv,15.269107486917635,4.698834833223257,Two-layer G_f: 54 -> 32 -> 16
S1_train_I_test_all,three_class_with_air,MLP source only,Before DA: standardized 54D PCA,acetone,source,source_train,Period_I,Day 2 noon,2,acetone\acetone_o5.csv,11.88998006477016,2.2021012093529806,Two-layer G_f: 54 -> 32 -> 16
S1_train_I_test_all,three_class_with_air,MLP source only,Before DA: standardized 54D PCA,acetone,source,source_train,Period_I,Day 2 noon,2,acetone\acetone_o6.csv,6.254027247834923,2.6930205749598737,Two-layer G_f: 54 -> 32 -> 16
S1_train_I_test_all,three_class_with_air,MLP source only,Before DA: standardized 54D PCA,acetone,source,source_train,Period_I,Day 2 afternoon,2,acetone\acetone_o7.csv,-3.460413335667646,1.488004873892421,Two-layer G_f: 54 -> 32 -> 16
S1_train_I_test_all,three_class_with_air,MLP source only,Before DA: standardized 54D PCA,acetone,source,source_train,Period_I,Day 2 afternoon,2,acetone\acetone_o8.csv,-0.2262005880052945,-1.9637566813304144,Two-layer G_f: 54 -> 32 -> 16
S1_train_I_test_all,three_class_with_air,MLP source only,Before DA: standardized 54D PCA,acetone,source,source_train,Period_I,Day 2 afternoon,2,acetone\acetone_o9.csv,6.738850994682761,0.13778140597588012,Two-layer G_f: 54 -> 32 -> 16
S1_train_I_test_all,three_class_with_air,MLP source only,Before DA: standardized 54D PCA,acetone,source,source_train,Period_I,Day 3 noon,3,acetone\acetone_o10.csv,2.5672296925780738,0.43850755183958257,Two-layer G_f: 54 -> 32 -> 16
