epoch,L,Ld,backward_loss_scalar,class_loss,domain_loss,total_loss,effective_feature_objective,train_accuracy,validation_accuracy,test_accuracy,domain_discriminator_accuracy,domain_discriminator_balanced_accuracy,domain_majority_baseline,split,task,variant,architecture,lambda,seed,seed_values
1,1.116260290145874,0.0,1.116260290145874,1.116260290145874,0.0,1.116260290145874,1.116260290145874,0.5666666666666667,,0.39194139194139194,0.8910891089108911,0.539010989010989,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
5,0.8377960920333862,0.0,0.8377960920333862,0.8377960920333862,0.0,0.8377960920333862,0.8377960920333862,0.5666666666666667,,0.608058608058608,0.8613861386138614,0.5521978021978022,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
10,0.6666556596755981,0.0,0.6666556596755981,0.6666556596755981,0.0,0.6666556596755981,0.6666556596755981,0.5333333333333333,,0.6153846153846154,0.7788778877887789,0.550915750915751,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
15,0.5028819441795349,0.0,0.5028819441795349,0.5028819441795349,0.0,0.5028819441795349,0.5028819441795349,0.8666666666666667,,0.706959706959707,0.6666666666666666,0.5924908424908425,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
20,0.3577571511268616,0.0,0.3577571511268616,0.3577571511268616,0.0,0.3577571511268616,0.3577571511268616,0.8666666666666667,,0.7142857142857143,0.5478547854785478,0.5265567765567766,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
25,0.17446020245552063,0.0,0.17446020245552063,0.17446020245552063,0.0,0.17446020245552063,0.17446020245552063,0.9666666666666667,,0.7216117216117216,0.44554455445544555,0.5291208791208791,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
30,0.07294181734323502,0.0,0.07294181734323502,0.07294181734323502,0.0,0.07294181734323502,0.07294181734323502,1.0,,0.717948717948718,0.44554455445544555,0.5291208791208791,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
35,0.042511094361543655,0.0,0.042511094361543655,0.042511094361543655,0.0,0.042511094361543655,0.042511094361543655,1.0,,0.717948717948718,0.39933993399339934,0.5183150183150182,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
40,0.010826080106198788,0.0,0.010826080106198788,0.010826080106198788,0.0,0.010826080106198788,0.010826080106198788,1.0,,0.717948717948718,0.43234323432343236,0.5366300366300366,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
45,0.019875016063451767,0.0,0.019875016063451767,0.019875016063451767,0.0,0.019875016063451767,0.019875016063451767,1.0,,0.7326007326007326,0.42244224422442245,0.5311355311355311,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
50,0.0043430509977042675,0.0,0.0043430509977042675,0.0043430509977042675,0.0,0.0043430509977042675,0.0043430509977042675,1.0,,0.7289377289377289,0.3564356435643564,0.5093406593406593,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
55,0.004906264133751392,0.0,0.004906264133751392,0.004906264133751392,0.0,0.004906264133751392,0.004906264133751392,1.0,,0.7435897435897436,0.37623762376237624,0.5054945054945055,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
60,0.004050995223224163,0.0,0.004050995223224163,0.004050995223224163,0.0,0.004050995223224163,0.004050995223224163,1.0,,0.7545787545787546,0.39933993399339934,0.5183150183150182,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
65,0.036925822496414185,0.0,0.036925822496414185,0.036925822496414185,0.0,0.036925822496414185,0.036925822496414185,1.0,,0.7545787545787546,0.39933993399339934,0.5183150183150182,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
