split,description,task,variant,lambda,seed,classifier_label_usage,domain_label_usage,model_selection_labels,best_epoch,L_last,Ld_last,backward_loss_scalar_last,feature_extractor_objective,class_loss_last,domain_loss_last,classifier_train_n,source_train_n,source_val_n,target_labeled_train_n,target_domain_n,target_validation_n,target_test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy,representative_seed,seed_values,seed_count,seed_policy,selection_status,judgment,best_epoch_std,L_last_std,Ld_last_std,backward_loss_scalar_last_std,class_loss_last_std,domain_loss_last_std,train_accuracy_std,validation_accuracy_std,test_accuracy_std,train_balanced_accuracy_std,validation_balanced_accuracy_std,test_balanced_accuracy_std,train_macro_f1_std,validation_macro_f1_std,test_macro_f1_std,train_test_accuracy_gap_std,domain_discriminator_accuracy_std,best_epoch_min,best_epoch_max,L_last_min,L_last_max,Ld_last_min,Ld_last_max,backward_loss_scalar_last_min,backward_loss_scalar_last_max,class_loss_last_min,class_loss_last_max,domain_loss_last_min,domain_loss_last_max,train_accuracy_min,train_accuracy_max,validation_accuracy_min,validation_accuracy_max,test_accuracy_min,test_accuracy_max,train_balanced_accuracy_min,train_balanced_accuracy_max,validation_balanced_accuracy_min,validation_balanced_accuracy_max,test_balanced_accuracy_min,test_balanced_accuracy_max,train_macro_f1_min,train_macro_f1_max,validation_macro_f1_min,validation_macro_f1_max,test_macro_f1_min,test_macro_f1_max,train_test_accuracy_gap_min,train_test_accuracy_gap_max,domain_discriminator_accuracy_min,domain_discriminator_accuracy_max
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,MLP source only,0.0,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,no validation; fixed hyperparameters,400.0,0.0001420934553607367,0.0,0.0001420934553607367,min L - lambda*Ld via gradient reversal,0.0001420934553607367,0.0,30,30,0,0,273,0,273,1.0,,0.7846153846153847,1.0,,0.7863168724279836,1.0,,0.7872243989048429,0.21538461538461537,0.4561056105610561,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,fixed hyperparameters because the split has no validation set; metrics averaged over seeds,fixed hyperparameters because the split has no validation set; metrics averaged over seeds,0.0,4.257588440914834e-05,0.0,4.257588440914834e-05,4.257588440914834e-05,0.0,0.0,,0.030908458768833663,0.0,,0.02863680748213241,0.0,,0.03054661258528044,0.030908458768833663,0.2762969602414178,400,400,0.00010370092786615714,0.00020935546490363777,0.0,0.0,0.00010370092786615714,0.00020935546490363777,0.00010370092786615714,0.00020935546490363777,0.0,0.0,1.0,1.0,,,0.73992673992674,0.8205128205128205,1.0,1.0,,,0.7457561728395062,0.820216049382716,1.0,1.0,,,0.7444511825348696,0.8233615158601667,0.17948717948717952,0.26007326007326004,0.18811881188118812,0.900990099009901
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,no validation; fixed hyperparameters,400.0,0.00142213312064996,0.31415902376174926,0.31558115482330323,min L - lambda*Ld via gradient reversal,0.00142213312064996,0.31415902376174926,30,30,0,0,273,0,273,1.0,,0.7472527472527473,1.0,,0.7497427983539093,1.0,,0.7537995298316369,0.2527472527472528,0.9036303630363035,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,fixed hyperparameters because the split has no validation set; metrics averaged over seeds,fixed hyperparameters because the split has no validation set; metrics averaged over seeds,0.0,0.00298492981999672,0.032087009359265006,0.033261258951606094,0.00298492981999672,0.032087009359265006,0.0,,0.042004926524467814,0.0,,0.041179079964993925,0.0,,0.038724893799095564,0.042004926524467814,0.006348311571508676,400,400,6.510765524581075e-05,0.006761645432561636,0.28659823536872864,0.3600616455078125,0.28669485449790955,0.3601267635822296,6.510765524581075e-05,0.006761645432561636,0.28659823536872864,0.3600616455078125,1.0,1.0,,,0.7106227106227107,0.8168498168498168,1.0,1.0,,,0.7141203703703703,0.8180298353909464,1.0,1.0,,,0.7228686346333406,0.8178573905118528,0.18315018315018317,0.28937728937728935,0.8976897689768977,0.9141914191419142
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,14.0,0.0010023046284914016,0.0,0.0010023046284914016,min L - lambda*Ld via gradient reversal,0.0010023046284914016,0.0,25,25,5,0,273,0,273,0.8720000000000001,0.76,0.6644688644688644,0.8800000000000001,0.8,0.6761574074074075,0.8594620973568343,0.7444444444444444,0.6452215555037623,0.2075311355311355,0.6080536912751678,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds","lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",5.477225575051661,0.0013648101783259692,0.0,0.0013648101783259692,0.0013648101783259692,0.0,0.03346640106136305,0.08944271909999162,0.03677626490259674,0.03800584750330455,0.07453559924999302,0.034371730699031704,0.03796045027870314,0.07453559924999298,0.04936586186501624,0.03565148606609221,0.3063116952487892,10,20,3.459287836449221e-05,0.003217291086912155,0.0,0.0,3.459287836449221e-05,0.003217291086912155,3.459287836449221e-05,0.003217291086912155,0.0,0.0,0.84,0.92,0.6,0.8,0.6227106227106227,0.706959706959707,0.8333333333333334,0.9333333333333332,0.6666666666666666,0.8333333333333334,0.6385030864197532,0.7151491769547325,0.8231259968102074,0.9188197767145135,0.611111111111111,0.7777777777777777,0.5777552954901747,0.6998892580287929,0.15135531135531133,0.24996336996336999,0.11073825503355705,0.9161073825503355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,148.0,0.0002527085281144537,0.2743818283081055,0.2746345281600952,min L - lambda*Ld via gradient reversal,0.0002527085281144537,0.2743818283081055,25,25,5,0,273,0,273,0.944,0.8400000000000001,0.704029304029304,0.9466666666666667,0.8666666666666668,0.7090277777777778,0.9385575048732943,0.831111111111111,0.7014565972232509,0.23997069597069598,0.9161073825503354,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds","lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",122.55610959882824,0.0003198028106265346,0.006838508978053633,0.006745622795006591,0.0003198028106265346,0.006838508978053633,0.07797435475847173,0.08944271909999157,0.06229260562485368,0.07673909622147557,0.07453559924999298,0.059269188152474464,0.08641167452115352,0.09635325950523915,0.06920102883455123,0.05245548118874084,0.004109882118763693,10,250,6.898111223563319e-06,0.0007822812767699361,0.2675986588001251,0.28406262397766113,0.26808109879493713,0.28438425064086914,6.898111223563319e-06,0.0007822812767699361,0.2675986588001251,0.28406262397766113,0.84,1.0,0.8,1.0,0.6336996336996337,0.7802197802197802,0.8333333333333334,1.0,0.8333333333333334,1.0,0.6450617283950617,0.7813786008230453,0.8185185185185185,1.0,0.7777777777777777,1.0,0.6236879785589283,0.7831636862526933,0.2023443223443223,0.3296703296703297,0.912751677852349,0.9228187919463087
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,14.0,7.679762493353337e-05,0.0,7.679762493353337e-05,min L - lambda*Ld via gradient reversal,7.679762493353337e-05,0.0,20,20,10,0,273,0,273,0.89,0.7,0.654945054945055,0.8833333333333334,0.6666666666666666,0.6655864197530864,0.8712962962962962,0.6525925925925926,0.646594689470119,0.235054945054945,0.5549488054607508,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds","lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",5.477225575051661,4.020433962000239e-05,0.0,4.020433962000239e-05,4.020433962000239e-05,0.0,0.0547722557505166,0.0,0.053735152588695226,0.06846531968814576,0.0,0.05441711574288481,0.06339381452606094,0.0016563466499998217,0.05337415817264666,0.01788018612780057,0.321214628030499,10,20,3.327172453282401e-05,0.00013598114310298115,0.0,0.0,3.327172453282401e-05,0.00013598114310298115,3.327172453282401e-05,0.00013598114310298115,0.0,0.0,0.85,0.95,0.7,0.7,0.6007326007326007,0.7289377289377289,0.8333333333333334,0.9583333333333334,0.6666666666666666,0.6666666666666666,0.6118827160493828,0.7398405349794238,0.8249999999999998,0.9407407407407407,0.6518518518518519,0.6555555555555556,0.5909599108801394,0.7233959347660757,0.2163003663003663,0.25769230769230766,0.08191126279863481,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,150.0,7.701037375227316e-05,0.22914668619632722,0.22922369837760925,min L - lambda*Ld via gradient reversal,7.701037375227316e-05,0.22914668619632722,20,20,10,0,273,0,273,0.95,0.72,0.673992673992674,0.95,0.6833333333333333,0.6806841563786008,0.9412962962962961,0.6749206349206349,0.6718266706089492,0.276007326007326,0.9317406143344709,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds","lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",182.75666882497066,8.571616112390933e-05,0.008371779533095255,0.008313326540294605,8.571616112390933e-05,0.008371779533095255,0.06123724356957946,0.044721359549995836,0.04357281045190592,0.06846531968814575,0.03726779962499651,0.045144842238104145,0.07144525084505453,0.041675861923134806,0.040702302233034955,0.05716325244180341,0.004826667448372331,10,360,7.3109576987917535e-06,0.0002213346742792055,0.2202281802892685,0.23918847739696503,0.22028645873069763,0.23920764029026031,7.3109576987917535e-06,0.0002213346742792055,0.2202281802892685,0.23918847739696503,0.85,1.0,0.7,0.8,0.6153846153846154,0.7142857142857143,0.8333333333333334,1.0,0.6666666666666666,0.75,0.624485596707819,0.7253086419753086,0.8249999999999998,1.0,0.6518518518518519,0.7486772486772487,0.6157128197519874,0.7101248790107375,0.23461538461538456,0.35531135531135527,0.9249146757679181,0.9385665529010239
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,MLP source only,0.0,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,target validation labels,244.0,0.0001420934553607367,0.0,0.0001420934553607367,min L - lambda*Ld via gradient reversal,0.0001420934553607367,0.0,30,30,0,0,273,28,245,1.0,0.8928571428571429,0.7853061224489796,1.0,0.8949999999999999,0.7874269937347351,1.0,0.8953024074433416,0.7874316680254958,0.2146938775510204,0.43036303630363043,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds","lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",85.02940667792525,4.257588440914834e-05,0.0,4.257588440914834e-05,4.257588440914834e-05,0.0,0.0,0.035714285714285754,0.014314839115714429,0.0,0.03979112128771102,0.013023799312459108,0.0,0.038550128688581334,0.01510146199892436,0.01431483911571443,0.2877217804351091,180,360,0.00010370092786615714,0.00020935546490363777,0.0,0.0,0.00010370092786615714,0.00020935546490363777,0.00010370092786615714,0.00020935546490363777,0.0,0.0,1.0,1.0,0.8571428571428571,0.9285714285714286,0.763265306122449,0.8,1.0,1.0,0.85,0.9333333333333332,0.7676011468620579,0.8004141446320484,1.0,1.0,0.8554112554112554,0.9326599326599326,0.7632765110468404,0.8034101953318734,0.19999999999999996,0.23673469387755097,0.17491749174917492,0.900990099009901
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,DANN-UDA,0.05,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,target validation labels,166.0,0.00011497935774968937,0.2886915892362595,0.2888065755367279,min L - lambda*Ld via gradient reversal,0.00011497935774968937,0.2886915892362595,30,30,0,0,273,28,245,1.0,0.8785714285714287,0.7828571428571428,1.0,0.8833333333333332,0.7857916533928002,1.0,0.8772307625867997,0.7855519684537,0.21714285714285717,0.9003300330033005,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds","lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",113.26958991715296,0.00011054512911706748,0.030285137553202817,0.030244377995479698,0.00011054512911706748,0.030285137553202817,0.0,0.0740587191190276,0.02963051659245966,0.0,0.06846531968814575,0.02776843615244881,0.0,0.07760918292650847,0.029436679524586364,0.02963051659245966,0.0067636638719205,90,360,2.710722401388921e-05,0.0002994804526679218,0.24918554723262787,0.3225756287574768,0.24922895431518555,0.3226027488708496,2.710722401388921e-05,0.0002994804526679218,0.24918554723262787,0.3225756287574768,1.0,1.0,0.75,0.9285714285714286,0.7387755102040816,0.8122448979591836,1.0,1.0,0.7666666666666666,0.9333333333333332,0.7450355739619837,0.8127322926622066,1.0,1.0,0.7415032679738562,0.9274821039526921,0.7410571040708027,0.8152753390888731,0.18775510204081636,0.2612244897959184,0.8943894389438944,0.9075907590759076
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,three_class_with_air,MLP source only,0.0,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,target validation labels,198.0,0.0001420934553607367,0.0,0.0001420934553607367,min L - lambda*Ld via gradient reversal,0.0001420934553607367,0.0,30,30,0,16,273,26,231,1.0,0.8692307692307691,0.786147186147186,1.0,0.8644444444444443,0.7884057971014492,1.0,0.8707754234070023,0.7902339727825327,0.21385281385281382,0.44818481848184816,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds","lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",120.49896265113655,4.257588440914834e-05,0.0,4.257588440914834e-05,4.257588440914834e-05,0.0,0.0,0.06435846357954428,0.023029326542459566,0.0,0.05577733510227173,0.021618075663106973,0.0,0.05338691771427749,0.02218485422640489,0.023029326542459566,0.281935896570615,70,390,0.00010370092786615714,0.00020935546490363777,0.0,0.0,0.00010370092786615714,0.00020935546490363777,0.00010370092786615714,0.00020935546490363777,0.0,0.0,1.0,1.0,0.7692307692307693,0.9230769230769231,0.7619047619047619,0.8225108225108225,1.0,1.0,0.7777777777777777,0.9111111111111111,0.7657899445339059,0.8226874217212381,1.0,1.0,0.7910685805422647,0.9204906204906204,0.7675546487091479,0.8249099662997285,0.17748917748917747,0.23809523809523814,0.1716171617161716,0.900990099009901
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,three_class_with_air,DANN-UDA,0.05,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,target validation labels,204.0,0.00011497935774968937,0.2886915892362595,0.2888065755367279,min L - lambda*Ld via gradient reversal,0.00011497935774968937,0.2886915892362595,30,30,0,16,273,26,231,1.0,0.8846153846153845,0.7809523809523811,1.0,0.8777777777777777,0.7831812488817319,1.0,0.8836439583808005,0.78458374529173,0.21904761904761907,0.9016501650165019,0,"0,1,2,3,4",5,fixed trial seeds 0-4; seed 0 matches the YanKe DCAE UCI reference run; seed controls stochastic training only and is never selected,"lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds","lambda selected by mean validation macro-F1, balanced accuracy, and accuracy over seeds",129.34450123604017,0.00011054512911706748,0.030285137553202817,0.030244377995479698,0.00011054512911706748,0.030285137553202817,0.0,0.03846153846153849,0.026790906401326083,0.0,0.033333333333333326,0.02550181535855984,0.0,0.03337488887248302,0.025213322726707805,0.026790906401326083,0.007525910396693962,90,350,2.710722401388921e-05,0.0002994804526679218,0.24918554723262787,0.3225756287574768,0.24922895431518555,0.3226027488708496,2.710722401388921e-05,0.0002994804526679218,0.24918554723262787,0.3225756287574768,1.0,1.0,0.8461538461538461,0.9230769230769231,0.7445887445887446,0.8095238095238095,1.0,1.0,0.8444444444444444,0.9111111111111111,0.748613347647164,0.8103417427088925,1.0,1.0,0.8444444444444446,0.9204906204906204,0.7528065803927873,0.8123108182809675,0.19047619047619047,0.2554112554112554,0.8943894389438944,0.9108910891089109
