split,variant,lambda__one-layer G_f: 54->16,lambda__two-layer G_f: 54->32->16,seed_count__one-layer G_f: 54->16,seed_count__two-layer G_f: 54->32->16,train_accuracy__one-layer G_f: 54->16,train_accuracy__two-layer G_f: 54->32->16,train_accuracy_std__one-layer G_f: 54->16,train_accuracy_std__two-layer G_f: 54->32->16,validation_accuracy__one-layer G_f: 54->16,validation_accuracy__two-layer G_f: 54->32->16,validation_accuracy_std__one-layer G_f: 54->16,validation_accuracy_std__two-layer G_f: 54->32->16,test_accuracy__one-layer G_f: 54->16,test_accuracy__two-layer G_f: 54->32->16,test_accuracy_std__one-layer G_f: 54->16,test_accuracy_std__two-layer G_f: 54->32->16,test_accuracy_min__one-layer G_f: 54->16,test_accuracy_min__two-layer G_f: 54->32->16,test_accuracy_max__one-layer G_f: 54->16,test_accuracy_max__two-layer G_f: 54->32->16,test_balanced_accuracy__one-layer G_f: 54->16,test_balanced_accuracy__two-layer G_f: 54->32->16,test_balanced_accuracy_std__one-layer G_f: 54->16,test_balanced_accuracy_std__two-layer G_f: 54->32->16,test_macro_f1__one-layer G_f: 54->16,test_macro_f1__two-layer G_f: 54->32->16,test_macro_f1_std__one-layer G_f: 54->16,test_macro_f1_std__two-layer G_f: 54->32->16,one_minus_two_test_accuracy,better_architecture_by_mean_test_accuracy
S1_train_I_test_all,DANN-UDA,0.2,0.2,5.0,5.0,1.0,1.0,0.0,0.0,,,,,0.791941391941392,0.7472527472527473,0.013053867898319,0.0420049265244678,0.7728937728937729,0.7106227106227107,0.8058608058608059,0.8168498168498168,0.7921039094650205,0.7497427983539093,0.0132192013187662,0.0411790799649939,0.7936255955019653,0.7537995298316369,0.0132205662300462,0.0387248937990955,0.04468864468864475,one-layer
S1_train_I_test_all,MLP source only,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,,,,,0.7904761904761906,0.7846153846153847,0.0104892462002024,0.0309084587688336,0.7728937728937729,0.73992673992674,0.7985347985347986,0.8205128205128205,0.7916152263374485,0.7863168724279836,0.0100146110542074,0.0286368074821324,0.7909336880494443,0.7872243989048429,0.0109496723368099,0.0305466125852804,0.00586080586080584,one-layer
S2_train_I_internal_val_test_all,DANN-UDA,0.5,0.2,5.0,5.0,0.92,0.944,0.1131370849898476,0.0779743547584717,0.8400000000000001,0.8400000000000001,0.0894427190999915,0.0894427190999915,0.6813186813186813,0.704029304029304,0.0975693816986608,0.0622926056248536,0.5201465201465202,0.6336996336996337,0.7582417582417582,0.7802197802197802,0.6867283950617283,0.7090277777777778,0.0926970664745035,0.0592691881524744,0.6813454204923771,0.7014565972232509,0.1030409837489957,0.0692010288345512,-0.02271062271062263,two-layer
S2_train_I_internal_val_test_all,MLP source only,0.0,0.0,5.0,5.0,0.904,0.8720000000000001,0.0536656314599949,0.033466401061363,0.76,0.76,0.0894427190999916,0.0894427190999916,0.6600732600732601,0.6644688644688644,0.0352677066722663,0.0367762649025967,0.6336996336996337,0.6227106227106227,0.7216117216117216,0.706959706959707,0.6708333333333333,0.6761574074074075,0.0335244611417916,0.0343717306990317,0.6481639763938445,0.6452215555037623,0.0419698272042068,0.0493658618650162,-0.00439560439560438,two-layer
S3_train_I_internal_20_10_test_all,DANN-UDA,0.05,0.2,5.0,5.0,0.8799999999999999,0.95,0.0570087712549568,0.0612372435695794,0.7,0.72,0.0,0.0447213595499958,0.6417582417582417,0.673992673992674,0.0127943217557311,0.0435728104519059,0.63003663003663,0.6153846153846154,0.6556776556776557,0.7142857142857143,0.6546296296296296,0.6806841563786008,0.0119060333860052,0.0451448422381041,0.6311859243528429,0.6718266706089492,0.0173920500194646,0.0407023022330349,-0.03223443223443234,two-layer
S3_train_I_internal_20_10_test_all,MLP source only,0.0,0.0,5.0,5.0,0.8699999999999999,0.89,0.0570087712549568,0.0547722557505166,0.7,0.7,0.0,0.0,0.6351648351648351,0.654945054945055,0.018424580717889,0.0537351525886952,0.6190476190476191,0.6007326007326007,0.663003663003663,0.7289377289377289,0.6473508230452676,0.6655864197530864,0.0187133862259133,0.0544171157428848,0.6254078269838235,0.646594689470119,0.0188951044390297,0.0533741581726466,-0.01978021978021982,two-layer
S4_train_I_val_D1_2,DANN-UDA,0.05,0.05,5.0,5.0,1.0,1.0,0.0,0.0,0.9357142857142856,0.8785714285714287,0.0159719141249984,0.0740587191190276,0.7975510204081633,0.7828571428571428,0.0235535315040873,0.0296305165924596,0.7673469387755102,0.7387755102040816,0.8285714285714286,0.8122448979591836,0.7986407560794307,0.7857916533928002,0.0231890639539047,0.0277684361524488,0.7985533189914662,0.7855519684537,0.0226003380781811,0.0294366795245863,0.014693877551020473,one-layer
S4_train_I_val_D1_2,MLP source only,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.8857142857142856,0.8928571428571429,0.0298807152333598,0.0357142857142857,0.7836734693877551,0.7853061224489796,0.0177914242593497,0.0143148391157144,0.7551020408163265,0.763265306122449,0.8,0.8,0.7860146543485186,0.7874269937347351,0.0167800321031198,0.0130237993124591,0.7832671155430849,0.7874316680254958,0.0165078714107694,0.0151014619989243,-0.0016326530612245094,two-layer
S5_train_I_D1_val_D2_3,DANN-UDA,0.5,0.05,5.0,5.0,1.0,1.0,0.0,0.0,0.876923076923077,0.8846153846153845,0.0172005229038445,0.0384615384615384,0.774025974025974,0.7809523809523811,0.0260460761151365,0.026790906401326,0.7489177489177489,0.7445887445887446,0.8095238095238095,0.8095238095238095,0.7758811952048668,0.7831812488817319,0.0247650214183877,0.0255018153585598,0.7799672010905105,0.78458374529173,0.0232435317185233,0.0252133227267078,-0.006926406926407114,two-layer
S5_train_I_D1_val_D2_3,DANN-semi,0.5,0.2,5.0,5.0,1.0,0.9956521739130436,0.0,0.0097220346847816,0.9538461538461538,0.976923076923077,0.0172005229038445,0.0210662522117371,0.8666666666666666,0.8493506493506494,0.0328833402854249,0.0199322327847988,0.8354978354978355,0.8268398268398268,0.922077922077922,0.8744588744588745,0.8679549114331723,0.85092145285382,0.0320359413148611,0.0182020071364111,0.8676311746901723,0.8514107244087403,0.0328405159571787,0.0209508063704578,0.017316017316017174,one-layer
S5_train_I_D1_val_D2_3,MLP source + target labels,0.0,0.0,5.0,5.0,0.9913043478260868,0.9913043478260868,0.0194440693695633,0.0194440693695633,0.946153846153846,0.9538461538461538,0.0210662522117371,0.0172005229038445,0.8476190476190476,0.8363636363636363,0.0217314292606253,0.0141605430595637,0.8138528138528138,0.8138528138528138,0.8658008658008658,0.8484848484848485,0.8509930220075148,0.8394346036858114,0.0214552338547886,0.0134541205271538,0.8469456951190585,0.8362751795532646,0.0216037828661719,0.0142814289728081,0.011255411255411296,one-layer
S5_train_I_D1_val_D2_3,MLP source only,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.8461538461538461,0.8692307692307691,0.027196414661021,0.0643584635795442,0.7887445887445887,0.786147186147186,0.0231915069021279,0.0230293265424595,0.7489177489177489,0.7619047619047619,0.8095238095238095,0.8225108225108225,0.7908749329039184,0.7884057971014492,0.0219023097539421,0.0216180756631069,0.7895390761268402,0.7902339727825327,0.0207893546811407,0.0221848542264048,0.0025974025974027093,one-layer
S6_train_I_D1_2_val_D3_5,DANN-UDA,0.2,0.2,5.0,5.0,0.98,0.96,0.0447213595499957,0.0894427190999915,0.885,0.905,0.0136930639376291,0.0111803398874989,0.7892682926829268,0.697560975609756,0.0528092433277048,0.0077128723418741,0.7073170731707317,0.6878048780487804,0.8341463414634146,0.7073170731707317,0.7901482971905507,0.7018853863924286,0.0501031923435693,0.0084951881498784,0.7918489171610757,0.7013006271277538,0.0535484629211504,0.0059963814408171,0.0917073170731707,one-layer
S6_train_I_D1_2_val_D3_5,DANN-semi,0.5,0.2,5.0,5.0,0.9896551724137932,1.0,0.0231317376982736,0.0,0.955,0.975,0.0111803398874989,0.0176776695296637,0.8907317073170733,0.8907317073170733,0.0232923636806113,0.0187662283528501,0.8634146341463415,0.8731707317073171,0.9219512195121952,0.9219512195121952,0.8910201952455473,0.8904240256352933,0.0231480173233355,0.0189053105633784,0.8909625930699983,0.8907339060711404,0.0239019059138952,0.0195445482048607,0.0,tie
S6_train_I_D1_2_val_D3_5,MLP source + target labels,0.0,0.0,5.0,5.0,0.9827586206896552,0.9965517241379308,0.0211162908860618,0.0077105792327579,0.925,0.945,0.0249999999999999,0.0410791918128874,0.8760975609756099,0.8819512195121952,0.0101153372455257,0.0474702073198161,0.8682926829268293,0.8195121951219512,0.8926829268292683,0.9365853658536586,0.8775318578135479,0.8824502570981444,0.0098976668236939,0.0456870456291564,0.8759291914820044,0.8819920057854332,0.0102618014169787,0.0482340190361774,-0.005853658536585371,two-layer
S6_train_I_D1_2_val_D3_5,MLP source only,0.0,0.0,5.0,5.0,0.9733333333333332,0.9733333333333334,0.0434613493680176,0.0596284793999943,0.8800000000000001,0.8800000000000001,0.0209165006633519,0.0325960120260132,0.7707317073170732,0.7404878048780488,0.0489022869652766,0.0444946507355761,0.7073170731707317,0.6878048780487804,0.8292682926829268,0.7853658536585366,0.7723079216036962,0.7435576421491914,0.0463719095541509,0.0417395370518316,0.7721433915351896,0.7441757904561561,0.0485814948377869,0.0479686374902171,0.030243902439024417,one-layer
S7_train_I_D1_3_val_D4_5,DANN-UDA,0.5,0.2,5.0,5.0,0.98,0.96,0.0447213595499957,0.0894427190999915,0.8923076923076924,0.9,0.0172005229038445,0.0210662522117372,0.7707317073170732,0.697560975609756,0.0415350886973815,0.0077128723418741,0.7024390243902439,0.6878048780487804,0.8097560975609757,0.7073170731707317,0.7727848572918995,0.7018853863924286,0.039470954651949,0.0084951881498784,0.7732387028020783,0.7013006271277538,0.0435111225167806,0.0059963814408171,0.07317073170731714,one-layer
S7_train_I_D1_3_val_D4_5,DANN-semi,0.5,0.05,5.0,5.0,0.9916666666666668,0.9916666666666668,0.0186338998124982,0.0186338998124982,0.9384615384615383,0.976923076923077,0.0210662522117371,0.0210662522117371,0.8975609756097562,0.9209756097560976,0.0154257446837482,0.0053436347073674,0.8731707317073171,0.9121951219512195,0.9121951219512195,0.926829268292683,0.8980699008868023,0.9202474103882554,0.0146663328252121,0.0050373245294926,0.8985856532892035,0.921875356631512,0.015679919502402,0.0051123206351887,-0.023414634146341373,two-layer
S7_train_I_D1_3_val_D4_5,MLP source + target labels,0.0,0.0,5.0,5.0,0.975,0.9916666666666668,0.0116202781463066,0.0186338998124982,0.9230769230769232,0.9615384615384616,0.0,1.2412670766236366e-16,0.8926829268292684,0.9200000000000002,0.0124366329599824,0.0088614156705292,0.8780487804878049,0.9121951219512195,0.9073170731707316,0.9317073170731708,0.893494299128102,0.9199046128623592,0.0122626895421196,0.0085103407628527,0.8942360185118614,0.9214842099642564,0.0129658583138827,0.0091116249120119,-0.02731707317073173,two-layer
S7_train_I_D1_3_val_D4_5,MLP source only,0.0,0.0,5.0,5.0,0.9733333333333332,0.9733333333333334,0.0434613493680176,0.0596284793999943,0.8923076923076924,0.8615384615384617,0.0172005229038445,0.034401045807689,0.7707317073170732,0.7297560975609756,0.0489022869652766,0.0367637925491059,0.7073170731707317,0.6878048780487804,0.8292682926829268,0.7658536585365854,0.7723079216036962,0.7337059393397422,0.0463719095541509,0.0347099884814509,0.7721433915351896,0.7333757405307988,0.0485814948377869,0.0399264994549534,0.0409756097560976,one-layer
