split,description,task,variant,lambda,seed,classifier_label_usage,domain_label_usage,model_selection_labels,best_epoch,class_loss_last,coral_loss_last,total_loss_last,feature_extractor_objective,classifier_train_n,source_train_n,source_val_n,target_domain_n,target_validation_n,target_test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,selection_status
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,MLP source only,0.0,0,source labels only,no target-domain adaptation loss,no validation; fixed hyperparameters,400,0.00015688312123529613,,0.00015688312123529613,min L using the same MLP source-only classification loss as DANN,30,30,0,273,0,273,1.0,,0.7802197802197802,1.0,,0.7858796296296297,1.0,,0.7787064375299669,0.21978021978021978,fixed hyperparameters because the split has no validation set
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.2,0,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,no validation; fixed hyperparameters,400,0.0003959586611017585,0.003161033848300576,0.001028165454044938,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",30,30,0,273,0,273,1.0,,0.8388278388278388,1.0,,0.8375771604938271,1.0,,0.8413591002967169,0.16117216117216115,fixed hyperparameters because the split has no validation set
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,0,source labels only,no target-domain adaptation loss,source validation labels,20,0.00028098010807298124,,0.00028098010807298124,min L using the same MLP source-only classification loss as DANN,25,25,5,273,0,273,0.88,0.8,0.673992673992674,0.9,0.8333333333333334,0.6851851851851851,0.8684960263907633,0.7777777777777777,0.6513542412822987,0.20600732600732596,"hyperparameters selected by validation macro-F1, balanced accuracy, and accuracy"
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.05,1,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,180,0.0002864410344045609,0.005762988701462746,0.0005745904636569321,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",25,25,5,273,0,273,1.0,1.0,0.8571428571428571,1.0,1.0,0.8542952674897119,1.0,1.0,0.8562033769246676,0.1428571428571429,"hyperparameters selected by validation macro-F1, balanced accuracy, and accuracy"
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,2,source labels only,no target-domain adaptation loss,source validation labels,10,0.00013598114310298115,,0.00013598114310298115,min L using the same MLP source-only classification loss as DANN,20,20,10,273,0,273,0.85,0.7,0.6336996336996337,0.8333333333333334,0.6666666666666666,0.64184670781893,0.8249999999999998,0.6555555555555556,0.6367716898694673,0.2163003663003663,"hyperparameters selected by validation macro-F1, balanced accuracy, and accuracy"
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.05,3,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,260,0.0001356793800368905,0.007047154940664768,0.0004880371270701289,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",20,20,10,273,0,273,1.0,0.8,0.8021978021978022,1.0,0.75,0.7970679012345679,1.0,0.7486772486772487,0.8043397442951751,0.19780219780219777,"hyperparameters selected by validation macro-F1, balanced accuracy, and accuracy"
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,MLP source only,0.0,2,source labels only,no target-domain adaptation loss,target validation labels,180,0.00020935546490363777,,0.00020935546490363777,min L using the same MLP source-only classification loss as DANN,30,30,0,273,28,245,1.0,0.9285714285714286,0.7836734693877551,1.0,0.9333333333333332,0.7856005097164703,1.0,0.9326599326599326,0.7882712479092088,0.21632653061224494,"hyperparameters selected by validation macro-F1, balanced accuracy, and accuracy"
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,Deep CORAL-UDA,0.05,3,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,target validation labels,110,0.00033854052890092134,0.012884754687547684,0.0009827782632783055,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",30,30,0,273,28,245,1.0,1.0,0.8408163265306122,1.0,1.0,0.8419347987681852,1.0,1.0,0.8439085767022209,0.15918367346938778,"hyperparameters selected by validation macro-F1, balanced accuracy, and accuracy"
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,three_class_with_air,MLP source only,0.0,2,source labels only,no target-domain adaptation loss,target validation labels,130,0.00020935546490363777,,0.00020935546490363777,min L using the same MLP source-only classification loss as DANN,30,30,0,273,26,231,1.0,0.9230769230769231,0.7792207792207793,1.0,0.9111111111111111,0.7815351583467525,1.0,0.9204906204906204,0.7855619547242972,0.22077922077922074,"hyperparameters selected by validation macro-F1, balanced accuracy, and accuracy"
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,three_class_with_air,Deep CORAL-UDA,0.05,2,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,target validation labels,50,0.00042183601181022823,0.010036962106823921,0.000923684099689126,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",30,30,0,273,26,231,1.0,0.9615384615384616,0.8095238095238095,1.0,0.9444444444444445,0.8103417427088925,1.0,0.9538239538239538,0.8138601540017113,0.19047619047619047,"hyperparameters selected by validation macro-F1, balanced accuracy, and accuracy"
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,three_class_with_air,MLP source only,0.0,1,source labels only,no target-domain adaptation loss,target validation labels,100,0.00011390523286536336,,0.00011390523286536336,min L using the same MLP source-only classification loss as DANN,30,30,0,273,40,205,1.0,0.9,0.7658536585365854,1.0,0.9,0.7680900216111484,1.0,0.9063067150635208,0.769202130344793,0.23414634146341462,"hyperparameters selected by validation macro-F1, balanced accuracy, and accuracy"
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,three_class_with_air,Deep CORAL-UDA,0.2,1,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,target validation labels,200,0.00031790119828656316,0.003706029150635004,0.0010591070167720318,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",30,30,0,273,40,205,1.0,0.925,0.848780487804878,1.0,0.9222222222222222,0.84670988896341,1.0,0.928343586238323,0.849236542809895,0.15121951219512197,"hyperparameters selected by validation macro-F1, balanced accuracy, and accuracy"
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,three_class_with_air,MLP source only,0.0,1,source labels only,no target-domain adaptation loss,target validation labels,100,0.00011390523286536336,,0.00011390523286536336,min L using the same MLP source-only classification loss as DANN,30,30,0,273,26,205,1.0,0.8846153846153846,0.7658536585365854,1.0,0.9,0.7680900216111484,1.0,0.899749373433584,0.769202130344793,0.23414634146341462,"hyperparameters selected by validation macro-F1, balanced accuracy, and accuracy"
