representation,from_day,to_day,from_day_num,to_day_num,gas,drift_distance,angle_to_acetone_minus_alcohol_deg,projection_on_acetone_minus_alcohol,interpretation
raw6_post60_centroid_zscore,Day1,Day2,1,2,air,0.9813619473240635,66.5535537552524,0.3904758015808154,projection relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day1,Day2,1,2,alcohol,3.2274575332338906,93.56423216314866,-0.20064287796759833,positive means movement toward acetone side
raw6_post60_centroid_zscore,Day1,Day2,1,2,acetone,4.5366054481135585,132.38546766092648,-3.058194081875011,negative means movement toward alcohol side
raw6_post60_centroid_zscore,Day1,Day2,1,2,balanced_all_available_gases,2.1292020175691198,116.68281612076979,-0.9561203860872646,overall balanced day shift relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day2,Day3,2,3,air,0.2643951686317873,150.01745550173877,-0.22901319683061339,projection relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day2,Day3,2,3,alcohol,0.9999986311733057,121.32927395459767,-0.5199548983172425,positive means movement toward acetone side
raw6_post60_centroid_zscore,Day2,Day3,2,3,acetone,1.2151348839860459,156.774531843975,-1.1166605231405102,negative means movement toward alcohol side
raw6_post60_centroid_zscore,Day2,Day3,2,3,balanced_all_available_gases,0.7494654407537621,146.07405948691763,-0.621876206096122,overall balanced day shift relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day3,Day4,3,4,air,0.21395467769977516,115.15663205923651,-0.0909509126607609,projection relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day3,Day4,3,4,alcohol,0.5752381346819816,77.21220218361556,0.12732367853673487,positive means movement toward acetone side
raw6_post60_centroid_zscore,Day3,Day4,3,4,acetone,0.7596959683299156,143.677934189329,-0.6120872131856763,negative means movement toward alcohol side
raw6_post60_centroid_zscore,Day3,Day4,3,4,balanced_all_available_gases,0.3486138550363016,123.39992181385605,-0.1919048157699008,overall balanced day shift relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day4,Day5,4,5,air,0.671784098375882,76.68742600575786,0.15468722549302566,projection relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day4,Day5,4,5,alcohol,1.355928022619216,93.07811837125283,-0.07280989270730998,positive means movement toward acetone side
raw6_post60_centroid_zscore,Day4,Day5,4,5,acetone,2.080393812778169,69.53454461520182,0.7273942638580121,negative means movement toward alcohol side
raw6_post60_centroid_zscore,Day4,Day5,4,5,balanced_all_available_gases,0.8845598855619021,72.24411904836772,0.2697571988812426,overall balanced day shift relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day5,Day6,5,6,air,1.1495093227255855,97.50121397356328,-0.15006522203215922,projection relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day5,Day6,5,6,alcohol,0.7171664244651094,87.14079181755481,0.035773614936960435,positive means movement toward acetone side
raw6_post60_centroid_zscore,Day5,Day6,5,6,acetone,1.5580585156378683,126.13886262237244,-0.9188560752760111,negative means movement toward alcohol side
raw6_post60_centroid_zscore,Day5,Day6,5,6,balanced_all_available_gases,0.8065749787537874,115.27536230594642,-0.3443825607904033,overall balanced day shift relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day6,Day7,6,7,air,1.0767483281025034,90.42919853128114,-0.008065768244097271,projection relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day6,Day7,6,7,alcohol,1.1090159898879732,74.41228630634639,0.29800732113830036,positive means movement toward acetone side
