representation,query_gas,query_day,nearest_other_gas,nearest_other_day,distance
raw6_post60_centroid_zscore,alcohol,Day1,acetone,Day7,3.3458928507493106
raw6_post60_centroid_zscore,alcohol,Day2,acetone,Day16,1.0267890538083417
raw6_post60_centroid_zscore,alcohol,Day3,acetone,Day14,0.9408322077719367
raw6_post60_centroid_zscore,alcohol,Day4,acetone,Day9,0.9158206080960641
raw6_post60_centroid_zscore,alcohol,Day5,acetone,Day7,1.7297180851134861
raw6_post60_centroid_zscore,alcohol,Day6,acetone,Day9,1.4859650864135812
raw6_post60_centroid_zscore,alcohol,Day7,acetone,Day9,0.9502043206639534
raw6_post60_centroid_zscore,alcohol,Day8,acetone,Day10,1.1548633431762194
raw6_post60_centroid_zscore,alcohol,Day9,acetone,Day9,0.9125369717317745
raw6_post60_centroid_zscore,alcohol,Day10,acetone,Day14,1.0658592577377675
raw6_post60_centroid_zscore,alcohol,Day11,acetone,Day14,1.1407036788139002
raw6_post60_centroid_zscore,alcohol,Day12,acetone,Day11,1.5046350827350314
raw6_post60_centroid_zscore,alcohol,Day13,acetone,Day9,1.7443817877552896
raw6_post60_centroid_zscore,alcohol,Day14,acetone,Day14,0.9895741714398215
raw6_post60_centroid_zscore,alcohol,Day16,acetone,Day16,1.8663778776270086
raw6_post60_centroid_zscore,alcohol,Day17,acetone,Day17,2.4672353113943033
raw6_post60_centroid_zscore,acetone,Day1,alcohol,Day1,4.9201371056279415
raw6_post60_centroid_zscore,acetone,Day2,alcohol,Day2,2.342854119912821
raw6_post60_centroid_zscore,acetone,Day3,alcohol,Day2,1.3165002085471764
raw6_post60_centroid_zscore,acetone,Day4,alcohol,Day2,1.1835867187885951
raw6_post60_centroid_zscore,acetone,Day5,alcohol,Day2,2.0976178447703657
raw6_post60_centroid_zscore,acetone,Day6,alcohol,Day2,1.2427931608098857
raw6_post60_centroid_zscore,acetone,Day7,alcohol,Day2,1.197987808402825
raw6_post60_centroid_zscore,acetone,Day8,alcohol,Day9,1.048588049459284
raw6_post60_centroid_zscore,acetone,Day9,alcohol,Day9,0.9125369717317745
raw6_post60_centroid_zscore,acetone,Day10,alcohol,Day8,1.1548633431762194
raw6_post60_centroid_zscore,acetone,Day11,alcohol,Day9,1.101428288166785
raw6_post60_centroid_zscore,acetone,Day12,alcohol,Day2,1.4165412061717335
raw6_post60_centroid_zscore,acetone,Day13,alcohol,Day2,1.3406641855698422
raw6_post60_centroid_zscore,acetone,Day14,alcohol,Day3,0.9408322077719367
raw6_post60_centroid_zscore,acetone,Day16,alcohol,Day2,1.0267890538083417
raw6_post60_centroid_zscore,acetone,Day17,alcohol,Day2,1.5722578896164314
uci48_features_zscore,alcohol,Day1,acetone,Day11,4.5671779252660185
uci48_features_zscore,alcohol,Day2,acetone,Day13,3.76087550870041
uci48_features_zscore,alcohol,Day3,acetone,Day13,3.7148684802797254
uci48_features_zscore,alcohol,Day4,acetone,Day14,3.6382283397654867
uci48_features_zscore,alcohol,Day5,acetone,Day16,4.4612952790316625
uci48_features_zscore,alcohol,Day6,acetone,Day16,4.117130301704188
uci48_features_zscore,alcohol,Day7,acetone,Day14,4.751482635751053
uci48_features_zscore,alcohol,Day8,acetone,Day14,3.778416742147299
uci48_features_zscore,alcohol,Day9,acetone,Day10,5.207143779309117
uci48_features_zscore,alcohol,Day10,acetone,Day10,4.566827334160731
uci48_features_zscore,alcohol,Day11,acetone,Day14,3.37973786633125
uci48_features_zscore,alcohol,Day12,acetone,Day11,5.312817557791781
uci48_features_zscore,alcohol,Day13,acetone,Day13,4.118918244569083
uci48_features_zscore,alcohol,Day14,acetone,Day14,3.583618771225438
uci48_features_zscore,alcohol,Day16,acetone,Day16,3.79421648812435
uci48_features_zscore,alcohol,Day17,acetone,Day16,4.4865276322034395
uci48_features_zscore,acetone,Day1,alcohol,Day1,13.597487635326438
uci48_features_zscore,acetone,Day2,alcohol,Day2,6.323302952621787
uci48_features_zscore,acetone,Day3,alcohol,Day3,4.865687880770201
uci48_features_zscore,acetone,Day4,alcohol,Day2,4.0654031799171975
uci48_features_zscore,acetone,Day5,alcohol,Day1,6.309768753487252
uci48_features_zscore,acetone,Day6,alcohol,Day2,4.068190233803776
uci48_features_zscore,acetone,Day7,alcohol,Day3,4.838342127099607
uci48_features_zscore,acetone,Day8,alcohol,Day9,6.88321680391818
uci48_features_zscore,acetone,Day9,alcohol,Day17,5.796360507148119
uci48_features_zscore,acetone,Day10,alcohol,Day10,4.566827334160731
uci48_features_zscore,acetone,Day11,alcohol,Day1,4.5671779252660185
uci48_features_zscore,acetone,Day12,alcohol,Day12,7.805219185488489
uci48_features_zscore,acetone,Day13,alcohol,Day3,3.7148684802797254
uci48_features_zscore,acetone,Day14,alcohol,Day11,3.37973786633125
uci48_features_zscore,acetone,Day16,alcohol,Day3,3.7688713886876943
uci48_features_zscore,acetone,Day17,alcohol,Day3,5.94876615648864
