sample_id,label,day_label,day_num,period,batch,source_kind,deltaR_s1,normDeltaR_s1,riseEMA_a0.1_s1,recEMA_a0.1_s1,riseEMA_a0.01_s1,recEMA_a0.01_s1,riseEMA_a0.001_s1,recEMA_a0.001_s1,deltaR_s2,normDeltaR_s2,riseEMA_a0.1_s2,recEMA_a0.1_s2,riseEMA_a0.01_s2,recEMA_a0.01_s2,riseEMA_a0.001_s2,recEMA_a0.001_s2,deltaR_s3,normDeltaR_s3,riseEMA_a0.1_s3,recEMA_a0.1_s3,riseEMA_a0.01_s3,recEMA_a0.01_s3,riseEMA_a0.001_s3,recEMA_a0.001_s3,deltaR_s4,normDeltaR_s4,riseEMA_a0.1_s4,recEMA_a0.1_s4,riseEMA_a0.01_s4,recEMA_a0.01_s4,riseEMA_a0.001_s4,recEMA_a0.001_s4,deltaR_s5,normDeltaR_s5,riseEMA_a0.1_s5,recEMA_a0.1_s5,riseEMA_a0.01_s5,recEMA_a0.01_s5,riseEMA_a0.001_s5,recEMA_a0.001_s5,deltaR_s6,normDeltaR_s6,riseEMA_a0.1_s6,recEMA_a0.1_s6,riseEMA_a0.01_s6,recEMA_a0.01_s6,riseEMA_a0.001_s6,recEMA_a0.001_s6
air_1,air,Period II Day 1,1,Period_II,batch1,new,0.03571428571428571,0.03571428571428571,0.0035714285714285713,-0.0033667349301889312,0.00035714285714285714,-0.00024840556304516306,3.571428571428571e-05,-4.948758952303917e-06,0.013574660633484163,0.013574660633484163,0.0004641242321465851,-0.00044799560079364836,7.791615087893915e-05,-1.995148153773865e-05,1.249883358008493e-05,-2.2579230746611097e-08,0.010810810810810811,0.010810810810810811,0.0005406756735445303,-0.00042014059021539625,7.073521636366688e-05,-1.297962191708072e-05,1.013738733767869e-05,-1.6317043399563745e-07,0.020512820512820513,0.020512820512820513,0.000731560860228669,-0.0007183579192313047,0.00010266632150096446,-2.9223666219273835e-05,1.7968541069814242e-05,-5.090959312617845e-08,0.06451612903225806,0.06451612903225806,0.003225806452777286,-0.0009927245044398319,0.0003401534780544379,-2.153056311249448e-05,3.424479397481783e-05,-2.803699570495439e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline_1,air,Period I baseline,0,Period_I,source,baseline_as_air,0.058823529411764705,0.058823529411764705,0.0029411764705882353,-0.0008474332129055511,0.000294118376838594,-1.5694774244816442e-05,2.9424635767150502e-05,-1.742668381013538e-07,0.011111111111111112,0.011111111111111112,0.00037367171405087947,-0.00042417085896138344,5.39248943084114e-05,-3.7340058312684276e-05,9.025366947799226e-06,-3.7045222997307908e-06,0.011049723756906077,0.011049723756906077,0.000552486188315349,-0.0005524852868653147,5.600541913383755e-05,-4.163408305276376e-05,8.102121107858793e-06,-7.302203181424646e-07,0.019230769230769232,0.019230769230769232,0.0007207768116517978,-0.0007337968713607156,6.752035624486263e-05,-9.144115859467078e-05,5.424540755652465e-06,-9.492609548576134e-06,0.04878048780487805,0.04878048780487805,0.002439024390243903,-0.002439024390243903,0.00024390243902439027,-0.00024390243902439027,2.4390243902439026e-05,-2.4390243902439026e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reference_1,air,Period II Day 1,1,Period_II,batch1,reference_as_air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004366812227074236,0.004366812227074236,0.0004366812227074236,-4.3668122270742375e-05,4.3668122270742355e-05,-4.3668122270742186e-07,4.3668122270742355e-06,-4.366812227074083e-09,0.005263157894736842,0.005263157894736842,0.0005263157894736842,-0.0002695773292347851,5.2631578947368424e-05,-9.265271893759623e-06,5.263157894736842e-06,-1.1311866543703943e-07,0.009569377990430622,0.009569377990430622,0.0007302951163025639,-0.0004360616957485012,7.87359710820417e-05,-1.7223046368095094e-05,9.290390916644379e-06,-2.2277997874871e-07,0.030303030303030304,0.030303030303030304,0.0006162149677482148,-0.0030303030303030307,1.4860326252308484e-05,-0.00030303030303030303,1.7805453300541102e-07,-3.0303030303030306e-05,0.037037037037037035,0.037037037037037035,0.003703703703703704,-0.0015241067619395955,0.00037037037037037035,-5.17275588096419e-05,3.7037037037037037e-05,-6.783684859522506e-07
air_2,air,Period II Day 1,1,Period_II,batch1,new,0.029411764705882353,0.029411764705882353,0.0029411764705882353,-0.001481464160748704,0.00029411764705882356,-6.437751324890541e-05,2.9411764705882354e-05,-9.454466768305351e-07,0.00851063829787234,0.00851063829787234,0.00045129437429241594,-0.0004258026674655803,5.587646926072855e-05,-4.2815868145081826e-05,7.947362560448098e-06,-4.259374939986723e-06,0.01020408163265306,0.01020408163265306,0.0005213588297770645,-0.000510204081632653,5.82789285017743e-05,-5.10204081632653e-05,5.251600100308576e-06,-5.102040816326531e-06,0.01762114537444934,0.01762114537444934,0.0006665390811920844,-0.0006283279585594484,4.904876008746588e-05,-8.552033512543891e-05,4.465651051021322e-06,-8.883692934021641e-06,0.02631578947368421,0.02631578947368421,0.0016410337809952332,-0.002631578947368421,4.915579819337812e-05,-0.0002631578947368421,7.377372712603965e-07,-2.631578947368421e-05,0.06666666666666667,0.06666666666666667,0.006666666666666667,-0.0017519251326666672,0.0006666666666666666,-6.063515216108925e-05,6.666666666666667e-05,-1.2094904242773144e-06
reference_2,air,Period II Day 1,1,Period_II,batch1,reference_as_air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004366812227074236,0.004366812227074236,0.0003506601558421734,-0.0004366812227074236,1.9089474168085197e-05,-4.3668122270742355e-05,3.0470868487683365e-07,-4.3668122270742355e-06,0.010526315789473684,0.010526315789473684,0.0005263157894736842,-0.0005263157894736842,5.2631578947368424e-05,-5.2631578947368424e-05,5.263157894736842e-06,-5.263157894736842e-06,0.009569377990430622,0.009569377990430622,0.000723917454854857,-0.0004784688995215311,5.643028559776003e-05,-4.784688995215311e-05,4.891883655308436e-06,-4.784688995215311e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0037003576158793367,-0.0011102003703703702,0.0002747820337864649,-1.82834289589645e-05,4.9791018400873895e-06,-2.4800552471556086e-07
air_3,air,Period II Day 2,2,Period_II,batch1,new,0.05714285714285714,0.05714285714285714,0.0028571428571428654,-0.0007510176870304699,0.00028586015019711205,-2.1184021315296634e-05,2.8592676493777005e-05,-3.255063849980047e-07,0.008368200836820083,0.008368200836820083,0.0004184100503573347,-0.0003701660208540726,4.522488472002005e-05,-1.3846618071517431e-05,7.299364928791042e-06,-1.9673614245891502e-07,0.005208333333333333,0.005208333333333333,0.0005208333333333333,-0.0005208333333333333,5.208333333333333e-05,-5.208333333333333e-05,5.208333333333333e-06,-5.208333333333333e-06,0.016877637130801686,0.016877637130801686,0.0006451935165958098,-0.0008438818565400844,8.322436835456444e-05,-8.438818565400843e-05,1.1685079451026149e-05,-8.438818565400844e-06,0.02631578947368421,0.02631578947368421,0.002631578947368421,-0.002631578947368421,0.0002631578947368421,-0.0002631578947368421,2.631578947368421e-05,-2.631578947368421e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline_3,air,Period I baseline,0,Period_I,source,baseline_as_air,0.07692307692307693,0.07692307692307693,0.002564102564102564,-0.0025641969158792543,0.0002564102564102564,-0.0003217942296037621,2.564102564102564e-05,-2.861808464411282e-05,0.02097902097902098,0.02097902097902098,0.000512036397941456,-0.00038914894860153887,7.073361657668813e-05,-7.042496742611391e-05,3.4965034965034966e-06,-9.981372767272304e-06,0.01015228426395939,0.01015228426395939,0.0005078529481821683,-0.0005076142217767425,5.485003902446646e-05,-5.087611581499187e-05,5.328015788160035e-06,-5.0805196307351545e-06,0.029166666666666667,0.029166666666666667,0.0005997842761305401,-0.0006022149122856798,7.3409905308522e-05,-6.42445053605395e-05,8.211315821417066e-06,-7.901091200626504e-06,0.041666666666666664,0.041666666666666664,0.0021379934267331526,-0.0020833333333333333,0.00026709055033156726,-0.00020833333333333332,3.5758850436225584e-05,-2.0833333333333333e-05,0.06666666666666667,0.06666666666666667,0.002061465636569471,-0.006666666666666667,6.960416733963913e-05,-0.0006666666666666666,2.9017151989910726e-06,-6.666666666666667e-05
reference_3,air,Period II Day 1,1,Period_II,batch1,reference_as_air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00881057268722467,0.00881057268722467,0.00044053048533122607,-0.0001591766620654266,5.739483401793858e-05,-3.460198791118289e-06,8.316159789486858e-06,-3.909787912444249e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009569377990430623,0.009569377990430623,0.0007299280840234372,-0.0004784688995215311,6.250399139872011e-05,-4.784688995215311e-05,5.0196604667531825e-06,-4.784688995215311e-06,0.030303030303030304,0.030303030303030304,0.0030303030303030307,-0.0030303030303030307,0.00030303030303030303,-0.00030303030303030303,3.0303030303030306e-05,-3.0303030303030306e-05,0.07692307692307693,0.07692307692307693,0.007692307692307693,-0.007692307692307693,0.0007692307692307693,-0.0007692307692307693,7.692307692307693e-05,-7.692307692307693e-05
air_4,air,Period II Day 2,2,Period_II,batch1,new,0.041666666666666664,0.041666666666666664,0.004166666666666667,-0.0017121032888580412,0.00041666666666666664,-3.555548131695422e-05,4.1666666666666665e-05,-4.80861796376356e-07,0.014563106796116505,0.014563106796116505,0.0005040630146593839,-0.0005507378984318258,8.015395868544539e-05,-6.075633723964414e-05,1.3178113492475717e-05,-5.067811735059394e-06,0.01744186046511628,0.01744186046511628,0.0005848588056891907,-0.0006429926848642258,8.732566625090939e-05,-5.036807847197144e-05,1.1091225139664926e-05,-1.0440648424926166e-06,0.02631578947368421,0.02631578947368421,0.0009106427947368421,-0.0007611681353580239,0.0001290881768613574,-2.899837370023148e-05,2.278259584654133e-05,-3.662189779363167e-08,0.08,0.08,0.004000000000162957,-0.001731855731194461,0.0004009502523915442,-5.449566369858497e-05,4.006471044112217e-05,-9.93166825830699e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline_4,air,Period I baseline,0,Period_I,source,baseline_as_air,0.08695652173913043,0.08695652173913043,0.004349397486333644,-0.0011630983768018514,0.00043625210118003417,-2.013760374712254e-05,2.4838008427079908e-05,-3.2391498062162743e-07,0.03139013452914798,0.03139013452914798,0.0006583408005680175,-0.0006298725617671232,0.00012611666450415164,-3.660387276601471e-05,6.228303628842213e-06,-5.347679748824927e-07,0.023529411764705882,0.023529411764705882,0.0006962892378925697,-0.0006013781893904871,7.24647874309757e-05,-6.76073577660575e-05,6.015712345811464e-06,-6.016975902411284e-06,0.0440251572327044,0.0440251572327044,0.0007796964161948492,-0.0008141929718345871,9.057241032172451e-05,-0.00010598394384402047,6.439534635953438e-06,-1.2359285016921852e-05,0.10714285714285714,0.10714285714285714,0.0035748768797212835,-0.0008476893053372043,0.000362645328655006,-1.9081761032331286e-05,3.5842692163252556e-05,-4.2702337596688735e-07,0.1,0.1,0.010000000000000002,-0.0011215766545905684,0.001,-2.6696137780836968e-05,0.0001,-3.8205736116624285e-07
