architecture,split,variant,probe_variant,method,mode,seed,best_epoch,alignment_strength,centroid_strength,adversarial_strength,final_training,label_usage,latent_dimension,logistic_params,neural_test_accuracy,lr_train_accuracy,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1,lr_minus_neural_accuracy
one-layer,S1_train_I_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,0,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8974358974358975,1.0,0.8974358974358975,0.893775720164609,0.898079247310214,0.0
one-layer,S1_train_I_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,1,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8571428571428571,1.0,0.8681318681318682,0.8653549382716049,0.8702065088754694,0.010989010989011061
one-layer,S1_train_I_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,2,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9267399267399268,1.0,0.9230769230769231,0.9180812757201647,0.9221002121098875,-0.00366300366300365
one-layer,S1_train_I_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,3,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8937728937728938,1.0,0.8937728937728938,0.8890174897119342,0.8927278084855024,0.0
one-layer,S1_train_I_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,4,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8754578754578755,1.0,0.8791208791208791,0.8757716049382717,0.879064579906503,0.00366300366300365
one-layer,S2_train_I_internal_val_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,0,10,0.5,0.2,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.6703296703296703,0.9,0.7472527472527473,0.7527006172839507,0.7573219912424406,0.07692307692307698
one-layer,S2_train_I_internal_val_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,1,130,0.5,0.2,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8498168498168498,1.0,0.8498168498168498,0.8479938271604938,0.8522621881718103,0.0
one-layer,S2_train_I_internal_val_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,2,320,0.5,0.2,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8681318681318682,1.0,0.8864468864468864,0.8827160493827161,0.8883636383636384,0.01831501831501825
one-layer,S2_train_I_internal_val_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,3,110,0.5,0.2,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8827838827838828,1.0,0.8827838827838828,0.8792438271604938,0.8844479914870976,0.0
one-layer,S2_train_I_internal_val_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,4,80,0.5,0.2,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8681318681318682,1.0,0.8827838827838828,0.8792438271604938,0.8837957933218341,0.0146520146520146
one-layer,S3_train_I_internal_20_10_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,0,10,0.2,0.5,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.6227106227106227,0.9333333333333333,0.7252747252747253,0.7305812757201647,0.7308730301498785,0.10256410256410253
