architecture,split,variant,probe_variant,method,mode,seed,best_epoch,alignment_strength,centroid_strength,adversarial_strength,final_training,label_usage,latent_dimension,logistic_params,neural_test_accuracy,lr_train_accuracy,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1,lr_minus_neural_accuracy
two-layer,S1_train_I_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,0,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8827838827838828,1.0,0.8754578754578755,0.8722993827160495,0.8771101733511957,-0.0073260073260073
two-layer,S1_train_I_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,1,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8901098901098901,1.0,0.8827838827838828,0.8798868312757202,0.8843372032391316,-0.0073260073260073
two-layer,S1_train_I_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,2,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.912087912087912,1.0,0.9120879120879121,0.9083076131687243,0.9119451835856803,1.1102230246251565e-16
two-layer,S1_train_I_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,3,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8901098901098901,1.0,0.9010989010989011,0.8966049382716049,0.8998399211752286,0.010989010989011061
two-layer,S1_train_I_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,4,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8974358974358975,1.0,0.9084249084249084,0.9054783950617283,0.9094638770840144,0.01098901098901095
two-layer,S2_train_I_internal_val_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,0,330,0.2,0.2,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8205128205128205,1.0,0.8021978021978022,0.8028549382716049,0.8076454715800926,-0.01831501831501825
two-layer,S2_train_I_internal_val_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,1,350,0.2,0.2,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8901098901098901,1.0,0.8864468864468864,0.8820730452674898,0.8876952481758891,-0.00366300366300365
two-layer,S2_train_I_internal_val_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,2,10,0.2,0.2,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.6959706959706959,0.9,0.706959706959707,0.7170781893004116,0.7241805813234384,0.010989010989011061
two-layer,S2_train_I_internal_val_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,3,130,0.2,0.2,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8754578754578755,1.0,0.8827838827838828,0.8773148148148149,0.8832126609315741,0.0073260073260073
two-layer,S2_train_I_internal_val_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,4,80,0.2,0.2,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8388278388278388,1.0,0.8608058608058609,0.8590534979423868,0.8622091886608017,0.02197802197802201
two-layer,S3_train_I_internal_20_10_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,0,310,0.5,0.05,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8791208791208791,1.0,0.8974358974358975,0.8924897119341564,0.897765191429575,0.01831501831501836
two-layer,S3_train_I_internal_20_10_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,1,20,0.5,0.05,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7582417582417582,1.0,0.7838827838827839,0.7861368312757202,0.7927870117130974,0.02564102564102566
two-layer,S3_train_I_internal_20_10_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,2,10,0.5,0.05,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.6336996336996337,0.9666666666666667,0.7326007326007326,0.7426697530864197,0.7458970026813393,0.09890109890109888
two-layer,S3_train_I_internal_20_10_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,3,20,0.5,0.05,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7142857142857143,1.0,0.717948717948718,0.7229938271604938,0.7322867611078863,0.00366300366300365
two-layer,S3_train_I_internal_20_10_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,4,20,0.5,0.05,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7216117216117216,1.0,0.7692307692307693,0.773533950617284,0.7800966183574879,0.04761904761904767
