architecture,split,variant,probe_variant,method,mode,final_training,label_usage,logistic_params,seed_values,neural_test_accuracy,neural_test_accuracy_std,neural_test_accuracy_min,neural_test_accuracy_max,lr_train_accuracy,lr_train_accuracy_std,lr_train_accuracy_min,lr_train_accuracy_max,lr_test_accuracy,lr_test_accuracy_std,lr_test_accuracy_min,lr_test_accuracy_max,lr_test_balanced_accuracy,lr_test_balanced_accuracy_std,lr_test_balanced_accuracy_min,lr_test_balanced_accuracy_max,lr_test_macro_f1,lr_test_macro_f1_std,lr_test_macro_f1_min,lr_test_macro_f1_max,lr_minus_neural_accuracy,lr_minus_neural_accuracy_std,lr_minus_neural_accuracy_min,lr_minus_neural_accuracy_max
one-layer,S1_train_I_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8901098901098902,0.026030531874637206,0.8571428571428571,0.9267399267399268,1.0,0.0,1.0,1.0,0.8923076923076924,0.02081798130165983,0.8681318681318682,0.9230769230769231,0.8884002057613168,0.020005055741598828,0.8653549382716049,0.9180812757201647,0.8924356713375152,0.019905037194948356,0.8702065088754694,0.9221002121098875,0.002197802197802212,0.005555220105532296,-0.00366300366300365,0.010989010989011061
one-layer,S2_train_I_internal_val_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,source train+source validation refit,source train + source validation labels,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8278388278388278,0.08882311833686553,0.6703296703296703,0.8827838827838828,0.9800000000000001,0.04472135954999578,0.9,1.0,0.8498168498168498,0.05923429168057225,0.7472527472527473,0.8864468864468864,0.8483796296296295,0.05531457616871507,0.7527006172839507,0.8827160493827161,0.8532383205173641,0.05554837017403916,0.7573219912424406,0.8883636383636384,0.021978021978021966,0.03182810841938239,0.0,0.07692307692307698
one-layer,S3_train_I_internal_20_10_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,source train+source validation refit,source train + source validation labels,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7186813186813188,0.10620815796648754,0.6227106227106227,0.9010989010989012,0.96,0.027888667551135848,0.9333333333333333,1.0,0.7897435897435897,0.06488791546258008,0.7252747252747253,0.8974358974358975,0.7925925925925925,0.06088358749419961,0.7305812757201647,0.8924897119341564,0.7947560040952696,0.06239557526269648,0.7308730301498785,0.8975206229848331,0.07106227106227103,0.04377251061183785,-0.003663003663003761,0.10256410256410253
one-layer,S4_train_I_val_D1_2,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8857142857142858,0.01892575203162397,0.8571428571428571,0.9020408163265308,1.0,0.0,1.0,1.0,0.9044897959183672,0.004653777245302606,0.8979591836734694,0.9102040816326531,0.9057130721036423,0.004519731046860562,0.8996495699267282,0.9112774769034724,0.906555184156433,0.004692034679800433,0.8999969937469938,0.9122652143120766,0.01877551020408159,0.017931332764480716,0.004081632653061051,0.048979591836734726
one-layer,S4_train_I_val_D1_2,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8865306122448979,0.02920578582856869,0.8489795918367347,0.926530612244898,1.0,0.0,1.0,1.0,0.889795918367347,0.01999583463496471,0.8653061224489796,0.9183673469387755,0.8860996070935542,0.018708200694496236,0.8631198895614315,0.9128172454072422,0.8903060130761977,0.018844431728368617,0.8679605756187332,0.9174207658563103,0.0032653061224489966,0.009307554490605233,-0.008163265306122436,0.016326530612244983
one-layer,S5_train_I_D1_val_D2_3,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.9125541125541126,0.0154272984252861,0.8961038961038961,0.9307359307359307,0.9972222222222221,0.006211299937499394,0.9861111111111112,1.0,0.922943722943723,0.017953628877340033,0.8961038961038961,0.9393939393939394,0.9227410985865092,0.01726879294395503,0.8969404186795491,0.9380926820540347,0.9252536651228066,0.016765497467287883,0.899897419711197,0.9402406417112298,0.010389610389610393,0.014552152652789314,-0.0043290043290044045,0.03463203463203468
one-layer,S5_train_I_D1_val_D2_3,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8857142857142858,0.028321086119127474,0.8528138528138528,0.9264069264069263,1.0,0.0,1.0,1.0,0.8883116883116884,0.019932232784798855,0.8658008658008658,0.9177489177489178,0.8849525854356772,0.0186543732603018,0.8638396850957237,0.9125067096081588,0.8890098795816421,0.018916412762706176,0.8684169949591224,0.9170517890772127,0.0025974025974026204,0.008438782982518567,-0.008658008658008587,0.012987012987012991
one-layer,S6_train_I_D1_2_val_D3_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.9404878048780487,0.006360197468490293,0.9317073170731708,0.946341463414634,1.0,0.0,1.0,1.0,0.9502439024390243,0.007235315597166507,0.9414634146341463,0.9609756097560975,0.9488933601609657,0.006930952484472555,0.9400849541694613,0.9588642968924659,0.9503281686301246,0.006809584298610477,0.9419409391139361,0.9603120243531204,0.009756097560975596,0.007712872341873998,1.1102230246251565e-16,0.019512195121951126
one-layer,S6_train_I_D1_2_val_D3_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8829268292682928,0.027809156709735095,0.8536585365853658,0.9219512195121952,1.0,0.0,1.0,1.0,0.8848780487804879,0.021150715501150066,0.8634146341463415,0.9170731707317074,0.8818093747671213,0.02010995729171093,0.8613905656159178,0.9124375884939265,0.8855938627314636,0.019953138106152256,0.8655990759468283,0.9157031062576811,0.0019512195121951237,0.007397927262489325,-0.004878048780487809,0.009756097560975618
one-layer,S7_train_I_D1_3_val_D4_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.9326829268292685,0.00534363470736748,0.926829268292683,0.9414634146341464,0.9979591836734695,0.004563404035713862,0.9897959183673469,1.0,0.9404878048780487,0.009383114176425006,0.9317073170731708,0.9560975609756097,0.9386690513451077,0.00974847265217313,0.9295029435874507,0.9547656308219689,0.9405199465062134,0.009328722883726832,0.9319747222560523,0.9559561944459176,0.0078048780487804505,0.009509067653472144,-1.1102230246251565e-16,0.024390243902438935
