architecture,split,variant,probe_variant,method,mode,final_training,label_usage,logistic_params,seed_values,neural_test_accuracy,neural_test_accuracy_std,neural_test_accuracy_min,neural_test_accuracy_max,lr_train_accuracy,lr_train_accuracy_std,lr_train_accuracy_min,lr_train_accuracy_max,lr_test_accuracy,lr_test_accuracy_std,lr_test_accuracy_min,lr_test_accuracy_max,lr_test_balanced_accuracy,lr_test_balanced_accuracy_std,lr_test_balanced_accuracy_min,lr_test_balanced_accuracy_max,lr_test_macro_f1,lr_test_macro_f1_std,lr_test_macro_f1_min,lr_test_macro_f1_max,lr_minus_neural_accuracy,lr_minus_neural_accuracy_std,lr_minus_neural_accuracy_min,lr_minus_neural_accuracy_max
two-layer,S1_train_I_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8945054945054945,0.01111044021106451,0.8827838827838828,0.912087912087912,1.0,0.0,1.0,1.0,0.895970695970696,0.016092221711713407,0.8754578754578755,0.9120879120879121,0.8925154320987655,0.01582976361048577,0.8722993827160495,0.9083076131687243,0.89653927168705,0.015343257229899062,0.8771101733511957,0.9119451835856803,0.0014652014652015044,0.009194066225649174,-0.0073260073260073,0.010989010989011061
two-layer,S2_train_I_internal_val_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,source train+source validation refit,source train + source validation labels,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8241758241758241,0.07687945736928703,0.6959706959706959,0.8901098901098901,0.9800000000000001,0.04472135954999579,0.9,1.0,0.8278388278388278,0.07551475504794247,0.706959706959707,0.8864468864468864,0.8276748971193417,0.0693821999470368,0.7170781893004116,0.8820730452674898,0.8329886301343592,0.06864869907581116,0.7241805813234384,0.8876952481758891,0.0036630036630036942,0.015323443709415295,-0.01831501831501825,0.02197802197802201
two-layer,S3_train_I_internal_20_10_test_all,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,source train+source validation refit,source train + source validation labels,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7413919413919414,0.08941031035959557,0.6336996336996337,0.8791208791208791,0.9933333333333334,0.014907119849998594,0.9666666666666667,1.0,0.7802197802197802,0.0707443513400292,0.717948717948718,0.8974358974358975,0.7835648148148148,0.06578965978190034,0.7229938271604938,0.8924897119341564,0.7897665170578771,0.06518205395387945,0.7322867611078863,0.897765191429575,0.03882783882783884,0.03713931679307421,0.00366300366300365,0.09890109890109888
two-layer,S4_train_I_val_D1_2,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8783673469387756,0.02833723258401604,0.8326530612244898,0.9020408163265308,1.0,0.0,1.0,1.0,0.8906122448979593,0.03383080128179936,0.8326530612244898,0.9183673469387755,0.8908781990018053,0.033731219619036086,0.8334926197302751,0.9190294148879685,0.8928181740112097,0.034641574924709935,0.8332846518560805,0.9209592519008765,0.01224489795918362,0.00816326530612245,0.0,0.020408163265306145
two-layer,S4_train_I_val_D1_2,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8922448979591836,0.011027964151923513,0.8775510204081632,0.9061224489795918,1.0,0.0,1.0,1.0,0.893061224489796,0.013351369170445812,0.8734693877551021,0.9061224489795918,0.8897525751300839,0.012819482084023448,0.8708718275459276,0.9025698205373262,0.893983908349675,0.012433730273718987,0.8757791696925684,0.9062233589087808,0.0008163265306122769,0.007851177168029124,-0.008163265306122436,0.01224489795918371
two-layer,S5_train_I_D1_val_D2_3,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8952380952380953,0.009385057744016836,0.8831168831168831,0.9090909090909092,0.9972222222222221,0.006211299937499394,0.9861111111111112,1.0,0.9073593073593074,0.013893338992104947,0.8961038961038961,0.9307359307359307,0.9072105922347469,0.013766950394373931,0.8969404186795491,0.9305779209160852,0.9096706220871787,0.013506075289592709,0.898710571783563,0.9325434785886483,0.012121212121212133,0.00938505774401677,0.0,0.021645021645021578
two-layer,S5_train_I_D1_val_D2_3,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.89004329004329,0.011696325615676439,0.8744588744588745,0.9047619047619048,1.0,0.0,1.0,1.0,0.8909090909090909,0.014160543059563772,0.8701298701298701,0.9047619047619048,0.8879942744677043,0.013606964769773355,0.8679549114331723,0.9015924136697083,0.8920941543685107,0.013222731041571104,0.8727455926208944,0.9051125076548522,0.0008658008658008586,0.008327006087303645,-0.008658008658008698,0.012987012987012991
two-layer,S6_train_I_D1_2_val_D3_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.9453658536585365,0.004081268422117419,0.9414634146341464,0.951219512195122,1.0,0.0,1.0,1.0,0.9473170731707317,0.006360197468490348,0.9365853658536586,0.9512195121951219,0.9451225873761085,0.006708274198258393,0.9336016096579477,0.9494746255309635,0.9466739985342392,0.00659171651473189,0.9353001679244427,0.9508779044562411,0.0019512195121951237,0.007397927262489214,-0.009756097560975396,0.009756097560975507
two-layer,S6_train_I_D1_2_val_D3_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8917073170731709,0.009383114176425086,0.8780487804878049,0.902439024390244,1.0,0.0,1.0,1.0,0.8897560975609757,0.01405352223501263,0.8682926829268293,0.9024390243902439,0.8869811461360756,0.013598087613814114,0.8660854012966688,0.8995454206721812,0.8905549914150415,0.013073971875965769,0.8705168369642053,0.9025210084033614,-0.0019512195121951458,0.008162536844234883,-0.009756097560975618,0.009756097560975618
two-layer,S7_train_I_D1_3_val_D4_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.9551219512195122,0.017038291899095562,0.9317073170731708,0.975609756097561,1.0,0.0,1.0,1.0,0.9541463414634146,0.015655421010615792,0.9317073170731708,0.9707317073170731,0.9526492287055668,0.016520578875588082,0.9289067739771966,0.9700424770847306,0.9538035063230754,0.015873129701010222,0.9309203883660028,0.9705304291345519,-0.0009756097560974953,0.002181529734146176,-0.004878048780487809,1.1102230246251565e-16
