[1/330] train ('two-layer', 'S1_train_I_test_all', 'C-DANN-UDA', 0)
[2/330] train ('two-layer', 'S1_train_I_test_all', 'C-DANN-UDA', 1)
[3/330] train ('two-layer', 'S1_train_I_test_all', 'C-DANN-UDA', 2)
[4/330] train ('two-layer', 'S1_train_I_test_all', 'C-DANN-UDA', 3)
[5/330] train ('two-layer', 'S1_train_I_test_all', 'C-DANN-UDA', 4)
[6/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'C-DANN-UDA', 0)
[7/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'C-DANN-UDA', 1)
[8/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'C-DANN-UDA', 2)
[9/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'C-DANN-UDA', 3)
[10/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'C-DANN-UDA', 4)
[11/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'C-DANN-UDA', 0)
[12/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'C-DANN-UDA', 1)
[13/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'C-DANN-UDA', 2)
[14/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'C-DANN-UDA', 3)
[15/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'C-DANN-UDA', 4)
[16/330] train ('two-layer', 'S4_train_I_val_D1_2', 'C-DANN-SEMI', 0)
[17/330] train ('two-layer', 'S4_train_I_val_D1_2', 'C-DANN-SEMI', 1)
[18/330] train ('two-layer', 'S4_train_I_val_D1_2', 'C-DANN-SEMI', 2)
[19/330] train ('two-layer', 'S4_train_I_val_D1_2', 'C-DANN-SEMI', 3)
[20/330] train ('two-layer', 'S4_train_I_val_D1_2', 'C-DANN-SEMI', 4)
[21/330] train ('two-layer', 'S4_train_I_val_D1_2', 'C-DANN-UDA', 0)
[22/330] train ('two-layer', 'S4_train_I_val_D1_2', 'C-DANN-UDA', 1)
[23/330] train ('two-layer', 'S4_train_I_val_D1_2', 'C-DANN-UDA', 2)
[24/330] train ('two-layer', 'S4_train_I_val_D1_2', 'C-DANN-UDA', 3)
[25/330] train ('two-layer', 'S4_train_I_val_D1_2', 'C-DANN-UDA', 4)
[26/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'C-DANN-SEMI', 0)
[27/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'C-DANN-SEMI', 1)
[28/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'C-DANN-SEMI', 2)
[29/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'C-DANN-SEMI', 3)
[30/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'C-DANN-SEMI', 4)
[31/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'C-DANN-UDA', 0)
[32/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'C-DANN-UDA', 1)
[33/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'C-DANN-UDA', 2)
[34/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'C-DANN-UDA', 3)
[35/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'C-DANN-UDA', 4)
[36/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'C-DANN-SEMI', 0)
[37/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'C-DANN-SEMI', 1)
[38/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'C-DANN-SEMI', 2)
[39/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'C-DANN-SEMI', 3)
[40/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'C-DANN-SEMI', 4)
[41/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'C-DANN-UDA', 0)
[42/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'C-DANN-UDA', 1)
[43/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'C-DANN-UDA', 2)
[44/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'C-DANN-UDA', 3)
[45/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'C-DANN-UDA', 4)
[46/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'C-DANN-SEMI', 0)
[47/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'C-DANN-SEMI', 1)
[48/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'C-DANN-SEMI', 2)
[49/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'C-DANN-SEMI', 3)
[50/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'C-DANN-SEMI', 4)
[51/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'C-DANN-UDA', 0)
[52/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'C-DANN-UDA', 1)
[53/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'C-DANN-UDA', 2)
[54/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'C-DANN-UDA', 3)
[55/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'C-DANN-UDA', 4)
[56/330] train ('two-layer', 'S1_train_I_test_all', 'CDAN-UDA', 0)
[57/330] train ('two-layer', 'S1_train_I_test_all', 'CDAN-UDA', 1)
[58/330] train ('two-layer', 'S1_train_I_test_all', 'CDAN-UDA', 2)
[59/330] train ('two-layer', 'S1_train_I_test_all', 'CDAN-UDA', 3)
[60/330] train ('two-layer', 'S1_train_I_test_all', 'CDAN-UDA', 4)
[61/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'CDAN-UDA', 0)
[62/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'CDAN-UDA', 1)
[63/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'CDAN-UDA', 2)
[64/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'CDAN-UDA', 3)
[65/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'CDAN-UDA', 4)
[66/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'CDAN-UDA', 0)
[67/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'CDAN-UDA', 1)
[68/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'CDAN-UDA', 2)
[69/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'CDAN-UDA', 3)
[70/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'CDAN-UDA', 4)
[71/330] train ('two-layer', 'S4_train_I_val_D1_2', 'CDAN-SEMI', 0)
[72/330] train ('two-layer', 'S4_train_I_val_D1_2', 'CDAN-SEMI', 1)
[73/330] train ('two-layer', 'S4_train_I_val_D1_2', 'CDAN-SEMI', 2)
[74/330] train ('two-layer', 'S4_train_I_val_D1_2', 'CDAN-SEMI', 3)
[75/330] train ('two-layer', 'S4_train_I_val_D1_2', 'CDAN-SEMI', 4)
[76/330] train ('two-layer', 'S4_train_I_val_D1_2', 'CDAN-UDA', 0)
[77/330] train ('two-layer', 'S4_train_I_val_D1_2', 'CDAN-UDA', 1)
[78/330] train ('two-layer', 'S4_train_I_val_D1_2', 'CDAN-UDA', 2)
[79/330] train ('two-layer', 'S4_train_I_val_D1_2', 'CDAN-UDA', 3)
[80/330] train ('two-layer', 'S4_train_I_val_D1_2', 'CDAN-UDA', 4)
[81/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'CDAN-SEMI', 0)
[82/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'CDAN-SEMI', 1)
[83/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'CDAN-SEMI', 2)
[84/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'CDAN-SEMI', 3)
[85/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'CDAN-SEMI', 4)
[86/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'CDAN-UDA', 0)
[87/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'CDAN-UDA', 1)
[88/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'CDAN-UDA', 2)
[89/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'CDAN-UDA', 3)
[90/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'CDAN-UDA', 4)
[91/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'CDAN-SEMI', 0)
[92/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'CDAN-SEMI', 1)
[93/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'CDAN-SEMI', 2)
[94/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'CDAN-SEMI', 3)
[95/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'CDAN-SEMI', 4)
[96/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'CDAN-UDA', 0)
[97/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'CDAN-UDA', 1)
[98/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'CDAN-UDA', 2)
[99/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'CDAN-UDA', 3)
[100/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'CDAN-UDA', 4)
[101/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'CDAN-SEMI', 0)
[102/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'CDAN-SEMI', 1)
[103/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'CDAN-SEMI', 2)
[104/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'CDAN-SEMI', 3)
[105/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'CDAN-SEMI', 4)
[106/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'CDAN-UDA', 0)
[107/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'CDAN-UDA', 1)
[108/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'CDAN-UDA', 2)
[109/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'CDAN-UDA', 3)
[110/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'CDAN-UDA', 4)
[111/330] train ('two-layer', 'S1_train_I_test_all', 'CDAN+C-DANN-UDA', 0)
[112/330] train ('two-layer', 'S1_train_I_test_all', 'CDAN+C-DANN-UDA', 1)
[113/330] train ('two-layer', 'S1_train_I_test_all', 'CDAN+C-DANN-UDA', 2)
[114/330] train ('two-layer', 'S1_train_I_test_all', 'CDAN+C-DANN-UDA', 3)
[115/330] train ('two-layer', 'S1_train_I_test_all', 'CDAN+C-DANN-UDA', 4)
[116/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'CDAN+C-DANN-UDA', 0)
[117/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'CDAN+C-DANN-UDA', 1)
[118/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'CDAN+C-DANN-UDA', 2)
[119/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'CDAN+C-DANN-UDA', 3)
[120/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'CDAN+C-DANN-UDA', 4)
[121/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'CDAN+C-DANN-UDA', 0)
[122/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'CDAN+C-DANN-UDA', 1)
[123/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'CDAN+C-DANN-UDA', 2)
[124/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'CDAN+C-DANN-UDA', 3)
[125/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'CDAN+C-DANN-UDA', 4)
[126/330] train ('two-layer', 'S4_train_I_val_D1_2', 'CDAN+C-DANN-SEMI', 0)
[127/330] train ('two-layer', 'S4_train_I_val_D1_2', 'CDAN+C-DANN-SEMI', 1)
[128/330] train ('two-layer', 'S4_train_I_val_D1_2', 'CDAN+C-DANN-SEMI', 2)
[129/330] train ('two-layer', 'S4_train_I_val_D1_2', 'CDAN+C-DANN-SEMI', 3)
[130/330] train ('two-layer', 'S4_train_I_val_D1_2', 'CDAN+C-DANN-SEMI', 4)
[131/330] train ('two-layer', 'S4_train_I_val_D1_2', 'CDAN+C-DANN-UDA', 0)
[132/330] train ('two-layer', 'S4_train_I_val_D1_2', 'CDAN+C-DANN-UDA', 1)
[133/330] train ('two-layer', 'S4_train_I_val_D1_2', 'CDAN+C-DANN-UDA', 2)
[134/330] train ('two-layer', 'S4_train_I_val_D1_2', 'CDAN+C-DANN-UDA', 3)
[135/330] train ('two-layer', 'S4_train_I_val_D1_2', 'CDAN+C-DANN-UDA', 4)
[136/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'CDAN+C-DANN-SEMI', 0)
