architecture,split,variant,probe_variant,mode,seed,best_epoch,final_training,label_usage,latent_dimension,logistic_params,neural_test_accuracy,lr_train_accuracy,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1,lr_minus_neural_accuracy
one-layer,S1_train_I_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,0,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7875457875457875,1.0,0.8021978021978022,0.8028549382716049,0.8054872585889955,0.0146520146520147
one-layer,S1_train_I_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,1,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7985347985347986,1.0,0.8131868131868132,0.8132716049382717,0.8146044143608774,0.0146520146520146
one-layer,S1_train_I_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,2,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8095238095238095,1.0,0.8315018315018315,0.831275720164609,0.833634665396452,0.021978021978022
one-layer,S1_train_I_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,3,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8058608058608059,1.0,0.8205128205128205,0.8195730452674898,0.8255659020364904,0.0146520146520146
one-layer,S1_train_I_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,4,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7985347985347986,1.0,0.8205128205128205,0.820216049382716,0.8241828119429099,0.0219780219780219
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,0,10,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.6556776556776557,0.9333333333333332,0.7326007326007326,0.7413837448559671,0.7431660025983414,0.0769230769230768
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,1,10,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7032967032967034,0.9666666666666668,0.7472527472527473,0.753343621399177,0.7606945198046664,0.0439560439560439
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,2,20,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.717948717948718,1.0,0.8131868131868132,0.8139146090534979,0.8193612038690743,0.0952380952380952
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,3,20,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.6593406593406593,1.0,0.7802197802197802,0.782664609053498,0.7872081714806622,0.1208791208791209
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,4,80,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7985347985347986,1.0,0.8131868131868132,0.8132716049382717,0.8168651717790051,0.0146520146520146
one-layer,S3_train_I_internal_20_10_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,0,10,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.6703296703296703,0.9333333333333332,0.7582417582417582,0.7663323045267489,0.770864465268,0.0879120879120879
one-layer,S3_train_I_internal_20_10_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,1,10,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.6776556776556777,0.9333333333333332,0.7435897435897436,0.750514403292181,0.7566648629148629,0.0659340659340659
one-layer,S3_train_I_internal_20_10_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,2,10,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.6556776556776557,0.9333333333333332,0.7765567765567766,0.7830504115226337,0.7880722938194203,0.1208791208791209
one-layer,S3_train_I_internal_20_10_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,3,20,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.652014652014652,0.9666666666666668,0.7582417582417582,0.7618312757201647,0.7681679495180639,0.1062271062271061
one-layer,S3_train_I_internal_20_10_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,4,10,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.6483516483516484,0.9333333333333332,0.7838827838827839,0.7912808641975309,0.7958115589293095,0.1355311355311355
one-layer,S4_train_I_val_D1_2,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,0,200,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8734693877551021,1.0,0.8734693877551021,0.8763937559732399,0.8757848757848757,0.0
one-layer,S4_train_I_val_D1_2,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,1,180,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8734693877551021,1.0,0.8816326530612245,0.8841456939577359,0.882955106340368,0.0081632653061224
one-layer,S4_train_I_val_D1_2,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,2,60,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8693877551020408,1.0,0.8816326530612245,0.8841456939577359,0.8825985030362943,0.0122448979591837
one-layer,S4_train_I_val_D1_2,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,3,130,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8448979591836735,1.0,0.8816326530612245,0.8841456939577359,0.8826173957441696,0.036734693877551
one-layer,S4_train_I_val_D1_2,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,4,90,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8693877551020408,1.0,0.8612244897959184,0.8647658489964957,0.8619260686996627,-0.008163265306122436
one-layer,S4_train_I_val_D1_2,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,0,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7877551020408163,1.0,0.8,0.8011043856854624,0.8024083196496989,0.01224489795918371
one-layer,S4_train_I_val_D1_2,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,1,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7918367346938775,1.0,0.8081632653061225,0.8081660826165445,0.8085277079437825,0.016326530612244983
one-layer,S4_train_I_val_D1_2,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,2,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8081632653061225,1.0,0.8285714285714286,0.8282361686311989,0.8298532842393552,0.020408163265306145
one-layer,S4_train_I_val_D1_2,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,3,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7959183673469388,1.0,0.8081632653061225,0.8081660826165447,0.8130208744636604,0.01224489795918371
one-layer,S4_train_I_val_D1_2,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,4,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8,1.0,0.8204081632653061,0.8204842306467027,0.8231310998383837,0.020408163265306034
one-layer,S5_train_I_D1_val_D2_3,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,0,190,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8787878787878788,1.0,0.9004329004329005,0.9017713365539453,0.9027372587768814,0.02164502164502169
one-layer,S5_train_I_D1_val_D2_3,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,1,20,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8961038961038961,0.9722222222222222,0.9090909090909091,0.9092860976918948,0.9118124982786636,0.012987012987012991
one-layer,S5_train_I_D1_val_D2_3,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,2,290,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8831168831168831,1.0,0.9047619047619048,0.9058865628913938,0.9078518408820333,0.02164502164502169
one-layer,S5_train_I_D1_val_D2_3,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,3,40,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8787878787878788,1.0,0.9090909090909091,0.9092860976918947,0.9115352078558518,0.030303030303030276
