architecture,split,variant,probe_variant,mode,final_training,label_usage,logistic_params,seed_values,neural_test_accuracy,neural_test_accuracy_std,neural_test_accuracy_min,neural_test_accuracy_max,lr_train_accuracy,lr_train_accuracy_std,lr_train_accuracy_min,lr_train_accuracy_max,lr_test_accuracy,lr_test_accuracy_std,lr_test_accuracy_min,lr_test_accuracy_max,lr_test_balanced_accuracy,lr_test_balanced_accuracy_std,lr_test_balanced_accuracy_min,lr_test_balanced_accuracy_max,lr_test_macro_f1,lr_test_macro_f1_std,lr_test_macro_f1_min,lr_test_macro_f1_max,lr_minus_neural_accuracy,lr_minus_neural_accuracy_std,lr_minus_neural_accuracy_min,lr_minus_neural_accuracy_max
one-layer,S1_train_I_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8,0.00843286771664568,0.7875457875457875,0.8095238095238095,1.0,0.0,1.0,1.0,0.8175824175824176,0.010804308574177746,0.8021978021978022,0.8315018315018315,0.8174382716049383,0.010413729073161015,0.8028549382716049,0.831275720164609,0.8206950104651451,0.010859282798845987,0.8054872585889955,0.833634665396452,0.017582417582417558,0.0040126194689023105,0.0146520146520146,0.021978021978022
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,source train+source validation refit,source train + source validation labels,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7069597069597069,0.05791717326315715,0.6556776556776557,0.7985347985347986,0.9800000000000001,0.02981423969999722,0.9333333333333332,1.0,0.7772893772893772,0.037030774962930744,0.7326007326007326,0.8131868131868132,0.7809156378600823,0.033398676103377906,0.7413837448559671,0.8139146090534979,0.78545901390635,0.033692520543965744,0.7431660025983414,0.8193612038690743,0.07032967032967027,0.04187695996198625,0.0146520146520146,0.1208791208791209
one-layer,S3_train_I_internal_20_10_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,source train+source validation refit,source train + source validation labels,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.6608058608058608,0.012582830796569713,0.6483516483516484,0.6776556776556777,0.9400000000000001,0.014907119849998695,0.9333333333333332,0.9666666666666668,0.764102564102564,0.016092221711713404,0.7435897435897436,0.7838827838827839,0.7706018518518518,0.0164411512610142,0.750514403292181,0.7912808641975309,0.7759162260899314,0.015809532826495037,0.7566648629148629,0.7958115589293095,0.10329670329670326,0.027337887409590172,0.0659340659340659,0.1355311355311355
one-layer,S4_train_I_val_D1_2,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8661224489795918,0.012039086696940917,0.8448979591836735,0.8734693877551021,1.0,0.0,1.0,1.0,0.8759183673469387,0.00894240910212517,0.8612244897959184,0.8816326530612245,0.8787193373685886,0.008491822596979282,0.8647658489964957,0.8841456939577359,0.8771763899210739,0.009040271392542508,0.8619260686996627,0.882955106340368,0.009795918367346935,0.016976844361702378,-0.008163265306122436,0.036734693877551
one-layer,S4_train_I_val_D1_2,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.796734693877551,0.007851177168029142,0.7877551020408163,0.8081632653061225,1.0,0.0,1.0,1.0,0.8130612244897959,0.011326070959601304,0.8,0.8285714285714286,0.8132313900392907,0.010910155711999886,0.8011043856854624,0.8282361686311989,0.8153882572269762,0.011071800161887312,0.8024083196496989,0.8298532842393552,0.016326530612244917,0.00408163265306119,0.01224489795918371,0.020408163265306145
one-layer,S5_train_I_D1_val_D2_3,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8831168831168832,0.0074980554440211,0.8787878787878788,0.8961038961038961,0.9944444444444445,0.012422599874998837,0.9722222222222222,1.0,0.9030303030303031,0.007243809753541763,0.8917748917748918,0.9090909090909091,0.9039541957416354,0.006591554023836305,0.8935408838790481,0.9092860976918948,0.9055479252133678,0.00752076778672884,0.8938028202734084,0.9118124982786636,0.019913419913419928,0.007243809753541774,0.012987012987012991,0.030303030303030276
one-layer,S5_train_I_D1_val_D2_3,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7974025974025973,0.00774395836363565,0.7878787878787878,0.8095238095238095,1.0,0.0,1.0,1.0,0.8121212121212121,0.011696325615676437,0.7965367965367965,0.8268398268398268,0.8125246018965825,0.011204773309253511,0.7979960636965467,0.8268026480586866,0.8145122400328381,0.011068470169940649,0.7987021198949266,0.8278848265261308,0.014718614718614732,0.005807968772726712,0.008658008658008698,0.02164502164502169
one-layer,S6_train_I_D1_2_val_D3_5,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.9385365853658536,0.016756647841285516,0.9121951219512195,0.951219512195122,1.0,0.0,1.0,1.0,0.9492682926829268,0.010115337245525678,0.9317073170731708,0.9560975609756097,0.9478351591027646,0.010157734525933791,0.9300991131977048,0.9547656308219689,0.949437195489985,0.010238137775946798,0.9316003793662616,0.9562715390601427,0.010731707317073135,0.010575357750575026,-1.1102230246251565e-16,0.024390243902438935
one-layer,S6_train_I_D1_2_val_D3_5,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7980487804878049,0.009509067653472168,0.7853658536585366,0.8097560975609757,1.0,0.0,1.0,1.0,0.8136585365853659,0.013968605915391522,0.7951219512195122,0.8292682926829268,0.8132647738281541,0.013530924325985353,0.7956628660854013,0.8285267158506594,0.8156309399463915,0.013629972816544086,0.796340023612751,0.8305265195509097,0.015609756097560924,0.005343634707367418,0.009756097560975618,0.019512195121951126
one-layer,S7_train_I_D1_3_val_D4_5,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.9160975609756097,0.01901813530694433,0.8975609756097561,0.9365853658536586,0.9979591836734694,0.004563404035713862,0.9897959183673469,1.0,0.9297560975609755,0.021705946791499467,0.9024390243902439,0.9560975609756097,0.9281019450033534,0.021753324552926574,0.9001415902824353,0.9541694612117148,0.9300968315141447,0.02168919487046913,0.9022369061584747,0.9562715390601427,0.01365853658536582,0.006360197468490407,0.004878048780487809,0.019512195121951348
