[1/110] train ('one-layer', 'S1_train_I_test_all', 'MLP Source-only', 0)
[2/110] train ('one-layer', 'S1_train_I_test_all', 'MLP Source-only', 1)
[3/110] train ('one-layer', 'S1_train_I_test_all', 'MLP Source-only', 2)
[4/110] train ('one-layer', 'S1_train_I_test_all', 'MLP Source-only', 3)
[5/110] train ('one-layer', 'S1_train_I_test_all', 'MLP Source-only', 4)
[6/110] train ('one-layer', 'S2_train_I_internal_val_test_all', 'MLP Source-only', 0)
[7/110] train ('one-layer', 'S2_train_I_internal_val_test_all', 'MLP Source-only', 1)
[8/110] train ('one-layer', 'S2_train_I_internal_val_test_all', 'MLP Source-only', 2)
[9/110] train ('one-layer', 'S2_train_I_internal_val_test_all', 'MLP Source-only', 3)
[10/110] train ('one-layer', 'S2_train_I_internal_val_test_all', 'MLP Source-only', 4)
[11/110] train ('one-layer', 'S3_train_I_internal_20_10_test_all', 'MLP Source-only', 0)
[12/110] train ('one-layer', 'S3_train_I_internal_20_10_test_all', 'MLP Source-only', 1)
[13/110] train ('one-layer', 'S3_train_I_internal_20_10_test_all', 'MLP Source-only', 2)
[14/110] train ('one-layer', 'S3_train_I_internal_20_10_test_all', 'MLP Source-only', 3)
[15/110] train ('one-layer', 'S3_train_I_internal_20_10_test_all', 'MLP Source-only', 4)
[16/110] train ('one-layer', 'S4_train_I_val_D1_2', 'MLP Source+Target', 0)
[17/110] train ('one-layer', 'S4_train_I_val_D1_2', 'MLP Source+Target', 1)
[18/110] train ('one-layer', 'S4_train_I_val_D1_2', 'MLP Source+Target', 2)
[19/110] train ('one-layer', 'S4_train_I_val_D1_2', 'MLP Source+Target', 3)
[20/110] train ('one-layer', 'S4_train_I_val_D1_2', 'MLP Source+Target', 4)
