split,task,variant,space,label,domain,partition,period,day,day_num,target_file,x,y
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day1,1,alcohol\alcohol_o1.csv,-0.9670332484072112,-3.2724520100136223
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day1,1,alcohol\alcohol_o2.csv,-2.1125673381671466,-0.06702246536120092
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day1,1,alcohol\alcohol_o3.csv,-4.008070860083209,-0.2639282775802155
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day2,2,alcohol\alcohol_o4.csv,-1.1947318620581087,-4.777791259720069
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day2,2,alcohol\alcohol_o5.csv,-2.0679546578408226,-0.34317395376906173
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day2,2,alcohol\alcohol_o6.csv,-2.183754427664805,-0.9040855077093404
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day2,2,alcohol\alcohol_o7.csv,-1.521322807868332,-3.490308666163762
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day2,2,alcohol\alcohol_o8.csv,-3.94574379295662,-1.1001162145441892
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day2,2,alcohol\alcohol_o9.csv,-3.4618655023155673,4.361920776002343
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day3,3,alcohol\alcohol_o10.csv,1.1118687015616369,-1.9584057898768614
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day3,3,alcohol\alcohol_o11.csv,-1.2507445646550428,-0.417157945810692
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,source,source_train,Period_I,Day3,3,alcohol\alcohol_o12.csv,-2.567190137219791,0.27013404551167647
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day1,1,acetone\acetone_o1.csv,-3.7084631811121653,1.5365305341365363
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day1,1,acetone\acetone_o2.csv,-3.938689560737387,1.0813575136514768
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day1,1,acetone\acetone_o3.csv,3.07903766160928,-1.6229683734901013
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day2,2,acetone\acetone_o4.csv,26.27931918257856,-6.379634226545347
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day2,2,acetone\acetone_o5.csv,19.41873464786881,0.7194301138838102
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day2,2,acetone\acetone_o6.csv,10.914687069405494,2.1077381250640865
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day2,2,acetone\acetone_o7.csv,-4.2723650560898205,3.7110977008853077
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day2,2,acetone\acetone_o8.csv,0.5270621989616571,2.2870697475284683
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day2,2,acetone\acetone_o9.csv,12.150923107865914,6.804781664826657
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day3,3,acetone\acetone_o10.csv,6.2190451470532295,5.862690484648497
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day3,3,acetone\acetone_o11.csv,10.632838840561648,2.4341376284845646
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,source,source_train,Period_I,Day3,3,acetone\acetone_o12.csv,29.44392164235249,6.852508808983997
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,source,source_train,Period_I,,-1,air\air_ob1.csv,-5.049883972367298,-0.26894384922821507
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,source,source_train,Period_I,,-1,air\air_ob3.csv,-6.217515768775946,2.424554425451776
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,source,source_train,Period_I,,-1,air\air_ob4.csv,-5.385293321681513,4.255234767419733
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,source,source_train,Period_I,,-1,air\air_ob5.csv,-3.926077340510979,-0.896243904471897
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,source,source_train,Period_I,,-1,air\air_ob6.csv,-1.0327708083013334,-6.339943175928042
D1_transductive_target_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,source,source_train,Period_I,,-1,air\air_ob7.csv,-4.781303370473418,0.22574591380661468
