epoch,class_loss,domain_loss,total_loss,train_accuracy,validation_accuracy,test_accuracy,domain_discriminator_accuracy,split,task,variant,lambda,seed
1,1.1652212142944336,0.0,1.1652212142944336,0.4,0.4,0.5374449339207048,0.44357976653696496,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
5,0.7963988184928894,0.0,0.7963988184928894,0.5666666666666667,0.5666666666666667,0.6167400881057269,0.29961089494163423,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
10,0.5253804922103882,0.0,0.5253804922103882,0.8666666666666667,0.8666666666666667,0.7136563876651982,0.45136186770428016,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
15,0.29123538732528687,0.0,0.29123538732528687,0.9333333333333333,0.9333333333333333,0.762114537444934,0.5175097276264592,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
20,0.11410259455442429,0.0,0.11410259455442429,1.0,1.0,0.748898678414097,0.5525291828793775,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
25,0.030284155160188675,0.0,0.030284155160188675,1.0,1.0,0.762114537444934,0.5642023346303502,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
30,0.00626461673527956,0.0,0.00626461673527956,1.0,1.0,0.788546255506608,0.5447470817120622,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
35,0.025195715948939323,0.0,0.025195715948939323,1.0,1.0,0.7973568281938326,0.5642023346303502,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
40,0.0007711212965659797,0.0,0.0007711212965659797,1.0,1.0,0.801762114537445,0.5719844357976653,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
45,0.000924112624488771,0.0,0.000924112624488771,1.0,1.0,0.8105726872246696,0.5369649805447471,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
50,0.00033586545032449067,0.0,0.00033586545032449067,1.0,1.0,0.7973568281938326,0.5408560311284046,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
55,0.00013797385327052325,0.0,0.00013797385327052325,1.0,1.0,0.7973568281938326,0.5758754863813229,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
60,8.064381836447865e-05,0.0,8.064381836447865e-05,1.0,1.0,0.7973568281938326,0.5758754863813229,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
65,8.772415458224714e-05,0.0,8.772415458224714e-05,1.0,1.0,0.7973568281938326,0.5758754863813229,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
70,0.00017017927893903106,0.0,0.00017017927893903106,1.0,1.0,0.801762114537445,0.5603112840466926,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
75,0.00017768442921806127,0.0,0.00017768442921806127,1.0,1.0,0.801762114537445,0.5525291828793775,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
80,0.0002446828002575785,0.0,0.0002446828002575785,1.0,1.0,0.801762114537445,0.556420233463035,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
85,7.622302655363455e-05,0.0,7.622302655363455e-05,1.0,1.0,0.801762114537445,0.5603112840466926,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
90,5.159851934877224e-05,0.0,5.159851934877224e-05,1.0,1.0,0.8061674008810573,0.5797665369649806,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
95,3.263352482463233e-05,0.0,3.263352482463233e-05,1.0,1.0,0.801762114537445,0.5836575875486382,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
100,5.0081798690371215e-05,0.0,5.0081798690371215e-05,1.0,1.0,0.801762114537445,0.5836575875486382,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
105,1.666508433117997e-05,0.0,1.666508433117997e-05,1.0,1.0,0.801762114537445,0.5875486381322957,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
110,2.207772013207432e-05,0.0,2.207772013207432e-05,1.0,1.0,0.801762114537445,0.5875486381322957,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
115,1.6801117453724146e-05,0.0,1.6801117453724146e-05,1.0,1.0,0.801762114537445,0.5875486381322957,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
120,0.00010998125071637332,0.0,0.00010998125071637332,1.0,1.0,0.7973568281938326,0.5797665369649806,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
125,0.00025579260545782745,0.0,0.00025579260545782745,1.0,1.0,0.7973568281938326,0.5797665369649806,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
130,3.121070403722115e-05,0.0,3.121070403722115e-05,1.0,1.0,0.7973568281938326,0.5797665369649806,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
135,0.00027040549321100116,0.0,0.00027040549321100116,1.0,1.0,0.8061674008810573,0.5836575875486382,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
140,0.00019826147763524204,0.0,0.00019826147763524204,1.0,1.0,0.8061674008810573,0.5875486381322957,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
145,2.7415620934334584e-05,0.0,2.7415620934334584e-05,1.0,1.0,0.8061674008810573,0.5875486381322957,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
150,2.7550389859243296e-05,0.0,2.7550389859243296e-05,1.0,1.0,0.7973568281938326,0.5875486381322957,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
155,9.30210662772879e-05,0.0,9.30210662772879e-05,1.0,1.0,0.801762114537445,0.5914396887159533,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
160,0.00024040979042183608,0.0,0.00024040979042183608,1.0,1.0,0.801762114537445,0.5992217898832685,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
165,0.00046267249854281545,0.0,0.00046267249854281545,1.0,1.0,0.7797356828193832,0.6186770428015564,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
170,0.0029418966732919216,0.0,0.0029418966732919216,1.0,1.0,0.7797356828193832,0.5914396887159533,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
175,0.0042729671113193035,0.0,0.0042729671113193035,1.0,1.0,0.7929515418502202,0.556420233463035,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
180,0.0009885485051199794,0.0,0.0009885485051199794,1.0,1.0,0.7709251101321586,0.5875486381322957,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
185,0.00026950519531965256,0.0,0.00026950519531965256,1.0,1.0,0.775330396475771,0.6070038910505836,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
190,0.0010438014287501574,0.0,0.0010438014287501574,1.0,1.0,0.7709251101321586,0.5992217898832685,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
195,0.00020325309014879167,0.0,0.00020325309014879167,1.0,1.0,0.7709251101321586,0.5953307392996109,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
200,0.00011990110215265304,0.0,0.00011990110215265304,1.0,1.0,0.775330396475771,0.5953307392996109,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
205,4.138774238526821e-05,0.0,4.138774238526821e-05,1.0,1.0,0.775330396475771,0.5992217898832685,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
210,1.5701718439231627e-05,0.0,1.5701718439231627e-05,1.0,1.0,0.7709251101321586,0.603112840466926,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
215,2.6238700229441747e-05,0.0,2.6238700229441747e-05,1.0,1.0,0.7709251101321586,0.603112840466926,D1_transductive_target_all,three_class_with_air,MLP source only,0.0,11
