split,description,task,variant,lambda,seed,classifier_label_usage,domain_label_usage,model_selection_labels,best_epoch,class_loss_last,domain_loss_last,classifier_train_n,source_train_n,source_val_n,target_labeled_train_n,target_domain_n,target_validation_n,target_test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy,judgment
D1_transductive_target_all,Source labels = all Period I; target domain = all Period II/III unlabeled; no separate validation; test = all Period II/III labels for evaluation only.,three_class_with_air,MLP source only,0.0,11,source labels only,source/target domain labels only; gas labels not used for target domain loss,classifier training labels,20,0.00018211537098977715,0.0,30,30,0,0,227,0,227,1.0,1.0,0.748898678414097,1.0,1.0,0.7584577114427861,1.0,1.0,0.7449828889122488,0.25110132158590304,0.5525291828793775,candidate; high train-test gap; domain near-invariant
D1_transductive_target_all,Source labels = all Period I; target domain = all Period II/III unlabeled; no separate validation; test = all Period II/III labels for evaluation only.,three_class_with_air,DANN-UDA,0.05,11,source labels only,source/target domain labels only; gas labels not used for target domain loss,classifier training labels,30,0.0003045251651201397,0.3481048047542572,30,30,0,0,227,0,227,1.0,1.0,0.775330396475771,1.0,1.0,0.784266169154229,1.0,1.0,0.7734959349593495,0.22466960352422904,0.8832684824902723,best in split; domain still separable
D1_transductive_target_all,Source labels = all Period I; target domain = all Period II/III unlabeled; no separate validation; test = all Period II/III labels for evaluation only.,binary_without_air,MLP source only,0.0,7,source labels only,source/target domain labels only; gas labels not used for target domain loss,classifier training labels,20,9.954963024938479e-05,0.0,24,24,0,0,160,0,160,1.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.7998749218261413,0.19999999999999996,0.532608695652174,candidate; domain near-invariant
D1_transductive_target_all,Source labels = all Period I; target domain = all Period II/III unlabeled; no separate validation; test = all Period II/III labels for evaluation only.,binary_without_air,DANN-UDA,0.5,7,source labels only,source/target domain labels only; gas labels not used for target domain loss,classifier training labels,30,3.352898056618869e-05,0.3871324062347412,24,24,0,0,160,0,160,1.0,1.0,0.8125,1.0,1.0,0.8125,1.0,1.0,0.8117647058823529,0.1875,0.8695652173913043,best in split; domain still separable
D2_source_holdout_target_all,Source Period I is split into train/validation; target domain = all Period II/III unlabeled; test = all Period II/III labels for evaluation only.,three_class_with_air,MLP source only,0.0,11,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,50,0.00026633322704583406,0.0,25,25,5,0,227,0,227,1.0,0.8,0.8237885462555066,1.0,0.8333333333333334,0.8244402985074627,1.0,0.8222222222222223,0.8233155161373,0.17621145374449343,0.5396825396825397,candidate; domain near-invariant
D2_source_holdout_target_all,Source Period I is split into train/validation; target domain = all Period II/III unlabeled; test = all Period II/III labels for evaluation only.,three_class_with_air,DANN-UDA,0.05,23,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,60,0.00011293496208963916,0.3557478189468384,25,25,5,0,227,0,227,1.0,1.0,0.8458149779735683,1.0,1.0,0.8501243781094527,1.0,1.0,0.8458637030622308,0.1541850220264317,0.9007936507936508,best in split; domain still separable
D2_source_holdout_target_all,Source Period I is split into train/validation; target domain = all Period II/III unlabeled; test = all Period II/III labels for evaluation only.,binary_without_air,MLP source only,0.0,7,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,30,0.00014106240996625274,0.0,20,20,4,0,160,0,160,1.0,1.0,0.80625,1.0,1.0,0.8062499999999999,1.0,1.0,0.8061818608104412,0.19374999999999998,0.4777777777777778,candidate; domain near-invariant
D2_source_holdout_target_all,Source Period I is split into train/validation; target domain = all Period II/III unlabeled; test = all Period II/III labels for evaluation only.,binary_without_air,DANN-UDA,0.05,23,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,40,1.45785643326235e-05,0.3431929349899292,20,20,4,0,160,0,160,1.0,1.0,0.8375,1.0,1.0,0.8375,1.0,1.0,0.8375,0.16249999999999998,0.8833333333333333,best in split; domain still separable
D3_uda_day1_val_day2_3,Source labels = all Period I; target domain = Day1 unlabeled; validation = Day2-3 labels; test = Day4-19 labels.,three_class_with_air,MLP source only,0.0,7,source labels only,source/target domain labels only; gas labels not used for target domain loss,target validation labels,20,0.0001474184828111902,0.0,30,30,0,0,16,26,185,0.9,0.8076923076923077,0.7027027027027027,0.9166666666666666,0.8333333333333334,0.7104895104895105,0.8944099378881987,0.8157136980666393,0.7069826214135158,0.19729729729729728,0.41304347826086957,candidate
D3_uda_day1_val_day2_3,Source labels = all Period I; target domain = Day1 unlabeled; validation = Day2-3 labels; test = Day4-19 labels.,three_class_with_air,DANN-UDA,0.2,23,source labels only,source/target domain labels only; gas labels not used for target domain loss,target validation labels,220,0.08889953047037125,0.6782187819480896,30,30,0,0,16,26,185,1.0,0.9615384615384616,0.8648648648648649,1.0,0.9666666666666667,0.8680652680652682,1.0,0.9568151147098516,0.8655619905619906,0.1351351351351351,0.6521739130434783,best in split
