Task,Split,Model,Best hyperparameters,Selection,Train n,Validation n,Test n,Train Acc,Val Acc,Test Acc,Train BA,Val BA,Test BA,Train Macro-F1,Val Macro-F1,Test Macro-F1,Train-Test Gap,Val-Test Gap,Judgment
Three-class classification: air / alcohol / acetone,Split 1: Train Period I only; no validation; test all Period II/III,LDA,shrinkage=0.1,fixed_default_no_validation,30,0,227,1.0,,0.5947136563876652,1.0,,0.6045398009950248,1.0,,0.5120868015477049,0.4052863436123348,,High gap
Three-class classification: air / alcohol / acetone,Split 1: Train Period I only; no validation; test all Period II/III,Logistic Regression,l2=0.01,fixed_default_no_validation,30,0,227,1.0,,0.7444933920704846,1.0,,0.747823383084577,1.0,,0.7337579010661855,0.2555066079295154,,High gap
Three-class classification: air / alcohol / acetone,Split 1: Train Period I only; no validation; test all Period II/III,kNN,k=3,fixed_default_no_validation,30,0,227,0.7333333333333333,,0.6167400881057269,0.6944444444444445,,0.6269900497512437,0.6984848484848486,,0.6157789978986807,0.1165932452276063,,Underfitting
Three-class classification: air / alcohol / acetone,Split 1: Train Period I only; no validation; test all Period II/III,Random Forest,subspace=2.0,fixed_default_no_validation,30,0,227,0.8,,0.6607929515418502,0.8333333333333334,,0.6751243781094528,0.7889473684210526,,0.6629192499043245,0.1392070484581498,,Acceptable
Three-class classification: air / alcohol / acetone,Split 1: Train Period I only; no validation; test all Period II/III,RBF LS-SVM,gamma=1.0;C=10.0,fixed_default_no_validation,30,0,227,1.0,,0.8237885462555066,1.0,,0.8212064676616916,1.0,,0.8283062838780196,0.1762114537444934,,Best; Acceptable
Three-class classification: air / alcohol / acetone,Split 1: Train Period I only; no validation; test all Period II/III,MLP,h=16;l2=0.001;lr=0.01,fixed_default_no_validation,30,0,227,1.0,,0.762114537444934,1.0,,0.7620646766169155,1.0,,0.7575858250276856,0.237885462555066,,Acceptable
Three-class classification: air / alcohol / acetone,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,LDA,shrinkage=0.1,validation_accuracy_macro_f1_balanced_accuracy,25,5,227,1.0,0.8,0.6211453744493393,1.0,0.8333333333333334,0.6311567164179105,1.0,0.7777777777777777,0.5488169805691763,0.3788546255506607,0.1788546255506607,Overfitting/domain shift
Three-class classification: air / alcohol / acetone,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,Logistic Regression,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,25,5,227,1.0,0.6,0.7533039647577092,1.0,0.6666666666666666,0.7561567164179103,1.0,0.611111111111111,0.7426637572425195,0.2466960352422907,-0.1533039647577092,Acceptable
Three-class classification: air / alcohol / acetone,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,kNN,k=1,validation_accuracy_macro_f1_balanced_accuracy,25,5,227,1.0,0.8,0.6255506607929515,1.0,0.8333333333333334,0.6304726368159204,1.0,0.8222222222222223,0.628310405643739,0.3744493392070485,0.1744493392070485,Overfitting/domain shift
Three-class classification: air / alcohol / acetone,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,Random Forest,subspace=1.5,validation_accuracy_macro_f1_balanced_accuracy,25,5,227,0.8,0.8,0.6519823788546255,0.8000000000000002,0.8333333333333334,0.665174129353234,0.7824463118580764,0.7777777777777777,0.655998047137767,0.1480176211453745,0.1480176211453745,Acceptable
Three-class classification: air / alcohol / acetone,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,RBF LS-SVM,gamma=0.5;C=10.0,validation_accuracy_macro_f1_balanced_accuracy,25,5,227,0.92,0.8,0.8281938325991189,0.9,0.8333333333333334,0.8237562189054727,0.9151160730108098,0.8222222222222223,0.8286328188186322,0.0918061674008811,-0.0281938325991188,Best; Acceptable
Three-class classification: air / alcohol / acetone,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,MLP,h=8;l2=0.001;lr=0.01,validation_accuracy_macro_f1_balanced_accuracy,25,5,227,0.92,0.6,0.6299559471365639,0.9333333333333332,0.6666666666666666,0.6402985074626866,0.9333333333333332,0.611111111111111,0.611696917314895,0.2900440528634361,-0.0299559471365639,High gap
Three-class classification: air / alcohol / acetone,Split 3: Period I holdout validation; train 20 / val 10 for three-class; test all Period II/III,LDA,shrinkage=0.5,validation_accuracy_macro_f1_balanced_accuracy,20,10,227,0.95,0.8,0.762114537444934,0.9583333333333334,0.8333333333333334,0.7644900497512438,0.9581699346405228,0.7851851851851852,0.7560891674550616,0.187885462555066,0.037885462555066,Acceptable
Three-class classification: air / alcohol / acetone,Split 3: Period I holdout validation; train 20 / val 10 for three-class; test all Period II/III,Logistic Regression,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,20,10,227,1.0,0.8,0.7841409691629956,1.0,0.8333333333333334,0.7877487562189055,1.0,0.7777777777777777,0.7761827988666128,0.2158590308370044,0.0158590308370044,Acceptable
