split,description,task,model,best_params,selection_method,train_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,validation_test_accuracy_gap,fit_assessment
S1_train_I_test_all,Train Period I only; no validation; test all Period II/III days.,three_class_with_air,LDA,shrinkage=0.1,fixed_default_no_validation,30,0,227,1.0,,0.5947136563876652,1.0,,0.6045398009950248,1.0,,0.5120868015477049,0.40528634361233484,,High train-test gap
S1_train_I_test_all,Train Period I only; no validation; test all Period II/III days.,three_class_with_air,Logistic Regression,l2=0.01,fixed_default_no_validation,30,0,227,1.0,,0.7444933920704846,1.0,,0.747823383084577,1.0,,0.7337579010661855,0.2555066079295154,,High train-test gap
S1_train_I_test_all,Train Period I only; no validation; test all Period II/III days.,three_class_with_air,kNN,k=3,fixed_default_no_validation,30,0,227,0.7333333333333333,,0.6167400881057269,0.6944444444444445,,0.6269900497512437,0.6984848484848486,,0.6157789978986807,0.11659324522760639,,Possible underfitting
S1_train_I_test_all,Train Period I only; no validation; test all Period II/III days.,three_class_with_air,Random Forest,subspace_mult=2.0,fixed_default_no_validation,30,0,227,0.8,,0.6607929515418502,0.8333333333333334,,0.6751243781094528,0.7889473684210526,,0.6629192499043245,0.1392070484581498,,Reasonable or mild shift
S1_train_I_test_all,Train Period I only; no validation; test all Period II/III days.,three_class_with_air,RBF LS-SVM,gamma_mult=1.0;c_value=10.0,fixed_default_no_validation,30,0,227,1.0,,0.8237885462555066,1.0,,0.8212064676616916,1.0,,0.8283062838780196,0.17621145374449343,,Reasonable or mild shift
S1_train_I_test_all,Train Period I only; no validation; test all Period II/III days.,three_class_with_air,MLP,hidden=16;l2=0.001;lr=0.01,fixed_default_no_validation,30,0,227,1.0,,0.762114537444934,1.0,,0.7620646766169155,1.0,,0.7575858250276856,0.23788546255506604,,Reasonable or mild shift
S1_train_I_test_all,Train Period I only; no validation; test all Period II/III days.,binary_without_air,LDA,shrinkage=0.1,fixed_default_no_validation,24,0,160,1.0,,0.63125,1.0,,0.63125,1.0,,0.5732175957321759,0.36875,,High train-test gap
S1_train_I_test_all,Train Period I only; no validation; test all Period II/III days.,binary_without_air,Logistic Regression,l2=0.01,fixed_default_no_validation,24,0,160,1.0,,0.79375,1.0,,0.79375,1.0,,0.7867442142251303,0.20625000000000004,,Reasonable or mild shift
S1_train_I_test_all,Train Period I only; no validation; test all Period II/III days.,binary_without_air,kNN,k=3,fixed_default_no_validation,24,0,160,0.9166666666666666,,0.64375,0.9166666666666666,,0.64375,0.9166666666666666,,0.6437360834407594,0.2729166666666666,,High train-test gap
S1_train_I_test_all,Train Period I only; no validation; test all Period II/III days.,binary_without_air,Random Forest,subspace_mult=2.0,fixed_default_no_validation,24,0,160,0.8333333333333334,,0.5625,0.8333333333333333,,0.5625,0.8285714285714285,,0.5391705069124424,0.27083333333333337,,High train-test gap
