samples_per_class,repeat,model,accuracy,train_files,test_n
1,0,LDA,0.5,alcohol_o3.csv;acetone_o10.csv,14
1,0,Logistic Regression,0.5,alcohol_o3.csv;acetone_o10.csv,14
1,0,kNN,0.5,alcohol_o3.csv;acetone_o10.csv,14
1,0,Random Forest,0.5,alcohol_o3.csv;acetone_o10.csv,14
1,0,RBF LS-SVM,0.5,alcohol_o3.csv;acetone_o10.csv,14
1,1,LDA,0.5,alcohol_o8.csv;acetone_o3.csv,14
1,1,Logistic Regression,0.5,alcohol_o8.csv;acetone_o3.csv,14
1,1,kNN,0.5,alcohol_o8.csv;acetone_o3.csv,14
1,1,Random Forest,0.5,alcohol_o8.csv;acetone_o3.csv,14
1,1,RBF LS-SVM,0.5,alcohol_o8.csv;acetone_o3.csv,14
1,2,LDA,0.5,alcohol_o1.csv;acetone_o9.csv,14
1,2,Logistic Regression,0.5,alcohol_o1.csv;acetone_o9.csv,14
1,2,kNN,0.5,alcohol_o1.csv;acetone_o9.csv,14
1,2,Random Forest,0.5,alcohol_o1.csv;acetone_o9.csv,14
1,2,RBF LS-SVM,0.5,alcohol_o1.csv;acetone_o9.csv,14
1,3,LDA,0.5,alcohol_o6.csv;acetone_o1.csv,14
1,3,Logistic Regression,0.5,alcohol_o6.csv;acetone_o1.csv,14
1,3,kNN,0.5,alcohol_o6.csv;acetone_o1.csv,14
1,3,Random Forest,0.5714285714285714,alcohol_o6.csv;acetone_o1.csv,14
1,3,RBF LS-SVM,0.5,alcohol_o6.csv;acetone_o1.csv,14
1,4,LDA,0.5,alcohol_o5.csv;acetone_o2.csv,14
1,4,Logistic Regression,0.5,alcohol_o5.csv;acetone_o2.csv,14
1,4,kNN,0.5,alcohol_o5.csv;acetone_o2.csv,14
1,4,Random Forest,0.5,alcohol_o5.csv;acetone_o2.csv,14
1,4,RBF LS-SVM,0.5,alcohol_o5.csv;acetone_o2.csv,14
1,5,LDA,0.5,alcohol_o6.csv;acetone_o5.csv,14
1,5,Logistic Regression,0.5,alcohol_o6.csv;acetone_o5.csv,14
1,5,kNN,0.5,alcohol_o6.csv;acetone_o5.csv,14
1,5,Random Forest,0.5,alcohol_o6.csv;acetone_o5.csv,14
1,5,RBF LS-SVM,0.5,alcohol_o6.csv;acetone_o5.csv,14
1,6,LDA,0.5,alcohol_o11.csv;acetone_o8.csv,14
1,6,Logistic Regression,0.5,alcohol_o11.csv;acetone_o8.csv,14
1,6,kNN,0.5,alcohol_o11.csv;acetone_o8.csv,14
1,6,Random Forest,0.5,alcohol_o11.csv;acetone_o8.csv,14
1,6,RBF LS-SVM,0.5,alcohol_o11.csv;acetone_o8.csv,14
1,7,LDA,0.5,alcohol_o11.csv;acetone_o1.csv,14
1,7,Logistic Regression,0.5,alcohol_o11.csv;acetone_o1.csv,14
1,7,kNN,0.5,alcohol_o11.csv;acetone_o1.csv,14
1,7,Random Forest,0.5,alcohol_o11.csv;acetone_o1.csv,14
1,7,RBF LS-SVM,0.5,alcohol_o11.csv;acetone_o1.csv,14
1,8,LDA,0.5,alcohol_o4.csv;acetone_o10.csv,14
1,8,Logistic Regression,0.7857142857142857,alcohol_o4.csv;acetone_o10.csv,14
1,8,kNN,0.5,alcohol_o4.csv;acetone_o10.csv,14
1,8,Random Forest,0.7857142857142857,alcohol_o4.csv;acetone_o10.csv,14
1,8,RBF LS-SVM,0.7857142857142857,alcohol_o4.csv;acetone_o10.csv,14
1,9,LDA,0.5,alcohol_o3.csv;acetone_o7.csv,14
1,9,Logistic Regression,0.5,alcohol_o3.csv;acetone_o7.csv,14
1,9,kNN,0.5,alcohol_o3.csv;acetone_o7.csv,14
1,9,Random Forest,0.5,alcohol_o3.csv;acetone_o7.csv,14
1,9,RBF LS-SVM,0.5,alcohol_o3.csv;acetone_o7.csv,14
1,10,LDA,0.5,alcohol_o4.csv;acetone_o8.csv,14
1,10,Logistic Regression,0.5,alcohol_o4.csv;acetone_o8.csv,14
1,10,kNN,0.5,alcohol_o4.csv;acetone_o8.csv,14
1,10,Random Forest,0.5,alcohol_o4.csv;acetone_o8.csv,14
1,10,RBF LS-SVM,0.5,alcohol_o4.csv;acetone_o8.csv,14
1,11,LDA,0.5,alcohol_o9.csv;acetone_o4.csv,14
1,11,Logistic Regression,0.6428571428571429,alcohol_o9.csv;acetone_o4.csv,14
1,11,kNN,0.5,alcohol_o9.csv;acetone_o4.csv,14
1,11,Random Forest,0.6428571428571429,alcohol_o9.csv;acetone_o4.csv,14
1,11,RBF LS-SVM,0.6428571428571429,alcohol_o9.csv;acetone_o4.csv,14
1,12,LDA,0.5,alcohol_o5.csv;acetone_o8.csv,14
1,12,Logistic Regression,0.6428571428571429,alcohol_o5.csv;acetone_o8.csv,14
1,12,kNN,0.5,alcohol_o5.csv;acetone_o8.csv,14
1,12,Random Forest,0.5714285714285714,alcohol_o5.csv;acetone_o8.csv,14
1,12,RBF LS-SVM,0.6428571428571429,alcohol_o5.csv;acetone_o8.csv,14
1,13,LDA,0.5,alcohol_o10.csv;acetone_o3.csv,14
1,13,Logistic Regression,0.5,alcohol_o10.csv;acetone_o3.csv,14
1,13,kNN,0.5,alcohol_o10.csv;acetone_o3.csv,14
1,13,Random Forest,0.5,alcohol_o10.csv;acetone_o3.csv,14
1,13,RBF LS-SVM,0.35714285714285715,alcohol_o10.csv;acetone_o3.csv,14
1,14,LDA,0.5,alcohol_o8.csv;acetone_o7.csv,14
1,14,Logistic Regression,0.5,alcohol_o8.csv;acetone_o7.csv,14
1,14,kNN,0.5,alcohol_o8.csv;acetone_o7.csv,14
1,14,Random Forest,0.5,alcohol_o8.csv;acetone_o7.csv,14
1,14,RBF LS-SVM,0.5,alcohol_o8.csv;acetone_o7.csv,14
1,15,LDA,0.5,alcohol_o8.csv;acetone_o9.csv,14
1,15,Logistic Regression,0.42857142857142855,alcohol_o8.csv;acetone_o9.csv,14
1,15,kNN,0.5,alcohol_o8.csv;acetone_o9.csv,14
1,15,Random Forest,0.5,alcohol_o8.csv;acetone_o9.csv,14
1,15,RBF LS-SVM,0.42857142857142855,alcohol_o8.csv;acetone_o9.csv,14
1,16,LDA,0.5,alcohol_o7.csv;acetone_o10.csv,14
1,16,Logistic Regression,0.5,alcohol_o7.csv;acetone_o10.csv,14
1,16,kNN,0.5,alcohol_o7.csv;acetone_o10.csv,14
1,16,Random Forest,0.8571428571428571,alcohol_o7.csv;acetone_o10.csv,14
1,16,RBF LS-SVM,0.5,alcohol_o7.csv;acetone_o10.csv,14
1,17,LDA,0.5,alcohol_o5.csv;acetone_o6.csv,14
1,17,Logistic Regression,0.5714285714285714,alcohol_o5.csv;acetone_o6.csv,14
1,17,kNN,0.5,alcohol_o5.csv;acetone_o6.csv,14
1,17,Random Forest,0.5714285714285714,alcohol_o5.csv;acetone_o6.csv,14
1,17,RBF LS-SVM,0.5714285714285714,alcohol_o5.csv;acetone_o6.csv,14
1,18,LDA,0.5,alcohol_o9.csv;acetone_o6.csv,14
1,18,Logistic Regression,0.5714285714285714,alcohol_o9.csv;acetone_o6.csv,14
1,18,kNN,0.5,alcohol_o9.csv;acetone_o6.csv,14
1,18,Random Forest,0.6428571428571429,alcohol_o9.csv;acetone_o6.csv,14
1,18,RBF LS-SVM,0.5714285714285714,alcohol_o9.csv;acetone_o6.csv,14
