samples_per_class,model,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,repeats
1,LDA,0.5,0.0,0.5,0.5,100
1,Logistic Regression,0.5085714285714286,0.14791898031411518,0.0,0.9285714285714286,100
1,RBF LS-SVM,0.5071428571428571,0.13901766860027195,0.0,0.9285714285714286,100
1,Random Forest,0.5492857142857143,0.12909744888652314,0.07142857142857142,0.9285714285714286,100
1,kNN,0.5,0.0,0.5,0.5,100
2,LDA,0.5985714285714285,0.15786270908810257,0.35714285714285715,1.0,100
2,Logistic Regression,0.5964285714285714,0.14263149567339353,0.35714285714285715,1.0,100
2,RBF LS-SVM,0.6121428571428571,0.16472430319375303,0.35714285714285715,1.0,100
2,Random Forest,0.6414285714285713,0.13429615261386,0.42857142857142855,1.0,100
2,kNN,0.5721428571428572,0.09550557676253135,0.42857142857142855,0.8571428571428571,100
3,LDA,0.6414285714285713,0.15987394539705735,0.35714285714285715,1.0,100
3,Logistic Regression,0.6378571428571429,0.14580472817785695,0.35714285714285715,1.0,100
3,RBF LS-SVM,0.6485714285714286,0.15913080749509964,0.5,1.0,100
3,Random Forest,0.672142857142857,0.1410765657456879,0.5,1.0,100
3,kNN,0.6435714285714286,0.14375439727798006,0.21428571428571427,0.9285714285714286,100
