split,task,model,partition,random_state,label,support,predicted_n,precision,recall,f1
S1_train_I_test_all,three_class_with_air,LDA,train,,air,6,6,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,LDA,train,,alcohol,12,12,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,LDA,train,,acetone,12,12,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,LDA,test,,air,81,86,0.7325581395348837,0.7777777777777778,0.7544910179640718
S1_train_I_test_all,three_class_with_air,LDA,test,,alcohol,96,179,0.5363128491620112,1.0,0.6981818181818182
S1_train_I_test_all,three_class_with_air,LDA,test,,acetone,96,8,0.875,0.07291666666666667,0.1346153846153846
S1_train_I_test_all,three_class_with_air,Logistic Regression,train,,air,6,6,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Logistic Regression,train,,alcohol,12,12,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Logistic Regression,train,,acetone,12,12,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Logistic Regression,test,,air,81,67,0.9850746268656716,0.8148148148148148,0.8918918918918919
S1_train_I_test_all,three_class_with_air,Logistic Regression,test,,alcohol,96,141,0.6666666666666666,0.9791666666666666,0.7932489451476793
S1_train_I_test_all,three_class_with_air,Logistic Regression,test,,acetone,96,65,0.9846153846153847,0.6666666666666666,0.7950310559006211
S1_train_I_test_all,three_class_with_air,kNN,train,,air,6,5,0.6,0.5,0.5454545454545454
S1_train_I_test_all,three_class_with_air,kNN,train,,alcohol,12,13,0.7692307692307693,0.8333333333333334,0.8
S1_train_I_test_all,three_class_with_air,kNN,train,,acetone,12,12,0.75,0.75,0.75
S1_train_I_test_all,three_class_with_air,kNN,test,,air,81,99,0.6666666666666666,0.8148148148148148,0.7333333333333333
S1_train_I_test_all,three_class_with_air,kNN,test,,alcohol,96,79,0.5949367088607594,0.4895833333333333,0.5371428571428571
S1_train_I_test_all,three_class_with_air,kNN,test,,acetone,96,95,0.631578947368421,0.625,0.6282722513089005
S1_train_I_test_all,three_class_with_air,Random Forest,train,0.0,air,6,6,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,train,0.0,alcohol,12,12,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,train,0.0,acetone,12,12,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,test,0.0,air,81,81,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,test,0.0,alcohol,96,97,0.865979381443299,0.875,0.8704663212435233
S1_train_I_test_all,three_class_with_air,Random Forest,test,0.0,acetone,96,95,0.8736842105263158,0.8645833333333334,0.8691099476439791
S1_train_I_test_all,three_class_with_air,Random Forest,train,1.0,air,6,6,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,train,1.0,alcohol,12,12,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,train,1.0,acetone,12,12,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,test,1.0,air,81,81,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,test,1.0,alcohol,96,104,0.8461538461538461,0.9166666666666666,0.88
S1_train_I_test_all,three_class_with_air,Random Forest,test,1.0,acetone,96,88,0.9090909090909091,0.8333333333333334,0.8695652173913043
S1_train_I_test_all,three_class_with_air,Random Forest,train,2.0,air,6,6,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,train,2.0,alcohol,12,12,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,train,2.0,acetone,12,12,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,test,2.0,air,81,81,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,test,2.0,alcohol,96,103,0.8543689320388349,0.9166666666666666,0.8844221105527639
S1_train_I_test_all,three_class_with_air,Random Forest,test,2.0,acetone,96,89,0.9101123595505618,0.84375,0.8756756756756757
S1_train_I_test_all,three_class_with_air,Random Forest,train,3.0,air,6,6,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,train,3.0,alcohol,12,12,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,train,3.0,acetone,12,12,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,test,3.0,air,81,81,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,test,3.0,alcohol,96,99,0.8585858585858586,0.8854166666666666,0.8717948717948718
S1_train_I_test_all,three_class_with_air,Random Forest,test,3.0,acetone,96,93,0.8817204301075269,0.8541666666666666,0.8677248677248677
S1_train_I_test_all,three_class_with_air,Random Forest,train,4.0,air,6,6,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,train,4.0,alcohol,12,12,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,train,4.0,acetone,12,12,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,test,4.0,air,81,81,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,test,4.0,alcohol,96,100,0.85,0.8854166666666666,0.8673469387755102
S1_train_I_test_all,three_class_with_air,Random Forest,test,4.0,acetone,96,92,0.8804347826086957,0.84375,0.8617021276595744
S1_train_I_test_all,three_class_with_air,RBF SVM,train,,air,6,8,0.75,1.0,0.8571428571428571
S1_train_I_test_all,three_class_with_air,RBF SVM,train,,alcohol,12,13,0.8461538461538461,0.9166666666666666,0.88
S1_train_I_test_all,three_class_with_air,RBF SVM,train,,acetone,12,9,1.0,0.75,0.8571428571428571
S1_train_I_test_all,three_class_with_air,RBF SVM,test,,air,81,85,0.8823529411764706,0.9259259259259259,0.9036144578313253
S1_train_I_test_all,three_class_with_air,RBF SVM,test,,alcohol,96,102,0.6078431372549019,0.6458333333333334,0.6262626262626263
S1_train_I_test_all,three_class_with_air,RBF SVM,test,,acetone,96,86,0.6744186046511628,0.6041666666666666,0.6373626373626373
S1_train_I_test_all,three_class_with_air,MLP,train,0.0,air,6,6,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,MLP,train,0.0,alcohol,12,12,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,MLP,train,0.0,acetone,12,12,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,MLP,test,0.0,air,81,89,0.7865168539325843,0.8641975308641975,0.8235294117647058
S1_train_I_test_all,three_class_with_air,MLP,test,0.0,alcohol,96,92,0.7934782608695652,0.7604166666666666,0.776595744680851
S1_train_I_test_all,three_class_with_air,MLP,test,0.0,acetone,96,92,0.8152173913043478,0.78125,0.7978723404255319
S1_train_I_test_all,three_class_with_air,MLP,train,1.0,air,6,6,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,MLP,train,1.0,alcohol,12,12,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,MLP,train,1.0,acetone,12,12,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,MLP,test,1.0,air,81,73,0.9315068493150684,0.8395061728395061,0.8831168831168831
S1_train_I_test_all,three_class_with_air,MLP,test,1.0,alcohol,96,137,0.656934306569343,0.9375,0.7725321888412017
S1_train_I_test_all,three_class_with_air,MLP,test,1.0,acetone,96,63,0.9365079365079365,0.6145833333333334,0.7421383647798742
S1_train_I_test_all,three_class_with_air,MLP,train,2.0,air,6,6,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,MLP,train,2.0,alcohol,12,12,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,MLP,train,2.0,acetone,12,12,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,MLP,test,2.0,air,81,85,0.788235294117647,0.8271604938271605,0.8072289156626506
S1_train_I_test_all,three_class_with_air,MLP,test,2.0,alcohol,96,100,0.68,0.7083333333333334,0.6938775510204082
S1_train_I_test_all,three_class_with_air,MLP,test,2.0,acetone,96,88,0.7386363636363636,0.6770833333333334,0.7065217391304348
S1_train_I_test_all,three_class_with_air,MLP,train,3.0,air,6,6,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,MLP,train,3.0,alcohol,12,12,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,MLP,train,3.0,acetone,12,12,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,MLP,test,3.0,air,81,90,0.7333333333333333,0.8148148148148148,0.7719298245614035
