Task,Split,Model,Final training,Best hyperparameters,Selection,Train n,Validation n,Test n,Train Acc,Val Acc,Test Acc,Train BA,Val BA,Test BA,Train Macro-F1,Val Macro-F1,Test Macro-F1,Train-Test Gap,Val-Test Gap,Judgment
Three-class classification: air / alcohol / acetone,Split 1: Train Period I only; no validation; test all Period II/III,LDA,train_val_refit,shrinkage=0.1,fixed_default_no_validation,30,0,227,1.0,,0.5947136563876652,1.0,,0.6045398009950248,1.0,,0.5120868015477049,0.4052863436123348,,High gap
Three-class classification: air / alcohol / acetone,Split 1: Train Period I only; no validation; test all Period II/III,Logistic Regression,train_val_refit,l2=0.01,fixed_default_no_validation,30,0,227,1.0,,0.7444933920704846,1.0,,0.747823383084577,1.0,,0.7337579010661855,0.2555066079295154,,High gap
Three-class classification: air / alcohol / acetone,Split 1: Train Period I only; no validation; test all Period II/III,kNN,train_val_refit,k=3,fixed_default_no_validation,30,0,227,0.7333333333333333,,0.6167400881057269,0.6944444444444445,,0.6269900497512437,0.6984848484848486,,0.6157789978986807,0.1165932452276063,,Underfitting
Three-class classification: air / alcohol / acetone,Split 1: Train Period I only; no validation; test all Period II/III,Random Forest,train_val_refit,subspace=2.0,fixed_default_no_validation,30,0,227,0.8,,0.6607929515418502,0.8333333333333334,,0.6751243781094528,0.7889473684210526,,0.6629192499043245,0.1392070484581498,,Acceptable
Three-class classification: air / alcohol / acetone,Split 1: Train Period I only; no validation; test all Period II/III,RBF LS-SVM,train_val_refit,gamma=1.0;C=10.0,fixed_default_no_validation,30,0,227,1.0,,0.8237885462555066,1.0,,0.8212064676616916,1.0,,0.8283062838780196,0.1762114537444934,,Best; Acceptable
Three-class classification: air / alcohol / acetone,Split 1: Train Period I only; no validation; test all Period II/III,MLP,train_val_refit,h=16;l2=0.001;lr=0.01,fixed_default_no_validation,30,0,227,1.0,,0.762114537444934,1.0,,0.7620646766169155,1.0,,0.7575858250276856,0.237885462555066,,Acceptable
Three-class classification: air / alcohol / acetone,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,LDA,train_val_refit,shrinkage=0.1,validation_accuracy_macro_f1_balanced_accuracy,30,5,227,1.0,0.8,0.5947136563876652,1.0,0.8333333333333334,0.6045398009950248,1.0,0.7777777777777777,0.5120868015477049,0.4052863436123348,0.2052863436123349,Overfitting/domain shift
Three-class classification: air / alcohol / acetone,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,Logistic Regression,train_val_refit,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,30,5,227,1.0,0.6,0.7312775330396476,1.0,0.6666666666666666,0.7337064676616915,1.0,0.611111111111111,0.7187988545778191,0.2687224669603524,-0.1312775330396476,High gap
Three-class classification: air / alcohol / acetone,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,kNN,train_val_refit,k=1,validation_accuracy_macro_f1_balanced_accuracy,30,5,227,1.0,0.8,0.6343612334801763,1.0,0.8333333333333334,0.6396144278606966,1.0,0.8222222222222223,0.6407158555729985,0.3656387665198237,0.1656387665198238,Overfitting/domain shift
Three-class classification: air / alcohol / acetone,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,Random Forest,train_val_refit,subspace=1.5,validation_accuracy_macro_f1_balanced_accuracy,30,5,227,0.8,0.8,0.6696035242290749,0.8055555555555555,0.8333333333333334,0.6834577114427861,0.7822222222222223,0.7777777777777777,0.6712926687252748,0.1303964757709251,0.1303964757709251,Acceptable
Three-class classification: air / alcohol / acetone,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,RBF LS-SVM,train_val_refit,gamma=0.5;C=10.0,validation_accuracy_macro_f1_balanced_accuracy,30,5,227,0.9666666666666668,0.8,0.8149779735682819,0.9722222222222222,0.8333333333333334,0.8112562189054726,0.9721739130434782,0.8222222222222223,0.817454360698754,0.1516886930983847,-0.0149779735682819,Best; Acceptable
Three-class classification: air / alcohol / acetone,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,MLP,train_val_refit,h=8;l2=0.001;lr=0.01,validation_accuracy_macro_f1_balanced_accuracy,30,5,227,0.9333333333333332,0.6,0.7136563876651982,0.9444444444444444,0.6666666666666666,0.7178482587064677,0.9444444444444444,0.611111111111111,0.7124474982728269,0.2196769456681351,-0.1136563876651982,Acceptable
Three-class classification: air / alcohol / acetone,Split 3: Period I holdout validation; train 20 / val 10 for three-class; test all Period II/III,LDA,train_val_refit,shrinkage=0.5,validation_accuracy_macro_f1_balanced_accuracy,30,10,227,0.9,0.8,0.73568281938326,0.9166666666666666,0.8333333333333334,0.738681592039801,0.901098901098901,0.7851851851851852,0.7264751833684002,0.16431718061674,0.06431718061674,Acceptable
Three-class classification: air / alcohol / acetone,Split 3: Period I holdout validation; train 20 / val 10 for three-class; test all Period II/III,Logistic Regression,train_val_refit,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,30,10,227,1.0,0.8,0.7312775330396476,1.0,0.8333333333333334,0.7337064676616915,1.0,0.7777777777777777,0.7187988545778191,0.2687224669603524,0.0687224669603524,High gap
Three-class classification: air / alcohol / acetone,Split 3: Period I holdout validation; train 20 / val 10 for three-class; test all Period II/III,kNN,train_val_refit,k=7,validation_accuracy_macro_f1_balanced_accuracy,30,10,227,0.7333333333333333,0.7,0.6387665198237885,0.6944444444444443,0.6666666666666666,0.6437810945273631,0.7068418171866447,0.6555555555555556,0.6305218198345344,0.0945668135095447,0.0612334801762114,Underfitting
Three-class classification: air / alcohol / acetone,Split 3: Period I holdout validation; train 20 / val 10 for three-class; test all Period II/III,Random Forest,train_val_refit,subspace=1.5,validation_accuracy_macro_f1_balanced_accuracy,30,10,227,0.8,0.7,0.6696035242290749,0.8055555555555555,0.6666666666666666,0.6834577114427861,0.7822222222222223,0.6518518518518519,0.6712926687252748,0.1303964757709251,0.030396475770925,Acceptable
Three-class classification: air / alcohol / acetone,Split 3: Period I holdout validation; train 20 / val 10 for three-class; test all Period II/III,RBF LS-SVM,train_val_refit,gamma=2.0;C=100.0,validation_accuracy_macro_f1_balanced_accuracy,30,10,227,1.0,0.7,0.8237885462555066,1.0,0.6666666666666666,0.8244402985074627,1.0,0.6666666666666666,0.8301347437503468,0.1762114537444934,-0.1237885462555066,Best; Acceptable
Three-class classification: air / alcohol / acetone,Split 3: Period I holdout validation; train 20 / val 10 for three-class; test all Period II/III,MLP,train_val_refit,h=16;l2=0.001;lr=0.01,validation_accuracy_macro_f1_balanced_accuracy,30,10,227,1.0,0.8,0.762114537444934,1.0,0.8333333333333334,0.7620646766169155,1.0,0.7777777777777777,0.7575858250276856,0.237885462555066,0.037885462555066,Acceptable
Three-class classification: air / alcohol / acetone,Split 4: Train Period I; validation Day1-2; test Day3-19,LDA,train_val_refit,shrinkage=0.5,validation_accuracy_macro_f1_balanced_accuracy,58,28,199,0.896551724137931,0.8214285714285714,0.8090452261306532,0.9090909090909092,0.8166666666666668,0.81727199354318,0.8923959827833571,0.8177502579979361,0.8010700287940454,0.0875064980072778,0.0123833452979181,Acceptable
Three-class classification: air / alcohol / acetone,Split 4: Train Period I; validation Day1-2; test Day3-19,Logistic Regression,train_val_refit,l2=0.01,validation_accuracy_macro_f1_balanced_accuracy,58,28,199,1.0,0.8214285714285714,0.914572864321608,1.0,0.8166666666666668,0.9163841807909604,1.0,0.8190235690235691,0.9148738375210308,0.085427135678392,-0.0931442928930366,Best; Acceptable
Three-class classification: air / alcohol / acetone,Split 4: Train Period I; validation Day1-2; test Day3-19,kNN,train_val_refit,k=7,validation_accuracy_macro_f1_balanced_accuracy,58,28,199,0.8448275862068966,0.7857142857142857,0.6984924623115578,0.8549783549783551,0.8000000000000002,0.7125100887812752,0.8439848057252407,0.7979797979797979,0.690361723225573,0.1463351238953387,0.0872218234027278,Acceptable
Three-class classification: air / alcohol / acetone,Split 4: Train Period I; validation Day1-2; test Day3-19,Random Forest,train_val_refit,subspace=3.0,validation_accuracy_macro_f1_balanced_accuracy,58,28,199,0.7241379310344828,0.7142857142857143,0.6633165829145728,0.7489177489177489,0.7333333333333334,0.6809523809523811,0.7250344053938406,0.7122762148337595,0.6174459029859677,0.0608213481199099,0.0509691313711414,Underfitting
Three-class classification: air / alcohol / acetone,Split 4: Train Period I; validation Day1-2; test Day3-19,RBF LS-SVM,train_val_refit,gamma=1.0;C=100.0,validation_accuracy_macro_f1_balanced_accuracy,58,28,199,1.0,1.0,0.8994974874371859,1.0,1.0,0.9020984665052462,1.0,1.0,0.9033009016112604,0.100502512562814,0.100502512562814,Acceptable
Three-class classification: air / alcohol / acetone,Split 4: Train Period I; validation Day1-2; test Day3-19,MLP,train_val_refit,h=32;l2=0.001;lr=0.03,validation_accuracy_macro_f1_balanced_accuracy,58,28,199,1.0,0.8571428571428571,0.8844221105527639,1.0,0.85,0.8869249394673124,1.0,0.8515037593984962,0.8860267092476461,0.1155778894472361,-0.0272792534099067,Acceptable
Three-class classification: air / alcohol / acetone,Split 5: Train Period I + Day1; validation Day2-3; test Day4-19,LDA,train_val_refit,shrinkage=0.1,validation_accuracy_macro_f1_balanced_accuracy,72,26,185,0.9305555555555556,0.8076923076923077,0.8810810810810811,0.9382716049382716,0.8333333333333334,0.8834498834498835,0.9269212375381674,0.8023809523809523,0.8828579751767635,0.0494744744744745,-0.0733887733887733,Acceptable
Three-class classification: air / alcohol / acetone,Split 5: Train Period I + Day1; validation Day2-3; test Day4-19,Logistic Regression,train_val_refit,l2=0.05,validation_accuracy_macro_f1_balanced_accuracy,72,26,185,0.9583333333333334,0.8461538461538461,0.9243243243243244,0.9629629629629628,0.8666666666666666,0.9272727272727272,0.9567876911530164,0.8411764705882353,0.924771873322598,0.034009009009009,-0.0781704781704781,Best; Acceptable
Three-class classification: air / alcohol / acetone,Split 5: Train Period I + Day1; validation Day2-3; test Day4-19,kNN,train_val_refit,k=1,validation_accuracy_macro_f1_balanced_accuracy,72,26,185,1.0,0.6923076923076923,0.827027027027027,1.0,0.7333333333333334,0.8256410256410257,1.0,0.7306397306397306,0.829737023014334,0.1729729729729729,-0.1347193347193347,Acceptable
Three-class classification: air / alcohol / acetone,Split 5: Train Period I + Day1; validation Day2-3; test Day4-19,Random Forest,train_val_refit,subspace=1.5,validation_accuracy_macro_f1_balanced_accuracy,72,26,185,0.7222222222222222,0.6538461538461539,0.6810810810810811,0.7469135802469135,0.7000000000000001,0.6974358974358975,0.7247567474005662,0.6275946275946276,0.6486320121029697,0.041141141141141,-0.0272349272349272,Underfitting
Three-class classification: air / alcohol / acetone,Split 5: Train Period I + Day1; validation Day2-3; test Day4-19,RBF LS-SVM,train_val_refit,gamma=0.5;C=10.0,validation_accuracy_macro_f1_balanced_accuracy,72,26,185,0.9722222222222222,0.9615384615384616,0.9243243243243244,0.9753086419753086,0.9666666666666668,0.9254079254079254,0.972109872109872,0.9568151147098516,0.9265827583592388,0.0478978978978978,0.0372141372141372,Best; Acceptable
Three-class classification: air / alcohol / acetone,Split 5: Train Period I + Day1; validation Day2-3; test Day4-19,MLP,train_val_refit,h=8;l2=0.001;lr=0.01,validation_accuracy_macro_f1_balanced_accuracy,72,26,185,0.9305555555555556,0.8461538461538461,0.8972972972972973,0.9382716049382716,0.8666666666666666,0.8997668997668997,0.9269212375381674,0.8411764705882353,0.8959690876378518,0.0332582582582582,-0.0511434511434512,Acceptable
Three-class classification: air / alcohol / acetone,Split 6: Train Period I + Day1-2; validation Day3-5; test Day6-19,LDA,train_val_refit,shrinkage=0.25,validation_accuracy_macro_f1_balanced_accuracy,98,40,159,0.9183673469387756,0.9,0.9182389937106918,0.927927927927928,0.9111111111111112,0.9197278911564624,0.9142857142857144,0.8944869996763405,0.9179145532086708,0.0001283532280836,-0.0182389937106918,Acceptable
Three-class classification: air / alcohol / acetone,Split 6: Train Period I + Day1-2; validation Day3-5; test Day6-19,Logistic Regression,train_val_refit,l2=0.05,validation_accuracy_macro_f1_balanced_accuracy,98,40,159,0.9693877551020408,0.95,0.9622641509433962,0.9729729729729728,0.9555555555555556,0.9628942486085342,0.9681377151799688,0.9495647721454172,0.962031343321248,0.0071236041586445,-0.0122641509433962,Acceptable
Three-class classification: air / alcohol / acetone,Split 6: Train Period I + Day1-2; validation Day3-5; test Day6-19,kNN,train_val_refit,k=1,validation_accuracy_macro_f1_balanced_accuracy,98,40,159,1.0,0.875,0.8616352201257862,1.0,0.8777777777777779,0.8622139764996909,1.0,0.8736772486772487,0.8661015404247561,0.1383647798742138,0.0133647798742138,Acceptable
Three-class classification: air / alcohol / acetone,Split 6: Train Period I + Day1-2; validation Day3-5; test Day6-19,Random Forest,train_val_refit,subspace=1.5,validation_accuracy_macro_f1_balanced_accuracy,98,40,159,0.7040816326530612,0.6,0.7484276729559748,0.7338588588588589,0.6444444444444445,0.7575757575757575,0.7072174529801648,0.5527065527065527,0.730924330924331,-0.0443460403029135,-0.1484276729559748,Underfitting
Three-class classification: air / alcohol / acetone,Split 6: Train Period I + Day1-2; validation Day3-5; test Day6-19,RBF LS-SVM,train_val_refit,gamma=1.0;C=10.0,validation_accuracy_macro_f1_balanced_accuracy,98,40,159,1.0,0.95,0.9874213836477987,1.0,0.9555555555555556,0.987878787878788,1.0,0.9553571428571428,0.9878747795414462,0.0125786163522012,-0.0374213836477987,Best; Acceptable
Three-class classification: air / alcohol / acetone,Split 6: Train Period I + Day1-2; validation Day3-5; test Day6-19,MLP,train_val_refit,h=8;l2=0.001;lr=0.03,validation_accuracy_macro_f1_balanced_accuracy,98,40,159,0.9897959183673468,0.975,0.9622641509433962,0.990990990990991,0.977777777777778,0.9599257884972172,0.9886310688659026,0.9726327312534208,0.9608662613981762,0.0275317674239506,0.0127358490566037,Acceptable
Three-class classification: air / alcohol / acetone,Split 7: Train Period I + Day1-3; validation Day4-5; test Day6-19,LDA,train_val_refit,shrinkage=0.25,validation_accuracy_macro_f1_balanced_accuracy,98,26,159,0.9183673469387756,0.9230769230769232,0.9182389937106918,0.927927927927928,0.9333333333333332,0.9197278911564624,0.9142857142857144,0.9214489214489214,0.9179145532086708,0.0001283532280836,0.0048379293662312,Acceptable
Three-class classification: air / alcohol / acetone,Split 7: Train Period I + Day1-3; validation Day4-5; test Day6-19,Logistic Regression,train_val_refit,l2=0.01,validation_accuracy_macro_f1_balanced_accuracy,98,26,159,0.9897959183673468,0.9230769230769232,0.9622641509433962,0.990990990990991,0.9333333333333332,0.962152133580705,0.9886310688659026,0.9214489214489214,0.961914426867698,0.0275317674239506,-0.0391872278664731,Best; Acceptable
Three-class classification: air / alcohol / acetone,Split 7: Train Period I + Day1-3; validation Day4-5; test Day6-19,kNN,train_val_refit,k=3,validation_accuracy_macro_f1_balanced_accuracy,98,26,159,0.8775510204081632,0.8846153846153846,0.8930817610062893,0.8821321321321322,0.9,0.8954854669140383,0.8777464788732394,0.8897028897028897,0.895062952622946,-0.015530740598126,-0.0084663763909047,Acceptable
Three-class classification: air / alcohol / acetone,Split 7: Train Period I + Day1-3; validation Day4-5; test Day6-19,Random Forest,train_val_refit,subspace=1.5,validation_accuracy_macro_f1_balanced_accuracy,98,26,159,0.7040816326530612,0.6153846153846154,0.7484276729559748,0.7338588588588589,0.6666666666666666,0.7575757575757575,0.7072174529801648,0.6124223602484471,0.730924330924331,-0.0443460403029135,-0.1330430575713593,Underfitting
