split,task,model,partition,random_state,n,accuracy,balanced_accuracy,macro_f1
S1_train_I_test_all,three_class_with_air,LDA,train,,30,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,LDA,test,,273,0.608058608058608,0.6168981481481481,0.5290960735870915
S1_train_I_test_all,three_class_with_air,Logistic Regression,train,,30,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Logistic Regression,test,,273,0.8205128205128205,0.820216049382716,0.8267239643133975
S1_train_I_test_all,three_class_with_air,kNN,train,,30,0.7333333333333333,0.6944444444444445,0.6984848484848486
S1_train_I_test_all,three_class_with_air,kNN,test,,273,0.6336996336996337,0.6431327160493827,0.632916147261697
S1_train_I_test_all,three_class_with_air,Random Forest,train,0.0,30,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,test,0.0,273,0.9084249084249084,0.9131944444444445,0.9131920896291675
S1_train_I_test_all,three_class_with_air,Random Forest,train,1.0,30,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,test,1.0,273,0.9120879120879121,0.9166666666666666,0.9165217391304347
S1_train_I_test_all,three_class_with_air,Random Forest,train,2.0,30,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,test,2.0,273,0.9157509157509157,0.9201388888888888,0.9200325954094799
S1_train_I_test_all,three_class_with_air,Random Forest,train,3.0,30,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,test,3.0,273,0.9084249084249084,0.9131944444444443,0.9131732465065797
S1_train_I_test_all,three_class_with_air,Random Forest,train,4.0,30,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,Random Forest,test,4.0,273,0.9047619047619048,0.9097222222222222,0.9096830221450283
S1_train_I_test_all,three_class_with_air,RBF SVM,train,,30,0.8666666666666667,0.8888888888888888,0.8647619047619047
S1_train_I_test_all,three_class_with_air,RBF SVM,test,,273,0.7142857142857143,0.7253086419753086,0.7224132404855297
S1_train_I_test_all,three_class_with_air,MLP,train,0.0,30,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,MLP,test,0.0,273,0.7985347985347986,0.8019547325102879,0.7993324989570295
S1_train_I_test_all,three_class_with_air,MLP,train,1.0,30,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,MLP,test,1.0,273,0.7948717948717948,0.7971965020576132,0.7992624789126529
S1_train_I_test_all,three_class_with_air,MLP,train,2.0,30,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,MLP,test,2.0,273,0.7326007326007326,0.737525720164609,0.735876068604498
S1_train_I_test_all,three_class_with_air,MLP,train,3.0,30,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,MLP,test,3.0,273,0.7289377289377289,0.7334104938271605,0.7253392916252897
S1_train_I_test_all,three_class_with_air,MLP,train,4.0,30,1.0,1.0,1.0
S1_train_I_test_all,three_class_with_air,MLP,test,4.0,273,0.7326007326007326,0.737525720164609,0.7430811941681507
S2_train_I_internal_val_test_all,three_class_with_air,LDA,train,,30,0.8666666666666667,0.8611111111111112,0.8597883597883599
S2_train_I_internal_val_test_all,three_class_with_air,LDA,validation,,5,0.8,0.8333333333333334,0.8222222222222223
S2_train_I_internal_val_test_all,three_class_with_air,LDA,test,,273,0.7435897435897436,0.7415123456790124,0.7386251652787162
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,train,,30,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,validation,,5,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,test,,273,0.8168498168498168,0.8167438271604938,0.8231666880588714
S2_train_I_internal_val_test_all,three_class_with_air,kNN,train,,30,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,kNN,validation,,5,0.8,0.8333333333333334,0.8222222222222223
S2_train_I_internal_val_test_all,three_class_with_air,kNN,test,,273,0.6483516483516484,0.6531635802469137,0.6554260713817159
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,0.0,30,0.9,0.9166666666666666,0.9153439153439153
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,0.0,5,0.8,0.8333333333333334,0.8222222222222223
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,test,0.0,273,0.9047619047619048,0.9097222222222222,0.9096830221450283
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,1.0,30,0.9333333333333333,0.9444444444444445,0.9440559440559441
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,1.0,5,0.8,0.8333333333333334,0.8222222222222223
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,test,1.0,273,0.8901098901098901,0.8958333333333334,0.8958220293000543
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,2.0,30,0.9,0.9166666666666666,0.9153439153439153
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,2.0,5,0.8,0.8333333333333334,0.8222222222222223
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,test,2.0,273,0.8974358974358975,0.9027777777777778,0.9027672273467173
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,3.0,30,0.9,0.9166666666666666,0.9153439153439153
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,3.0,5,0.8,0.8333333333333334,0.8222222222222223
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,test,3.0,273,0.9157509157509157,0.9201388888888888,0.9200846928526832
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,4.0,30,0.9,0.9166666666666666,0.9153439153439153
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,4.0,5,0.8,0.8333333333333334,0.8222222222222223
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,test,4.0,273,0.8864468864468864,0.892361111111111,0.892334825668159
S2_train_I_internal_val_test_all,three_class_with_air,RBF SVM,train,,30,0.8333333333333334,0.861111111111111,0.8344322344322345
S2_train_I_internal_val_test_all,three_class_with_air,RBF SVM,validation,,5,0.8,0.8333333333333334,0.8222222222222223
S2_train_I_internal_val_test_all,three_class_with_air,RBF SVM,test,,273,0.684981684981685,0.6962448559670782,0.6943007031421665
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,0.0,30,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,0.0,5,0.6,0.6666666666666666,0.611111111111111
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,0.0,273,0.7985347985347986,0.8019547325102879,0.7993324989570295
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,1.0,30,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,1.0,5,0.6,0.6666666666666666,0.611111111111111
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,1.0,273,0.7948717948717948,0.7971965020576132,0.7992624789126529
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,2.0,30,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,2.0,5,0.6,0.6666666666666666,0.611111111111111
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,2.0,273,0.7326007326007326,0.737525720164609,0.735876068604498
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,3.0,30,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,3.0,5,0.6,0.6666666666666666,0.611111111111111
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,3.0,273,0.7289377289377289,0.7334104938271605,0.7253392916252897
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,4.0,30,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,4.0,5,0.6,0.6666666666666666,0.611111111111111
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,4.0,273,0.7326007326007326,0.737525720164609,0.7430811941681507
S3_train_I_internal_20_10_test_all,three_class_with_air,LDA,train,,30,0.8666666666666667,0.8611111111111112,0.8597883597883599
S3_train_I_internal_20_10_test_all,three_class_with_air,LDA,validation,,10,0.8,0.8333333333333334,0.7851851851851852
S3_train_I_internal_20_10_test_all,three_class_with_air,LDA,test,,273,0.7435897435897436,0.7415123456790124,0.7386251652787162
S3_train_I_internal_20_10_test_all,three_class_with_air,Logistic Regression,train,,30,0.8666666666666667,0.8888888888888888,0.863997113997114
S3_train_I_internal_20_10_test_all,three_class_with_air,Logistic Regression,validation,,10,0.7,0.6666666666666666,0.6555555555555556
