split,task,partition,target_file,label,period,day,day_num,day_label,batch,sample_id
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,acetone\acetone_o1.csv,acetone,Period_I,Day 1 afternoon,1,Period I Day 1 afternoon,source,acetone_o1
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,acetone\acetone_o3.csv,acetone,Period_I,Day 1 afternoon,1,Period I Day 1 afternoon,source,acetone_o3
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,acetone\acetone_o5.csv,acetone,Period_I,Day 2 noon,2,Period I Day 2 noon,source,acetone_o5
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,acetone\acetone_o6.csv,acetone,Period_I,Day 2 noon,2,Period I Day 2 noon,source,acetone_o6
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,acetone\acetone_o7.csv,acetone,Period_I,Day 2 afternoon,2,Period I Day 2 afternoon,source,acetone_o7
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,acetone\acetone_o8.csv,acetone,Period_I,Day 2 afternoon,2,Period I Day 2 afternoon,source,acetone_o8
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,acetone\acetone_o9.csv,acetone,Period_I,Day 2 afternoon,2,Period I Day 2 afternoon,source,acetone_o9
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,acetone\acetone_o10.csv,acetone,Period_I,Day 3 noon,3,Period I Day 3 noon,source,acetone_o10
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,acetone\acetone_o11.csv,acetone,Period_I,Day 3 noon,3,Period I Day 3 noon,source,acetone_o11
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,acetone\acetone_o12.csv,acetone,Period_I,Day 3 noon,3,Period I Day 3 noon,source,acetone_o12
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,air\baseline_1.csv,air,Period_I,baseline,0,Period I baseline,source,baseline_1
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,air\baseline_3.csv,air,Period_I,baseline,0,Period I baseline,source,baseline_3
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,air\baseline_4.csv,air,Period_I,baseline,0,Period I baseline,source,baseline_4
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,air\baseline_5.csv,air,Period_I,baseline,0,Period I baseline,source,baseline_5
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,air\baseline_6.csv,air,Period_I,baseline,0,Period I baseline,source,baseline_6
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,alcohol\alcohol_o1.csv,alcohol,Period_I,Day 1 afternoon,1,Period I Day 1 afternoon,source,alcohol_o1
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,alcohol\alcohol_o2.csv,alcohol,Period_I,Day 1 afternoon,1,Period I Day 1 afternoon,source,alcohol_o2
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,alcohol\alcohol_o3.csv,alcohol,Period_I,Day 1 afternoon,1,Period I Day 1 afternoon,source,alcohol_o3
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,alcohol\alcohol_o5.csv,alcohol,Period_I,Day 2 noon,2,Period I Day 2 noon,source,alcohol_o5
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,alcohol\alcohol_o6.csv,alcohol,Period_I,Day 2 noon,2,Period I Day 2 noon,source,alcohol_o6
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,alcohol\alcohol_o7.csv,alcohol,Period_I,Day 2 afternoon,2,Period I Day 2 afternoon,source,alcohol_o7
