split,task,model,partition,random_state,label,support,predicted_n,precision,recall,f1,fit_id
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,LDA,train,,air,6,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,three_class_with_air|LDA|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,LDA,train,,alcohol,12,15,0.8,1.0,0.8888888888888888,three_class_with_air|LDA|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,LDA,train,,acetone,12,9,1.0,0.75,0.8571428571428571,three_class_with_air|LDA|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,LDA,validation,,air,1,1,1.0,1.0,1.0,three_class_with_air|LDA|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,LDA,validation,,alcohol,2,3,0.6666666666666666,1.0,0.8,three_class_with_air|LDA|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,LDA,validation,,acetone,2,1,1.0,0.5,0.6666666666666666,three_class_with_air|LDA|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,LDA,test,,air,8,8,0.75,0.75,0.75,three_class_with_air|LDA|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,LDA,test,,alcohol,10,11,0.8181818181818182,0.9,0.8571428571428571,three_class_with_air|LDA|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,LDA,test,,acetone,10,9,1.0,0.9,0.9473684210526315,three_class_with_air|LDA|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,LDA,train,,air,6,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,three_class_with_air|LDA|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,LDA,train,,alcohol,12,15,0.8,1.0,0.8888888888888888,three_class_with_air|LDA|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,LDA,train,,acetone,12,9,1.0,0.75,0.8571428571428571,three_class_with_air|LDA|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,LDA,validation,,air,1,1,1.0,1.0,1.0,three_class_with_air|LDA|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,LDA,validation,,alcohol,2,3,0.6666666666666666,1.0,0.8,three_class_with_air|LDA|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,LDA,validation,,acetone,2,1,1.0,0.5,0.6666666666666666,three_class_with_air|LDA|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,LDA,test,,air,18,21,0.5238095238095238,0.6111111111111112,0.5641025641025641,three_class_with_air|LDA|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,LDA,test,,alcohol,33,48,0.6458333333333334,0.9393939393939394,0.7654320987654321,three_class_with_air|LDA|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,LDA,test,,acetone,33,15,0.9333333333333333,0.42424242424242425,0.5833333333333334,three_class_with_air|LDA|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,LDA,train,,air,6,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,three_class_with_air|LDA|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,LDA,train,,alcohol,12,15,0.8,1.0,0.8888888888888888,three_class_with_air|LDA|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,LDA,train,,acetone,12,9,1.0,0.75,0.8571428571428571,three_class_with_air|LDA|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,LDA,validation,,air,1,1,1.0,1.0,1.0,three_class_with_air|LDA|seed=deterministic
